abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	inchiString	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	smile	lipidmaps
metphearg	Methionyl-Phenylalanyl-Arginine	C20H33N6O4S	1				"InChI=1S/C20H32N6O4S/c1-31-11-9-14(21)17(27)26-16(12-13-6-3-2-4-7-13)18(28)25-15(19(29)30)8-5-10-24-20(22)23/h2-4,6-7,14-16H,5,8-12,21H2,1H3,(H,25,28)(H,26,27)(H,29,30)(H4,22,23,24)/p+1/t14-,15-,16+/m0/s1"																			LNXGEYIEEUZGGH-HRCADAONSA-O	[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H]	
metsox_R_L	L-methionine-R-sulfoxide	C5H11NO3S	0					57392327	58773											cpd11576								
metsox_S_L	L-Methionine Sulfoxide	C5H11NO3S	0				"InChI=1S/C25H30N4O4S/c1-34-12-11-19(26)23(30)28-21(14-17-15-27-20-10-6-5-9-18(17)20)24(31)29-22(25(32)33)13-16-7-3-2-4-8-16/h2-10,15,19,21-22,27H,11-14,26H2,1H3,(H,28,30)(H,29,31)(H,32,33)/t19-,21+,22-/m0/s1"													cpd01914								
mettrna	L-Methionyl-tRNA (Met)	C5H10NOSR	1																									
mettrpphe	Methionyl-Tryptophanyl-Phenylalanine	C25H30N4O4S	0				"InChI=1S/C25H30N4O4S/c1-34-12-11-19(26)23(30)28-21(14-17-15-27-20-10-6-5-9-18(17)20)24(31)29-22(25(32)33)13-16-7-3-2-4-8-16/h2-10,15,19,21-22,27H,11-14,26H2,1H3,(H,28,30)(H,29,31)(H,32,33)/t19-,21+,22-/m0/s1"																			HMEVNCOJHJTLNB-NNWRFLSQSA-N	[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	
mev_R	Mevalonic acid	C6H11O4	-1	148.1571	148.0735589	C00418	"InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/p-1/t6-/m1/s1"	449	25351	HMDB00227		mev_R	mev_R	FDB005126	436	MEVALONATE	mev__R	Mevalonic acid		cpd00332	MNXM333	C00001195	127	150-97-0	DTXSID50415347	KJTLQQUUPVSXIM-ZCFIWIBFSA-M	[H]OC([H])([H])C([H])([H])[C@](O[H])(C([H])([H])[H])C([H])([H])C([O-])=O	
mfur	Methanofuran	C34H40N4O15	-4																	cpd00643								
mg2	Magnesium	Mg	2	24.305	23.9850417		InChI=1S/Mg/q+2			HMDB00547							mg2			cpd00254	MNXM653			7439-95-4	DTXSID0049658	JLVVSXFLKOJNIY-UHFFFAOYSA-N		
mgacpail_hs	Mannosyl-Glucosaminyl-Acylphosphatidylinositiol (H2)	C37H68NO19PFULLRCO2FULLR2CO2	0									mgacpail_hs	mgacpail_hs				mgacpail_hs				MNXM6329							
mgal	Methyl beta-D-galactoside	C7H14O6	0			C03619																						
MGD	moldybdopterin_guanine_dinucleotide	X	0																									
MGlcn10	mucin-type O-glycan No 10	C44H69N4O31X	0																									
MGlcn10_rl	released mucin-type O-glycan No 10	C44H70N4O32	0																									
MGlcn100	mucin-type O-glycan No 100	C61H99N5O43X	0																									
MGlcn100_rl	released mucin-type O-glycan No 100	C61H100N5O44	0																									
MGlcn101	mucin-type O-glycan No 101	C69H112N6O48X	0																									
MGlcn101_rl	released mucin-type O-glycan No 101	C69H113N6O49	0																									
MGlcn102	mucin-type O-glycan No 102	C80H128N7O56X	0																									
MGlcn102_rl	released mucin-type O-glycan No 102	C80H129N7O57	0																									
MGlcn103	mucin-type O-glycan No 103	C88H141N8O61X	0																									
MGlcn103_rl	released mucin-type O-glycan No 103	C88H142N8O62	0																									
MGlcn104	mucin-type O-glycan No 104	C46H77N2O34X	0																									
MGlcn104_rl	released mucin-type O-glycan No 104	C46H78N2O35	0																									
MGlcn105	mucin-type O-glycan No 105	C46H77N2O34X	0																									
MGlcn105_rl	released mucin-type O-glycan No 105	C46H78N2O35	0																									
MGlcn106	mucin-type O-glycan No 106	C54H90N3O39X	0																									
MGlcn106_rl	released mucin-type O-glycan No 106	C54H91N3O40	0																									
MGlcn107	mucin-type O-glycan No 107	C54H90N3O39X	0																									
MGlcn107_rl	released mucin-type O-glycan No 107	C54H91N3O40	0																									
MGlcn108	mucin-type O-glycan No 108	C42H70N3O29X	0																									
MGlcn108_rl	released mucin-type O-glycan No 108	C42H71N3O30	0																									
MGlcn109	mucin-type O-glycan No 109	C36H60N3O25X	0																									
MGlcn109_rl	released mucin-type O-glycan No 109	C36H61N3O26	0																									
MGlcn110	mucin-type O-glycan No 110	C36H60N3O25X	0																									
MGlcn110_rl	released mucin-type O-glycan No 110	C36H61N3O26	0			G06866																						
MGlcn111	mucin-type O-glycan No 111	C34H57N2O25X	0																									
MGlcn111_rl	released mucin-type O-glycan No 111	C34H58N2O26	0																									
MGlcn112	mucin-type O-glycan No 112	C34H57N2O25X	0																									
MGlcn112_rl	released mucin-type O-glycan No 112	C34H58N2O26	0			G06868																						
MGlcn113	mucin-type O-glycan No 113	C42H70N3O30X	0																									
MGlcn113_rl	released mucin-type O-glycan No 113	C42H71N3O31	0			G01462																						
MGlcn114	mucin-type O-glycan No 114	C40H67N2O30X	0																									
MGlcn114_rl	released mucin-type O-glycan No 114	C40H68N2O31	0																									
MGlcn115	mucin-type O-glycan No 115	C48H80N3O35X	0																									
MGlcn115_rl	released mucin-type O-glycan No 115	C48H81N3O36	0																									
MGlcn116	mucin-type O-glycan No 116	C33H53N3O23X	0																									
MGlcn116_rl	released mucin-type O-glycan No 116	C33H54N3O24	0																									
MGlcn117	mucin-type O-glycan No 117	C39H63N3O28X	0																									
MGlcn117_rl	released mucin-type O-glycan No 117	C39H64N3O29	0			G00592																						
MGlcn118	mucin-type O-glycan No 118	C53H86N4O37X	0																									
MGlcn118_rl	released mucin-type O-glycan No 118	C53H87N4O38	0																									
MGlcn119	mucin-type O-glycan No 119	C53H86N4O37X	0																									
MGlcn119_rl	released mucin-type O-glycan No 119	C53H87N4O38	0																									
MGlcn12	mucin-type O-glycan No 12	C22H37N2O15X	0																									
MGlcn12_rl	released mucin-type O-glycan No 12	C22H38N2O16	0			G03456																						
MGlcn120	mucin-type O-glycan No 120	C47H76N4O33X	0																									
MGlcn120_rl	released mucin-type O-glycan No 120	C47H77N4O34	0																									
MGlcn121	mucin-type O-glycan No 121	C61H99N5O42X	0																									
MGlcn121_rl	released mucin-type O-glycan No 121	C61H100N5O43	0																									
MGlcn122	mucin-type O-glycan No 122	C61H99N5O42X	0																									
MGlcn122_rl	released mucin-type O-glycan No 122	C61H100N5O43	0																									
MGlcn123	mucin-type O-glycan No 123	C55H89N5O38X	0																									
MGlcn123_rl	released mucin-type O-glycan No 123	C55H90N5O39	0																									
MGlcn124	mucin-type O-glycan No 124	C55H89N5O38X	0																									
MGlcn124_rl	released mucin-type O-glycan No 124	C55H90N5O39	0																									
MGlcn126	mucin-type O-glycan No 126	C61H99N5O43X	0																									
MGlcn126_rl	released mucin-type O-glycan No 126	C61H100N5O44	0																									
MGlcn127	mucin-type O-glycan No 127	C75H122N6O52X	0																									
MGlcn127_rl	released mucin-type O-glycan No 127	C75H123N6O53	0																									
MGlcn128	mucin-type O-glycan No 128	C75H122N6O52X	0																									
MGlcn128_rl	released mucin-type O-glycan No 128	C75H123N6O53	0																									
MGlcn129	mucin-type O-glycan No 129	C75H122N6O52X	0																									
MGlcn129_rl	released mucin-type O-glycan No 129	C75H123N6O53	0																									
MGlcn13	mucin-type O-glycan No 13	C30H50N3O20X	0																									
MGlcn13_rl	released mucin-type O-glycan No 13	C30H51N3O21	0			G11528																						
MGlcn130	mucin-type O-glycan No 130	C69H112N6O48X	0																									
MGlcn130_rl	released mucin-type O-glycan No 130	C69H113N6O49	0																									
MGlcn131	mucin-type O-glycan No 131	C69H112N6O48X	0																									
MGlcn131_rl	released mucin-type O-glycan No 131	C69H113N6O49	0																									
MGlcn132	mucin-type O-glycan No 132	C69H112N6O48X	0																									
MGlcn132_rl	released mucin-type O-glycan No 132	C69H113N6O49	0																									
MGlcn133	mucin-type O-glycan No 133	C83H135N7O57X	0																									
MGlcn133_rl	released mucin-type O-glycan No 133	C83H136N7O58	0																									
MGlcn134	mucin-type O-glycan No 134	C83H135N7O57X	0																									
MGlcn134_rl	released mucin-type O-glycan No 134	C83H136N7O58	0																									
MGlcn135	mucin-type O-glycan No 135	C77H125N7O53X	0																									
MGlcn135_rl	released mucin-type O-glycan No 135	C77H126N7O54	0																									
MGlcn136	mucin-type O-glycan No 136	C77H125N7O53X	0																									
MGlcn136_rl	released mucin-type O-glycan No 136	C77H126N7O54	0																									
MGlcn137	mucin-type O-glycan No 137	C34H57N2O24X	0																									
MGlcn137_rl	released mucin-type O-glycan No 137	C34H58N2O25	0			G07029																						
MGlcn138	mucin-type O-glycan No 138	C34H57N2O24X	0																									
MGlcn138_rl	released mucin-type O-glycan No 138	C34H58N2O25	0																									
MGlcn139	mucin-type O-glycan No 139	C34H57N2O24X	0																									
MGlcn139_rl	released mucin-type O-glycan No 139	C34H58N2O25	0																									
MGlcn14	mucin-type O-glycan No 14	C36H60N3O25X	0																									
MGlcn14_rl	released mucin-type O-glycan No 14	C36H61N3O26	0			G03094																						
MGlcn140	mucin-type O-glycan No 140	C34H57N2O24X	0																									
MGlcn140_rl	released mucin-type O-glycan No 140	C34H58N2O25	0																									
MGlcn141	mucin-type O-glycan No 141	C28H47N2O19X	0																									
MGlcn141_rl	released mucin-type O-glycan No 141	C28H48N2O20	0			G08438																						
MGlcn142	mucin-type O-glycan No 142	C28H47N2O19X	0																									
MGlcn142_rl	released mucin-type O-glycan No 142	C28H48N2O20	0																									
MGlcn143	mucin-type O-glycan No 143	C28H47N2O19X	0																									
MGlcn143_rl	released mucin-type O-glycan No 143	C28H48N2O20	0			G07897																						
MGlcn144	mucin-type O-glycan No 144	C28H47N2O19X	0																									
MGlcn144_rl	released mucin-type O-glycan No 144	C28H48N2O20	0			G11584																						
MGlcn145	mucin-type O-glycan No 145	C34H57N2O23X	0																									
MGlcn145_rl	released mucin-type O-glycan No 145	C34H58N2O24	0																									
MGlcn146	mucin-type O-glycan No 146	C34H57N2O23X	0																									
MGlcn146_rl	released mucin-type O-glycan No 146	C34H58N2O24	0																									
MGlcn147	mucin-type O-glycan No 147	C33H53N3O23X	0																									
MGlcn147_rl	released mucin-type O-glycan No 147	C33H54N3O24	0																									
MGlcn148	mucin-type O-glycan No 148	C22H37N2O15X	0																									
MGlcn148_rl	released mucin-type O-glycan No 148	C22H38N2O16	0			G07733																						
MGlcn149	mucin-type O-glycan No 149	C36H60N3O24X	0																									
MGlcn149_rl	released mucin-type O-glycan No 149	C36H61N3O25	0																									
MGlcn15	mucin-type O-glycan No 15	C50H83N4O34X	0																									
MGlcn15_rl	released mucin-type O-glycan No 15	C50H84N4O35	0			G02923																						
MGlcn150	mucin-type O-glycan No 150	C41H66N4O28X	0																									
MGlcn150_rl	released mucin-type O-glycan No 150	C41H67N4O29	0																									
MGlcn151	mucin-type O-glycan No 151	C41H66N4O28X	0																									
MGlcn151_rl	released mucin-type O-glycan No 151	C41H67N4O29	0																									
MGlcn152	mucin-type O-glycan No 152	C52H82N5O36X	0																									
MGlcn152_rl	released mucin-type O-glycan No 152	C52H83N5O37	0			G05487																						
MGlcn153	mucin-type O-glycan No 153	C30H50N3O20X	0																									
MGlcn153_rl	released mucin-type O-glycan No 153	C30H51N3O21	0																									
MGlcn154	mucin-type O-glycan No 154	C30H50N3O20X	0																									
MGlcn154_rl	released mucin-type O-glycan No 154	C30H51N3O21	0			G03238																						
MGlcn155	mucin-type O-glycan No 155	C36H60N3O24X	0																									
MGlcn155_rl	released mucin-type O-glycan No 155	C36H61N3O25	0																									
MGlcn156	mucin-type O-glycan No 156	C30H50N3O20X	0																									
MGlcn156_rl	released mucin-type O-glycan No 156	C30H51N3O21	0																									
MGlcn157	mucin-type O-glycan No 157	C40H67N2O28X	0																									
MGlcn157_rl	released mucin-type O-glycan No 157	C40H68N2O29	0																									
MGlcn158	mucin-type O-glycan No 158	C28H47N2O20X	0																									
MGlcn158_rl	released mucin-type O-glycan No 158	C28H48N2O21	0																									
MGlcn159	mucin-type O-glycan No 159	C28H47N2O20X	0																									
MGlcn159_rl	released mucin-type O-glycan No 159	C28H48N2O21	0																									
MGlcn16	mucin-type O-glycan No 16	C52H86N5O35X	0																									
MGlcn16_rl	released mucin-type O-glycan No 16	C52H87N5O36	0			G02914																						
MGlcn160	mucin-type O-glycan No 160	C28H47N2O20X	0																									
MGlcn160_rl	released mucin-type O-glycan No 160	C28H48N2O21	0			G06744																						
MGlcn161	mucin-type O-glycan No 161	C42H70N3O29X	0																									
MGlcn161_rl	released mucin-type O-glycan No 161	C42H71N3O30	0																									
MGlcn162	mucin-type O-glycan No 162	C67H109N5O47X	0																									
MGlcn162_rl	released mucin-type O-glycan No 162	C67H110N5O48	0																									
MGlcn163	mucin-type O-glycan No 163	C36H60N3O25X	0																									
MGlcn163_rl	released mucin-type O-glycan No 163	C36H61N3O26	0																									
MGlcn164	mucin-type O-glycan No 164	C55H89N5O38X	0																									
MGlcn164_rl	released mucin-type O-glycan No 164	C55H90N5O39	0																									
MGlcn165	mucin-type O-glycan No 165	C55H89N5O38X	0																									
MGlcn165_rl	released mucin-type O-glycan No 165	C55H90N5O39	0																									
MGlcn166	mucin-type O-glycan No 166	C44H73N4O30X	0																									
MGlcn166_rl	released mucin-type O-glycan No 166	C44H74N4O31	0																									
MGlcn167	mucin-type O-glycan No 167	C63H102N6O43X	0																									
MGlcn167_rl	released mucin-type O-glycan No 167	C63H103N6O44	0																									
MGlcn168	mucin-type O-glycan No 168	C63H102N6O43X	0																									
MGlcn168_rl	released mucin-type O-glycan No 168	C63H103N6O44	0																									
MGlcn169	mucin-type O-glycan No 169	C63H102N6O43X	0																									
MGlcn169_rl	released mucin-type O-glycan No 169	C63H103N6O44	0																									
MGlcn17	mucin-type O-glycan No 17	C72H119N6O49X	0																									
MGlcn17_rl	released mucin-type O-glycan No 17	C72H120N6O50	0			G04568																						
MGlcn170	mucin-type O-glycan No 170	C52H86N5O35X	0																									
MGlcn170_rl	released mucin-type O-glycan No 170	C52H87N5O36	0																									
MGlcn171	mucin-type O-glycan No 171	C52H86N5O35X	0																									
MGlcn171_rl	released mucin-type O-glycan No 171	C52H87N5O36	0																									
MGlcn172	mucin-type O-glycan No 172	C48H80N3O34X	0																									
MGlcn172_rl	released mucin-type O-glycan No 172	C48H81N3O35	0																									
MGlcn173	mucin-type O-glycan No 173	C42H70N3O30X	0																									
MGlcn173_rl	released mucin-type O-glycan No 173	C42H71N3O31	0																									
MGlcn174	mucin-type O-glycan No 174	C49H79N5O33X	0																									
MGlcn174_rl	released mucin-type O-glycan No 174	C49H80N5O34	0																									
MGlcn175	mucin-type O-glycan No 175	C38H63N4O25X	0																									
MGlcn175_rl	released mucin-type O-glycan No 175	C38H64N4O26	0																									
MGlcn176	mucin-type O-glycan No 176	C61H99N5O42X	0																									
MGlcn176_rl	released mucin-type O-glycan No 176	C61H100N5O43	0																									
MGlcn177	mucin-type O-glycan No 177	C50H83N4O34X	0																									
MGlcn177_rl	released mucin-type O-glycan No 177	C50H84N4O35	0																									
MGlcn178	mucin-type O-glycan No 178	C66H105N6O46X	0																									
MGlcn178_rl	released mucin-type O-glycan No 178	C66H106N6O47	0																									
MGlcn179	mucin-type O-glycan No 179	C69H112N6O47X	0																									
MGlcn179_rl	released mucin-type O-glycan No 179	C69H113N6O48	0																									
MGlcn18	mucin-type O-glycan No 18	C44H73N4O30X	0																									
MGlcn18_rl	released mucin-type O-glycan No 18	C44H74N4O31	0			G03003																						
MGlcn180	mucin-type O-glycan No 180	C58H96N5O39X	0																									
MGlcn180_rl	released mucin-type O-glycan No 180	C58H97N5O40	0																									
MGlcn181	mucin-type O-glycan No 181	C74H118N7O51X	0																									
MGlcn181_rl	released mucin-type O-glycan No 181	C74H119N7O52	0																									
MGlcn182	mucin-type O-glycan No 182	C22H37N2O14X	0																									
MGlcn182_rl	released mucin-type O-glycan No 182	C22H38N2O15	0																									
MGlcn183	mucin-type O-glycan No 183	C41H66N4O28X	0																									
MGlcn183_rl	released mucin-type O-glycan No 183	C41H67N4O29	0																									
MGlcn185	mucin-type O-glycan No 185	C30H50N3O20X	0																									
MGlcn185_rl	released mucin-type O-glycan No 185	C30H51N3O21	0																									
MGlcn186	mucin-type O-glycan No 186	C47H76N4O33X	0																									
MGlcn186_rl	released mucin-type O-glycan No 186	C47H77N4O34	0																									
MGlcn187	mucin-type O-glycan No 187	C47H76N4O33X	0																									
MGlcn187_rl	released mucin-type O-glycan No 187	C47H77N4O34	0																									
MGlcn188	mucin-type O-glycan No 188	C58H92N5O41X	0																									
MGlcn188_rl	released mucin-type O-glycan No 188	C58H93N5O42	0																									
MGlcn189	mucin-type O-glycan No 189	C36H60N3O25X	0																									
MGlcn189_rl	released mucin-type O-glycan No 189	C36H61N3O26	0																									
MGlcn19	mucin-type O-glycan No 19	C66H109N6O45X	0																									
MGlcn19_rl	released mucin-type O-glycan No 19	C66H110N6O46	0			G02813																						
MGlcn190	mucin-type O-glycan No 190	C55H89N5O38X	0																									
MGlcn190_rl	released mucin-type O-glycan No 190	C55H90N5O39	0																									
MGlcn191	mucin-type O-glycan No 191	C55H89N5O38X	0																									
MGlcn191_rl	released mucin-type O-glycan No 191	C55H90N5O39	0																									
MGlcn192	mucin-type O-glycan No 192	C66H105N6O46X	0																									
MGlcn192_rl	released mucin-type O-glycan No 192	C66H106N6O47	0																									
MGlcn193	mucin-type O-glycan No 193	C44H73N4O30X	0																									
MGlcn193_rl	released mucin-type O-glycan No 193	C44H74N4O31	0																									
MGlcn194	mucin-type O-glycan No 194	C44H73N4O30X	0																									
MGlcn194_rl	released mucin-type O-glycan No 194	C44H74N4O31	0																									
MGlcn195	mucin-type O-glycan No 195	C26H44NO19X	0			G10799																						
MGlcn195_rl	released mucin-type O-glycan No 195	C26H45NO20	0			G00912																						
MGlcn196	mucin-type O-glycan No 196	C20H34NO15X	0																									
MGlcn196_rl	released mucin-type O-glycan No 196	C20H35NO16	0																									
MGlcn2	mucin-type O-glycan No 2	C27H43N3O18X	0																									
MGlcn2_rl	released mucin-type O-glycan No 2	C27H44N3O19	0			G11519																						
MGlcn20	mucin-type O-glycan No 20	C44H73N4O30X	0																									
MGlcn20_rl	released mucin-type O-glycan No 20	C44H74N4O31	0																									
MGlcn21	mucin-type O-glycan No 21	C58H96N5O40X	0																									
MGlcn21_rl	released mucin-type O-glycan No 21	C58H97N5O41	0																									
MGlcn22	mucin-type O-glycan No 22	C20H34NO14X	0			G11128																						
MGlcn22_rl	released mucin-type O-glycan No 22	C20H35NO15	0			G00320																						
MGlcn23	mucin-type O-glycan No 23	C28H47N2O19X	0																									
MGlcn23_rl	released mucin-type O-glycan No 23	C28H48N2O20	0			G00566																						
MGlcn24	mucin-type O-glycan No 24	C28H47N2O19X	0			G00224																						
MGlcn24_rl	released mucin-type O-glycan No 24	C28H48N2O20	0			G08312																						
MGlcn25	mucin-type O-glycan No 25	C34H57N2O24X	0																									
MGlcn25_rl	released mucin-type O-glycan No 25	C34H58N2O25	0			G07109																						
MGlcn26	mucin-type O-glycan No 26	C34H57N2O24X	0																									
MGlcn26_rl	released mucin-type O-glycan No 26	C34H58N2O25	0			G07108																						
MGlcn27	mucin-type O-glycan No 27	C34H57N2O24X	0																									
MGlcn27_rl	released mucin-type O-glycan No 27	C34H58N2O25	0			G07067																						
MGlcn28	mucin-type O-glycan No 28	C34H57N2O24X	0																									
MGlcn28_rl	released mucin-type O-glycan No 28	C34H58N2O25	0			G07066																						
MGlcn29	mucin-type O-glycan No 29	C36H60N3O24X	0																									
MGlcn29_rl	released mucin-type O-glycan No 29	C36H61N3O25	0			G01996																						
MGlcn3	mucin-type O-glycan No 3	C33H53N3O23X	0																									
MGlcn3_rl	released mucin-type O-glycan No 3	C33H54N3O24	0			G00682																						
MGlcn30	mucin-type O-glycan No 30	C40H67N2O28X	0			G00219																						
MGlcn30_rl	released mucin-type O-glycan No 30	C40H68N2O29	0			G00563																						
MGlcn31	mucin-type O-glycan No 31	C40H67N2O29X	0																									
MGlcn31_rl	released mucin-type O-glycan No 31	C40H68N2O30	0																									
MGlcn32	mucin-type O-glycan No 32	C42H70N3O29X	0																									
MGlcn32_rl	released mucin-type O-glycan No 32	C42H71N3O30	0																									
MGlcn33	mucin-type O-glycan No 33	C46H77N2O32X	0																									
MGlcn33_rl	released mucin-type O-glycan No 33	C46H78N2O33	0																									
MGlcn34	mucin-type O-glycan No 34	C46H77N2O33X	0																									
MGlcn34_rl	released mucin-type O-glycan No 34	C46H78N2O34	0																									
MGlcn35	mucin-type O-glycan No 35	C46H77N2O33X	0																									
MGlcn35_rl	released mucin-type O-glycan No 35	C46H78N2O34	0																									
MGlcn36	mucin-type O-glycan No 36	C46H77N2O33X	0																									
MGlcn36_rl	released mucin-type O-glycan No 36	C46H78N2O34	0																									
MGlcn37	mucin-type O-glycan No 37	C48H80N3O33X	0																									
MGlcn37_rl	released mucin-type O-glycan No 37	C48H81N3O34	0			G01930																						
MGlcn38	mucin-type O-glycan No 38	C48H80N3O33X	0																									
MGlcn38_rl	released mucin-type O-glycan No 38	C48H81N3O34	0			G05786																						
MGlcn39	mucin-type O-glycan No 39	C22H37N2O15X	0																									
MGlcn39_rl	released mucin-type O-glycan No 39	C22H38N2O16	0			G00942																						
MGlcn4	mucin-type O-glycan No 4	C47H76N4O33X	0																									
MGlcn4_rl	released mucin-type O-glycan No 4	C47H77N4O34	0			G02979																						
MGlcn40	mucin-type O-glycan No 40	C48H80N3O33X	0																									
MGlcn40_rl	released mucin-type O-glycan No 40	C48H81N3O34	0																									
MGlcn41	mucin-type O-glycan No 41	C50H83N4O34X	0																									
MGlcn41_rl	released mucin-type O-glycan No 41	C50H84N4O35	0																									
MGlcn42	mucin-type O-glycan No 42	C52H87N2O38X	0																									
MGlcn42_rl	released mucin-type O-glycan No 42	C52H88N2O39	0			G05387																						
MGlcn45	mucin-type O-glycan No 45	C28H47N2O20X	0																									
MGlcn45_rl	released mucin-type O-glycan No 45	C28H48N2O21	0			G07612																						
MGlcn46	mucin-type O-glycan No 46	C28H47N2O20X	0			G06742																						
MGlcn46_rl	released mucin-type O-glycan No 46	C28H48N2O21	0			G02047																						
MGlcn47	mucin-type O-glycan No 47	C42H70N3O29X	0																									
MGlcn47_rl	released mucin-type O-glycan No 47	C42H71N3O30	0			G01465																						
MGlcn48	mucin-type O-glycan No 48	C25H40N2O18X	0			G10794																						
MGlcn48_rl	released mucin-type O-glycan No 48	C25H41N2O19	0			G00378																						
MGlcn5	mucin-type O-glycan No 5	C55H89N5O38X	0																									
MGlcn5_rl	released mucin-type O-glycan No 5	C55H90N5O39	0			G02913																						
MGlcn50	mucin-type O-glycan No 50	C31H50N2O22X	0			G06389																						
MGlcn50_rl	released mucin-type O-glycan No 50	C31H51N2O23	0			G01490																						
MGlcn51	mucin-type O-glycan No 51	C33H53N3O23X	0			G00208																						
MGlcn51_rl	released mucin-type O-glycan No 51	C33H54N3O24	0			G01186																						
MGlcn53	mucin-type O-glycan No 53	C39H63N3O28X	0																									
MGlcn53_rl	released mucin-type O-glycan No 53	C39H64N3O29	0			G00355																						
MGlcn54	mucin-type O-glycan No 54	C50H79N4O36X	0			G00221																						
MGlcn54_rl	released mucin-type O-glycan No 54	C50H80N4O37	0			G00336																						
MGlcn55	mucin-type O-glycan No 55	C54H90N3O38X	0																									
MGlcn55_rl	released mucin-type O-glycan No 55	C54H91N3O39	0																									
MGlcn56	mucin-type O-glycan No 56	C60H100N3O43X	0																									
MGlcn56_rl	released mucin-type O-glycan No 56	C60H101N3O44	0																									
MGlcn57	mucin-type O-glycan No 57	C58H96N5O40X	0																									
MGlcn57_rl	released mucin-type O-glycan No 57	C58H97N5O41	0																									
MGlcn58	mucin-type O-glycan No 58	C58H96N5O40X	0																									
MGlcn58_rl	released mucin-type O-glycan No 58	C58H97N5O41	0																									
MGlcn59	mucin-type O-glycan No 59	C86H138N7O60X	0																									
MGlcn59_rl	released mucin-type O-glycan No 59	C86H139N7O61	0																									
MGlcn6	mucin-type O-glycan No 6	C75H122N6O52X	0																									
MGlcn6_rl	released mucin-type O-glycan No 6	C75H123N6O53	0			G04550																						
MGlcn60	mucin-type O-glycan No 60	C86H138N7O60X	0																									
MGlcn60_rl	released mucin-type O-glycan No 60	C86H139N7O61	0																									
MGlcn61	mucin-type O-glycan No 61	C64H106N5O44X	0																									
MGlcn61_rl	released mucin-type O-glycan No 61	C64H107N5O45	0																									
MGlcn62	mucin-type O-glycan No 62	C64H106N5O44X	0																									
MGlcn62_rl	released mucin-type O-glycan No 62	C64H107N5O45	0																									
MGlcn63	mucin-type O-glycan No 63	C64H102N5O45X	0																									
MGlcn63_rl	released mucin-type O-glycan No 63	C64H103N5O46	0																									
MGlcn64	mucin-type O-glycan No 64	C67H109N5O47X	0																									
MGlcn64_rl	released mucin-type O-glycan No 64	C67H110N5O48	0																									
MGlcn65	mucin-type O-glycan No 65	C72H115N6O51X	0																									
MGlcn65_rl	released mucin-type O-glycan No 65	C72H116N6O52	0																									
MGlcn66	mucin-type O-glycan No 66	C50H83N4O35X	0			G05243																						
MGlcn66_rl	released mucin-type O-glycan No 66	C50H84N4O36	0																									
MGlcn67	mucin-type O-glycan No 67	C78H125N6O55X	0																									
MGlcn67_rl	released mucin-type O-glycan No 67	C78H126N6O56	0																									
MGlcn68	mucin-type O-glycan No 68	C56H93N4O39X	0																									
MGlcn68_rl	released mucin-type O-glycan No 68	C56H94N4O40	0																									
MGlcn69	mucin-type O-glycan No 69	C40H67N2O28X	0																									
MGlcn69_rl	released mucin-type O-glycan No 69	C40H68N2O29	0																									
MGlcn7	mucin-type O-glycan No 7	C72H115N6O50X	0																									
MGlcn7_rl	released mucin-type O-glycan No 7	C72H116N6O51	0			G12059																						
MGlcn70	mucin-type O-glycan No 70	C40H67N2O28X	0																									
MGlcn70_rl	released mucin-type O-glycan No 70	C40H68N2O29	0																									
MGlcn71	mucin-type O-glycan No 71	C46H77N2O33X	0																									
MGlcn71_rl	released mucin-type O-glycan No 71	C46H78N2O34	0																									
MGlcn72	mucin-type O-glycan No 72	C30H50N3O20X	0																									
MGlcn72_rl	released mucin-type O-glycan No 72	C30H51N3O21	0																									
MGlcn73	mucin-type O-glycan No 73	C22H37N2O15X	0			G11127																						
MGlcn73_rl	released mucin-type O-glycan No 73	C22H38N2O16	0			G03254																						
MGlcn74	mucin-type O-glycan No 74	C34H57N2O24X	0																									
MGlcn74_rl	released mucin-type O-glycan No 74	C34H58N2O25	0			G11138																						
MGlcn75	mucin-type O-glycan No 75	C40H67N2O28X	0																									
MGlcn75_rl	released mucin-type O-glycan No 75	C40H68N2O29	0			G06422																						
MGlcn76	mucin-type O-glycan No 76	C40H67N2O28X	0																									
MGlcn76_rl	released mucin-type O-glycan No 76	C40H68N2O29	0			G06369																						
MGlcn77	mucin-type O-glycan No 77	C28H47N2O20X	0																									
