Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Staphylococcus aureus M0584 (1158537.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0586 (1158538.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0602 (1158689.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0622 (1158690.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0628 (1158461.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0633 (1158539.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0646 (1214901.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0648 (1213721.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0660 (1213722.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0663 (1213723.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0673 (1213724.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0676 (1158691.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0687 (1158692.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0692 (1158693.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0695 (1213725.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0719 (1158694.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0769 (1158695.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0770 (1158696.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0780 (1158697.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0792 (1213726.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0799 (1158698.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0822 (1213727.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0823 (1158699.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0831 (1213728.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0844 (1158700.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0871 (1213729.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0877 (1213730.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0892 (1213732.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0900 (1213733.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0927 (1213734.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0934 (1158701.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0943 (1158702.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0944 (1158703.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0946 (1169255.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0953 (1158704.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0964 (1169256.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0978 (1169257.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0994 (1169258.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0998 (1158705.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M0999 (1158706.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1 (1305598.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1007 (1158707.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1010 (1158708.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1015 (1158709.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1016 (1158710.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1034 (1169259.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1036 (1158711.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1037 (1158712.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1044 (1169260.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1060 (1303782.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1061 (1169261.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1062 (1169262.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1063 (1158463.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1064 (1158465.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1068 (1169263.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1076 (1158464.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1078 (1303783.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1083 (1169264.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1092 (1158466.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1093 (1158467.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1095 (1158468.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1103 (1158469.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1109 (1169265.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1119 (1158470.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1126 (1169266.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1142 (1169267.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1167 (1158471.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1170 (1158472.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1188 (1158473.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1193 (1303784.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1198 (1158474.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1199 (1158475.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1215 (1158476.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1216 (1158477.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1223 (1169268.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1224 (1169269.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1228 (1303785.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1229 (1158478.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1244 (1169270.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1248 (1158479.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1253 (1158480.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1255 (1158481.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1256 (1169271.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1257 (1158482.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1275 (1169272.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1277 (1158483.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1286 (1169273.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1291 (1158484.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1309 (1169274.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1311 (1158485.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1320 (1158486.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1321 (1158487.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1322 (1158488.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1359 (1158489.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1367 (1158490.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1373 (1158491.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1374 (1169275.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1394 (1158492.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1405 (1169276.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1407 (1303786.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1450 (1158493.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1451 (1158494.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1462 (1158495.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1463 (1158496.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1466 (1303787.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1481 (1158497.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1510 (1169277.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1520 (1158498.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1521 (1158499.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1531 (1158500.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1533 (1158501.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1544 (1158502.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1556 (1158503.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1563 (1158504.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1565 (1158505.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M1578 (1158506.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus M2 (1233245.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus NN54 (1161392.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus O11 (948561.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus O46 (948563.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PM1 (1147034.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus RF122 (273036.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus ST228/10388 (1075076.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus ST228/10497 (1075077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus ST228/15532 (1075078.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus ST228/16035 (1075079.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus ST228/18412 (1075082.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Staphylococcus aureus subsp. aureus COL (93062.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
