Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	367	3461_2_5	3461_2_5	1893_6	3462_8	666_10	2525_19_17	2525_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	1217	2426_2_5	2426_2_5	3233_6	2425_8	1506_10	47_17_19	47_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	1239	2457_2_5	2457_2_5	3270_6	2456_8	1529_10	48_17_19	48_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	1240	2453_2_5	2453_2_5	3259_6	2452_8	1528_10	48_17_19	48_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	1175	2393_2_5	2393_2_5	3205_6	2392_8	1466_10	4664_17_19	4664_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	1169	2384_2_5	2384_2_5	3199_6	2383_8	1458_10	4688_17_19	4688_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	1174	2384_2_5	2384_2_5	3199_6	2383_8	1470_10	4696_17_19	4696_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	1185	2408_2_5	2408_2_5	3174_6	2407_8	1479_10	4664_17_19	4664_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	1259	2571_2_5	2571_2_5	3219_6	2570_8	1554_10	49_19_17	49_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	2070	485_2_5	485_2_5	3330_6	486_8	2371_10	109_17_19	109_17_19	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	"3914, 521"	3213_2_5	3213_2_5	3932_6	3214_8	2935_10	2812_19_17	2812_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	2820	882_2_5	882_2_5	73_6	883_8	3664_10	3217_19_17	3217_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	2222	916_2_5	916_2_5	3683_6	917_8	1925_10	529_19_17	529_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	1913	574_2_5	574_2_5	3381_6	575_8	1594_10	172_19_17	172_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	1918	577_2_5	577_2_5	3399_6	578_8	1600_10	172_19_17	172_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	3041	1509_2_5	1509_2_5	636_6	1508_8	542_10	4432_19_17	4432_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	2162	499_2_5	499_2_5	3183_6	500_8	1857_10	4615_19_17	4615_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	2535	2074_2_5	2074_2_5	531_6	2073_8	3872_10	1377_19_17	1377_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	1534	416_2_5	416_2_5	707_6	415_8	4193_10	4070_19_17	4070_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	4696	2911_2_5	2911_2_5	4030_6	2910_8	3158_10	845_19_17	845_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	2946	1419_2_5	1419_2_5	894_6	1420_8	1003_10	4568_19_17	4568_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	1349	456_2_5	456_2_5	3434_6	457_8	1706_10	54_19_17	54_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	1579	1471_2_5	1471_2_5	3330_6	1472_8	3501_10	2497_19_17	2497_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	1748	2632_2_5	2632_2_5	3342_6	2631_8	1403_10	56_19_17	56_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	3394	 	 	489_6	3614_8	118_10	2242_19_17	2242_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	1779	2667_2_5	2667_2_5	3389_6	2666_8	1422_10	54_19_17	54_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	1745	2617_2_5	2617_2_5	3330_6	2616_8	1396_10	55_19_17	55_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	1766	452_2_5	452_2_5	3434_6	453_8	1464_10	49_19_17	49_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	1791	490_2_5	490_2_5	3366_6	491_8	1497_10	47_19_17	47_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	1806	445_2_5	445_2_5	3389_6	446_8	1508_10	47_19_17	47_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	1953	576_2_5	576_2_5	3551_6	577_8	1654_10	182_19_17	182_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	1815	461_2_5	461_2_5	3539_6	462_8	1511_10	49_19_17	49_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	1561	238_2_5	238_2_5	3190_6	239_8	1255_10	4736_19_17	4736_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	1752	444_2_5	444_2_5	3256_6	445_8	1448_10	51_19_17	51_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	1700	395_2_5	395_2_5	3214_6	396_8	1385_10	4690_19_17	4690_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	1798	552_2_5	552_2_5	3357_6	553_8	1483_10	49_19_17	49_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	1751	452_2_5	452_2_5	3308_6	453_8	1406_10	51_19_17	51_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	1771	466_2_5	466_2_5	3291_6	467_8	1441_10	51_19_17	51_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	1653	436_2_5	436_2_5	3157_6	437_8	1346_10	4662_19_17	4662_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	1703	392_2_5	392_2_5	3232_6	393_8	1349_10	3379_19_17	3379_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	1774	468_2_5	468_2_5	3281_6	469_8	1469_10	51_19_17	51_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	1660	390_2_5	390_2_5	3155_6	391_8	1333_10	4556_19_17	4556_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	1792	496_2_5	496_2_5	3389_6	497_8	1493_10	48_19_17	48_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	1036	2586_2_5	2586_2_5	3422_6	2585_8	732_10	48_19_17	48_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	1754	446_2_5	446_2_5	3346_6	447_8	1451_10	48_19_17	48_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	3248	4621_2_5	4621_2_5	1732_6	4620_8	3547_10	237_19_17	237_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	1533	422_2_5	422_2_5	3404_6	423_8	1838_10	4863_17_19	4863_17_19	 	 	 	 	 	 	 	 
"Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)"	1684	410_2_5	410_2_5	3031_6	409_8	1292_10	79_19_17	79_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	1655	375_2_5	375_2_5	3185_6	376_8	1318_10	39_19_17	39_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	4501	1064_2_5	1064_2_5	2952_6	1063_8	4849_10	1448_19_17	1448_19_17	 	 	 	 	 	 	 	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	2062	1178_2_5	1178_2_5	3008_6	1177_8	2156_10	263_17_19	263_17_19	 	 	 	 	 	 	 	 
Shigella dysenteriae CDC 74-1112 (941429.3)	237	3757_2_5	3757_2_5	1348_6	3756_8	3318_10	4161_19_17	4161_19_17	 	 	 	 	 	 	 	 
Shigella dysenteriae 155-74 (766142.3)	542	4275_2_5	4275_2_5	3546_6	4274_8	1853_10	138_19_17	138_19_17	 	 	 	 	 	 	 	 
Shigella dysenteriae 1617 (754093.3)	6010	3768_2_5	3768_2_5	1957_6	3769_8	5258_10	4111_19_17	4111_19_17	 	 	 	 	 	 	 	 
Shigella dysenteriae 225-75 (766143.3)	1719	504_2_5	504_2_5	3696_6	503_8	2002_10	201_19_17	201_19_17	 	 	 	 	 	 	 	 
Shigella dysenteriae Sd197 (300267.13)	1603	369_2_5	369_2_5	3852_6	368_8	2271_10	51_19_17	51_19_17	 	 	 	 	 	 	 	 
Shigella flexneri CDC 796-83 (945360.3)	3973	1744_2_5	1744_2_5	3619_6	1745_8	4310_10	1668_17_19	1668_17_19	 	 	 	 	 	 	 	 
Shigella flexneri 1485-80 (766155.3)	1451	546_2_5	546_2_5	3633_6	547_8	2001_10	200_17_19	200_17_19	 	 	 	 	 	 	 	 
Shigella flexneri 2002017 (591020.3)	1554	413_2_5	413_2_5	3639_6	414_8	2042_10	25_19_17	25_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 2747-71 (766157.3)	1583	400_2_5	400_2_5	3566_6	401_8	2094_10	13_17_19	13_17_19	 	 	 	 	 	 	 	 
Shigella flexneri 2850-71 (766158.3)	"1482, 883"	440_2_5	440_2_5	3542_6	441_8	1830_10	93_19_17	93_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 2930-71 (766159.3)	1549	449_2_5	449_2_5	3561_6	450_8	1991_10	113_19_17	113_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 2a str. 2457T (198215.9)	2059	4600_2_5	4600_2_5	3624_6	4599_8	2534_10	4958_19_17	4958_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 2a str. 301 (198214.7)	1502	402_2_5	402_2_5	3657_6	403_8	1999_10	24_19_17	24_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 4343-70 (766160.3)	1595	538_2_5	538_2_5	3207_6	539_8	1913_10	182_19_17	182_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 5 str. 8401 (373384.11)	1478	428_2_5	428_2_5	3530_6	429_8	1946_10	24_19_17	24_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 5a str. M90T (1086030.3)	1412	405_2_5	405_2_5	3357_6	406_8	1842_10	20_19_17	20_19_17	 	 	 	 	 	 	 	 
Shigella flexneri 6603-63 (766161.3)	1564	438_2_5	438_2_5	3582_6	439_8	2084_10	5109_19_17	5109_19_17	 	 	 	 	 	 	 	 
Shigella flexneri CCH060 (754091.3)	"1467, 935"	446_2_5	446_2_5	3312_6	447_8	2022_10	110_17_19	110_17_19	 	 	 	 	 	 	 	 
Shigella flexneri J1713 (754092.3)	1409	379_2_5	379_2_5	3497_6	380_8	1881_10	70_19_17	70_19_17	 	 	 	 	 	 	 	 
Shigella flexneri K-218 (766146.3)	2054	725_2_5	725_2_5	4131_6	726_8	2653_10	366_19_17	366_19_17	 	 	 	 	 	 	 	 
Shigella flexneri K-227 (766147.3)	1440	321_2_5	321_2_5	3508_6	322_8	1897_10	15_17_19	15_17_19	 	 	 	 	 	 	 	 
Shigella flexneri K-272 (766148.3)	1889	675_2_5	675_2_5	3863_6	676_8	2372_10	375_17_19	375_17_19	 	 	 	 	 	 	 	 
Shigella flexneri K-304 (766149.3)	1714	484_2_5	484_2_5	3821_6	485_8	2284_10	129_19_17	129_19_17	 	 	 	 	 	 	 	 
Shigella flexneri K-315 (766150.3)	1351	319_2_5	319_2_5	3373_6	320_8	1905_10	18_17_19	18_17_19	 	 	 	 	 	 	 	 
Shigella flexneri VA-6 (766145.3)	2117	765_2_5	765_2_5	3972_6	766_9	2062_10	359_19_17	359_19_17	 	 	 	 	 	 	 	 
Shigella sonnei 3233-85 (766163.3)	2054	427_2_5	427_2_5	3566_6	428_8	1647_10	18_19_17	18_19_17	 	 	 	 	 	 	 	 
Shigella sonnei 4822-66 (766164.3)	1959	407_2_5	407_2_5	3283_6	408_8	1558_10	12_17_19	12_17_19	 	 	 	 	 	 	 	 
Shigella sonnei Ss046 (300269.12)	2250	447_2_5	447_2_5	3775_6	448_8	1785_10	37_19_17	37_19_17	 	 	 	 	 	 	 	 
Shigella sonnei str. Moseley (754077.4)	2420	585_2_5	585_2_5	3982_6	586_8	1955_10	179_19_17	179_19_17	 	 	 	 	 	 	 	 
Yersinia bercovieri ATCC 43970 (349968.5)	3662	1180_2_5	1180_2_5	352_6	1179_8	66_10	180_19_17	180_19_17	 	 	 	 	 	 	 	 
Yersinia enterocolitica IP 10393 (1243181.3)	1709	2844_2_5	2844_2_5	3225_6	2843_8	1925_10	3648_17_19	3648_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	2125	3362_2_5	3362_2_5	3906_6	3361_8	2327_10	709_19_17	709_19_17	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	1573	416_2_5	416_2_5	3021_6	417_8	1369_10	93_19_17	93_19_17	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	2418	1173_2_5	1173_2_5	3673_6	1174_8	2179_10	649_17_19	649_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	2327	3383_2_5	3383_2_5	569_6	3382_8	2103_10	1462_17_19	1462_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	3440	3368_2_5	3368_2_5	3842_6	3367_8	2386_10	1669_17_19	1669_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	3847	4127_2_5	4127_2_5	1788_6	4128_8	3751_10	332_17_19	332_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	1047	2066_2_5	2066_2_5	2477_6	2065_8	815_10	3827_17_19	3827_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	1074	2064_2_5	2064_2_5	2485_6	2063_8	838_10	3835_17_19	3835_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	1074	2068_2_5	2068_2_5	2489_6	2067_8	839_10	3841_17_19	3841_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	1069	2063_2_5	2063_2_5	2485_6	2062_8	835_10	3830_17_19	3830_17_19	 	 	 	 	 	 	 	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	1066	2047_2_5	2047_2_5	2469_6	2046_8	835_10	3818_17_19	3818_17_19	 	 	 	 	 	 	 	 
Yersinia frederiksenii ATCC 33641 (349966.5)	3941	1424_2_5	1424_2_5	2684_6	1425_8	539_10	49_17_19	49_17_19	 	 	 	 	 	 	 	 
Yersinia kristensenii ATCC 33638 (527012.3)	2162	4299_2_5	4299_2_5	1490_6	4300_8	1524_10	3735_17_19	3735_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	3760	92_2_5	92_2_5	2039_6	91_8	3365_10	327_17_19	327_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	341	2767_2_5	2767_2_5	3818_6	2768_8	4064_10	2520_17_19	2520_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	1948	220_2_5	220_2_5	4224_6	219_8	4364_10	3321_17_19	3321_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	"120, 2293"	3593_2_5	3593_2_5	817_6	3592_8	2116_10	3967_17_19	3967_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	2631	1207_2_5	1207_2_5	4096_6	1208_8	2818_10	828_17_19	828_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	2391	1058_2_5	1058_2_5	3846_6	1059_8	2575_10	678_17_19	678_17_19	 	 	 	 	 	 	 	 
Yersinia pseudotuberculosis YPIII (502800.6)	2191	3515_2_5	3515_2_5	693_6	3514_8	2005_10	3886_17_19	3886_17_19	 	 	 	 	 	 	 	 
Yersinia rohdei ATCC 43380 (527004.3)	2696	3567_2_5	3567_2_5	1676_6	3568_8	126_10	3056_17_19	3056_17_19	 	 	 	 	 	 	 	 
Yokenella regensburgei ATCC 43003 (1002368.3)	2974	"2097_2_5, 3854_2_5"	"2097_2_5, 3854_2_5"	1633_6	2098_8	3354_10	502_17_19	502_17_19	 	 	 	 	 	 	 	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	2495	1331_2_5	1331_2_5	3057_6	1330_8	2362_10	1729_17_19	1729_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	396_6	394_2_5	394_2_5	396_6	397_8	395_10	47_17_19	47_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	654_6	656_2_5	656_2_5	654_6	653_8	655_10	454_17_19	454_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	440_6	438_2_5	438_2_5	440_6	441_8	439_10	72_17_19	72_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	426_6	424_2_5	424_2_5	426_6	427_8	425_10	61_17_19	61_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	434_6	432_2_5	432_2_5	434_6	435_8	433_10	71_17_19	71_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	412_6	410_2_5	410_2_5	412_6	413_8	411_10	54_17_19	54_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	423_6	421_2_5	421_2_5	423_6	424_8	422_10	60_17_19	60_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	981_6	979_2_5	979_2_5	981_6	982_8	980_10	194_17_19	194_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	406_6	404_2_5	404_2_5	406_6	407_8	405_10	47_17_19	47_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	416_6	414_2_5	414_2_5	416_6	417_8	415_10	62_17_19	62_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	460_6	458_2_5	458_2_5	460_6	461_8	459_10	90_17_19	90_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	418_6	416_2_5	416_2_5	418_6	419_8	417_10	45_17_19	45_17_19	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	416_6	414_2_5	414_2_5	416_6	417_8	415_10	60_17_19	60_17_19	 	 	 	 	 	 	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	115	556_2_5	556_2_5	1514_6	167_8	378_10	1249_19_17	1249_19_17	 	 	 	 	 	 	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	582	1035_2_5	1035_2_5	1747_6	638_8	855_10	2194_19_17	2194_19_17	 	 	 	 	 	 	 	 
Haemophilus haemolyticus HK386 (1095742.3)	1502	1052_2_5	1052_2_5	318_6	461_8	612_10	1564_17_19	1564_17_19	 	 	 	 	 	 	 	 
Haemophilus haemolyticus M21621 (1028805.3)	1717	501_2_5	501_2_5	80_6	1017_8	566_10	1917_17_19	1917_17_19	 	 	 	 	 	 	 	 
Haemophilus haemolyticus M21639 (1028806.3)	65	324_2_5	324_2_5	857_6	1571_9	1680_11	1049_17_19	1049_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae 10810 (862964.3)	269	1126_2_5	1126_2_5	935_6	1516_8	1865_10	1146_17_19	1146_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae 6P18H1 (521004.3)	1388	145_2_5	145_2_5	798_6	1296_8	965_10	127_17_19	127_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae 7P49H1 (521005.3)	1633	242_2_5	242_2_5	46_6	1696_8	529_10	262_17_19	262_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae 86-028NP (281310.6)	281	1038_2_5	1038_2_5	858_6	1497_8	1320_10	1058_17_19	1058_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae F3031 (866630.3)	1992	1324_2_5	1324_2_5	1508_6	795_8	988_10	1263_17_19	1263_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae F3047 (935897.3)	1077	186_2_5	186_2_5	379_6	1453_8	1766_10	166_17_19	166_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae NT127 (656913.3)	880	215_2_5	215_2_5	13_6	932_8	630_10	398_17_19	398_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae PittAA (374928.4)	1600	99_2_5	99_2_5	797_6	883_8	1071_10	118_17_19	118_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae PittHH (374932.4)	1311	"1184_2_5, 1185_2_5"	"1184_2_5, 1185_2_5"	628_6	183_8	1422_10	1205_17_19	1205_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae PittII (374933.4)	1639	153_2_5	153_2_5	357_6	798_8	1829_10	133_17_19	133_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae R2846 (262727.7)	421	1393_2_5	1393_2_5	1595_6	979_8	1102_10	1372_17_19	1372_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae R2866 (262728.5)	1479	424_2_5	424_2_5	228_6	1005_8	734_10	444_17_19	444_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae Rd KW20 (71421.8)	216	985_2_5	985_2_5	803_6	1355_8	1686_10	1005_17_19	1005_17_19	 	 	 	 	 	 	 	 
Haemophilus influenzae RdAW (656912.3)	1121	225_2_5	225_2_5	46_6	1567_8	588_10	245_17_19	245_17_19	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	923	363_2_5	363_2_5	1553_6	629_8	471_10	1906_17_19	1906_17_19	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	1553	780_2_5	780_2_5	325_6	492_8	676_10	831_17_19	831_17_19	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	216	1080_2_5	1080_2_5	1983_6	1813_8	1582_10	905_17_19	905_17_19	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	1837	1943_2_5	1943_2_5	462_6	1550_8	1852_10	340_19_17	340_19_17	 	 	 	 	 	 	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	1054_7	1057_2_5	1057_2_5	1054_7	1053_8	1056_10	251_17_19	251_17_19	 	 	 	 	 	 	 	 
Haemophilus sputorum HK 2154 (1078483.3)	50_6	47_2_5	47_2_5	50_6	51_8	48_10	1818_17_19	1818_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB0057 (480119.5)	"3421, 3692_6"	310_2_5	310_2_5	"3692_6, 855_6"	3693_8	312_10	68_17_19	68_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	"387, 91_6"	3197_2_5	3197_2_5	"2695_6, 91_6"	90_8	3195_10	3371_17_19	3371_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	"2080_6, 2520"	1389_2_5	1389_2_5	"2080_6, 549_6"	2079_8	1387_10	2988_17_19	2988_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	"3335, 3608_6"	345_2_5	345_2_5	"3608_6, 878_6"	3609_8	347_10	143_17_19	143_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	"2539, 3350_6"	1967_2_5	1967_2_5	"1298_6, 3350_6"	3349_8	1965_10	3273_17_19	3273_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	"195_6, 462"	3402_2_5	3402_2_5	"195_6, 2878_6"	194_8	3400_10	3669_17_19	3669_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	"3364_6, 407"	3132_2_5	3132_2_5	"2501_6, 3364_6"	3363_8	3130_10	76_17_19	76_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii 1656-2 (696749.3)	"3392, 3682_6"	276_2_5	276_2_5	"3682_6, 822_6"	3683_8	278_10	55_17_19	55_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	"1773_6, 1878"	3006_2_5	3006_2_5	"1773_6, 2920_6"	1774_8	3004_10	955_17_19	955_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	"1149_6, 1433"	3032_2_5	3032_2_5	"1149_6, 2313_6"	1148_8	3034_10	1756_17_19	1756_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	"3233, 3518_6"	264_2_5	264_2_5	"3518_6, 806_6"	3519_8	266_10	55_17_19	55_17_19	 	 	 	 	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	"1537, 1815_6"	809_2_5	809_2_5	"1815_6, 732_6"	1816_8	811_10	2791_17_19	2791_17_19	 	 	 	 	 	 	 	 
