Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	866_1, 867_2	 	 	3857_8	1031, 1049, 1277, 2420, 3004, 3416, 635, 636, 649	1993	512_11	3544_15, 5064_16	2576	3673_18	3755	204	2010, 3646	376_25, 377_24
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	1223_1, 1224_2	 	 	3986_8	1004, 1556, 2822, 3286, 4498, 644, 645, 753, 771	2692	519_11	2351_15, 4981_16	3070	3706_18	3788	206	1327, 2675, 3606	382_25, 383_24
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	1551_2, 1552_1	 	 	3661_8	1949, 2252, 2330, 2496, 434, 5412, 5413, 802, 820	1477	1016_11	4886_16, 5186_15	2039	3295_18	3377	48	1460, 4367, 588	2901_25, 2902_24
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	3835_2, 958_1	 	 	2765_8	1119, 195, 2220, 3242, 3390, 4462, 5059, 5060	3087	1666_11	2018_15, 4758_16	652	3149_18	2414	17	2978, 3104	3523_24, 3524_25
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	2959_1, 2960_2	 	 	3316_8	1070, 1601, 2275, 2439, 417, 5292, 5293, 634, 652	3110	1476_11	2809_15, 4773_15	2209	3203_18	3122	47	3093, 4274	3879_24, 3880_25
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	233_1, 234_2	 	 	3295_8	15, 1927, 2376, 2687, 5320, 5321, 582, 895, 913	2997	4224_11	4806_16, 776_15	2017	3021_18	3103	500	2980, 4716	2495_24, 2496_25
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	573_1, 574_2	 	 	3739_8	1002, 1540, 213, 2663, 2910, 352, 5305, 5306, 984	2159	2031_11	18_15, 4941_16	2365	3623_18	3540	748	2176, 3326	3161_25, 3162_24
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	699_2, 700_1	 	 	3957_8	104, 122, 1284, 1285, 1632, 2949, 449, 5360, 5361, 918	3661	2324_11	3557_15, 5008_16	2815	3756_18	3673	979	3644, 4603	3284_24, 3285_25
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	922_1, 923_2	 	 	4145_8	1088, 1106, 1433, 2015, 3355, 4719, 635, 636, 701	2983	512_11	2474_15, 5068_16	3201	3960_18	4042	204	2966, 3932	376_25, 377_24
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	1577_2, 713_2, 714_1	 	 	 	1398, 3013, 3517, 3898, 3899, 4106, 4125	187	3774_11	3231_16, 3271_15	2783	163_18	79	1674	204, 3923, 4602	3638_25, 3639_24
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	3686_1, 3687_2	 	 	 	1393, 427, 445, 594, 983	4218	716_11	1195_15, 1234_16	1664	4244_18	4324	2725	4202	2128_26, 5208_26, 865_24, 866_25
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	1068_2, 1069_1, 3372_2	 	 	1766_8	1799, 1850, 2427, 2941, 3535, 5005, 5006, 835	1126	2802_11	4106_16, 671_15	3514	4207_18	2237	751	1143, 4791	3622_25, 3623_24
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	3010_1, 3011_2	 	561	561, 746_8	1072, 1175, 1246, 4416, 4831, 971, 972, 973	3263	868_11	52_15, 753_16	1535	4922_18	4997	266	3279	1371_24
Klebsiella sp. 1_1_55 (469608.3)	2887_1, 2888_2	 	1413	1413, 4592_8	1489, 2051, 238, 2472, 2489, 2633, 2634, 2770, 4573, 4650, 4701, 781	3467	1789_11	4599_16, 4673_15	1251	4935_18	4857	954	2610, 3483	1930_25
Morganella morganii SC01 (1239989.3)	2331_1, 2332_2, 3334_2	 	 	1476_8	1859, 2961, 3108, 3262, 3331, 3654, 650	1079	 	1181_15, 275_15	1053, 1833, 68	2775_18	1362	1847	1064	 
Morganella morganii subsp. morganii KT (1124991.3)	1397_2, 1398_1, 2614_2	 	 	3524_8	193, 2291, 2489, 2616, 2684, 448, 958	1759	 	1181_15, 685_15	1733, 2714, 421	1609_18	2884	436	1744	 
Plesiomonas shigelloides 302-73 (1315976.3)	2610_2, 2938_1, 2939_2	 	 	2041_8	154, 2314	1226	2520_11	2317_15, 2410_15	2831, 603	3217_18	3108	457	1342	 
Proteus mirabilis ATCC 29906 (525369.4)	2048_1, 2049_2	 	 	3184_8	152, 1566, 302	3145	 	1503_15, 371_16	1683	3300_18	2956	710	3130	 
Proteus mirabilis C05028 (1245027.3)	1365_2, 1366_1	 	 	2595_8	1943, 2938, 789, 944	3038	 	2006_15, 722_16	1705	2720_18	2832	428	3023	 
Proteus mirabilis HI4320 (529507.6)	3596_2, 3597_1	 	 	2940_8	1228, 1381, 745	2983	 	1448_16, 691_15	312	2813_18	3174	1733	2998	 
Proteus mirabilis PR03 (1279010.3)	466_2, 467_1	 	 	804_8	1401, 166, 26, 2689, 502	2560	 	3030_16, 381_15	2253	687_18	277	3454	2575	 
Proteus mirabilis WGLW4 (1125693.3)	3217_1, 3218_2	 	 	281_8	1155, 157, 1764, 1922, 2425	241	 	1693_16, 2480_15	2778	406_18	48	1360	226	 
Proteus mirabilis WGLW6 (1125694.3)	2450_2, 2451_1	 	 	3670_8	1217, 1376, 3578, 693	3709	 	1446_16, 630_15	257	2687_18	3474	1706	3724	 
Proteus penneri ATCC 35198 (471881.3)	2283_1, 2285_1, 2286_1, 2287_1, 2288_2	 	 	1402_8, 1403_8, 1404_8	1246, 3464, 3818, 3819, 4319, 4320	1344	 	3364_16, 4357_15, 4358_15	1818, 1819	1564_18, 1565_18	1096	361, 362, 363	1324, 1325	 
Providencia alcalifaciens DSM 30120 (520999.6)	1968_2	 	 	446_8	2655, 2671, 2686, 2823, 776	3437	 	1637_16, 739_15	367	2440_18	3270	3059	3422	 
Providencia alcalifaciens Dmel2 (1141661.3)	2875_2, 2876_2	 	 	3769_8	1086, 1103, 1119, 1296, 1687	3480	 	1733_15, 940_16	2456, 3720	3164_18	3305	533	3465	 
Providencia rettgeri DSM 1131 (521000.6)	3510_2	 	 	1452_8	2525, 2790, 949	1746	 	1876_16, 2757_15, 3804_15	3317	1307_18	1735	2346	1536	 
Providencia rettgeri Dmel1 (1141663.3)	1174_2	 	 	300_8	1691, 1930, 2101, 2285, 2333	353	 	1650_15, 1651_15, 2471_15	3606	119_18	558	2892	368	 
Providencia stuartii ATCC 25827 (471874.6)	3591_1, 3592_2	 	 	 	1734, 1781, 997	3107	 	1927_16, 963_15	2921	3004_18	3261	2274	3122	 
Providencia stuartii MRSN 2154 (1157951.4)	2850_2, 2851_1	 	 	 	3453	2064	 	144_16, 3340_15	1208	1822_18	2273	497	2079	 
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)	377_2, 4077_2, 4078_1	 	1083	1083, 1602_8	1309, 1341, 1886	3573	2179_11	1607_16, 3828_15, 4306_15	1387	3466_18	3349	512	2271, 2900, 3588	 
Salmonella enterica subsp. enterica serovar Agona  str. 01.O.05 (1265673.3)	1121_2, 926_1, 927_2	 	 	 	2617	3916	4587_11	2740_16, 316_15, 800_15	2455	3081_18	3216	1270	3934	3489_26, 3490_25, 3491_24
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)	2272_2, 80_1, 81_2	 	 	 	2344	4563	4853_11	208_15, 3775_15, 426_16	3511	1177_18	1312	2486	4581	3208_26, 3209_25, 3210_24
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)	1026_1, 1027_2, 2534_2	 	 	 	2607	4012	1624_11	2730_16, 318_15, 907_15	2177	3268_18	3403	3138	4030	3541_26, 3542_25, 3543_24
Salmonella enterica subsp. enterica serovar Agona str. 04.O.05 (1265657.3)	1193_1, 1194_2, 1570_2	 	 	 	2333	3764	1829_11	2455_16, 314_15, 979_15	2269	2919_18	3054	2830	3746	783_26, 784_25, 785_24
Salmonella enterica subsp. enterica serovar Agona str. 05.O.06 (1265678.3)	1021_1, 1022_2, 3955_2	 	 	 	1990	3407	1486_11	316_15, 3768_16, 930_15	1926	2393_18	2750	2326	3425	765_26, 766_25, 767_24
Salmonella enterica subsp. enterica serovar Agona str. 06.O.05 (1265642.3)	1025_1, 1026_2, 2434_2	 	 	 	3289	4078	1714_11	2513_16, 317_15, 803_15	2299	3119_18	3255	2928	4096	3551_26, 3552_25, 3553_24
Salmonella enterica subsp. enterica serovar Agona str. 07.O.05 (1265611.3)	1054_2, 1195_1, 1196_2	 	 	 	2733	4141	1983_11	2856_16, 316_15, 775_15	2625	3235_18	3309	1558	4159	3707_26, 3708_25, 3709_24
Salmonella enterica subsp. enterica serovar Agona str. 08.A.05 (1265637.3)	1974_1, 1975_2, 2059_2	 	 	 	2992	3994	225_11	1734_15, 3115_16, 965_15	2225	3648_18	3812	172	4012	1488_26, 1489_25, 1490_24
Salmonella enterica subsp. enterica serovar Agona str. 10.A.05 (1265679.3)	1907_1, 1908_2, 2706_2	 	 	 	2878	3919	2644_11	1668_15, 3000_16, 509_15	2036	3492_18	3691	142	3901	1425_26, 1426_25, 1427_24
Salmonella enterica subsp. enterica serovar Agona str. 11.A.05 (1265643.3)	1939_2, 2524_2, 2525_1	 	 	 	3406	4031	647_11	109_15, 1737_15, 2249_16	3188	3936_18	4111	567	4013	1492_26, 1493_25, 1494_24
Salmonella enterica subsp. enterica serovar Agona str. 12.A.06 (1265612.3)	1936_2, 2853_2, 2854_1	 	 	 	3237	4207	238_11	1771_15, 3359_16, 967_15	2106	3857_18	3958	143	4189	1528_26, 1529_25, 1530_24
Salmonella enterica subsp. enterica serovar Agona str. 13.E.05 (1265638.3)	1791_2, 1792_1, 1988_2	 	 	 	3331	4368	298_11	1043_15, 1668_15, 3454_16	3171	3986_18	4186	135	4386	196_24, 197_25, 198_26
Salmonella enterica subsp. enterica serovar Agona str. 14.E.05 (1265659.3)	1663_1, 1664_2, 2273_2	 	 	 	3304	2567	223_11	1420_15, 3428_16, 732_15	2907	3931_18	4076	143	2549	3260_26, 3261_25, 3262_24
Salmonella enterica subsp. enterica serovar Agona str. 15.H.03 (1265680.3)	1496_2, 1690_1, 1691_2	 	 	 	3325	3976	4674_11	1197_15, 213_15, 2602_16	4550	3166_18	3411	3099	3994	3626_26, 3627_25, 3628_24
Salmonella enterica subsp. enterica serovar Agona str. 17.H.06 (1265613.3)	1252_1, 1253_1, 1254_2, 1348_2	 	 	 	3149	4215	4699_11	1128_15, 2942_16, 315_15	2873	3520_18	3655	1578	4233	925_26, 926_25, 927_24
Salmonella enterica subsp. enterica serovar Agona str. 18.H.07 (1265644.3)	1422_1, 1423_2, 1582_2	 	 	 	3031	3998	2697_11	1108_15, 315_15, 3152_16	2146	3445_18	3581	3379	4016	910_26, 911_25, 912_24
Salmonella enterica subsp. enterica serovar Agona str. 19.F.03 (1265668.3)	2447_2, 765_1, 766_2	 	 	 	2521	3962	4557_11	2643_16, 605_15, 79_15	2134	1253_18	1388	3097	3944	1719_26, 1720_25, 1721_24
Salmonella enterica subsp. enterica serovar Agona str. 20.H.06 (1265614.3)	1727_2, 1728_1, 2718_2	 	 	 	3063	4130	2676_11	1112_16, 1603_15, 681_15	1961	3353_18	3529	313	4112	3822_26, 3823_25, 3824_24
Salmonella enterica subsp. enterica serovar Agona str. 21.H.10 (1265650.3)	1050_1, 1051_2, 2728_2	 	 	 	2802	3849	4774_11	2926_16, 314_15, 921_15	2475	1667_18	3594	3427	3867	2053_26, 2054_25, 2055_24
Salmonella enterica subsp. enterica serovar Agona str. 22.H.04 (1265618.3)	1648_1, 1649_2, 2865_2	 	 	 	2939	4244	1506_11	1198_15, 3061_16, 313_15	2730	3628_18	3764	3560	4262	3848_26, 3849_25, 3850_24
Salmonella enterica subsp. enterica serovar Agona str. 23.F.01 (1265639.3)	1039_1, 1040_2, 1127_2	 	 	 	2517	3766	4713_11	2640_16, 305_15, 913_15	3298	1240_18	1377	2882	3784	2050_26, 2051_25, 2052_24
Salmonella enterica subsp. enterica serovar Agona str. 24.H.04 (1265660.3)	1625_2, 1765_1, 1766_2	 	 	 	3819	3926	4680_11	1385_15, 3014_16, 317_15	2945	3647_18	3784	3551	3944	1183_26, 1184_25, 1185_24
Salmonella enterica subsp. enterica serovar Agona str. 26.F.98 (1265681.3)	100_2, 79_1, 80_2	 	 	 	2072	4148	4606_11	3805_15, 3935_15, 636_16	3146	950_18	936	3741	4165	3500_26, 3501_25, 3502_24
Salmonella enterica subsp. enterica serovar Agona str. 27.O.98 (1265645.3)	1009_1, 1010_2, 4031_2	 	 	 	1781	3625	1745_11	1889_16, 85_15, 881_15	2917	2684_18	2818	2241	3643	3209_26, 3210_25, 3211_24
Salmonella enterica subsp. enterica serovar Agona str. 28.O.08 (1265615.3)	3962_2, 806_1, 807_2	 	 	 	1872	3648	1457_11	1996_16, 656_15, 85_15	3048	2788_18	2923	2408	3666	3315_26, 3316_25, 3317_24
Salmonella enterica subsp. enterica serovar Agona str. 29.O.08 (1265640.3)	1732_2, 996_1, 997_2	 	 	 	1773	3179	3269_11	1901_15, 422_16, 826_15	3570	2412_18	1949	2709	3197	239_26, 240_25, 241_24
Salmonella enterica subsp. enterica serovar Agona str. 30.H.04 (1265661.3)	2137_1, 2138_2, 2255_2	 	 	 	3931	4209	940_11	108_15, 1897_15, 3540_16	3114	3822_18	4007	843	4191	1649_26, 1650_25, 1651_24
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09 (1265682.3)	1922_2, 4119_1, 4120_2	 	 	 	2842	3556	2807_11	1708_15, 2964_16, 570_15	2667	3461_18	3726	175	3538	1465_26, 1466_25, 1467_24
Salmonella enterica subsp. enterica serovar Agona str. 32.A.00 (1265646.3)	3591_2, 636_1, 637_2	 	 	 	1678	3341	4647_11	1775_16, 3870_15, 558_15	2698	2398_18	2696	2122	3323	1250_26, 1251_25, 1252_24
Salmonella enterica subsp. enterica serovar Agona str. 33.A.05 (1265616.3)	3114_2, 919_1, 920_2	 	 	 	2353	3795	4547_11	2476_16, 284_15, 780_15	1934	3039_18	3238	2973	3813	3609_26, 3610_25, 3611_24
Salmonella enterica subsp. enterica serovar Agona str. 34.H.09 (1265641.3)	1908_1, 1909_2, 1993_2	 	 	 	2787	3857	193_11	1724_15, 2909_16, 963_15	2716	3315_18	3511	141	3839	1483_26, 1484_25, 1485_24
Salmonella enterica subsp. enterica serovar Agona str. 35.H.08 (1265669.3)	1981_1, 1982_2, 3011_2	 	 	 	3085	4348	4713_11	1858_15, 439_15, 897_16	3643	3389_18	3569	3260	4366	1745_26, 1746_25, 1747_24
Salmonella enterica subsp. enterica serovar Agona str. 36.H.00 (1265617.3)	1860_2, 1861_1, 2990_2	 	 	 	3178	4253	221_11	1732_15, 3300_16, 607_15	2291	3798_18	4050	140	4235	1487_26, 1488_25, 1489_24
Salmonella enterica subsp. enterica serovar Agona str. 37.F.02 (1265651.3)	1052_1, 1053_2, 2011_2	 	 	 	2084	3869	4634_11	127_15, 2206_16, 781_15	3351	2978_18	3113	2659	3887	3517_26, 3518_25, 3519_24
Salmonella enterica subsp. enterica serovar Agona str. 38.O.03 (1265621.3)	1176_2, 1177_1, 3260_2	 	 	 	1641	4342	4436_11	1417_15, 4215_16, 646_15	1723	2232_18	3529	230	4324	2064_26, 2065_25, 2066_24
Salmonella enterica subsp. enterica serovar Agona str. 39.O.03 (1265647.3)	1777_2, 1778_1, 610_2	 	1159	1159	3237	4122	4500_11	1202_16, 1557_15, 4311_15	577	2467_18	2367	3554	4141	692_26, 693_25, 694_24
Salmonella enterica subsp. enterica serovar Agona str. 40.E.08 (1265622.3)	2704_2, 2705_1, 2900_2	 	 	 	3794	4274	648_11	107_15, 1387_16, 1978_15	2654	3948_18	4048	566	4256	1729_26, 1730_25, 1731_24
Salmonella enterica subsp. enterica serovar Agona str. 41.E.09 (1265652.3)	3438_2, 4587_1, 4588_2	 	 	 	2161, 293, 3281	2985	4327_11	1147_16, 3088_15, 458_15	2242	4509_18	2256	1403	3003	934_26, 935_25, 936_24
Salmonella enterica subsp. enterica serovar Agona str. 42.E.09 (1265648.3)	3219_2, 3782_2, 3783_1	 	 	 	1084, 2464	2828	4342_11	2591_16, 2995_15, 4028_15	1860	1436_18	1890	1223	2810	2300_26, 2301_25, 2302_24
Salmonella enterica subsp. enterica serovar Agona str. 43.E.09 (1265670.3)	1989_1, 1990_2, 2071_2	 	 	 	2735, 2881	3954	197_11	1769_15, 3087_16, 959_15	2816	3589_18	3772	143	3972	1522_26, 1523_25, 1524_24
Salmonella enterica subsp. enterica serovar Agona str. 45.E.09 (1265653.3)	3761_1, 3762_2, 3964_2	 	 	 	1430, 1713	3363	4398_11	1823_16, 315_15, 643_15	2562	2620_18	2407	2208	3381	2807_26, 2808_25, 2809_24
Salmonella enterica subsp. enterica serovar Agona str. 46.E.09 (1265623.3)	3958_2, 567_1, 568_2	 	 	 	1465, 1775	2943	3572_11	129_15, 1884_16, 493_15	1546	2439_18	2849	2233	2961	3168_26, 3169_25, 3170_24
Salmonella enterica subsp. enterica serovar Agona str. 48.E.08 (1265675.3)	2439_2, 2440_1, 2616_2	 	 	3169_8	2309, 3051	4107	225_11	1778_15, 3174_16, 975_15	2390	3674_18	3925	170	4125	1534_26, 1535_25, 1536_24
Salmonella enterica subsp. enterica serovar Agona str. 49.E.09 (1265625.3)	1922_2, 1923_1, 3105_2	 	 	 	2256, 3479	4452	2966_11	1035_15, 1334_15, 1727_16	2175	3639_18	3859	576	4434	2125_26, 2126_25, 2127_24
Salmonella enterica subsp. enterica serovar Agona str. 50.E.08 (1265662.3)	3267_2, 401_2, 402_1	 	 	 	3374, 656	4464	4482_11	121_15, 3920_15, 921_16	746	2865_18	2722	3526	4446	2264_26, 2265_25, 2266_24
Salmonella enterica subsp. enterica serovar Agona str. 51.E.09 (1265628.3)	3964_2, 516_1, 517_2	 	 	 	1635, 1842	2973	4598_11	129_15, 1952_16, 4358_15	1554	2486_18	2764	2210	2955	3042_26, 3043_25, 3044_24
Salmonella enterica subsp. enterica serovar Agona str. 52.F.08 (1265655.3)	1177_2, 2000_2, 2001_1	 	 	 	2766, 2911	3915	222_11	1876_15, 3034_16, 967_15	2847	3539_18	3732	141	3933	1631_26, 1632_25, 1633_24
Salmonella enterica subsp. enterica serovar Agona str. 53.F.08 (1265676.3)	1682_2, 3756_1, 3757_2	 	 	 	2449, 2729	3924	223_11	1517_15, 2852_16, 826_15	2530	3351_18	3540	169	3906	1277_26, 1278_25, 1279_24
Salmonella enterica subsp. enterica serovar Agona str. 54.O.08 (1265626.3)	1682_1, 1683_2, 1764_2	 	 	 	2687, 2924	3950	2300_11	110_15, 1441_15, 3047_16	2767	3546_18	3695	592	3968	2880_26, 2881_25, 2882_24
Salmonella enterica subsp. enterica serovar Agona str. 55.U.08 (1265663.3)	1866_2, 2773_2, 2774_1	 	 	 	2112, 3129	4128	225_11	1701_15, 3253_16, 970_15	2031	3755_18	3854	170	4110	1458_26, 1459_25, 1460_24
Salmonella enterica subsp. enterica serovar Agona str. 56.O.08 (1265629.3)	1510_2, 1511_1, 1707_2	 	 	 	2721, 2870	4167	223_11	1384_15, 2993_16, 962_15	2802	3492_18	3734	170	4149	2458_24, 2459_25, 2460_26
Salmonella enterica subsp. enterica serovar Agona str. 57.A.08 (1265656.3)	348_2, 630_1, 631_2	 	 	 	1349, 3269	67	4305_11	1154_15, 1904_16, 931_15	3188	2716_18	3448	465	85	2339_26, 2340_25, 2341_24
Salmonella enterica subsp. enterica serovar Agona str. 58.E.08 (1265677.3)	1993_1, 1994_2, 2078_2	 	 	 	2992, 3137	4331	643_11	108_15, 1751_15, 3259_16	3073	3755_18	3985	561	4313	1506_26, 1507_25, 1508_24
Salmonella enterica subsp. enterica serovar Agona str. 59.F.08 (1265631.3)	1179_2, 1914_1, 1915_2	 	 	 	2684, 2827	4000	225_11	1675_15, 2949_16, 966_15	2763	3450_18	3700	170	3982	2501_26, 2502_25, 2503_24
Salmonella enterica subsp. enterica serovar Agona str. 60.O.08 (1265664.3)	1614_2, 1696_1, 1697_2	 	 	 	1949, 2505	4054	4685_11	1368_15, 173_15, 554_16	2030	3398_18	3532	3166	4072	1048_26, 1049_25, 1050_24
Salmonella enterica subsp. enterica serovar Agona str. 61.O.08 (1265630.3)	1630_2, 1631_1, 443_2	 	 	 	2009, 2871	4037	2415_11	1826_15, 3061_16, 870_15	1928	3469_18	3854	558	4055	3630_24, 3631_25, 3632_26
Salmonella enterica subsp. enterica serovar Agona str. 62.H.72 (1265666.3)	1850_2, 884_2, 885_1	 	 	 	2511	3256	2044_11	1021_15, 2633_16, 560_15	4057	3282_18	1396	313	3238	4432_26, 4433_25, 4434_24
Salmonella enterica subsp. enterica serovar Agona str. 63.H.87 (1265619.3)	2532_2, 303_1, 304_2	 	 	 	2940	4266	1979_11	3062_16, 4336_15, 708_15	1588	2681_18	4099	418	4248	4234_26, 4235_25
Salmonella enterica subsp. enterica serovar Agona str. 64.H.00 (1265632.3)	1759_2, 1760_1, 4154_2	 	 	 	3394	4096	623_11	110_15, 1633_15, 2708_16	3716	3204_18	3522	542	4078	1457_26, 1458_25, 1459_24
Salmonella enterica subsp. enterica serovar Agona str. 65.H.72 (1265671.3)	2404_2, 958_2, 959_1	 	 	 	2154	3865	937_11	1556_15, 2843_16, 446_15	2090	3218_18	3678	2290	3847	3798_26, 3799_25, 3800_24
Salmonella enterica subsp. enterica serovar Agona str. 66.F.99 (1265634.3)	2562_2, 723_2, 724_1	 	 	 	2279	3589	4696_11	4141_16, 443_15, 868_15	3250	2793_18	2930	1385	3571	1501_24, 1502_25, 1503_26
Salmonella enterica subsp. enterica serovar Agona str. 67.H.09 (1265667.3)	1754_2, 1755_1, 1955_2	 	 	 	3182	4138	218_11	1629_15, 3305_16, 996_15	2394	3804_18	3931	165	4120	3136_26, 3137_25, 3138_24
Salmonella enterica subsp. enterica serovar Agona str. 68.U.05 (1265620.3)	1645_1, 1646_2, 1804_2	 	 	 	2864	4172	2457_11	1380_15, 2989_16, 314_15	2801	3486_18	3558	3365	4190	1179_26, 1180_25, 1181_24
Salmonella enterica subsp. enterica serovar Agona str. 69.H.06 (1265633.3)	1166_1, 1167_2, 2884_2	 	 	 	1224	4202	4667_11	2545_16, 80_15, 981_15	2664	3047_18	3311	2982	4220	2377_26, 2378_25, 2379_24
Salmonella enterica subsp. enterica serovar Agona str. 70.E.05 (1265672.3)	1654_2, 1655_1, 1849_2	 	 	 	2854	4042	258_11	1524_15, 2977_16, 893_15	2244	3591_18	3722	136	4024	3921_26, 3922_25, 3923_24
Salmonella enterica subsp. enterica serovar Agona str. 71.E.05 (1265635.3)	1817_2, 1818_1, 2909_2	 	 	 	3079	4071	631_11	107_15, 1692_15, 3202_16	2819	3699_18	3806	533	4053, 948	1447_26, 1448_25, 1449_24
Salmonella enterica subsp. enterica serovar Agona str. 72.A.52 (1265674.3)	1927_2, 925_1, 926_2	 	 	 	2316	1242	4325_11	3844_15, 428_15, 4484_16	1812	2996_18	3131	2444	1260, 4035	3586_26, 3587_25, 3588_24
Salmonella enterica subsp. enterica serovar Agona str. 73.H.09 (1265627.3)	1956_1, 1957_2, 2038_2	 	 	 	2686, 3233	4145	2752_11	1802_15, 3355_16, 544_15	2722	3857_18	3960	176	4163	1557_26, 1558_25, 1559_24
Salmonella enterica subsp. enterica serovar Agona str. SH08SF124 (1262652.4)	1052_2, 4804_1, 4805_2	 	 	 	3510	4908	1331_11	1715_16, 3760_15, 4181_15	1952	246_18	 	1165	4889	3647_26, 3648_25, 3649_24
Salmonella enterica subsp. enterica serovar Agona str. SH10GFN094 (1262654.4)	3095_2, 4520_2, 4521_1	 	 	 	125	4669	2789_11	2066_15, 3508_16, 4349_15	3744	811_18	2791	3209	4687	260_26, 261_25, 262_24
Salmonella enterica subsp. enterica serovar Agona str. SH11G1113 (1263410.4)	2408_2, 2409_1, 4742_2	 	 	 	3278	1357	7_11	2775_15, 3826_15, 4032_16	2590	2373_18	3005	270	1375	3139_24, 3140_25, 3141_26
Salmonella enterica subsp. enterica serovar Agona str. SL483 (454166.8)	2566_2, 3424_1, 3425_2	 	 	 	994	3992	725_11	1841_16, 3182_15, 3697_15	1605	4112_18	4241	2451	3976	859_24, 860_25, 861_26
Salmonella enterica subsp. enterica serovar Anatum str. 06-0532 (1328326.3)	1233_2, 1234_1, 3066_2	 	 	 	3489, 3534, 3634, 4066, 4137	794	1957_11	2332_15, 3897_16, 4459_15	3570	286_18	413	1367	2061, 776, 930	2882_24, 2883_25, 2884_26
Salmonella enterica subsp. enterica serovar Bareilly str. 06-0784 (1212554.4)	2770_2, 3246_2, 3247_1, 3690_2	 	2863	2863	3337, 664	4233	1768_11	1075_16, 1575_15, 3038_15, 4720_15	634	2379_18	2243	3757	121, 4253	3080_24, 3081_25, 3082_26
Salmonella enterica subsp. enterica serovar Bareilly str. 07-0873 (1328327.3)	3406_2, 4422_2, 4423_1, 673_2	 	 	 	4136, 4179, 912	1725	2948_11	2117_15, 3052_15, 4668_15, 886_16	4104	3752_18	3618	2826	1743, 77	1291_25, 1292_26
Salmonella enterica subsp. enterica serovar Choleraesuis str. (321314.9)	2953_2, 3814_1, 3815_2	 	2206	1691_8, 2206	1297	4382	1015_11	1686_16, 3580_15, 4092_15	1926	4499_18	4635	2833	4363, 5038	1153_24
Salmonella enterica subsp. enterica serovar Choleraesuis str. A50 (904139.4)	1207_2, 2067_1, 2068_2	 	4345	4345	3023	2639	787_11	1828_15, 2348_15, 3822_16	4064	2748_18	2886	1086	2620, 3401	927_24
Salmonella enterica subsp. enterica serovar Dublin str. 3246 (909945.3)	2787_2, 3601_1, 3602_2	 	 	 	1040, 1749, 3039, 4393	4173	762_11	2016_16, 3369_15, 3878_15	1773	4280_18	4419	2662	4154, 4821	899_24, 900_25
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853 (439851.8)	2834_2, 3639_1, 3640_2	 	 	 	1116, 1814, 3086, 4421	4203	844_11	2077_16, 3408_15, 3910_15	1838	4315_18	4447	2710	4186, 4842	980_24, 981_25
Salmonella enterica subsp. enterica serovar Dublin str. HWS51 (687860.3)	3793_2, 539_2, 540_1	 	 	 	2228, 2864, 4114, 4319, 4976	4160	398_11	1508_15, 163_15, 4746_16, 4748_16	4175	4433_18	4293	4642	2736, 2801	2374_24, 2375_25
Salmonella enterica subsp. enterica serovar Dublin str. SL1438 (687915.3)	1297_2, 1298_1, 985_2	 	 	 	1012, 1160, 1636, 1672, 1864	2319	732_11	2123_16, 3451_15, 4400_15	1883	1126_18	986	4230	117, 2338	604_25, 605_24
Salmonella enterica subsp. enterica serovar Dublin str. UC16 (1192688.3)	2451_2, 2452_1, 705_2	 	 	 	264, 2657, 3008, 3214, 524	2720	2230_11	1682_15, 1866_15, 4349_16	3239	1588_18	2683	4913	2700, 3987	2555_24, 2556_25
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 (550537.3)	2611_2, 3368_1, 3369_2	 	 	 	1587, 2818, 4154, 956	3930	676_11	1853_16, 3141_15, 3639_15	1616	4046_18	4180	2493	3912, 4580	816_24, 817_25, 818_26
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0128 (1182760.3)	3481_2, 4172_2, 4173_1	 	 	 	2362, 3561, 3877, 456, 499	4415	1765_11	1190_15, 1602_15, 771_16	529	3990_18	3851	3056	3787, 4397	4068_24, 4069_25, 4070_26
