Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	 	4132	 	4130_11, 4131_4	4129_5	4133	1756_21	4128_16	3102_18	 	 	 	 	 	 	 	2515_40, 2516_39, 2517_38	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	 	3108	 	3109_4, 3110_11	3111_5	3107	2083_21	3112_16	4508_18	 	 	 	 	 	 	 	570_40, 571_39, 572_38	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	 	4246	 	4247_4, 4248_11	4249_5	4245	1085_21	4250_16	3106_18	 	 	 	 	 	 	 	838_40, 839_39, 840_38	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	 	4217	 	4215_11, 4216_4	4214_5	4218	2474_21	4213_16	4318_18	 	 	 	 	 	 	 	430_38, 431_39, 432_40	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	 	4560	 	4558_11, 4559_4	4557_5	4561	4346_21	4556_16	3074_18	 	 	 	 	 	 	 	3412_40, 3413_39, 3414_38	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	 	457	 	458_4, 459_11	460_5	456	1519_21	461_16	4511_18	 	 	 	 	 	 	 	4772_38, 4773_39, 4774_40	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	 	1672	 	1673_4, 1674_11	1675_5	1671	1949_21	1676_16	4250_18	 	 	 	 	 	 	 	3488_40, 3489_39, 3490_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	 	4751	 	4752_4, 4753_11	4754_5	4750	1463_21	4755_16	1822_18	 	 	 	 	 	 	 	666_38, 667_39, 668_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	 	3047	 	3048_4, 3049_11	3050_5	3046	4465_21	3051_16	2342_18	 	 	 	 	 	 	 	588_40, 589_39, 590_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	 	1125	 	1123_11, 1124_4	1122_5	1126	2442_21	1121_16	2706_18	 	 	 	 	 	 	 	1266_40, 1267_39, 1268_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	 	155	 	153_11, 154_4	152_5	156	4152_21	151_16	1185_18	 	 	 	 	 	 	 	490_40, 491_39, 492_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	 	3615	 	3613_11, 3614_4	3612_5	3616	3028_21	3611_16	858_18	 	 	 	 	 	 	 	683_40, 684_39, 685_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	 	4531	 	4529_11, 4530_4	4528_5	4532	3758_21	4527_16	775_18	 	 	 	 	 	 	 	577_40, 578_39, 579_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	 	2149	 	2150_4, 2151_11	2152_5	2148	1066_21	2153_16	3595_18	 	 	 	 	 	 	 	3041_38, 3042_39, 3043_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	 	4215	 	4216_4, 4217_11	4218_5	4214	1136_21	4219_16	770_18	 	 	 	 	 	 	 	2124_38, 2125_39, 2126_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	 	485	 	483_11, 484_4	482_5	486	3166_21	481_16	3409_18	 	 	 	 	 	 	 	1646_38, 1647_39, 1648_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	 	2209	 	2210_4, 2211_11	2212_5	2208	2433_21	2213_16	4642_18	 	 	 	 	 	 	 	584_40, 585_39, 586_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	 	456	 	454_11, 455_4	453_5	457	184_21	452_16	2462_18	 	 	 	 	 	 	 	4389_40, 4390_39, 4391_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	 	3899	 	3897_11, 3898_4	3896_5	3900	2261_21	3895_16	1264_18	 	 	 	 	 	 	 	4340_38, 4341_39, 4342_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	 	4865	 	4863_11, 4864_4	4862_5	4866	2253_21	4861_16	3871_18	 	 	 	 	 	 	 	1764_40, 1765_39, 1766_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	 	1799	 	1800_4, 1801_11	1802_5	1798	2436_21	1803_16	4231_18	 	 	 	 	 	 	 	385_40, 386_39, 387_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	 	176	 	174_11, 175_4	173_5	177	1506_21	172_16	2087_18	 	 	 	 	 	 	 	4489_38, 4490_39, 4491_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	 	120	 	121_4, 122_11	123_5	119	3554_21	124_16	778_18	 	 	 	 	 	 	 	2875_40, 2876_39, 2877_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	 	4463	 	4461_11, 4462_4	4460_5	4464	3344_21	4459_16	3587_18	 	 	 	 	 	 	 	1381_40, 1382_39, 1383_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	 	103	 	104_4, 105_11	106_5	102	2565_21	107_16	817_18	 	 	 	 	 	 	 	4330_40, 4331_39, 4332_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	 	1824	 	1822_11, 1823_4	1821_5	1825	4463_21	1820_16	3041_18	 	 	 	 	 	 	 	546_38, 547_39, 548_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	 	1996	 	1994_11, 1995_4	1993_5	1997	1317_21	1992_16	3300_18	 	 	 	 	 	 	 	1728_38, 1729_39, 1730_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	 	4917	 	4918_4, 4919_11	4920_5	4916	447_21	4921_16	2598_18	 	 	 	 	 	 	 	4164_38, 4165_39, 4166_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	 	1630	 	1631_4, 1632_11	1633_5	1629	2002_21	1634_16	2678_18	 	 	 	 	 	 	 	1804_38, 1805_39, 1806_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	 	219	 	217_11, 218_4	216_5	220	2805_21	215_16	1016_18	 	 	 	 	 	 	 	1627_38, 1628_39, 1629_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	 	4693	 	4694_4, 4695_11	4696_5	4692	3822_21	4697_16	4337_18	 	 	 	 	 	 	 	1983_40, 1984_39, 1985_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	 	4973	 	4974_4, 4975_11	4976_5	4972	3295_21	4977_16	3948_18	 	 	 	 	 	 	 	2904_40, 2905_39, 2906_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	 	3574	 	3572_11, 3573_4	3571_5	3575	2695_21	3570_16	3457_18	 	 	 	 	 	 	 	2390_40, 2391_39, 2392_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	 	4677	 	4675_11, 4676_4	4674_5	4678	3087_21	4673_16	1301_18	 	 	 	 	 	 	 	596_38, 597_39, 598_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	 	4798	 	4799_4, 4800_11	4801_5	4797	2535_21	4802_16	4219_18	 	 	 	 	 	 	 	3810_40, 3811_39, 3812_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	 	4473	 	4474_4, 4475_11	4476_5	4472	608_21	4477_16	2419_18	 	 	 	 	 	 	 	270_40, 271_39, 272_38	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	 	4713	 	4711_11, 4712_4	4710_5	4714	2661_21	4709_16	3228_18	 	 	 	 	 	 	 	1640_38, 1641_39, 1642_40	 	 
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	 	4681	 	4682_4, 4683_11	4684_5	4680	3470_21	4685_16	4256_18	 	 	 	 	 	 	 	3696_40, 3697_39, 3698_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	 	4206	 	4207_4, 4208_11	4209_5	4205	2417_21	4210_16	733_18	 	 	 	 	 	 	 	114_40, 115_39, 116_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	 	4244	 	4245_4, 4246_11	4247_5	4243	2448_21	4248_16	748_18	 	 	 	 	 	 	 	116_40, 117_39, 118_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	 	4239	 	4240_4, 4241_11	4242_5	4238	2444_21	4243_16	747_18	 	 	 	 	 	 	 	116_40, 117_39, 118_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	 	4178	 	4179_4, 4180_11	4181_5	4177	2384_21	4182_16	685_18	 	 	 	 	 	 	 	54_40, 55_39, 56_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	 	4209	 	4210_4, 4211_11	4212_5	4208	2375_21	4213_16	679_18	 	 	 	 	 	 	 	55_40, 56_39, 57_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	 	4214	 	4215_4, 4216_11	4217_5	4213	2375_21	4218_16	682_18	 	 	 	 	 	 	 	54_40, 55_39, 56_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	 	4181	 	4182_4, 4183_11	4184_5	4180	2399_21	4185_16	692_18	 	 	 	 	 	 	 	55_40, 56_39, 57_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	 	4164	 	4165_4, 4166_11	4167_5	4163	2562_21	4168_16	731_18	 	 	 	 	 	 	 	108_40, 109_39, 110_38	 	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	 	4053	 	4054_4, 4055_11	4056_5	4052	494_21	4057_16	1610_18	 	 	 	 	 	 	 	172_40, 173_39, 174_38	 	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	 	4075	 	4073_11, 4074_4	4072_5	4076	3222_21	4071_16	2301_18	 	 	 	 	 	 	 	2878_40, 2879_39, 2880_38	 	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	 	1605	 	1603_11, 1604_4	1602_5	1606	891_21	1601_16	1094_18	 	 	 	 	 	 	 	4358_38, 4359_39, 4360_40	 	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	 	12	 	13_4, 14_11	15_5	11	925_21	16_16	2683_18	 	 	 	 	 	 	 	591_40, 592_39, 593_38	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	 	4312	 	4313_4, 4314_11	4315_5	4311	583_21	4316_16	2430_18	 	 	 	 	 	 	 	235_40, 236_39, 237_38	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	 	4332	 	4333_4, 4334_11	4335_5	4331	586_21	4336_16	2440_18	 	 	 	 	 	 	 	236_40, 237_39, 238_38	 	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	 	4952	 	4953_4, 4954_11	4955_5	4951	1500_21	4956_16	4109_18	 	 	 	 	 	 	 	2200_38, 2201_39, 2202_40	 	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	 	269	 	270_4, 271_11	272_5	268	508_21	273_16	1660_18	 	 	 	 	 	 	 	4724_40, 4725_39, 4726_38	 	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	 	4461	 	4462_4, 4463_11	4464_5	4460	2065_21	4465_16	3247_18	 	 	 	 	 	 	 	1764_40, 1765_39, 1766_38	 	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	 	4356	 	4354_11, 4355_4	4353_5	4357	407_21	4352_16	4380_18	 	 	 	 	 	 	 	1694_40, 1695_39, 1696_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	 	3671	 	3669_11, 3670_4	3668_5	3672	2902_21	3667_16	2468_18	 	 	 	 	 	 	 	1172_38, 1173_39, 1174_40	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	 	2845	 	2846_4, 2847_11	2848_5	2844	1428_21	2849_16	3741_18	 	 	 	 	 	 	 	1307_40, 1308_39, 1309_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	 	3797	 	3795_11, 3796_4	3794_5	3798	465_21	3793_16	2398_18	 	 	 	 	 	 	 	123_40, 124_39, 125_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	 	3078	 	3079_11	3080_5	3077	1480_21	3081_16	742_18	 	 	 	 	 	 	 	2578_38, 2579_39, 2580_39, 2581_40	 	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	 	3700	 	3698_11, 3699_4	3697_5	3701	2623_21	3696_16	769_18	 	 	 	 	 	 	 	124_40, 125_39, 126_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	 	2694	 	2692_11, 2693_4	2691_5	2695	3606_21	2690_16	85_18	 	 	 	 	 	 	 	729_40, 730_39, 731_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	 	3753	 	3751_11, 3752_4	3750_5	3754	2658_21	3749_16	770_18	 	 	 	 	 	 	 	121_40, 122_39, 123_38	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	 	3691	 	3689_11, 3690_4	3688_5	3692	2608_21	3687_16	765_18	 	 	 	 	 	 	 	122_40, 123_39, 124_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	 	4416	 	4417_4, 4418_11	4419_5	4415	461_21	4420_16	2286_18	 	 	 	 	 	 	 	113_40, 114_39, 115_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	 	4390	 	4391_4, 4392_11	4393_5	4389	499_21	4394_16	2299_18	 	 	 	 	 	 	 	110_40, 111_39, 112_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	 	4374	 	4375_4, 4376_11	4377_5	4373	454_21	4378_16	2271_18	 	 	 	 	 	 	 	109_40, 110_39, 111_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	 	4530	 	4531_4, 4532_11	4533_5	4529	585_21	4534_16	2475_18	 	 	 	 	 	 	 	245_40, 246_39, 247_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	 	4562	 	4563_4, 4564_11	4565_5	4561	470_21	4566_16	2358_18	 	 	 	 	 	 	 	114_40, 115_39, 116_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	 	4249	 	4250_4, 4251_11	4252_5	4248	247_21	4253_16	2061_18	 	 	 	 	 	 	 	4800_40, 4801_39, 4802_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	 	4225	 	4226_4, 4227_11	4228_5	4224	453_21	4229_16	2266_18	 	 	 	 	 	 	 	113_40, 114_39, 115_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	 	4173	 	4174_4, 4175_11	4176_5	4172	404_21	4177_16	2219_18	 	 	 	 	 	 	 	52_40, 53_39, 54_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	 	4255	 	4256_4, 4257_11	4258_5	4254	561_21	4259_16	2315_18	 	 	 	 	 	 	 	213_40, 214_39, 215_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	 	4288	 	4289_4, 4290_11	4291_5	4287	461_21	4292_16	2269_18	 	 	 	 	 	 	 	113_40, 114_39, 115_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	 	4274	 	4275_4, 4276_11	4277_5	4273	475_21	4278_16	2293_18	 	 	 	 	 	 	 	125_40, 126_39, 127_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	 	4145	 	4146_4, 4147_11	4148_5	4144	445_21	4149_16	2167_18	 	 	 	 	 	 	 	54_40, 55_39, 56_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	 	4207	 	4208_4, 4209_11	4210_5	4206	401_21	4211_16	2214_18	 	 	 	 	 	 	 	53_40, 54_39, 55_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	 	4274	 	4275_4, 4276_11	4277_5	4273	477_21	4278_16	2296_18	 	 	 	 	 	 	 	124_40, 125_39, 126_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	 	4035	 	4036_4, 4037_11	4038_5	4034	399_21	4039_16	2169_18	 	 	 	 	 	 	 	52_40, 53_39, 54_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	 	4462	 	4463_4, 4464_11	4465_5	4461	505_21	4466_16	2243_18	 	 	 	 	 	 	 	111_40, 112_39, 113_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	 	4413	 	4414_4, 4415_11	4416_5	4412	2577_21	4417_16	1497_18	 	 	 	 	 	 	 	112_40, 113_39, 114_38	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	 	4325	 	4326_4, 4327_11	4328_5	4324	455_20	4329_16	2275_18	 	 	 	 	 	 	 	110_40, 111_39, 112_38	 	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	 	754	 	752_11, 753_4	751_5	755	4612_21	750_16	2785_18	 	 	 	 	 	 	 	173_38, 174_39, 175_40	 	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	 	4354	 	4355_4, 4356_11	4357_5	4353	431_21	4358_16	2330_18	 	 	 	 	 	 	 	56_40, 57_39, 58_39, 59_38	 	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	 	3917	 	3918_4, 3919_11	3920_5	3916	401_21	3921_16	2088_18	 	 	 	 	 	 	 	129_40, 130_39, 131_38	 	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	 	4105	 	4106_4, 4107_11	4108_5	4104	384_21	4109_16	2187_18	 	 	 	 	 	 	 	91_40, 92_39, 93_38	 	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	 	2017	 	2015_11, 2016_4	2014_5	2018	1055_21	2013_16	3989_18	 	 	 	 	 	 	 	1394_38, 1395_39, 1396_40	 	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	 	3971	 	3972_4, 3973_11	3974_5	3970	1169_21	3975_16	1723_18	 	 	 	 	 	 	 	196_40, 197_39, 198_38	 	 
Shigella dysenteriae CDC 74-1112 (941429.3)	 	4766, 4767	 	4763_11, 4764_13, 4765_4	4762_5	4768	3748_21	4761_16	4463_18	 	 	 	 	 	 	 	4709_38, 4710_39, 4711_40	 	 
Shigella dysenteriae 155-74 (766142.3)	 	4407	 	4405_11, 4406_4	4404_5	4408	4265_21	4403_16	2374_18	 	 	 	 	 	 	 	182_40, 183_39, 184_38	 	 
Shigella dysenteriae 1617 (754093.3)	 	430	 	431_4, 432_11	433_5	429	3785_15	434_16	4822_18	 	 	 	 	 	 	 	4048_38, 4049_39, 4050_40	 	 
Shigella dysenteriae 225-75 (766143.3)	 	4306	 	4303_11, 4304_13, 4305_4	4302_5	4307, 4308	495_21	4301_16	2583_18	 	 	 	 	 	 	 	235_40, 236_39, 237_38	 	 
Shigella dysenteriae Sd197 (300267.13)	 	4428	 	4426_11, 4427_4	4425_5	4429	352_15	4424_16	2750_18	 	 	 	 	 	 	 	109_40, 110_39, 111_38	 	 
Shigella flexneri CDC 796-83 (945360.3)	 	1843	 	1840_11, 1841_11, 1842_4	1839_5	1844	1753_21	1838_16	349_18	 	 	 	 	 	 	 	4873_38, 4874_39, 4875_40	 	 
Shigella flexneri 1485-80 (766155.3)	 	4062	 	4059_11, 4060_11, 4061_4	4058_5	4063	556_21	4057_16	2468_18	 	 	 	 	 	 	 	230_40, 231_39, 232_38	 	 
Shigella flexneri 2002017 (591020.3)	 	4748	 	4749_4, 4750_11	4751_5	4747	423_15	4752_16	2590_18	 	 	 	 	 	 	 	71_40, 72_39, 73_38	 	 
Shigella flexneri 2747-71 (766157.3)	 	5113	 	5114_4, 5115_11	5116_5	5112	409_15	5117_16	2514_18	 	 	 	 	 	 	 	55_40, 56_39, 57_38	 	 
Shigella flexneri 2850-71 (766158.3)	 	4012	 	4010_11, 4011_4	4009_5	4013	449_15	4008_16	2491_18	 	 	 	 	 	 	 	137_40, 138_39, 139_38	 	 
Shigella flexneri 2930-71 (766159.3)	 	4982	 	4983_4, 4984_11	4985_5	4981	458_15	4986_16	2561_18	 	 	 	 	 	 	 	155_40, 156_39, 157_38	 	 
Shigella flexneri 2a str. 2457T (198215.9)	 	2696	 	2697_4, 2698_11	2699_5	2695	4591_15	2700_16	1563_18	 	 	 	 	 	 	 	4913_38, 4914_39, 4915_40	 	 
Shigella flexneri 2a str. 301 (198214.7)	 	4786	 	4787_4, 4788_11	4789_5	4785	412_21, 413_20	4790_16	2582_18	 	 	 	 	 	 	 	72_40, 73_39, 74_38	 	 
Shigella flexneri 4343-70 (766160.3)	 	3729	 	3727_11, 3728_4	3726_5	3730	547_15	3725_16	 	 	 	 	 	 	 	 	223_40, 224_39, 225_38	 	 
Shigella flexneri 5 str. 8401 (373384.11)	 	4610	 	4611_4, 4612_11	4613_5	4609	438_15	4614_16	2494_18	 	 	 	 	 	 	 	70_40, 71_39, 72_38	 	 
Shigella flexneri 5a str. M90T (1086030.3)	 	4385	 	4386_4, 4387_11	4388_5	4384	414_15	4389_16	2353_18	 	 	 	 	 	 	 	61_40, 62_39, 63_38	 	 
Shigella flexneri 6603-63 (766161.3)	 	20	 	18_11, 19_4	17_5	21	448_15	16_16	2571_18	 	 	 	 	 	 	 	5152_40, 5153_39, 5154_38	 	 
Shigella flexneri CCH060 (754091.3)	 	4098	 	4095_11, 4096_11, 4097_4	4094_5	4099	456_21	4093_16	2455_18	 	 	 	 	 	 	 	140_40, 141_39, 142_38	 	 
Shigella flexneri J1713 (754092.3)	 	3757	 	3755_11, 3756_4	3754_5	3758	388_20	3753_16	2430_18	 	 	 	 	 	 	 	112_40, 113_39, 114_38	 	 
Shigella flexneri K-218 (766146.3)	 	4533	 	4531_13, 4532_4	4530_5	4534	734_15	4529_16	3119_18	 	 	 	 	 	 	 	408_40, 409_39, 410_38	 	 
Shigella flexneri K-227 (766147.3)	 	4021	 	4019_11, 4020_4	4018_5	4022	330_20	4017_16	2604_18	 	 	 	 	 	 	 	59_40, 60_40, 61_39, 63_38	 	 
Shigella flexneri K-272 (766148.3)	 	4199	 	4197_11, 4198_4	4196_5	4200	684_15	4195_16	2811_18	 	 	 	 	 	 	 	418_40, 419_39, 420_38	 	 
Shigella flexneri K-304 (766149.3)	 	4112	 	4110_11, 4111_4	4109_5	4113	493_15	4108_16	2741_18	 	 	 	 	 	 	 	172_40, 173_39, 174_38	 	 
Shigella flexneri K-315 (766150.3)	 	3882	 	3878_11, 3879_13, 3880_13, 3881_4	3877_5	3883	328_21	3876_16	1195_18	 	 	 	 	 	 	 	56_40, 57_39, 58_38	 	 
Shigella flexneri VA-6 (766145.3)	 	32	 	33_4, 34_11	35_5	31	774_20	36_16	2861_18	 	 	 	 	 	 	 	400_40, 401_39, 402_38	 	 
Shigella sonnei 3233-85 (766163.3)	 	4603	 	4604_4, 4605_11	4606_5	4602	436_21	4607_16	2412_18	 	 	 	 	 	 	 	61_40, 62_39, 63_38	 	 
Shigella sonnei 4822-66 (766164.3)	 	4326	 	4327_4, 4328_11	4329_5	4325	416_21	4330_16	2126_18	 	 	 	 	 	 	 	58_40, 59_39, 60_38	 	 
Shigella sonnei Ss046 (300269.12)	 	4928	 	4929_4, 4930_11	4931_5	4927	457_21	4932_16	2587_18	 	 	 	 	 	 	 	87_40, 88_39, 89_38	 	 
Shigella sonnei str. Moseley (754077.4)	 	5130	 	5131_4, 5132_11	5133_5	5129	595_21	5134_16	2759_18	 	 	 	 	 	 	 	224_40, 225_39, 226_38	 	 
Yersinia bercovieri ATCC 43970 (349968.5)	 	3153	 	3154_4, 3155_11	3156_5	3152	1171_15	3157_16	2916_18	 	 	 	 	 	 	 	154_38, 155_39, 156_40	 	 
Yersinia enterocolitica IP 10393 (1243181.3)	 	1446	 	1447_4, 1448_11	1449_5	1445	2835_15	1450_16	228_18	 	 	 	 	 	 	 	3675_40, 3676_39, 3677_38	 	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	 	382	 	383_4, 384_11	385_5	381	3354_15	386_16	1186_18	 	 	 	 	 	 	 	732_40, 733_39, 734_38	 	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	 	3897	 	3895_11, 3896_4	3894_5	3898	425_21	3893_16	2461_18	 	 	 	 	 	 	 	116_40, 117_39, 118_38	 	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	 	308	 	309_4, 310_11	311_5	307	1182_15	312_16	3276_18	 	 	 	 	 	 	 	673_40, 674_39, 675_38	 	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	 	265	 	266_4, 267_11	268_5	264	3375_15	269_16	4108_18	 	 	 	 	 	 	 	1487_40, 1488_39, 1489_38	 	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	 	4168	 	4166_11, 4167_4	4165_5	4169	3360_15	4164_16	1136_18	 	 	 	 	 	 	 	1695_40, 1696_39, 1697_38	 	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	 	3962	 	3960_11, 3961_4	3959_5	3963	2735_15	3958_16	2253_18	 	 	 	 	 	 	 	304_38, 305_39, 306_40	 	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	 	3481	 	3482_4, 3483_11	3484_5	3480	2057_20	3485_16	4291_18	 	 	 	 	 	 	 	3852_40, 3853_39, 3854_38	 	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	 	3478	 	3479_4, 3480_11	3481_5	3477	2054_15	3482_16	4309_18	 	 	 	 	 	 	 	3860_40, 3861_39, 3862_38	 	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	 	3486	 	3487_4, 3488_11	3489_5	3485	2058_15	3490_16	4319_18	 	 	 	 	 	 	 	3868_40, 3869_39, 3870_38	 	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	 	3474	 	3475_4, 3476_11	3477_5	3473	2052_15	3478_16	4303_18	 	 	 	 	 	 	 	3856_40, 3857_39, 3858_38	 	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	 	3463	 	3464_4, 3465_11	3466_5	3462	2037_15	3467_16	4298_18	 	 	 	 	 	 	 	3845_40, 3846_39, 3847_38	 	 
