Organism	Tor	Dms	Ynf
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	3910_11, 3911_7, 3912_2	2582_19, 2584_14, 3219_19, 3220_17, 3221_13, 3222_20, 3374_13, 3375_17, 3376_18, 3377_20, 415_18, 416_17, 417_14	1782_30, 1783_29, 1784_28, 1785_26, 1786_25, 2583_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	1199_11, 1200_7, 1201_2	167_14, 168_17, 169_19, 170_20, 2292_17, 2293_19, 3365_13, 3366_17, 3367_18, 3565_19, 3566_17, 3567_13, 3568_20	2286_26, 3271_30, 3272_29, 3273_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	3668_2, 3669_7, 3670_11	127_14, 129_19, 1735_19, 1736_17, 1737_13, 1738_20, 2377_14, 2378_17, 2379_19, 2380_20, 3467_22, 3468_19, 3469_17, 3470_14	128_28, 1389_26, 1390_26, 1391_28, 1392_29, 1393_30
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	66_2, 67_7, 68_11	1326_20, 1327_13, 1328_17, 1329_19, 1831_20, 1832_19, 1833_17, 1834_14, 373_14, 375_19, 4716_22, 4717_19, 4718_17, 4719_14	3033_30, 3034_29, 3035_28, 3036_26, 3037_26, 374_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	2292_11, 2293_7, 2294_2	1483_22, 1484_18, 1485_17, 1486_13, 2059_20, 2060_19, 2061_17, 2062_13, 2985_19, 2986_17, 2987_14, 2988_20, 545_19, 547_14	3883_30, 3884_29, 3885_28, 3886_26, 3887_26, 546_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	1856_11, 1857_7, 1858_2	2621_20, 2622_14, 2623_17, 2624_19, 278_22, 279_19, 280_17, 2800_14, 2801_17, 2802_19, 2803_20, 281_14, 3346_14, 3348_19	3347_28, 3944_30, 3945_29, 3946_28, 3947_26, 3948_26
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	602_11, 603_7, 604_2	2556_14, 2558_19, 2818_14, 2819_17, 2820_19, 2821_20, 3495_22, 3496_19, 3497_17, 3498_14, 372_20, 373_13, 374_17, 375_19	1611_30, 1612_29, 1613_28, 1614_26, 1615_26, 2557_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	306_2, 307_7, 308_11	2078_19, 2079_17, 2080_14, 2081_20, 2988_20, 2989_19, 2990_17, 2991_13, 364_13, 365_17, 366_18, 367_22, 4684_19, 4686_14	4435_30, 4436_29, 4437_28, 4438_26, 4439_26, 4685_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	291_2, 292_7, 293_11	101_19, 103_14, 114_14, 115_17, 116_19, 117_22, 2063_19, 2064_17, 2065_13, 2066_20, 3315_20, 3316_19, 3317_17, 3318_14	102_28, 2947_26, 2948_26, 2949_28, 2950_29, 2951_30
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	1451_11, 1452_7, 1453_2	1953_14, 1954_17, 1955_19, 1956_20, 2624_20, 2625_13, 2626_17, 2627_19, 2941_14, 2943_19, 4605_22, 4606_19, 4607_17, 4608_14	2942_28, 3535_30, 3536_29, 3537_28, 3538_26, 3539_26
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	3819_11, 3820_7, 3821_2	1690_20, 1692_14, 1693_17, 1694_19, 2432_13, 2433_17, 2434_18, 2435_22, 3984_20, 3985_19, 3986_17, 3987_13, 4289_14, 4291_19	3473_30, 3474_29, 3475_28, 3476_26, 3477_26, 4290_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	451_2, 452_7, 453_11	1897_14, 1899_19, 2567_22, 2568_18, 2569_17, 2570_13, 3141_13, 3142_17, 3143_19, 3144_20, 3370_19, 3371_17, 3372_14, 3373_20	1898_28, 208_26, 209_26, 210_28, 211_29, 212_30
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	4215_2, 4216_7, 4217_11	1311_19, 1313_14, 3160_19, 3161_17, 3162_14, 3163_20, 3476_13, 3477_17, 3478_18, 3479_22, 4495_20, 4496_19, 4497_17, 4498_13	1312_28, 2671_30, 2672_29, 2673_28, 2674_26, 2675_26
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	2166_2, 2167_7, 2168_11	2379_19, 2380_17, 2381_14, 2382_20, 2716_13, 2717_17, 2718_18, 2719_22, 3511_20, 3512_19, 3513_17, 3514_13, 4087_19, 4089_14	3063_26, 3064_26, 3065_28, 3066_29, 3067_30, 4088_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	3883_2, 3884_7, 3885_11	2388_13, 2389_17, 2390_19, 2391_20, 422_13, 423_17, 424_18, 425_22, 4645_20, 4646_13, 4647_17, 4648_19, 4813_19, 4815_14	1190_30, 1191_29, 1192_28, 1193_26, 1194_26, 4814_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	1975_2, 1976_7, 1977_11	1507_20, 1508_13, 1509_17, 1510_19, 2759_14, 2760_17, 2761_19, 2762_22, 736_18, 737_18, 739_14, 877_14, 878_17, 879_19, 880_20	3437_30, 3438_29, 3439_28, 3440_26, 3441_25, 738_28
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	2304_2, 2305_7, 2306_11	1848_18, 1849_17, 1850_14, 256_14, 257_16, 258_18, 259_20, 3205_19, 3207_14, 676_20, 677_13, 678_17, 679_19	3206_28, 783_30, 784_29, 785_28, 786_26, 787_26
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	1170_2, 1171_7, 1172_11	114_13, 115_17, 116_19, 117_20, 1497_14, 1499_19, 2188_20, 2189_13, 2190_17, 2191_19, 3854_14, 3855_17, 3856_19, 3857_22	1498_28, 929_26, 930_26, 931_28, 932_29, 933_30
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	227_11, 228_7, 229_2	1883_14, 1884_17, 1885_19, 1886_22, 2993_20, 2994_13, 2995_17, 2996_19, 3697_14, 3698_17, 3699_19, 3700_20, 4590_19, 4592_14	1251_30, 1252_29, 1253_28, 1254_26, 1255_26, 4591_28
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	4637_2, 4638_7, 4639_11	1239_19, 1241_14, 1562_14, 1563_17, 1564_19, 1565_20, 3177_18, 3178_17, 3179_13, 4458_20, 4459_14, 4460_17, 4461_19	1240_28, 679_26, 680_26, 681_28, 682_29, 683_30
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	4554_11, 4555_7, 4556_3	164_14, 166_19, 2130_13, 2131_17, 2132_19, 2133_20, 3166_18, 3167_17, 3168_13, 4438_13, 4439_17, 4440_18	165_28, 665_30, 666_29, 667_28, 668_26, 669_26
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	1793_11, 1794_7, 1795_2	1552_22, 1553_18, 1554_17, 1555_13, 1921_19, 1923_14, 3964_20, 3965_19, 3966_17, 3967_13, 4214_19, 4215_17, 4216_14, 4217_20	1131_26, 1132_26, 1133_28, 1134_29, 1135_30, 1922_28
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	71_2, 72_7, 73_11	1543_13, 1544_16, 1545_19, 2903_19, 2904_17, 2905_14, 2906_20, 4594_22, 4595_18, 4596_17, 4597_13, 4783_19, 4785_14	4784_28, 956_26, 957_26, 958_28, 959_29, 960_30
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	4400_11, 4401_7, 4402_2	1873_18, 1875_14, 2676_13, 2677_17, 2678_18, 4068_14, 4069_17, 4070_18, 4071_20, 4637_20, 4638_13, 4639_17, 4640_19	1874_28, 41_30, 42_29, 43_28, 44_26, 45_25
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	4120_11, 4121_7, 4122_2	1109_14, 1111_19, 2796_22, 2797_19, 2798_17, 2799_14, 4622_14, 4623_17, 4624_19, 4625_20, 793_20, 794_14, 795_17, 796_19	1110_28, 1716_30, 1717_29, 1718_28, 1719_26, 1720_26
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	2076_2, 2077_7, 2078_11	2891_20, 2892_14, 2893_17, 2894_19, 3552_14, 3554_19, 3694_13, 3695_17, 3696_18, 3697_22, 3938_13, 3939_17, 3940_19, 3941_20	3553_28, 553_26, 554_26, 555_28, 556_29, 557_30
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	4619_2, 4620_7, 4621_11	1142_19, 1144_14, 2183_14, 2184_17, 2185_18, 2186_20, 3193_18, 3194_17, 3195_14, 4349_20, 4350_13, 4351_17, 4352_19	1143_28, 591_25, 592_26, 593_28, 594_29, 595_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	3884_11, 3885_7, 3886_3	1928_19, 1929_17, 1930_14, 2231_19, 2232_17, 2233_14, 2234_20, 348_14, 349_17, 350_19, 351_22, 4338_14, 4339_17, 4340_19, 4341_20	1428_25, 1429_28, 1430_29, 1431_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	3921_11, 3922_7, 3923_3	1957_19, 1958_17, 1959_14, 2262_19, 2263_17, 2264_14, 2265_20, 355_13, 356_13, 357_13, 358_17, 359_19, 360_22, 4376_14, 4377_14, 4378_17, 4379_19, 4380_20	1449_25, 1450_28, 1451_29, 1452_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	3912_11, 3913_7, 3914_3	1956_19, 1957_17, 1958_14, 2259_19, 2260_17, 2261_14, 2262_20, 356_13, 357_13, 358_13, 359_17, 360_19, 361_22, 4372_14, 4373_14, 4374_17, 4375_19, 4376_20	1449_25, 1450_28, 1451_29, 1452_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	3856_11, 3857_7, 3858_3	1894_19, 1895_16, 1896_13, 1897_13, 2201_19, 2202_17, 2203_14, 2204_20, 295_13, 296_13, 297_13, 298_17, 299_19, 4309_13, 4310_14, 4311_17, 4312_19	1385_25, 1386_28, 1387_29, 1388_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	3849_11, 3850_7, 3851_2	1887_18, 1888_16, 1889_13, 2190_19, 2191_17, 2192_14, 2193_20, 294_13, 295_13, 296_13, 297_17, 298_18, 299_22, 4341_13, 4342_14, 4343_17, 4344_18, 4345_20	1377_25, 1378_28, 1379_29, 1380_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	3851_11, 3852_7, 3853_3	1892_19, 1893_16, 1894_13, 2194_19, 2195_17, 2196_14, 2197_20, 295_13, 296_13, 297_13, 298_17, 299_19, 300_22, 4344_13, 4345_14, 4346_17, 4347_19, 4348_20	1387_25, 1388_28, 1389_29, 1390_30
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	3825_11, 3826_7, 3827_3	1908_18, 1909_16, 1910_14, 2214_19, 2215_17, 2216_14, 2217_20, 297_13, 298_13, 299_13, 300_17, 301_19, 302_22, 4313_14, 4314_14, 4315_17, 4316_19, 4317_20	1396_25, 1397_28, 1398_29, 1399_30
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	3853_11, 3854_7, 3855_2	2068_19, 2070_14, 2381_19, 2382_17, 2383_14, 2384_20, 335_13, 336_17, 337_19, 4291_14, 4292_17, 4293_19	1477_25, 1478_26, 1479_28, 1480_29, 1481_30, 2069_28
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	3965_11, 3966_7, 3967_2, 3968_2	1019_14, 1021_19, 1174_13, 1175_17, 1176_18, 2292_17, 4431_14, 4432_17, 4433_19, 4434_20, 682_20, 683_14, 684_17, 685_19	1020_28, 2290_25, 2291_26, 2293_29, 2294_30
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	892_3, 893_7, 894_11	1328_20, 1329_13, 1330_16, 1331_18, 2246_18, 2247_16, 2248_13, 4159_18, 4160_17, 4161_14	2068_29, 2069_30, 2435_28
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	2482_11, 2483_7, 2484_3	1438_20, 1439_19, 1440_17, 1441_13, 1585_14, 1787_13, 1788_16, 1789_19, 2579_19, 2581_13, 4161_18, 4162_16, 4163_13, 4164_20	223_28, 224_29, 225_30, 2580_28, 2582_26
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	4331_11, 4332_7, 4333_3	1111_20, 1112_14, 1113_17, 1114_19, 1426_14, 1428_19, 162_14, 163_17, 164_19, 165_20, 3073_22, 3074_18, 3075_17, 3076_13	1427_28, 1995_30, 1996_29, 1997_28, 1998_26, 1999_26
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	4006_11, 4007_7, 4008_3	1153_14, 1155_19, 2804_22, 2805_19, 2806_17, 2807_14, 4495_14, 4496_17, 4497_19, 4498_20, 856_20, 857_14, 858_17, 859_19	1154_28, 1670_30, 1671_29, 1672_28, 1673_26, 1674_26
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	4026_11, 4027_7, 4028_3	1159_14, 1161_19, 2816_22, 2817_19, 2818_17, 2819_14, 4517_14, 4518_17, 4519_19, 4520_20, 862_20, 863_14, 864_17, 865_19	1160_28, 1675_30, 1676_29, 1677_28, 1678_26, 1679_26
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	4036_3, 4037_7, 4038_11	2106_18, 2107_17, 2108_13, 286_19, 288_14, 3790_20, 3791_18, 3792_16, 3793_13, 4813_17, 4814_19	287_28, 3078_30, 3079_29, 3080_28, 3081_26, 848_30, 849_29, 850_28, 851_26, 852_25
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	1167_11, 1168_7, 1169_3	1037_18, 1038_17, 1039_13, 1040_20, 248_13, 249_17, 250_19, 333_20, 334_19, 335_17, 336_13, 4327_19, 4329_14	1930_30, 1931_29, 1932_28, 1933_26, 1934_25, 4328_28
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	3764_11, 3765_7, 3766_2	2186_20, 2187_14, 2188_17, 2189_19, 3313_18, 3314_17, 3315_13, 3438_14, 3439_17, 3440_19, 3441_20, 3971_19, 3973_14	2362_30, 2363_29, 2364_28, 2365_26, 2366_25, 3972_28
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	2805_3, 2806_7, 2807_11	1445_19, 1446_17, 1447_13, 1448_20, 1586_14, 1588_18, 3684_18, 3685_16, 3686_13, 4531_18, 4532_17, 4533_13	1587_28, 2143_30, 2144_29, 2145_28, 2146_26, 2147_26
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	220_2, 221_7, 222_11	1082_13, 1083_13, 1084_17, 1085_19, 1086_22, 2637_19, 2786_20, 2787_14, 2788_17, 2789_19, 2822_14, 4614_14, 4615_14, 4616_14, 4617_17, 4618_17, 4619_19, 4620_20	2823_28, 2824_29, 2825_30, 3844_26, 3845_25
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1148_11, 1149_7, 1150_2	1617_13, 1618_13, 1619_17, 1620_19, 1621_22, 3248_19, 3417_20, 3418_19, 3419_17, 3420_17, 3421_14, 3422_14, 3423_14, 3631_14, 3861_20, 3862_14, 3863_17, 3864_19	1495_26, 1496_26, 1529_30, 1530_29
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	4040_2, 4041_2, 4042_7, 4043_11	2814_22, 2815_19, 2816_17, 2817_13, 2818_13, 4607_14, 4608_14, 4609_14, 4610_17, 4611_17, 4612_19, 4613_20, 659_20, 660_14, 661_17, 662_19, 970_14, 972_19	1574_26, 1575_26, 1576_28, 1577_29, 1578_30, 971_28
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	2852_11, 2853_11, 2854_7, 2855_7, 2856_2	1788_13, 1789_14, 1790_13, 1791_18, 4079_20, 4080_18, 4081_18, 4082_17, 4083_17, 4084_14, 4085_14, 4086_14, 4171_19, 5050_20, 5051_14, 5052_17, 5053_19, 5245_14	4158_26, 4159_26, 4934_30, 4935_29
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	3943_1, 3944_7, 3945_11	2121_19, 2123_14, 2428_19, 2429_17, 2430_14, 2431_20, 361_13, 362_13, 363_17, 364_19, 365_22, 4511_14, 4512_14, 4513_14, 4514_17, 4515_17, 4516_19, 4517_20	1526_30, 1527_29, 1528_28, 1529_26, 1530_26, 2122_28
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	2392_11, 2393_7, 2394_2, 2395_2	1245_13, 1246_17, 1247_19, 1248_22, 1975_14, 1976_14, 1977_14, 1978_17, 1979_17, 1980_19, 1981_20, 4133_19, 4134_17, 4135_14, 4136_20, 4277_19, 4279_14	1033_26, 1034_26, 3851_30, 3852_29, 4278_28
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	3993_2, 3994_7, 3995_11	2156_19, 2158_14, 2462_19, 2463_17, 2464_14, 2465_20, 355_13, 356_13, 357_17, 358_19, 359_22, 4556_14, 4557_14, 4558_14, 4559_17, 4560_17, 4561_19, 4562_20	1549_30, 1550_29, 1551_28, 1552_26, 1553_26, 2157_28
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	3940_2, 3941_7, 3942_11	2110_19, 2112_14, 2415_19, 2416_17, 2417_14, 2418_20, 357_13, 358_13, 359_17, 360_19, 361_22, 4512_14, 4513_14, 4514_14, 4515_17, 4516_17, 4517_19, 4518_20	1520_30, 1521_29, 1522_28, 1523_26, 1524_26, 2111_28
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	4088_11, 4089_7, 4090_3	2682_22, 2683_18, 2684_17, 2685_13, 4575_14, 4576_17, 4577_19, 4578_20, 650_20, 651_14, 652_17, 653_19, 979_14, 981_19	1537_30, 1538_29, 1539_28, 1540_26, 1541_25, 980_28
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	4062_11, 4063_7, 4064_3	1003_14, 1005_19, 2694_22, 2695_18, 2696_17, 2697_13, 4547_14, 4548_17, 4549_19, 4550_20, 684_20, 685_14, 686_17, 687_19	1004_28, 1569_30, 1570_29, 1571_28, 1572_26, 1573_26
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	4045_11, 4046_7, 4047_3	1016_14, 1018_19, 2664_22, 2665_19, 2666_17, 2667_13, 4527_14, 4528_17, 4529_19, 4530_20, 642_20, 643_14, 644_17, 645_19	1017_28, 1580_30, 1581_29, 1582_28, 1583_26, 1584_26
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	4200_11, 4201_7, 4202_3	1094_14, 1096_19, 2874_22, 2875_18, 2876_17, 2877_13, 4684_14, 4685_17, 4686_19, 4687_20, 773_20, 774_14, 775_17, 776_19	1095_28, 1726_30, 1727_29, 1728_28, 1729_26, 1730_26
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	4219_11, 4220_7, 4222_3	1003_14, 1006_19, 2765_22, 2766_18, 2767_17, 2768_13, 4722_14, 4723_17, 4724_19, 4725_20, 664_20, 665_14, 666_17, 667_19	1005_28, 1583_30, 1584_29, 1585_28, 1587_26, 1588_25
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	3911_11, 3912_7, 3913_3	2456_22, 2457_18, 2458_17, 2459_13, 434_20, 435_14, 436_17, 437_19, 4374_14, 4375_17, 4376_19, 4377_20, 766_14, 768_18	1326_30, 1327_29, 1328_28, 1329_26, 1330_26, 767_28
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	3900_11, 3901_7, 3902_3	2657_22, 2658_18, 2659_17, 2660_13, 4382_14, 4383_17, 4384_19, 4385_20, 643_20, 644_14, 645_17, 646_19, 966_14, 968_19	1520_30, 1521_29, 1522_28, 1523_26, 1524_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	2319_11, 2320_7, 2321_3	1460_14, 2609_22, 2610_18, 2611_17, 2612_13, 4330_14, 4331_17, 4332_19, 4333_20, 596_20, 597_14, 598_17, 599_19, 905_19	1457_30, 1458_29, 1475_26, 1476_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	3927_11, 3928_7, 3929_3	1562_19, 1563_17, 1564_14, 2703_22, 2704_18, 2705_17, 2706_13, 4415_14, 4416_17, 4417_19, 4418_20, 751_20, 752_13, 753_17, 754_19	1569_26, 1570_26, 4866_29, 4867_30
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	3959_11, 3960_7, 3961_3	1524_19, 2660_22, 2661_18, 2662_17, 2663_13, 4444_14, 4445_17, 4446_19, 4447_20, 652_20, 653_13, 654_17, 655_19, 976_14	1478_30, 1479_29, 1525_28, 1526_26, 1527_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	3946_11, 3947_7, 3948_3	1535_19, 1537_14, 2683_22, 2684_18, 2685_17, 2686_13, 4431_14, 4432_17, 4433_19, 4434_20, 668_20, 669_14, 670_17, 671_19	1513_30, 1514_29, 1542_26, 1543_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	3816_11, 3817_7, 3818_3	2557_22, 2558_18, 2559_17, 2560_13, 4301_14, 4302_17, 4303_19, 4304_20, 636_20, 637_13, 638_17, 639_19, 887_14	1419_30, 1420_29, 1442_26, 1443_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	3910_11, 3911_7, 3912_3	1460_14, 2603_22, 2604_18, 2605_17, 2606_13, 4365_14, 4366_17, 4367_19, 4368_20, 594_20, 595_13, 596_17, 597_19	1421_30, 1422_29, 1458_28, 1459_26, 1477_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	3946_11, 3947_7, 3948_3	2677_22, 2678_18, 2679_17, 2680_13, 4430_14, 4431_17, 4432_19, 4433_20, 669_20, 670_13, 671_17, 672_19, 989_14, 991_19	1541_30, 1542_29, 1543_28, 1544_26, 1545_26
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	3709_11, 3710_7, 3711_3	1411_19, 1413_14, 2558_22, 2559_18, 2560_17, 2561_13, 4194_14, 4195_17, 4196_19, 4197_20, 588_20, 589_13, 590_17, 591_19	1412_28, 1430_26, 1431_26, 4832_30, 4833_29
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	4134_11, 4135_7, 4136_3	1018_14, 1020_19, 2636_22, 2637_18, 2638_17, 2639_13, 4612_14, 4613_17, 4614_19, 4615_20, 692_20, 693_14, 694_17, 695_19	1019_28, 1563_30, 1564_29, 1565_28, 1566_26, 1567_26
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	4080_11, 4081_7, 4082_3	1892_18, 1893_17, 1894_13, 2058_19, 2060_14, 2384_19, 2385_17, 2386_13, 2387_20, 4569_14, 4570_17, 4571_19, 4572_20	2059_28, 803_30, 804_29, 805_28, 806_26, 807_26
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	3999_11, 4000_7, 4001_3	2670_18, 2671_17, 2672_13, 4480_14, 4481_17, 4482_19, 4483_20, 645_20, 646_14, 647_17, 648_19, 969_14, 971_19	1523_30, 1524_29, 1525_28, 1526_26, 1527_26, 970_28
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	1101_3, 1102_7, 1103_11	2402_13, 2403_17, 2404_18, 4081_19, 4083_14, 4416_19, 4417_17, 4418_14, 4419_20, 596_20, 597_19, 598_17, 599_14, 600_14, 601_13	3472_25, 3473_26, 3474_28, 3475_29, 3476_30, 4082_28
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	3996_11, 3997_7, 3998_3	2763_22, 2764_18, 2765_17, 2766_14, 433_14, 434_17, 435_19, 4484_13, 4485_17, 4486_19, 4487_20, 611_20, 612_14, 613_17, 614_19, 943_14, 944_16, 945_19	1762_25, 1763_26, 1764_28, 1765_29, 1766_30
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	2152_11, 2153_7, 2154_2, 3596_11, 3597_7, 3598_2	2472_18, 2473_16, 2474_13, 859_14, 873_18	1344_29, 1345_30, 1446_25, 1447_26
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	2249_11, 2250_7, 2251_2, 3752_11, 3753_7, 3754_2	2622_18, 2623_16, 2624_13, 868_13, 869_16, 870_18	1390_30, 1391_29, 1392_28, 1393_26, 1394_25
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	2313_2, 2314_7, 2315_11, 3922_2, 3923_7	1051_18, 1052_16, 1053_13, 1841_18, 1842_16, 1843_13, 3598_13, 3599_13, 3600_16, 3601_18, 465_18, 466_16, 467_13	4556_30, 4557_29, 4558_28, 4559_26, 4773_25, 4774_26, 4775_29, 4776_29, 4777_30
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	3449_11, 3450_7, 3451_3	1380_17, 1381_14, 1609_17, 1610_19, 1611_22, 4088_17, 4089_19, 4090_20, 957_19, 958_17, 959_14, 960_20	1996_25, 2068_28, 2069_29, 2070_30
Shigella dysenteriae CDC 74-1112 (941429.3)	1552_3, 2875_2, 2876_7, 2877_11, 3611_9	2232_14, 2233_17, 2234_19	118_25, 119_25, 120_26, 121_26, 122_28, 123_29, 124_29, 125_30
Shigella dysenteriae 155-74 (766142.3)	1387_11, 1388_7, 1389_7, 1390_1, 1394_2, 1599_9, 1600_9, 1601_3	2421_18, 2422_17, 2423_13, 2424_13, 2425_14	347_25, 348_25, 349_26, 350_26, 351_28, 352_29, 353_30
Shigella dysenteriae 1617 (754093.3)	3480_2, 3481_2, 3482_7, 3483_7, 3484_7, 3485_8, 3486_10, 6261_9, 6262_3, 6266_3	502_14, 503_17, 504_19	5692_25, 5693_25, 5694_25, 5695_25, 5696_26, 5697_26, 5698_28, 5699_29, 5700_30, 5701_30
Shigella dysenteriae 225-75 (766143.3)	1351_9, 1352_9, 1353_3, 2645_11, 2646_7, 2647_7, 2648_2	2769_17, 2770_14	1853_25, 1856_25, 1857_30
Shigella dysenteriae Sd197 (300267.13)	1121_2, 1122_2, 1123_7, 1124_7, 1125_7, 1126_7, 1127_11, 1380_9, 1381_3, 1385_3	2858_19, 2859_17, 2860_14	1876_30, 1877_30, 1878_29, 1879_28, 1880_26, 1881_26, 1882_25, 1883_25, 1884_25, 1885_25
Shigella flexneri CDC 796-83 (945360.3)	3657_3, 3658_9, 643_2, 644_7, 645_7, 646_11	4612_19, 4616_17, 4617_14, 4618_14	3001_30, 3002_29, 3004_28, 3005_26, 3006_25
Shigella flexneri 1485-80 (766155.3)	1131_2, 1132_7, 1133_7, 1134_7, 1135_11, 2184_9, 2185_3, 2188_3	1058_14, 1059_13, 1060_17, 2547_19	1911_26, 1912_26, 1915_29, 1916_30
Shigella flexneri 2002017 (591020.3)	1156_2, 1157_8, 1158_8, 1159_11, 2312_9, 2313_3	986_13, 987_14, 988_17, 989_19	1948_25, 1949_26, 1950_26, 1951_28, 1952_29, 1953_30
Shigella flexneri 2747-71 (766157.3)	1253_2, 1254_8, 1255_8, 1256_11, 2233_9, 2234_3	982_14, 983_17, 984_19	1997_25, 1998_26, 1999_26, 2000_26, 2001_28, 2002_29, 2003_30
