Organism	SerA	SerC	SerB	SerP	SerHS
Acinetobacter baumannii NIPH 527 (1217635.3)	 	888_2	3295_4, 441_4, 655_4, 96_4, 974_4	 	2612_13, 3602_13, 3603_13, 869_13
Acinetobacter baumannii NIPH 528 (1217636.3)	1938	2796_2	2709_4, 2954_4, 3171_4, 3518_4, 426_4	 	1133_13, 123_13, 124_13, 2814_13
Acinetobacter baumannii NIPH 60 (1217647.3)	 	370_2	207_4, 2680_4, 3257_4, 3624_4, 463_4	 	1942_13, 2978_13, 2979_13, 350_13
Acinetobacter baumannii NIPH 601 (1217637.3)	 	828_2	3147_4, 473_4, 664_4, 916_4, 94_4	 	2413_13, 3435_13, 3436_13, 809_13
Acinetobacter baumannii NIPH 615 (1217641.3)	 	3245_2	3153_4, 333_4, 3441_4, 696_4, 958_4	 	107_13, 1681_13, 3263_13
Acinetobacter baumannii NIPH 67 (1217627.3)	1644	816_2	3254_4, 448_4, 660_4, 902_4, 91_4	 	2646_13, 3537_13, 3538_13, 798_13
Acinetobacter baumannii NIPH 70 (1217628.3)	 	846_2	3076_4, 454_4, 669_4, 939_4, 94_4	 	2390_13, 3364_13, 3365_13, 829_13
Acinetobacter baumannii NIPH 80 (1217629.3)	 	1341_2	1157_4, 1437_4, 2719_4, 3628_4, 433_4, 94_4	 	1323_13, 3019_13, 703_13, 704_13
Acinetobacter baumannii Naval-113 (903920.3)	1635	3191_2	2541_4, 2888_4, 3104_4, 318_4, 3417_4	 	2295_13, 2296_13, 3209_13
Acinetobacter baumannii Naval-13 (903904.3)	2716	287_2	1684_4, 2654_4, 2894_4, 3576_4, 374_4	 	1713_13, 269_13, 2694_13, 2695_13
Acinetobacter baumannii Naval-17 (903896.3)	2384	80_2	1114_4, 1647_4, 167_4, 513_4, 754_4	 	1341_13, 1342_13, 3102_13, 62_13
Acinetobacter baumannii Naval-18 (903897.3)	 	1742_2	1333_4, 1840_4, 580_4, 971_4	 	1724_13, 3135_13, 3136_13, 3738_13
Acinetobacter baumannii Naval-2 (903922.3)	1555	705_2	1348_4, 1719_4, 574_4, 793_4	 	3160_13, 3161_13, 687_13
Acinetobacter baumannii Naval-21 (903923.3)	 	255_2	1099_4, 168_4, 1803_4, 3120_4, 82_4	 	274_13, 365_13, 3732_13, 3733_13
Acinetobacter baumannii Naval-57 (903927.3)	 	2312_2	1322_4, 1652_4, 2221_4, 263_4, 93_4	 	2329_13, 2969_13, 3095_13, 3096_13
Acinetobacter baumannii Naval-72 (903908.3)	 	2022_2	1152_4, 1530_4, 1814_4, 2113_4, 2887_4	 	1027_13, 2004_13, 3566_13, 3567_13
Acinetobacter baumannii Naval-78 (903936.3)	3020	947_2	1291_4, 1686_4, 2720_4, 859_4	 	663_13, 664_13, 965_13
Acinetobacter baumannii Naval-81 (903898.3)	3342	1966_2	1210_4, 1878_4, 2202_4, 427_4, 869_4	 	1984_13, 2892_13, 2893_13, 754_13, 755_13
Acinetobacter baumannii Naval-82 (903921.3)	 	214_2	2288_4, 2574_4, 2611_4, 2783_4, 3599_4	 	1249_13, 197_13, 671_13, 672_13
Acinetobacter baumannii Naval-83 (903909.3)	 	1144_2	1010_4, 2225_4, 2748_4, 3780_4, 3863_4	 	1125_13, 260_13, 772_13, 773_13
Acinetobacter baumannii OIFC0162 (903907.3)	650	37_2	127_4, 1584_4, 580_4, 728_4, 927_4	 	1185_13, 1186_13, 19_13, 2879_13
Acinetobacter baumannii OIFC021 (903928.3)	1883, 2294	2628_2	1049_4, 2718_4, 3152_4, 3440_4	 	1727_13, 1728_13, 187_13, 189_13, 1967_13
Acinetobacter baumannii OIFC032 (903890.3)	 	1521_2	126_4, 1434_4, 1689_4, 479_4, 785_4	 	1102_13, 1103_13, 1540_13, 2414_13
Acinetobacter baumannii OIFC035 (903926.3)	 	670_2	1544_4, 3000_4, 3420_4, 581_4, 808_4	 	3599_13, 3600_13, 4_13, 687_13
Acinetobacter baumannii OIFC047 (903933.3)	2936	2621_2	116_4, 1354_4, 2532_4, 3146_4, 646_4	 	1216_13, 1978_13, 1979_13, 2639_13
Acinetobacter baumannii OIFC065 (903932.3)	 	434_2	1039_4, 1085_4, 2994_4, 348_4, 693_4	 	1291_13, 454_13, 94_13, 95_13
Acinetobacter baumannii OIFC074 (903901.3)	 	3062_2	1633_4, 3149_4, 326_4, 3421_4, 3682_4	 	2358_13, 2549_13, 2550_13, 3043_13
Acinetobacter baumannii OIFC087 (903929.3)	 	1660_2	124_4, 1244_4, 3412_4, 718_4	 	1539_13, 1540_13, 1642_13, 2358_13
Acinetobacter baumannii OIFC098 (903902.3)	363	2290_2	1726_4, 2114_4, 2115_4, 2379_4, 3113_4, 854_4	 	1157_13, 1158_13, 2018_13, 2272_13
Acinetobacter baumannii OIFC099 (903930.3)	 	1660_2	1109_4, 1919_4, 2_4, 2716_4, 3557_4	 	1678_13, 2866_13, 2867_13, 601_13
Acinetobacter baumannii OIFC109 (903892.3)	2593	871_2	1109_4, 1612_4, 1956_4, 3200_4, 783_4	 	1520_13, 2171_13, 2172_13, 890_13
Acinetobacter baumannii OIFC110 (903910.3)	2100	2749_2	1152_4, 128_4, 1961_4, 2468_4, 2837_4	 	2242_13, 2243_13, 2731_13, 477_13
Acinetobacter baumannii OIFC111 (903935.3)	3366	1004_2	1092_4, 1446_4, 3177_4, 3375_4, 741_4	3344_11	2257_13, 2258_13, 2306_13, 2307_13, 987_13
Acinetobacter baumannii OIFC137 (903889.3)	899	1774_2	1686_4, 2010_4, 2264_4, 2604_4, 3119_4	 	1792_13, 2820_13, 2821_13, 74_13
Acinetobacter baumannii OIFC143 (903893.3)	 	2571_2	1842_4, 2197_4, 2409_4, 2662_4, 3874_4	 	2553_13, 3575_13, 3576_13, 580_13
Acinetobacter baumannii OIFC180 (903903.3)	1718	680_2	1458_4, 202_4, 3001_4, 3279_4, 592_4	 	3634_13, 3745_13, 3746_13, 698_13
Acinetobacter baumannii OIFC189 (903894.3)	944	1595_2	1434_4, 1683_4, 2291_4, 2639_4, 3161_4	 	1577_13, 2856_13, 2857_13
Acinetobacter baumannii OIFC338 (903934.3)	1368	3397_2	1385_4, 214_4, 2582_4, 3310_4, 829_4	 	3271_13, 3415_13, 543_13, 544_13
Acinetobacter baumannii TCDC-AB0715 (980514.3)	2171	3173_2	3034_4, 3347_4, 3561_4, 3906_4, 463_4	 	133_13, 134_13, 1360_13, 3191_13
Acinetobacter baumannii TYTH-1 (1100841.3)	2274	3126_2	132_4, 3039_4, 3293_4, 3519_4, 678_4	 	1531_13, 3144_13, 341_13, 342_13
Acinetobacter baumannii UMB001 (933263.3)	2672	164_2	2361_4, 249_4, 408_4, 76_4	 	182_13, 2731_13, 2732_13
Acinetobacter baumannii UMB003 (933265.3)	 	1352_2	1027_4, 1749_4, 2251_4, 3334_4, 676_4	 	1371_13, 2568_13, 3415_13, 3416_13
Acinetobacter baumannii W7282 (981329.3)	3516	1193_2	1283_4, 212_4, 2184_4, 352_4, 646_4	 	1176_13, 2824_13, 984_13, 985_13
Acinetobacter baumannii WC-136 (903916.3)	58	2395_2	1136_4, 1385_4, 1494_4, 2482_4, 2709_4, 649_4	 	2180_13, 2181_13, 2381_13, 3214_13
Acinetobacter baumannii WC-141 (903915.3)	2674, 962	3567_2	2320_4, 3293_4, 3480_4, 742_4	 	3587_13, 443_13, 444_13, 546_13
Acinetobacter baumannii WC-323 (903918.3)	2611, 3648	3007_2	1617_4, 2705_4, 656_4	 	1143_13, 1813_13, 3023_13
Acinetobacter baumannii WC-348 (903919.3)	3264	3028_2	1272_4, 2032_4, 2938_4, 3231_4, 912_4	 	134_13, 3046_13, 3349_13, 3350_13
Acinetobacter baumannii WC-487 (903917.3)	3608	1435_2	1344_4, 1856_4, 2559_4, 2887_4, 3089_4	 	1458_13, 1460_13, 1543_13, 1544_13, 3200_13
Acinetobacter baumannii WC-692 (903913.3)	3643	2021_2	1934_4, 2149_4, 233_4, 2738_4, 493_4	 	2040_13, 2970_13, 642_13, 643_13
Acinetobacter baumannii WC-A-694 (903925.3)	673	3560_2	1181_4, 1519_4, 192_4, 3098_4, 3473_4	 	2159_13, 2940_13, 2941_13, 3578_13
Acinetobacter baumannii WC-A-92 (903931.3)	1316	3351_2	1598_4, 1822_4, 2128_4, 2267_4, 242_4, 3189_4	 	2583_13, 2584_13, 3587_13
Acinetobacter baumannii WM99c (945555.3)	3018	97_2	1781_4, 1919_4, 2231_4, 2640_4, 3467_4	 	363_13, 364_13, 79_13
Acinetobacter baumannii ZWS1122 (1223564.3)	2058	2802_2	2715_4, 2960_4, 3175_4, 3524_4, 546_4	 	134_13, 135_13, 2820_13
Acinetobacter baumannii ZWS1219 (1224141.3)	2030	2769_2	2682_4, 2927_4, 3141_4, 3489_4, 475_4	 	135_13, 136_13, 2787_13
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	1229	1449_2	1345_4, 1535_4, 3102_4, 471_4, 980_4	 	1432_13, 3275_13, 758_13, 759_13
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	1146, 3391	334_2	2648_4, 3157_4, 3522_4, 422_4	 	2012_13, 2938_13, 2939_13, 314_13
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	461	3588_2	1223_4, 3455_4, 346_4, 714_4	 	1885_13, 3605_13, 932_13, 933_13
Acinetobacter calcoaceticus PHEA-2 (871585.3)	 	2053_2	1965_4, 2228_4, 2505_4, 2856_4, 3317_4, 538_4	 	2069_13, 3023_13, 3024_13, 369_13
Acinetobacter calcoaceticus TG19585 (1221293.3)	1544	321_2	1127_4, 1361_4, 2147_4, 405_4	 	1943_13, 2577_13, 2578_13, 305_13
Acinetobacter calcoaceticus TG19588 (1221294.3)	2868	2307_2	2221_4, 2522_4, 2754_4, 3118_4	 	1032_13, 2323_13, 3548_13, 3549_13
Acinetobacter calcoaceticus TG19593 (1221295.3)	1098	2472_2	1282_4, 1726_4, 191_4, 23_4, 2558_4	 	2084_13, 2085_13, 2189_13, 2456_13
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	1009	104_2	1824_4, 194_4, 2148_4, 2508_4, 2827_4	 	1631_13, 3454_13, 3455_13, 90_13
Acinetobacter pittii ANC 3678 (1217673.3)	886	1144_2	1229_4, 2484_4, 321_4, 634_4, 998_4	 	1131_13, 2686_13, 3370_13, 3371_13
Acinetobacter pittii ANC 4050 (1217691.3)	3136, 810	77_2	163_4, 2424_4, 2904_4, 3247_4	 	1815_13, 2692_13, 2694_13, 64_13
Acinetobacter pittii ANC 4052 (1217689.3)	530	3592_2	1287_4, 1996_4, 3502_4, 416_4, 774_4	 	1911_13, 3608_13, 997_13, 998_13
Acinetobacter pittii CIP 70.29 (1217672.3)	3043	2221_2	1193_4, 1499_4, 2049_4, 2307_4, 639_4, 841_4	 	1790_13, 1791_13, 2207_13
Acinetobacter pittii D499 (1086014.3)	1809	986_2	1073_4, 153_4, 2437_4, 3388_4, 518_4, 752_4	 	2643_13, 3681_13, 3682_13, 972_13
Acinetobacter pittii TG6411 (1221309.3)	1287, 3609	1375_2	1052_4, 1463_4, 2684_4, 3495_4, 637_4	 	1361_13, 2282_13, 2283_13, 3461_13
Acinetobacter calcoaceticus RUH2202 (575585.3)	2211	1807_2	1964_4, 2057_4, 2448_4, 2685_4	 	1457_13, 1792_13, 3201_13, 3202_13
Acinetobacter haemolyticus ATCC 19194 (707232.3)	1465	872_2	1270_4, 2173_4, 777_4	 	1851_13
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	637	406_2	2689_4, 3143_4, 871_4	 	276_13
Acinetobacter haemolyticus NIPH 261 (1217986.3)	461	1233_2	1333_4, 223_4, 709_4	 	3326_13
Acinetobacter haemolyticus TG21157 (1221299.3)	2463	2273_2	1734_4, 48_4, 926_4	 	1833_13
Acinetobacter johnsonii ANC 3681 (1217662.4)	175, 637	2314_2	1175_4, 385_4, 670_4	 	1771_13, 2332_13, 2978_13
Acinetobacter johnsonii CIP 64.6 (1217663.3)	255, 3176	1961_2	221_4, 3447_4, 742_4	 	1395_13, 1493_13, 1943_13
Acinetobacter johnsonii SH046 (575586.4)	1655, 2488	1195_2	199_4, 1992_4, 2691_4	 	1177_13, 698_13, 870_13
Acinetobacter junii CIP 107470 (1217666.3)	1063	2495_2	1324_4, 2402_4, 3322_4	 	2514_13
Acinetobacter junii CIP 64.5 (1217664.3)	2573	603_2	229_4, 2844_4, 513_4	 	3103_13, 619_13
Acinetobacter junii NIPH 182 (1217665.3)	702	1177_2	1270_4, 3015_4, 477_4	 	1161_13, 2711_13
Acinetobacter junii SH205 (575587.3)	2118	1466_2	1376_4, 1920_4, 2471_4	 	1481_13, 2911_13
Acinetobacter lwoffii CIP 70.31 (1217667.3)	243, 2712, 3254	1022_2	1459_4, 1461_4, 2353_4, 285_4	 	1043_13, 1990_13
Acinetobacter lwoffii NCTC 5866 (981327.3)	1422, 1783, 525	166_2	1562_4, 1787_4, 479_4	 	2448_13, 2497_13
Acinetobacter lwoffii NIPH 478 (1217668.3)	1071, 2223, 2868	525_2	1390_4, 2184_4, 2444_4	 	1894_13, 507_13
Acinetobacter lwoffii NIPH 715 (1217669.3)	1521, 2593, 491	2151_2	267_4, 536_4, 850_4	 	1406_13, 2169_13
Acinetobacter lwoffii SH145 (575588.3)	1703, 2499, 84	565_2	1260_4, 2268_4, 48_4	 	1722_13, 874_13
Acinetobacter lwoffii TG19636 (1221307.3)	2004, 2179, 3211	364_2	2379_4, 2884_4, 845_4	 	2439_13, 2535_13
Acinetobacter lwoffii WJ10621 (1046625.3)	1372, 2372	2519_2	1401_4, 247_4	 	1612_13, 2536_13
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	1414, 633, 647	99_2	14_4, 1491_4, 479_4	 	116_13
Acinetobacter radioresistens NIPH 2130 (1217674.3)	 	2429_2	1249_4, 1687_4, 2518_4	 	2413_13
Acinetobacter radioresistens SH164 (575589.3)	 	1688_2	1774_4, 2038_4, 2521_4, 726_4	 	1673_13
Acinetobacter radioresistens SK82 (596318.3)	 	2140_2	2541_4, 2976_4, 61_4	 	2155_13
Acinetobacter radioresistens TG02010 (1221310.3)	1152, 1166, 2610	1033_2	1120_4, 2190_4, 591_4	 	1017_13
Acinetobacter radioresistens WC-A-157 (903900.3)	2630, 2643, 2760	2003_2	2098_4, 2455_4, 535_4	 	1987_13
Moraxella catarrhalis 101P30B1 (857572.3)	127, 1550	1617_2	1112_4, 229_4, 469_4	 	 
Moraxella catarrhalis 103P14B1 (857579.3)	444	1806_2	233_4, 886_4, 918_4	 	 
Moraxella catarrhalis 12P80B1 (857577.3)	1238	149_2	166_4, 336_4, 409_4	 	 
Moraxella catarrhalis 46P47B1 (857578.3)	347	958_2	1048_4, 589_4, 90_4	 	 
Moraxella catarrhalis 7169 (857581.3)	 	1567_2	1951_4, 728_4, 974_4	 	 
Moraxella catarrhalis BC1 (857576.3)	 	327_2	1361_4, 19_4, 308_4	 	 
Moraxella catarrhalis BC7 (857575.3)	 	780_2	1331_4, 407_4, 654_4	 	 
Moraxella catarrhalis BC8 (857574.3)	114	863_2	1186_4, 1496_4, 1966_4	 	 
Moraxella catarrhalis CO72 (857573.3)	 	767_2	1076_4, 1747_4, 835_4	 	 
Moraxella catarrhalis O35E (857571.5)	 	1170_2	1649_4, 423_4, 665_4	 	 
Moraxella catarrhalis RH4 (749219.3)	 	1196_2	1706_4, 422_4, 668_4	 	 
Pseudomonas aeruginosa 152504 (983919.3)	1140, 1532, 3911	5772_2	3161_4, 3399_4, 3675_4, 5336_4, 826_4, 927_4, 974_4	 	2063_13, 2998_13
Pseudomonas aeruginosa 18A (1286151.3)	2434	5156_2	1040_4, 1372_4, 1853_4, 19_4, 200_4, 4313_4, 4456_4	 	 
Pseudomonas aeruginosa 19BR (1051003.3)	5317	3645_2	1136_4, 1193_4, 350_4, 3737_4, 5663_4, 6020_4, 6285_4	 	 
Pseudomonas aeruginosa 213BR (1051004.3)	5283	3669_2	1173_4, 1230_4, 353_4, 3761_4, 5629_4, 5986_4, 6251_4	 	 
Pseudomonas aeruginosa 39016 (798130.4)	3479, 3699, 5659	1731_2	1833_4, 3721_4, 3881_4, 4275_4, 4569_4, 5490_4	 	5012_13
Pseudomonas aeruginosa 9BR (1051005.3)	5377	3670_2	1210_4, 1268_4, 351_4, 3762_4, 5723_4, 6081_4, 6346_4	 	 
Pseudomonas aeruginosa AH16 (1208103.3)	4254	5027_2	1698_4, 2391_4, 2831_4, 3687_4, 399_4, 44_4, 5390_4	 	 
Pseudomonas aeruginosa ATCC 14886 (1163392.3)	5056	1902_2	1809_4, 2075_4, 3547_4, 376_4, 4346_4, 5495_4, 5853_4	 	 
Pseudomonas aeruginosa B136-33 (1280938.3)	323, 3818, 4963	1838_2	1739_4, 3346_4, 344_4, 3991_4, 5316_4, 5666_4, 5930_4	 	4369_13
Pseudomonas aeruginosa CI27 (1163396.3)	310, 3985, 5264	1950_2	1845_4, 331_4, 4160_4, 4219_4, 5617_4, 5968_4, 6232_4	 	4585_13
Pseudomonas aeruginosa DK2 (1093787.3)	3891, 4976	1748_2	1656_4, 3430_4, 349_4, 4049_4, 4109_4, 5320_4, 5697_4, 5962_4	 	 
Pseudomonas aeruginosa DQ8 (1211113.3)	 	6154_2	1481_4, 3441_4, 3840_4, 4282_4, 4283_4, 4619_4, 5324_4, 665_4	 	 
Pseudomonas aeruginosa E2 (1163395.3)	4808	1779_2	1689_4, 322_4, 3957_4, 4016_4, 5163_4, 5515_4, 5806_4	 	 
Pseudomonas aeruginosa LCT-PA102 (1168061.3)	2265	5090_2	1267_4, 2623_4, 2976_4, 3243_4, 3624_4, 5000_4, 599_4	 	 
Pseudomonas aeruginosa LESB58 (557722.4)	5147	1977_2	1885_4, 346_4, 3682_4, 4304_4, 4363_4, 5493_4, 5846_4, 6112_4	 	 
Pseudomonas aeruginosa M18 (941193.4)	3750, 4892	1880_2	1787_4, 3422_4, 349_4, 4042_4, 5248_4, 5598_4, 5864_4	 	 
Pseudomonas aeruginosa MRW44.1 (1198629.3)	 	738_2	1616_4, 1675_4, 169_4, 2486_4, 3907_4, 4602_4, 522_4, 646_4	 	3531_13
Pseudomonas aeruginosa MSH-10 (1331059.3)	5584	1157_2	1059_4, 3425_4, 3483_4, 4234_4, 4606_4, 4871_4, 5224_4	 	4357_13
Pseudomonas aeruginosa NCGM2.S1 (1089456.3)	2159, 295, 955	4251_2	1993_4, 4350_4, 562_4, 5842_4, 6032_4, 6297_4	 	1503_13
Pseudomonas aeruginosa NCMG1179 (1078464.3)	5805	3724_2	1449_4, 1508_4, 2146_4, 3810_4, 4443_4, 4842_4, 5104_4, 5448_4	 	 
Pseudomonas aeruginosa PA14 (652611.13)	1197, 4772, 68	3211_2	1023_4, 3316_4, 4751_4, 5140_4, 5403_4, 5753_4, 964_4	 	660_13
Pseudomonas aeruginosa PA21_ST175 (1285581.3)	5890	5517_2	1253_4, 1660_4, 1879_4, 2611_4, 3807_4, 482_4, 5469_4	 	3453_13
Pseudomonas aeruginosa PA45 (1295076.3)	4386	2438_2	203_4, 2530_4, 4734_4, 5095_4, 5362_4, 5747_4, 832_4	 	 
Pseudomonas aeruginosa PA7 (381754.6)	3919, 5029	1898_2	1808_4, 400_4, 4055_4, 5407_4, 5772_4, 6044_4	 	279_13, 4509_13
Pseudomonas aeruginosa PABL056 (1214916.3)	14, 2783, 2989	5530_2	1038_4, 2418_4, 2761_4, 3459_4, 4829_4, 5174_4, 756_4	 	5882_13, 6571_13
Pseudomonas aeruginosa PACS2 (388272.4)	752	3938_2	1693_4, 346_4, 4032_4, 5370_4, 5728_4, 5993_4	 	1325_13
Pseudomonas aeruginosa PADK2_CF510 (1134459.3)	15, 3257	1184_2	1090_4, 2678_4, 4033_4, 4493_4, 450_4, 5998_4, 904_4, 963_4	 	 
Pseudomonas aeruginosa PAK (1009714.6)	5143	2070_2	186_4, 1978_4, 3632_4, 4275_4, 5502_4, 555_4, 5850_4	 	 
Pseudomonas aeruginosa PAO1 (208964.12)	 	3310_2	1128_4, 1188_4, 1820_4, 3402_4, 353_4, 5194_4, 5546_4, 5813_4	 	 
Pseudomonas aeruginosa MPAO1/P1 (1131757.3)	 	2302_2	1407_4, 2561_4, 3346_4, 396_4, 4337_4, 456_4, 4957_4, 5281_4	 	 
Pseudomonas aeruginosa PAO579 (1191475.3)	 	3141_2	1132_4, 1192_4, 1823_4, 3233_4, 353_4, 5019_4, 5371_4, 5635_4	 	 
Pseudomonas aeruginosa PGPR2 (1328315.3)	5287	1866_2	1768_4, 3632_4, 370_4, 4295_4, 4356_4, 5671_4, 6078_4, 6369_4	 	 
Pseudomonas aeruginosa SJTD-1 (1193501.3)	1414, 3314	5333_2	1198_4, 1761_4, 2186_4, 2450_4, 3098_4, 3156_4, 5424_4	 	2700_13
Pseudomonas aeruginosa UCBPP-PA14 (208963.12)	340, 3903, 5025	1896_2	1792_4, 361_4, 4077_4, 4136_4, 5378_4, 5733_4, 5999_4	 	4442_13
Pseudomonas aeruginosa XMG (1169413.3)	789	1733_2	2303_4, 2835_4, 2991_4, 4061_4, 4475_4, 5854_4, 734_4	 	 
Pseudomonas alcaliphila 34 (1248438.3)	1259, 2886, 3485, 3530, 650	2798_2	1246_4, 3370_4, 4176_4	 	 
Pseudomonas fluorescens F113 (1114970.3)	1472, 2285, 2466, 258, 2845, 3663, 979	1663_2	249_4, 3116_4, 4443_4, 564_4, 5697_4	2468_12	4782_13
Pseudomonas fluorescens LMG 5329 (1324332.3)	1611, 2679, 2814, 4707, 5439, 5606, 6039	1528_2	1748_4, 2935_4, 3891_9, 5409_4, 5430_4, 5492_4	4822_12, 5603_12	1625_13, 2543_13, 4846_13, 778_13
Pseudomonas fluorescens NCIMB 11764 (1221522.3)	2730, 3084, 3692, 4598, 5025, 536	745_2	1011_4, 5034_4, 5060_4	3087_12	976_13
Pseudomonas fluorescens Pf-5 (220664.5)	1414, 1531, 2677, 2943, 5232, 6027	4418_2	3502_4, 4499_4, 568_4, 5995_4, 6017_4	1004_12, 2681_11	3598_13, 3725_13, 5023_13
Pseudomonas fluorescens Pf0-1 (205922.5)	 	4077_2	1710_4, 1787_4, 3159_10, 513_4, 5376_4, 5398_4	3410_11, 935_11	 
Pseudomonas fluorescens PfO-1 (205922.3)	 	3163_2	1759_4, 1859_4, 2170_4, 3745_10, 5168_4, 5252_4	3325_11, 976_11	 
Pseudomonas fluorescens Q2-87 (1038922.3)	1463, 2846, 3373, 3565, 3936, 53, 947	1658_2	2906_4, 361_4, 4160_4, 43_4, 5153_4	3371_12	4487_13
Pseudomonas fluorescens Q8r1-96 (1038923.3)	1396, 269, 2993, 3317, 3514, 3996, 902	1594_2	2422_4, 260_4, 4219_4, 5466_4, 563_4	3316_12	2886_13, 4554_13
Pseudomonas fluorescens R124 (743713.3)	1375, 2241, 2510, 4488, 5177	3837_2	1683_4, 3066_9, 494_4, 5149_4, 5168_4	2246_12, 908_12	3593_13, 4334_13
Pseudomonas fluorescens SBW25 (216595.4)	1156, 1741, 2521, 3521, 3639, 4184, 5951	1868_2	2251_4, 4906_4, 5922_4, 5942_4, 743_4	1267_12, 3637_11	1338_13, 2230_13, 3533_13
Pseudomonas fluorescens SS101 (1038924.3)	1502, 2269, 2760, 4995, 921	1611_2	1842_4, 4003_4, 4966_4, 4985_4, 511_4	1034_12, 2271_12	1091_13
Pseudomonas putida NB2011 (1330531.3)	1474, 2866, 2987, 3959, 893	137_2	1482_4, 2365_4, 291_4, 4407_4	1579_12	4337_13, 4837_13
Pseudomonas putida B001 (1048261.3)	1692, 1693, 184, 1903, 2569, 2576, 3376, 3583, 4043, 4885, 5274	1205_2	1368_4, 1683_4, 2244_4, 2519_4	3160_12, 3161_12	1535_13, 2440_13, 2564_13, 3486_13
Pseudomonas putida B6-2 (1081940.5)	1310, 1526, 2066, 3463, 786	4166_2	4269_4, 4941_4, 5159_4, 5177_4	3354_11	4876_13
Pseudomonas putida BIRD-1 (931281.3)	1317, 1552, 3178, 4992, 815	3881_2	3932_4, 4738_4, 4966_4, 4984_4	2209_12	4669_13
Pseudomonas putida DOT-T1E (1196325.3)	3056, 3099, 3351, 957	2982_2	2227_4, 4438_4, 4642_4, 616_4	2267_11	3687_13
Pseudomonas putida F1 (351746.6)	1317, 1386, 1574, 3241, 4075, 4692	4009_2	4059_4, 4855_4, 5079_4, 5128_4	2221_11	4784_13
Pseudomonas putida GB-1 (76869.5)	2546, 3892, 4137, 5207, 806	1365_2	1319_4, 4961_4, 5181_4, 5199_4	2332_11	2207_13, 2401_13, 3113_13, 4356_13, 4893_13
Pseudomonas putida H8234 (1331671.3)	2232, 2661, 3879, 4624, 4852, 6011, 754	1254_2	1208_4, 2166_9, 5764_4, 5986_4, 6002_4	3638_12	2143_13, 3576_13, 3735_13, 5069_13, 5697_13
Pseudomonas putida HB3267 (1215088.3)	3708, 3954, 5064, 861	1375_2	1328_4, 4811_4, 5037_4, 5055_4	3090_12	4225_13, 4742_13
Pseudomonas putida KT2440 (160488.4)	 	1864_2	1815_4, 5244_4, 5476_4, 5494_4	3815_11	5171_13
Pseudomonas putida LS46 (1193146.3)	1010, 1550, 3889, 4408, 5124	2264_2	2322_4, 3258_4, 3279_4, 3510_4	1451_11	3582_13
Pseudomonas putida ND6 (231023.4)	1137, 1723, 240, 3707, 3941	1070_2	1121_4, 1884_4, 2124_4, 2142_4	89_11	1816_13
Pseudomonas putida S12 (1215087.3)	1297, 2865, 3598, 4762, 5441, 663	5530_2	142_4, 2350_4, 2769_4, 5449_4, 576_4	1342_11	1935_13, 3487_13
Pseudomonas putida S16 (1042876.5)	1812, 2362, 2460, 3794, 4028, 5090, 827	1422_2	1376_4, 4833_4, 5063_4, 5081_4	3160_12	2465_13, 4270_13, 4767_13
Pseudomonas putida SJTE-1 (1193499.3)	2095, 3743, 3973, 532	1367_2	1418_4, 2251_4, 2505_4, 2524_4	4601_11	2185_13
Pseudomonas putida TRO1 (1227924.3)	1375, 2329, 2365, 2797, 3003, 4840	2128_2	1524_4, 2180_4, 2284_4, 3343_4	1200_11	2802_13, 4660_13
Pseudomonas putida W619 (390235.5)	2019, 314, 3665, 3924, 4451, 671	1377_2	1280_4, 322_4, 339_4, 4733_4	2822_11	1089_13, 4658_13
Pseudomonas stutzeri A1501 (379731.5)	1114, 1596, 411	2081_2, 2349_2	317_10, 3783_4, 421_4	 	 
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	1489, 1766, 2275, 4114	1639_2, 1640_2, 1708_2	2284_4, 3641_4, 834_9	 	 
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	1018, 1501, 432	1974_2, 2233_2	3757_4, 442_4	 	 
Pseudomonas stutzeri CCUG 29243 (1196835.3)	1708, 3252, 3899, 402	2092_2, 2501_2	3889_4, 4002_9, 505_4	 	 
Pseudomonas stutzeri DSM 10701 (1123519.7)	2021, 3043, 3572	2241_2, 2242_2, 2291_2	1868_9, 3497_4, 3559_4	 	 
Pseudomonas stutzeri DSM 4166 (996285.3)	1085, 1628, 4002, 458	2105_2, 2107_2, 2373_2	3895_4, 468_4	 	 
Pseudomonas stutzeri NF13 (1212548.4)	1148, 2682, 3409, 3533	1807_2, 3250_2, 3889_5	2762_4, 3524_4, 3649_9	 	 
Pseudomonas stutzeri RCH2 (644801.3)	2722, 3135, 3770, 381	1936_2, 2226_2, 2227_2	3760_4, 3871_9, 487_4	 	 
Pseudomonas stutzeri SDM-LAC (1109445.3)	2047, 2777, 3154, 93	350_2, 53_2	1051_4, 2769_4, 900_4	 	 
Pseudomonas stutzeri T13 (1210443.6)	3290, 4128, 443, 625	1801_2, 1802_2, 2959_2	357_4, 4033_9, 4138_4	 	 
