Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Pseudomonas putida S12 (1215087.3)	2229_3, 4263_1, 4403_2, 5447_3	 	 	1681_7, 1682_6, 3960_6	1680	145	3451	1974_16, 1975_15	1972	1096_18	 	1694	1515_24, 1516_25, 1518_23, 1519_22, 2938_23, 2939_22, 5518_22, 5519_23, 5520_26, 5522_24	 	 
Pseudomonas putida S16 (1042876.5)	2993_3, 3058_1, 5083_3, 728_2	 	 	4600_7, 4601_6	4599	5060	1061, 2346	1593_15, 1594_16	1596	2624_18	4520	 	4195_22, 4196_23, 4197_26, 4789_24, 4790_25, 4791_26, 4792_23, 4793_22	3663_27	 
Pseudomonas putida SJTE-1 (1193499.3)	207_1, 2526_3, 4741_3, 4944_2	 	 	2006_7, 2007_6	2005	2504	3501	1090_16, 1091_15	1088	4684_18	1940	2020	2208_24, 2209_25, 2210_26, 2211_23, 2212_22, 3102_25, 3103_24, 3104_26, 3105_23, 3106_22, 331_22, 332_26, 333_23, 334_25, 348_24, 349_22, 350_22, 352_23, 353_25, 3610_24, 3611_25, 3612_26, 3613_23, 3614_22	4098_27	 
Pseudomonas putida TRO1 (1227924.3)	2282_3, 3022_2, 5407_3	 	 	2103_6, 2104_7	2105	1525	1732	4411_15, 4412_16	4414	4870_18	1333	2090	2925_22, 2926_23, 2927_26, 2928_25, 2929_24, 3512_25, 3513_23, 3514_26, 3515_22, 3516_22, 3517_24, 3531_25, 3532_23, 3533_26, 3534_22, 4498_24, 4499_25, 4500_26, 4501_23, 4502_22, 5101_22, 5102_23, 5103_26, 5104_25, 5105_24	6_27	 
Pseudomonas putida W619 (390235.5)	2690_2, 2949_3, 320_3, 3882_1	 	 	759_6, 760_7	761	340	4221	1554_15, 1555_16	1557	2432_18	827	747	1156_24, 1157_25, 1158_26, 1159_23, 1160_22, 2187_24, 2188_23_26, 2188_23_26, 2189_22, 2192_25, 4681_24, 4682_25, 4683_26, 4684_23, 4685_22	3529_27	 
Pseudomonas stutzeri A1501 (379731.5)	3722_1, 418_3	 	 	3270_7, 3271_6	3269	3993	3023, 3257	1782_15, 1783_16	1784	3828_18	862	3303	2991_22, 2992_23, 2993_26, 2994_25, 2995_24, 3218_26, 3219_23, 3220_22, 3221_24, 3222_25, 429_26, 430_23, 431_24, 432_25, 433_22	1894_27	 
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	2077_1, 2282_3	 	 	140_7, 141_6	139	1922	1316, 3244	3711_15, 3712_16	3713	3678_18	1171	 	2292_26, 2293_23, 2294_24, 2295_25, 2296_22, 272_25, 273_24, 274_22, 275_23, 276_26, 959_24, 960_25, 961_26, 962_23, 963_22	3814_27	 
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	3702_1, 439_3	 	 	3314_7, 3315_6	3313	3974	3074, 3298	1676_15, 1677_16	1678	3798_18	761	 	3037_22, 3038_23, 3039_26, 3040_25, 3041_24, 3255_26, 3256_23, 3257_22, 3258_24, 3259_25, 450_26, 451_23, 452_24, 453_25, 454_22	1783_27	 
Pseudomonas stutzeri CCUG 29243 (1196835.3)	3891_3	 	 	889_6, 890_7	891	246	1127, 905	2401_16, 2402_15	2400	447_18	3518	 	3139_22, 3140_23, 3141_26, 3142_25, 3143_24, 3877_22, 3878_25, 3879_24, 3880_23, 3881_26, 941_25, 942_24, 943_22, 944_23, 945_26	2305_27	 
Pseudomonas stutzeri DSM 10701 (1123519.7)	3562_3	 	 	875_6, 876_7	877	281	2524, 2525, 2613, 3014	1413_15, 1414_16	1415	429_18	3282	3065	1000_26, 1001_23, 1002_22, 3546_22, 3547_25, 3548_24, 3549_23, 3550_26, 998_24, 999_25	2719_27	 
Pseudomonas stutzeri DSM 4166 (996285.3)	3841_1, 465_3	 	 	3425_7, 3426_6	3424	4177	3181, 3405	1796_15, 1797_16	1798	3952_18	814	 	3151_22, 3152_23, 3153_26, 3154_25, 3155_24, 3364_26, 3365_23, 3366_22, 3367_24, 3368_25, 476_26, 477_23, 478_24, 479_25, 480_22	1914_27	 
Pseudomonas stutzeri NF13 (1212548.4)	2814_1, 3526_3	 	 	3871_6, 3872_7	3873	3740	370, 949	2556_15, 2557_16	2558	2726_18	2963	461	1061_22, 1062_23, 1063_26, 1064_25, 1065_24, 1526_25, 1527_24, 1528_22, 1529_23, 1530_26, 3512_26, 3513_23, 3514_24, 3515_25	3199_27	 
Pseudomonas stutzeri RCH2 (644801.3)	3762_3	 	 	1003_6, 1004_7	1005	233	1019, 1241	2532_16, 2533_15	2531	450_18	3422	972	1051_25, 1052_24, 1053_22, 1054_23, 1055_26, 1267_24, 1268_25, 1269_26, 1270_23, 1271_22, 3748_22, 3749_25, 3750_24, 3751_23, 3752_26	2434_27	 
Pseudomonas stutzeri SDM-LAC (1109445.3)	2771_3, 400_1	 	 	3729_6, 3730_7	3731	2913	2086, 2882	3819_16, 3820_15	3818	945_18	1485	 	1322_22, 1323_24, 1324_25, 1325_26, 1326_23, 2214_22, 2215_23, 2216_26, 2217_25, 2218_24, 2758_22, 2759_25, 2760_24, 2761_23, 2762_26, 680_25, 681_24, 682_22, 683_23, 684_26	444_27	 
Pseudomonas stutzeri T13 (1210443.6)	302_1, 4135_3	 	 	3120_6, 3121_7	3122	1512	1949, 2678	4358_16, 4359_15	4357	394_18	2369	3089	1978_25, 1979_24, 1980_22, 1981_23, 1982_26, 4146_26, 4147_23, 4148_24, 4149_25, 4150_22, 81_22, 82_23, 83_26, 84_25, 85_24	4248_27	 
Pseudomonas stutzeri TS44 (477228.3)	135_3	 	 	2137_6, 2138_7	2139	252	1765, 2018	1407_16, 1408_15	1406	548_18	1511	 	1987_26, 1988_23, 1989_22, 1990_24, 1991_25, 522_22, 523_25, 524_24, 525_23, 526_26, 823_22, 824_23, 825_26, 826_25, 827_24	1375_27	 
Pseudomonas stutzeri XLDN-R (1200345.6)	319_3, 4240_1	 	 	2665_7, 2666_6	2664	408	2781, 4098	2306_15, 2307_16	2308	2560_18	1624	2697	2747_26, 2748_23, 2749_22, 2750_24, 2751_25, 303_22, 304_25, 305_24, 306_23, 307_26, 3867_22, 3868_23, 3869_26, 3870_25, 3871_24, 742_24, 743_26, 744_23, 745_22	2261_27	 
Grimontia hollisae CIP 101886 (675812.3)	76_3	 	 	2030_7, 2031_6, 72_6, 73_7	 	75	2036	2038_15, 2039_16	2037	74_18	 	113	 	 	 
Vibrio parahaemolyticus BB22OP (1211705.3)	2965_3	 	 	2961_6, 2962_7, 362_6, 363_7	35	2964	356	353_16, 354_15	355	2963_18	 	17	4068_24, 4069_22, 4070_26, 4071_23, 4073_25	3163_27, 485_27	 
Vibrio parahaemolyticus PCV08-7 (1276919.3)	1940_3	 	 	1936_6, 1937_7, 2475_7, 2476_6	3957	1939	2482	2484_15, 2485_16	2483	1938_18	 	1995	2117_25, 2119_23, 2120_26, 2121_22, 2122_24	1223_27, 2351_27	 
Vibrio parahaemolyticus SNUVpS-1 (1234128.4)	4147_3	 	 	3645_6, 3646_7, 4150_7, 4151_6	4249	2072, 4148	3638	3635_16, 3636_15	3637	4149_18	 	4112	632_25, 634_23, 635_26, 636_22, 637_24	1851_27, 4698_27	 
Vibrio mimicus CAIM 602 (1259812.3)	1743_3	 	 	1739_6, 1740_7, 2726_7, 2727_6	2366	1742	2733	2735_15, 2736_16	2734	1741_18	 	1752, 1753	 	872_27	 
Vibrio mimicus MB-451 (675806.3)	2535_3	 	 	2538_7, 2539_6, 264_6, 265_7	2467	2536	258	255_16, 256_15	257	2537_18	 	2526	 	1985_27	 
Vibrio mimicus VM223 (675820.3)	3969_3	 	 	3650_7, 3651_6, 3972_7, 3973_6	252	3970	3657	3659_15, 3660_16	3658	3971_18	 	3960	 	516_27	 
Vibrio mimicus VM603 (671074.4)	2349_3	 	 	1613_6, 1614_7, 2352_7, 2353_6	2109	2350	1607	1604_16, 1605_15	1606	2351_18	 	2340	 	978_27	 
Vibrio parahaemolyticus AN-5034 (563773.3)	313_3	 	 	1857_6, 1858_7, 309_6, 310_7	1534	312	1850	1847_16, 1848_15	1849	311_18	 	350	3683_24, 3684_22, 3685_26, 3686_23, 3688_25	 	 
Vibrio parahaemolyticus RIMD 2210633 (223926.6)	2948_3	 	 	2944_6, 2945_7, 339_6, 340_7	35	2947	332	329_16, 330_15	331	2946_18	 	19	4073_24, 4074_22, 4075_26, 4076_23, 4078_25	 	 
Stenotrophomonas maltophilia ATCC 19867 (1279018.3)	180_1, 648_2	 	 	178_6, 179_11	177	662	181	183_15, 184_16	185	1503_18	58	1256, 2092	 	 	 
Stenotrophomonas maltophilia Ab55555 (1183154.3)	3591_1, 4160_2	 	 	3588_6, 3589_11	3587	4180	3592	3594_15, 3595_16	3596	726_18	3210	3752, 468	 	 	 
Stenotrophomonas maltophilia D457 (1163399.5)	3594_1, 4122_2	 	 	3591_6, 3592_11	3590	4142	3595	3597_15, 3598_16	3599	759_18	3154	517	 	 	 
Stenotrophomonas maltophilia PML168 (1118235.3)	1387_1, 2805_2	 	 	1388_11, 1389_6	1390	3020	1386	1384_16, 1385_15	1383	1_18	1004	1250, 3378	 	 	 
Stenotrophomonas maltophilia K279a (522373.3)	3692_1	 	 	3689_6, 3690_11	3688	4230	3693	3695_15, 3696_16	3697	832_18	3306	3855, 559	 	 	 
Stenotrophomonas maltophilia R551-3 (391008.4)	3358_2	 	 	3356_6, 3357_7	3355	3903	3359	3361_15, 3362_16	3363	720_18	 	3515	 	 	 
Bilophila wadsworthia 3_1_6 (563192.3)	 	3123	 	1565_6, 1566_7, 2891_6	1567	1227	2309	2306_16, 2307_15	673	2651_18	 	 	2852_24, 2853_25, 2854_26, 2855_23, 2856_22, 3568_24, 3569_25, 3570_26, 3571_23, 3572_22, 378_22, 379_23, 380_26, 381_25, 382_24, 681_22, 682_23, 683_26, 684_25, 685_24	 	 
Desulfovibrio desulfuricans subsp. aestuarii DSM 17919 = ATCC 29578 (1121444.3)	 	2637	 	1754_7, 2480_6, 2481_7, 2588_6, 2589_7	2590	1845	1799	1797_16, 1798_15	1796	3149_18	 	 	713_22, 714_23, 715_26, 716_25, 717_24, 934_22, 935_23, 936_26, 937_25, 938_24	 	 
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774 (525146.4)	2047_3	 	 	2207_6, 2208_7	2211	2462	581	583_16	585	2500_18	 	 	1259_22, 1260_23, 1261_26, 1262_25, 1263_24, 1710_22, 1711_23, 1712_26, 1713_25, 1714_24, 548_22, 549_23, 550_26, 551_25, 552_24	1502_27	 
Desulfovibrio desulfuricans subsp. desulfuricans str. G20 (207559.7)	 	2025	 	2143_7, 2144_6, 3063_7, 401_6, 402_7	2142	108	3151	3152_15, 3153_16	3155	62_18	 	2169	246_22, 248_23, 249_26, 250_25, 251_24, 616_24, 617_25, 618_26, 619_23, 620_22	 	 
Desulfovibrio piger ATCC 29098 (411464.8)	5_3	 	 	1190_6, 1191_7	1192	2200	2311	2313_16	2314	1792_18	 	 	128_22, 129_23, 130_26, 131_25, 132_24, 1717_23, 1718_25, 1719_24, 1721_22, 28_24, 29_25, 30_26, 31_23, 32_22, 357_22, 358_23, 359_26, 360_25, 361_24	 	 
Desulfovibrio sp. 3_1_syn3 (457398.5)	2662_1, 2702_3	 	 	2513_6, 2514_7, 740_6	2515	407	1173	1175_16	1176	50_18	 	 	1978_24, 1979_25, 1980_26, 1981_23, 1982_22, 2057_22, 2058_23, 2059_26, 2060_25, 2061_24, 2386_22, 2387_23, 2388_26, 2389_25, 2390_24	 	 
Arcobacter butzleri ED-1 (944546.4)	1846_1	 	 	1103_6, 1104_7	221	1916	1467, 2162, 433	79_15, 964_16	965	110_18	 	 	 	1282_27	 
Arcobacter butzleri JV22 (888827.3)	1889_1	 	 	755_6, 756_7	1523	1961	1754, 285	1353_15, 616_16	617	1392_18	 	 	 	60_27	 
Arcobacter butzleri RM4018 (367737.6)	1976_2	 	 	1145_6, 1146_7	229	2046	1542, 449	79_15, 999_16	1000	118_18	 	 	 	 	 
Campylobacter coli BIGS0003 (1247729.4)	717_1	 	 	1467_6, 1468_7	112	1103	1126	1128_15, 1129_16	1127	416_18	 	 	1231_24, 1232_25, 1233_26, 1234_23, 1235_22, 1236_22	 	 
Campylobacter coli 1098 (887291.3)	1587_1	 	 	410_7, 411_6	692	156	185	187_15, 188_16	186	1125_18	 	 	1555_22, 1556_23, 1557_26, 1558_25, 1559_24	 	 
Campylobacter coli 111-3 (887280.3)	312_1	 	 	1446_6, 1447_7	1164	14	42	44_15, 45_16	43	1680_18	 	 	1514_22, 1515_23, 1516_26, 1517_25, 1518_24	 	 
Campylobacter coli 1148 (887292.3)	1596_1	 	 	1342_6, 1343_7	738	231	260	262_15, 263_16	261	1218_18	 	 	1704_22, 1705_23, 1706_26, 1707_25, 1708_24	 	 
Campylobacter coli 132-6 (887282.3)	 	 	 	1244_6, 1245_7	1152	313	1010	1007_16, 1008_15	1009	926_18	 	 	881_23, 882_26, 883_25, 884_24	 	 
Campylobacter coli 1417 (887293.3)	803_1	 	 	608_6, 609_7	1251	184	214	216_15, 217_16	215	920_18	 	 	1735_24, 1736_25, 1737_26, 1738_23, 1739_22	 	 
Campylobacter coli 151-9 (887285.3)	31_1	 	 	1102_7, 1103_6	705	246	1247	1249_15, 1250_16	1248	1216_18	 	 	918_24, 919_25, 920_26, 921_23, 922_22	 	 
Campylobacter coli 1891 (887294.3)	1106_1	 	 	1363_6, 1364_7	95	735	706	703_16, 704_15	705	513_18	 	 	355_24, 356_25, 357_26, 358_23	 	 
Campylobacter coli 1909 (887295.3)	752_1	 	 	645_7, 646_6	325	602	631	633_15, 634_16	632	402_18	 	 	1100_22, 1101_23, 1102_26, 1103_25, 1104_24	 	 
Campylobacter coli 1948 (887296.3)	708_1	 	 	535_7, 536_6	1389	304	333	335_15, 336_16	334	116_18	 	 	1186_24, 1187_25, 1188_26, 1189_23, 1190_22	 	 
Campylobacter coli 1957 (887297.3)	335_1	 	 	415_6, 416_7	249	761	790	792_15, 793_16	791	433_18	 	 	1625_22, 1626_23, 1627_26, 1628_25, 1629_24	 	 
Campylobacter coli 1961 (887298.3)	1513_1	 	 	1461_6, 1462_7	35	1602	1573	1570_16, 1571_15	1572	570_18	 	 	791_24, 792_25, 793_26, 794_23, 795_22	 	 
Campylobacter coli 202/04 (887299.3)	987_1	 	 	1356_7, 1357_6	607	1023	1050	1052_15, 1053_16	1051	494_18	 	 	1471_24, 1472_25, 1473_26, 1474_23, 1475_22	 	 
Campylobacter coli 2548 (887315.3)	1356_1	 	 	1233_7, 1234_6	134	236	263	265_15, 266_16	264	927_18	 	 	1385_24, 1386_25, 1387_26, 1388_23	 	 
Campylobacter coli 2553 (887316.3)	1247_1	 	 	368_6, 369_7	436	1427	295	297_15, 298_16	296	1076_18	 	 	816_22, 817_23, 818_26, 819_25, 820_24	 	 
Campylobacter coli 2680 (887317.3)	819_1	 	 	555_6, 556_7	1278	456	483	485_15, 486_16	484	97_18	 	 	372_24, 373_25, 374_26, 375_23, 376_22	 	 
Campylobacter coli 2685 (887318.3)	760_1	 	 	942_6, 943_7	106	445	471	473_15, 474_16	472	1082_18	 	 	1424_24, 1425_25, 1426_26, 1427_23, 1428_22	 	 
Campylobacter coli 2698 (887321.3)	351_1	 	 	386_6, 387_7	1245	421	451	453_15, 454_16	452	1380_18	 	 	353_23, 354_26, 355_25, 356_24	 	 
Campylobacter coli 317/04 (887300.3)	1518_1	 	 	550_7, 551_6	697	836	866	868_15, 869_16	867	1574_18	 	 	1707_24, 1708_25, 1709_26, 1710_23, 1711_22	 	 
Campylobacter coli 37/05 (887301.3)	1333_1	 	 	1278_7, 1279_6	769	1105	1135	1137_15, 1138_16	1136	942_18	 	 	1634_22, 1635_23, 1636_26, 1637_25, 1638_24	 	 
Campylobacter coli 59-2 (887283.3)	729_1	 	 	1419_7, 1420_6, 410_6	1011	867	837	834_16, 835_15	836	314_18	 	 	1092_22, 1093_23, 1094_26, 1095_25, 1096_24	 	 
Campylobacter coli 7--1 (887281.3)	 	 	 	645_6, 646_7	774	206	176	173_16, 174_15	175	411_18	 	 	1513_24, 1514_25, 1515_26, 1516_23, 1517_22	 	 
Campylobacter coli 84-2 (887287.3)	1256_1	 	 	1360_7, 1361_6	899	1029	1001	998_16, 999_15	1000	749_18	 	 	1548_24, 1549_25, 1550_26, 1551_23, 1552_22	 	 
Campylobacter coli 86119 (887289.3)	1748_1	 	 	686_6, 687_7	178	14	42	44_15, 45_16	43	233_18	 	 	609_24, 610_25, 611_26, 612_23, 613_22	 	 
Campylobacter coli 90-3 (887286.3)	892_1	 	 	795_7, 796_6	1272	566	590	592_15, 593_16	591	389_18	 	 	398_24, 399_25, 400_26, 401_23, 402_22	 	 
Campylobacter coli H56 (887312.3)	1633_1	 	 	1403_6, 1404_7	564	1305	1332	1334_15, 1335_16	1333	137_18	 	 	1627_24, 1628_25, 1629_26, 1630_23, 1631_22	 	 
Campylobacter coli H6 (887309.3)	672_1	 	 	454_6, 455_7	264	565	592	594_15, 595_16	593	497_18	 	 	1252_24, 1253_25, 1254_26, 1255_23, 1256_22	 	 
Campylobacter coli LMG 23336 (887303.3)	1319_1	 	 	307_6, 308_7	729	77	50	47_16, 48_15	49	1333_18	 	 	872_22, 873_23, 874_26, 875_25, 876_24	 	 
Campylobacter coli LMG 23341 (887304.3)	1380_1	 	 	523_6, 524_7	713	885	857	854_16, 855_15	856	129_18	 	 	439_22, 440_23, 441_26, 442_25, 443_24	 	 
Campylobacter coli LMG 23342 (887305.3)	1312_1	 	 	161_6, 162_7	397	890	918	920_15, 921_16	919	825_18	 	 	872_24, 873_25, 874_26, 875_23, 876_22	 	 
Campylobacter coli LMG 9853 (887307.3)	1558_1	 	 	1504_7, 1505_6	1075	468	496	498_15, 499_16	497	436_18	 	 	573_24, 574_25, 575_26, 576_23, 577_22	 	 
Campylobacter coli LMG 9854 (887302.3)	829_1	 	 	1024_7, 1025_6	335	1510	1188	1185_16, 1186_15	1187	4_18	 	 	879_22, 880_23, 881_26, 882_25, 883_24	 	 
Campylobacter coli LMG 9860 (887308.3)	585_1	 	 	1247_6, 1248_7	94	303	332	334_15, 335_16	333	1554_18	 	 	1430_24, 1431_25, 1432_26, 1433_23, 1434_22	 	 
Campylobacter coli RM2228 (306254.7)	112_1	 	 	494_6, 495_7	281	1484, 1567	1541	1538_16, 1539_15	1540	833_18	 	 	1319_22, 1320_23, 1321_26, 1322_25, 1323_24	 	 
Campylobacter coli Z156 (887313.3)	1661_1	 	 	423_7, 424_6	790	704	677	674_16, 675_15	676	1559_18	 	 	530_24, 531_25, 532_26, 533_23, 534_22	 	 
Campylobacter coli Z163 (887314.3)	1546_1	 	 	974_6, 975_7	689	309	338	340_15, 341_16	339	166_18	 	 	1361_22, 1362_23, 1363_26, 1364_25, 1365_24	 	 
Campylobacter concisus 13826 (360104.9)	1145_1	 	 	907_6, 908_7	1360	2018	1487	1274_16, 1819_15	1273	1792_18	 	 	 	 	 
Campylobacter concisus UNSWCD (929793.3)	1768_1	 	 	1839_6, 1840_7	440	893	552	1446_16, 638_15	1445	650_18	 	 	 	 	 
Campylobacter curvus 525.92 (360105.8)	876_1	 	 	967_6, 968_7	737	21	451	1796_15, 823_16	824	239_18	 	 	 	 	 
Campylobacter curvus DSM 6644 (1121268.3)	17_1	 	 	512_6, 513_7	1044	1686	1333	95_15, 957_16	956	1915_18	 	 	 	 	 
Campylobacter fetus subsp. fetus 82-40 (360106.6)	717_2	 	 	789_6, 790_7	1100	1704	1308	192_15, 991_16	990	300_18	 	 	394_22, 395_23, 396_26, 397_25, 398_24	1125_27	 
Campylobacter fetus subsp. venerealis NCTC 10354 (983328.4)	853_1, 854_1	 	 	941_6, 942_7	1275	2007	1525	1161_16, 264_15	1160	380_18	 	 	479_22, 480_23, 481_26, 482_25, 483_24	1302_27	 
Campylobacter gracilis RM3268 (553220.3)	1854_1	 	 	981_7, 982_6	1797	2270	2635	136_16, 2273_15	135	1471_18	 	 	 	2674_27	 
Campylobacter hominis ATCC BAA-381 (360107.7)	1325_1	 	 	1119_6, 1120_7	365	1685	475	121_15, 1218_16	1217	1394_18	 	 	 	 	 
Campylobacter jejuni RM1221 (195099.5)	928_2	 	 	676_6, 677_7	734	12	1906	1903_16, 1904_15	1905	318_18	 	 	1173_24, 1174_25, 1175_26, 1176_23, 1177_22, 1178_22	 	 
Campylobacter jejuni str. NCCP No. 15742 (1293289.3)	798_1	 	 	553_6, 554_7	610	12	1640	1637_16, 1638_15	1639	260_18	 	 	984_24, 985_25, 986_26, 987_23, 988_22, 989_22	 	 
Campylobacter jejuni subsp. doylei 269.97 (360109.10)	1178_1	 	 	1096_7, 1097_6	1359	13	2070	2067_16, 2068_15	2069	1687_18	 	 	769_22, 770_22, 771_23, 772_26, 773_25, 774_24	 	 
Campylobacter jejuni subsp. jejuni 04197 (1111075.3)	1312_1	 	 	1623_7, 1624_6	1574	671	650	647_16, 648_15	649	123_18	 	 	348_24, 349_25, 350_26, 351_23, 352_22	 	 
Campylobacter jejuni subsp. jejuni 04199 (1111076.3)	513_1	 	 	1694_7, 1695_6	1639	801	778	775_16, 776_15	777	1059_18	 	 	296_24, 297_25, 298_26, 299_23, 300_22	 	 
Campylobacter jejuni subsp. jejuni 110-21 (889214.3)	937_1	 	 	918_6, 919_7	468	836	815	812_16, 813_15	814	633_18	 	 	26_24, 27_25, 28_26, 29_23, 30_22	 	 
Campylobacter jejuni subsp. jejuni 1213 (889230.3)	1056_2	 	 	423_7, 424_6	119	 	 	 	 	522_18	 	 	1561_24, 1562_25, 1563_26, 1564_23, 1565_22	 	 
Campylobacter jejuni subsp. jejuni 129-258 (889213.3)	206_2	 	 	882_7, 883_6	1529	583	605	607_15, 608_16	606	4_18	 	 	1641_24, 1642_25, 1643_26, 1644_23, 1645_22	 	 
Campylobacter jejuni subsp. jejuni 1336 (683082.3)	250_1, 251_1	 	 	1740_6, 1741_7, 780_6, 781_6	76	56	 	38_16	 	1442_18	 	 	648_24, 649_25, 650_26, 651_23, 652_22, 653_22	 	 
Campylobacter jejuni subsp. jejuni 140-16 (889215.3)	77_1	 	 	1450_6, 1451_7	434	650	669	671_15, 672_16	670	1517_18	 	 	533_24, 534_25, 535_26, 536_23, 537_22, 538_22	 	 
Campylobacter jejuni subsp. jejuni 1854 (889233.3)	117_1	 	 	1398_6, 1399_7	1057	1209	1231	1233_15, 1234_16	1232	244_18	 	 	461_22, 462_22, 463_23, 464_26, 465_25, 466_24	 	 
Campylobacter jejuni subsp. jejuni 1893 (889234.3)	181_1	 	 	391_6, 392_7	787	293	274	271_16, 272_15	273	518_18	 	 	707_22, 708_22, 709_23, 710_26, 711_25, 712_24	 	 
Campylobacter jejuni subsp. jejuni 1997-1 (889221.3)	1167_2	 	 	1012_6, 1013_7	142	403	730	727_16, 728_15	729	500_18	 	 	1393_22, 1394_23, 1395_26, 1396_25, 1397_24	 	 
Campylobacter jejuni subsp. jejuni 1997-11 (889225.3)	887_1	 	 	846_6, 847_7	655	768	470	467_16, 468_15	469	989_18	 	 	903_24, 904_25, 905_26, 906_23, 907_22	 	 
Campylobacter jejuni subsp. jejuni 1997-7 (889223.3)	1076_2	 	 	1036_6, 1037_7	1181	1510	420	422_15, 423_16	421	1353_18	 	 	26_24, 27_25, 28_26, 29_23, 30_22	 	 
Campylobacter jejuni subsp. jejuni 2008-1025 (889250.3)	1556_1	 	 	982_6, 983_7	1420	1112	1091	1088_16, 1089_15	1090	243_18	 	 	545_24, 546_25, 547_26, 548_23, 549_22, 550_22	 	 
Campylobacter jejuni subsp. jejuni 2008-831 (889255.3)	549_1	 	 	847_6, 848_7	1124	617	640	642_15, 643_16	641	1533_18	 	 	268_22, 269_22, 270_23, 271_26, 272_25, 273_24	 	 
Campylobacter jejuni subsp. jejuni 2008-894 (889251.3)	639_1	 	 	563_6, 564_7	484	181	199	201_15, 202_16	200	1304_18	 	 	1414_22, 1415_23, 1416_26, 1417_25, 1418_24	 	 
Campylobacter jejuni subsp. jejuni 51037 (889227.3)	395_1	 	 	209_6, 210_7	809	168	1318	1320_15, 1321_16	1319	1408_18	 	 	1557_22, 1558_23, 1559_26, 1560_25, 1561_24	 	 
Campylobacter jejuni subsp. jejuni 53161 (889220.3)	 	 	 	418_6, 419_7	698	1102	1082	1079_16, 1080_15	1081	171_18	 	 	1559_22, 1560_23, 1561_26, 1562_25, 1563_24	 	 
Campylobacter jejuni subsp. jejuni 55037 (889218.3)	703_1	 	 	794_7, 795_6	49	1382	447	449_15, 450_16	448	1321_18	 	 	1526_22, 1527_23, 1528_26, 1529_25, 1530_24	 	 
Campylobacter jejuni subsp. jejuni 60004 (889217.3)	454_1	 	 	185_7, 186_6	672	1511	492	489_16, 490_15	491	330_18	 	 	19_24, 20_25, 21_26, 22_23, 23_22	 	 
Campylobacter jejuni subsp. jejuni 6399 (1111074.3)	294_1	 	 	761_7, 762_6	1140	60	82	84_15, 85_16	83	384_18	 	 	503_22, 504_23, 505_26, 506_25, 507_24	 	 
Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17)	856_1, 857_1	 	 	591_6, 592_7	654	14	1779	1776_16, 1777_15	1778	287_18	 	 	1053_24, 1054_25, 1055_26, 1056_23, 1057_22, 1058_22	 	 
Campylobacter jejuni subsp. jejuni 81116 (407148.6)	783_2	 	 	545_6, 546_7	600	12	1631	1628_16, 1629_15	1630	252_18	 	 	960_24, 961_25, 962_26, 963_23, 964_22, 965_22	 	 
Campylobacter jejuni subsp. jejuni 84-25 (360110.4)	1553_1	 	 	1015_7, 1016_6	955	1663	1642	1639_16, 1640_15	1641	1319_18	 	 	739_22, 740_23, 741_26, 742_25, 743_24	 	 
Campylobacter jejuni subsp. jejuni 86605 (889219.3)	66_1	 	 	1033_7, 1034_6	791	749	247	244_16, 245_15	246	495_18	 	 	301_22, 302_23, 303_26, 304_25, 305_24	 	 
Campylobacter jejuni subsp. jejuni 87330 (889228.3)	56_1	 	 	410_7, 411_6	1225	489	512	514_15, 515_16	513	663_18	 	 	984_24, 985_25, 986_26, 987_23, 988_22, 989_22	 	 
Campylobacter jejuni subsp. jejuni CG8421 (478547.3)	1164_2	 	 	133_6, 134_6, 135_7	194	510	489	486_16, 487_15	488	876_18	 	 	530_24, 531_25, 532_26, 533_23, 534_22, 535_22	 	 
Campylobacter jejuni subsp. jejuni CG8486 (398000.3)	1187_1	 	 	429_6, 430_6, 431_7	1308	1599, 1600	1573, 1574	1570_16, 1571_15	1572	1052_18	 	 	603_22, 604_22, 605_22, 606_23, 607_26, 608_25, 609_24	 	 
Campylobacter jejuni subsp. jejuni D2600 (1093789.3)	315_1	 	 	136_6, 137_7	1092	798	637	639_15, 640_16	638	408_18	 	 	1593_22, 1594_23, 1595_26, 1596_25, 1597_24	 	 
Campylobacter jejuni subsp. jejuni DFVF1099 (691336.3)	750_1, 751_1	 	 	1106_6, 1107_7	1558	18	1788	1785_16, 1786_15	1787	1239_18	 	 	537_22, 538_22, 539_22, 540_23, 541_26, 542_25, 543_24	 	 
Campylobacter jejuni subsp. jejuni H22082 (885274.3)	977_1	 	 	734_7, 735_6	269	908	1547, 886	1544_15, 1545_15, 883_16, 884_15	1546, 885	162_18	 	 	1151_24, 1152_25, 1153_26, 1154_23, 1155_22	 	 
Campylobacter jejuni subsp. jejuni IA3902 (567106.3)	818_1	 	 	570_6, 571_7	627	13	1681	1678_16, 1679_15	1680	266_18	 	 	1000_26, 1001_23, 1002_22, 1003_22, 998_24, 999_25	 	 
