Organism	ThrA	Asd	Hom	ThrB	ThrC
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 22-17 (984215.3)	1062, 1629, 2088	4552_2	1062, 2088	1063_6	1064
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 40-18 (984216.3)	1252, 3046, 442	1429_2	3046, 442	3047_6	3048
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 42-20 (984233.3)	1311, 2000, 3503	1572_2	1311, 2000	1310_6	1309
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 1-1 (984217.3)	33, 3435, 633	3163_2	33, 3435	3436_6	3437
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 9-7 (984232.3)	1362, 2167, 3465	1640_2	1362, 2167	1363_6	1364
Salmonella enterica subsp. enterica serovar Enteritidis str. 576709 (887063.3)	1003, 1788, 2902	811_2	1788, 2902	2901_6	2900
Salmonella enterica subsp. enterica serovar Enteritidis str. 58-6482 (1116476.3)	1945, 3519, 683	1535_2	1945, 3519	3520_6	3521
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22 (910414.3)	214, 2202, 677	3600_2	214, 677	675_6, 676_6	673, 674
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70 (910415.3)	1221, 1838, 3453	859_2	1838, 3453	3454_6	3455
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2 (887070.3)	1000, 3455, 503	807_2	3455, 503	502_6	501
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6 (891413.3)	1750, 3227, 440	1986_2	1750, 440	439_6	438
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-16 (887068.3)	1242, 3012, 767	3526_2	3012, 767	3013_6	3014
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-19 (887069.3)	1235, 3931, 587	3095_2	3931, 587	3930_6	3929
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-9 (891412.3)	1679, 1826, 189	954_2	1826, 189	188_6	187
Salmonella enterica subsp. enterica serovar Enteritidis str. 62-1976 (1079476.3)	3403, 3788, 794	3075_2	3403, 794	3402_6	3401
Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39 (887064.3)	3466, 3614, 551	773_2	3466, 551	552_6	553
Salmonella enterica subsp. enterica serovar Enteritidis str. 629163 (891414.3)	1343, 1816, 2891	3121_2	1816, 2891	2892_6	2893
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26 (910416.3)	1206, 1598, 3217	744_2	1598, 3217	1599_6	1600
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 (910417.3)	2873, 3202, 3460	382_2	2873, 3460	2874_6	2875
Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58 (887067.3)	1731, 1789, 459	1277_2	1789, 459	458_6	457
Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15 (938147.3)	1160, 2083, 3127	95_2	2083, 3127	3128_6	3129
Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6 (887065.3)	1423, 1925, 2805	993_2	1925, 2805	2806_6	2807
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46 (910418.3)	1013, 479, 652	3081_2	479, 652	653_6	654
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 (910419.3)	126, 1470, 3504	2213_2	126, 3504	127_6	128
Salmonella enterica subsp. enterica serovar Enteritidis str. 640631 (887066.3)	191, 352, 782	3064_2	191, 352	190_6	189
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 4-1 (984218.3)	1384, 1780, 3407	1228_2	1384, 3407	1383_6	1382
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 8-1 (984231.3)	1138, 4346, 978	2389_2	1138, 978	1139_6	1140
Salmonella enterica subsp. enterica serovar Enteritidis str. 642046 4-7 (984219.3)	2568, 488, 902	1549_2	488, 902	903_6	904
Salmonella enterica subsp. enterica serovar Enteritidis str. 648898 4-5 (984220.3)	2336, 4071, 597	4476_2	2336, 597	2337_6	2338
Salmonella enterica subsp. enterica serovar Enteritidis str. 648899 3-17 (984221.3)	1358, 3172, 891	1756_2	1358, 891	890_6	889
Salmonella enterica subsp. enterica serovar Enteritidis str. 648900 1-16 (984222.3)	2282, 2677, 3443	3662_2	2677, 3443	2678_6	2679, 2680
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 1-17 (984223.3)	2230, 3313, 463	1478_2	3313, 463	464_6, 465_6	466
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 16-16 (984234.3)	3422, 380, 4579	1727_2	3422, 380	3421_6	3420
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18 (984230.3)	2921, 3406, 574	891_2	3406, 574	575_6	576
Salmonella enterica subsp. enterica serovar Enteritidis str. 648902 6-8 (984225.3)	1946, 4327, 4724	3784_2	1946, 4327	4326_6	4325
Salmonella enterica subsp. enterica serovar Enteritidis str. 648903 1-6 (984226.3)	2115, 692, 994	3590_2	2115, 692	2116_6	2117
Salmonella enterica subsp. enterica serovar Enteritidis str. 648904 3-6 (984227.3)	1180, 1554, 2667	4511_2	1180, 1554	1553_6	1552
Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18 (984228.3)	1835, 3201, 3963	4401_2	1835, 3963	3964_6	3965
Salmonella enterica subsp. enterica serovar Enteritidis str. 653049 13-19 (984229.3)	3781, 4109, 488	2487_2	4109, 488	4110_6	4111
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-0424 (891411.3)	1910, 3300, 3814	2119_2	1910, 3814	1911_6	1912
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427 (926034.3)	140, 1778, 386	3769_2	140, 386	139_6	138
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-2659 (926035.3)	1383, 1882, 769	601_2	1882, 769	768_6	767
Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757 (926036.3)	191, 614, 977	3867_2	191, 614	613_6	612
Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625 (1079475.3)	1090, 2600, 427	1550_2	1090, 427	1089_6	1088
Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1 (930769.3)	278, 3270, 575	1029_2	3270, 575	576_6	577
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895 (885384.3)	268, 3302, 953	1933_2	268, 3302	267_6	266
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899 (885385.3)	1115, 1868, 250	3146_2	1868, 250	1869_6	1870
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0956 (886723.3)	2013, 3525, 901	2669_2	2013, 3525	3524_6	3523
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968 (886715.3)	1609, 4109, 96	3756_2	1609, 4109	4110_6	4111
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010 (885382.3)	178, 3217, 361	576_2	178, 361	179_6	180
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018 (885381.3)	291, 3690, 486	754_2	291, 486	292_6	293
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441 (882878.3)	1487, 2144, 3201	3836_2	2144, 3201	3202_6	3203
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1444 (886716.3)	3982, 493, 852	3236_2	3982, 493	3983_6	3984
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1445 (886717.3)	3474, 3866, 715	867_2	3474, 715	716_6	717
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1455 (886724.3)	1612, 4107, 602	1248_2	4107, 602	603_6	604
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1457 (885386.3)	1691, 3555, 3702	3350_2	1691, 3555	1692_6	1693
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543 (882877.3)	1515, 168, 3673	776_2	1515, 168	1514_6	1513
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558 (885380.3)	3543, 3983, 422	783_2	3983, 422	3984_6	3985
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1559 (886718.3)	1697, 334, 4700	1208_2	1697, 334	335_6	336
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1565 (886719.3)	267, 3165, 833	3507_2	267, 833	266_6	265
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566 (882875.3)	1717, 500, 596, 597	981_2	500, 596, 597	595_6	594
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1575 (886725.3)	316, 3717, 478	2837_2	316, 3717	3718_6	3719
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580 (882876.3)	1501, 161, 3756	3301_2	1501, 161	1502_6	1503
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594 (882874.3)	123, 4199, 4576	1249_2	123, 4199	4198_6	4197
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1725 (886726.3)	1615, 189, 720	839_2	1615, 189	1614_6	1613
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729 (885383.3)	118, 1539, 3211	3644_2	118, 1539	117_6	116
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1745 (886727.3)	340, 3645, 624	3111_2	340, 624	339_6	338
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1747 (885387.3)	267, 3716, 404	3428_2	267, 404	268_6	269
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1791 (886728.3)	1689, 263, 3937	964_2	1689, 263	262_6	261
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1795 (886720.3)	2888, 3336, 3959	348_2	3336, 3959	3337_6	3338
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1808 (886721.3)	2249, 4014, 776	3039_2	4014, 776	777_6	778
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810 (882879.3)	2981, 3074, 3456	346_2	2981, 3456	2982_6	2983
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1811 (886722.3)	1108, 4041, 630	3084_2	4041, 630	629_6	628
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882 (882872.3)	1063, 253, 377	3117_2	253, 377	254_6	255
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884 (882873.3)	1532, 3601, 644	3427_2	1532, 3601	3600_6	3599
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS4 (984213.3)	1583, 58, 604	1385_2	1583, 58	57_6	56
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44 (702979.3)	1073, 474, 928	4255_2	1073, 474	475_6	476
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_56-3991 (925128.3)	1744, 2863, 701	3087_2	1744, 2863	2862_6	2861
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_69-4941 (930768.3)	2682, 363, 3808	2346_2	2682, 3808	2683_6	2684
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_76-3618 (925129.3)	1101, 1720, 4114	1567_2	1101, 1720	1719_6	1718
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_81-2490 (925131.3)	1088, 3456, 4211	3805_2	3456, 4211	3457_6	3458
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_N202 (925127.3)	1864, 4045, 4167	1109_2	4045, 4167	4166_6	4165
Salmonella enterica subsp. enterica serovar Enteritidis str. LA5 (1147754.3)	2357, 2467, 370	3560_2	2357, 370	371_6	372
Salmonella enterica subsp. enterica serovar Enteritidis str. PT23 (696868.4)	2464, 4358, 909	1850_2	4358, 909	910_6	911
Salmonella enterica subsp. enterica serovar Enteritidis str. SARB17 (1029984.3)	2032, 3310, 551	2473_2, 299_2	2032, 551	2031_6	2030
Salmonella enterica subsp. enterica serovar Enteritidis str. SE10 (696865.3)	1623, 2049, 2209	826_2	1623, 2209	3558_6	3559
Salmonella enterica subsp. enterica serovar Enteritidis str. SE15-1 (925126.3)	2234, 4361, 743	3594_2	2234, 743	2235_6	2236
Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a (696870.3)	2053, 856, 937	1815_2	2053, 856	857_6	858, 859
Salmonella enterica subsp. enterica serovar Enteritidis str. SL909 (925132.3)	2000, 3417, 3908	3814_2	2000, 3908	2001_6	2002
Salmonella enterica subsp. enterica serovar Enteritidis str. SL913 (925133.3)	3411, 415, 915	1309_2	3411, 915	3412_6	3413
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078 (1081093.3)	1, 3637, 4303	4130_2	1, 3637	2_6	3
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 (550538.5)	1, 3515, 4318	4142_2	1, 3515	2_6	3
Salmonella enterica subsp. enterica serovar Gallinarum str. 9 (909947.3)	1, 3558, 4358	4183_2	1, 3558	2_6	3
Salmonella enterica subsp. enterica serovar Gallinarum str. 9184 (685040.3)	2490, 356, 4354	1612_2	356, 4354	357_6	358
Salmonella enterica subsp. enterica serovar Hadar str. 2011K-0112 (1212559.4)	270, 3168, 4088	2926_2	270, 3168	269_6	268
Salmonella enterica subsp. enterica serovar Hadar str. 2012K-0272 (1328328.3)	118, 2555, 300	4422_2	118, 300	301_6	302
Salmonella enterica subsp. enterica serovar Hartford str. 06-0676 (1212557.4)	3195, 3580, 581	1306_2, 1586_2	3195, 3580	3196_6	3197
Salmonella enterica subsp. enterica serovar Hartford str. 2012K-0272 (1328329.3)	1047, 652, 743	3606_2, 3899_2	1047, 743	742_6	741
Salmonella enterica subsp. enterica serovar Heidelberg str. 41563 (1124941.3)	1151, 1631, 4726	1343_2, 3008_2	1151, 1631	1152_6	1153
Salmonella enterica subsp. enterica serovar Heidelberg str. 41565 (1128963.3)	1941, 3528, 724	4785_2, 97_2	3528, 724	723_6	722
Salmonella enterica subsp. enterica serovar Heidelberg str. 41566 (1124942.3)	1133, 2420, 508	1826_2, 4903_2	2420, 508	507_6	506
Salmonella enterica subsp. enterica serovar Heidelberg str. 41573 (1128959.3)	2282, 2708, 455	1567_2, 1963_2	2282, 2708	2709_6	2710
Salmonella enterica subsp. enterica serovar Heidelberg str. 41579 (1124937.3)	1258, 3950, 4643	1190_2, 3539_2	1258, 4643	4644_6	4645
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 (1160717.4)	212, 320, 693	3183_2, 4335_2	212, 693	694_6	695
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00322 (1182164.3)	1094, 2575, 4081	132_2, 3485_2	1094, 2575	1093_6	1092
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00325 (1182167.3)	2463, 3736, 751	1871_2, 2293_2	2463, 3736	3737_6	3738
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00326 (1182168.3)	1046, 3252, 3702	1320_2, 280_2	1046, 3702	3701_6	3700
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00328 (1182170.3)	117, 1206, 1635	3453_2, 3999_2	1206, 1635	1634_6	1633
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 (454169.8)	4212, 4312, 78	2522_2, 3651_2	4212, 78	79_6	80
Salmonella enterica subsp. enterica serovar Infantis str. SARB27 (596155.6)	1, 4214, 4333	3631_2	1, 4214	2_6	3
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188 (439842.10)	3888, 3995, 4383	3312_2	3888, 4383	4384_6	4385
Salmonella enterica subsp. enterica serovar Mbandaka str. 2009K-0807 (1235459.3)	1325, 3074, 3347	2482_2	3074, 3347	3075_6	3076
Salmonella enterica subsp. enterica serovar Mississippi str. 2010K-1406 (1212561.4)	2644, 3668, 3724	1333_2	2644, 3724	2643_6	2642
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	1752, 2949, 4566	2276_2, 2604_2	2949, 4566	2950_6	2951
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	116, 4167, 967	2838_2	116, 4167	4168_6	4169
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	2895, 3306, 3594	629_2, 878_2	3306, 3594	3307_6	3308
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	2079, 3135, 4491	1321_2, 325_2	2079, 4491	4490_6	4489
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	2153, 2792, 2859	1016_2, 571_2	2792, 2859	2791_6	2790
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	1818, 2314, 931	4254_2	2314, 931	932_6	933
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	1559, 3694, 4216	1504_2	3694, 4216	3695_6	3696
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	1, 894, 983	3534_2, 356_2	1, 894	2_6	3
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	1346, 2816, 929	2229_2, 596_2	2816, 929	928_6	927
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	3016, 4092, 4593	3393_2, 643_2	4092, 4593	4093_6	4094
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	1165, 1947, 2880	1313_2, 1560_2	1947, 2880	1948_6, 1949_6	1950
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	1, 2492, 2570	1945_2	1, 2492	2_6	3
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	3730, 623, 907	250_2, 3929_2	3730, 907	908_6	909
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	1244, 1926, 3494	1559_2, 4283_2	1244, 1926	1245_6	1246
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	2332, 3783, 3964	4413_2, 457_2	2332, 3964	3965_6	3966
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	1792, 2200, 4308	3099_2, 3483_2	2200, 4308	2201_6	2202
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	1998, 2408, 831	1590_2, 2970_2	2408, 831	2409_6	2410
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	2823, 461, 50	1768_2, 2686_2	2823, 461	462_6	463
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	2835, 3723, 728	4409_2	2835, 728	729_6	730
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	1612, 3129, 544	633_2	3129, 544	543_6	542
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	1129, 1603, 1994	1447_2	1129, 1603	1602_6	1601
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	203, 44, 596	1368_2	203, 596	595_6	594
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	208, 2409, 934	1379_2	208, 2409	2410_6	2411
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	4530, 4846, 966	3184_2	4846, 966	967_6	968
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	116, 3423, 472	4231_2	116, 472	473_6	474
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	2260, 3480, 688	4179_2	2260, 688	689_6	690
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	2653, 3139, 4548	1332_2	2653, 4548	2654_6	2655
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	3696, 4492, 71	4107_2	4492, 71	70_6	69
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	4355, 462, 78	2937_2	4355, 462	463_6	464
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	2287, 2655, 545	812_2	2655, 545	544_6	543
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	1924, 2239, 4518	3362_2	2239, 4518	2238_6	2237
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	175, 1761, 2241	1202_2, 304_2	175, 1761	1760_6	1759
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	2163, 2711, 474	1570_2	2163, 474	475_6	476
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	2284, 2729, 4278	1436_2	2284, 4278	4279_6	4280
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	2688, 30, 3078	1851_2, 3329_2	2688, 30	2687_6	2686
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	2594, 3022, 3407	691_2	2594, 3022	3021_6	3020
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	1753, 1862, 273	1161_2	1753, 273	274_6	275
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	1327, 3305, 4073	3209_2, 854_2	1327, 3305	3306_6	3307
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	1812, 3053, 4313	2423_2, 4148_2	1812, 4313	1813_6, 1814_6	1815
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	1790, 4586, 897	3840_2, 4283_2	1790, 897	898_6	899
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	243, 3214, 3602	1384_2, 3882_2	243, 3214	3213_6	3212
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	120, 2710, 4050	2826_2, 4157_2	120, 2710	2711_6	2712
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	1878, 2196, 789	4498_2	1878, 2196	2197_6	2198
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	167, 4281, 4825	1600_2	4281, 4825	4280_6	4279
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	23, 411, 4526	738_2	411, 4526	412_6	413
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	1741, 2566, 3608	3421_2	1741, 2566	1740_6	1739
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	1472, 1867, 4087	3352_2	1867, 4087	1868_6	1869
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	2470, 4014, 4522	2619_2	2470, 4522	2471_6	2472
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	190, 4102, 42	2959_2, 4372_2	190, 4102	4101_6	4100
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	1927, 3892, 4363	323_2, 4156_2	1927, 3892	3891_6	3890
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	1215, 3638, 4515	1562_2	1215, 3638	1216_6	1217
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	159, 4424, 4535	3828_2	159, 4424	160_6	161
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	1755, 3852, 4315	2369_2, 3005_2	1755, 4315	1754_6	1753
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	2093, 2478, 4127	2822_2	2478, 4127	2479_6	2480
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	1, 4160, 4246	3567_2	1, 4160	2_6	3
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	1, 4198, 4285	3603_2	1, 4198	2_6	3
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	1, 4192, 4281	3592_2	1, 4192	2_6	3
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	4133, 4215, 4616	3539_2	4133, 4616	4617_6	4618
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	4164, 4247, 4640	3532_2	4164, 4640	4641_6	4642
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	4169, 4251, 4648	3532_2	4169, 4648	4649_6	4650
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	4137, 4220, 4616	3512_2, 471_2	4137, 4616	4617_6	4618
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	1, 4115, 4203	3556_2	1, 4115	2_6	3
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	4271, 4342, 60	1378_2, 3661_2	4271, 60	61_6	62
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	3232, 4251, 782	1358_2	3232, 782	3231_6	3230
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	3169, 4290, 515	3340_2	3169, 515	3170_6	3171
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	4605, 483, 74	4029_2	4605, 483	484_6	485
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	125, 4271, 4350	3710_2	125, 4271	126_6	127
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	125, 4291, 4371	3726_2	125, 4291	126_6	127
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	3, 3887, 4387	1123_2	3, 4387	4388_6	4389
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	1405, 4566, 594	2964_2, 3850_2	1405, 4566	4567_6	4568
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	1332, 2901, 3719	1011_2	1332, 2901	1333_6	1334
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	3036, 3920, 4553	128_2	3920, 4553	3919_6	3918
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	2259, 4097, 792	1035_2	2259, 792	793_6	794
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1109, 2040, 4621	3714_2	1109, 4621	4620_6	4619
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	1, 3844, 4516	4364_2	1, 3844	2_6	3
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	1155, 2554, 2555, 3726	3234_2	2554, 2555, 3726	2553_6	2552
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	1, 3746, 4419	4266_2	1, 3746	2_6	3
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	2295, 3333, 4227	2414_2	2295, 4227	2294_6	2293
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	1, 3799, 4467	4314_2	1, 3799	2_6	3
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	1, 3738, 4420	4266_2, 538_2	1, 3738	2_6	3
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	1, 4365, 4483	3783_2	1, 4365	2_6	3
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	1, 4339, 4457	3755_2	1, 4339	2_6	3
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	1, 4323, 4440	3741_2	1, 4323	2_6	3
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	136, 4479, 4597	3895_2	136, 4479	137_6	138
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	1, 4508, 4629	3903_2	1, 4508	2_6	3
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	4196, 4317, 4689	3541_2	4196, 4689	4690_6	4691
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	4, 4175, 4290	3601_2	4, 4175	5_6	6
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	4123, 4239, 4643	3560_2	4123, 4643	4644_6	4645
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	2, 4205, 4322	3617_2	2, 4205	3_6	4
