Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Acinetobacter baumannii ZWS1219 (1224141.3)	3289_1	2455_23_6	1863_9	2456_10_13	 	2456_10_13	2455_23_6	111_16, 1578_21, 1593_21, 231_21, 2475_21, 276_21, 3473_21, 3538_21, 691_20	2455_23_6	 	2207_27	 	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	1192_1	1780_23	2611_9	1779_10_13	 	1779_10_13	1780_23	1758_21, 2008_21, 2100_21, 2814_21, 2851_21, 2866_21, 2994_21, 3771_20, 791_16, 931_21, 996_21	1780_23	 	2141_27	 	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	3353_1	604_23	1318_9	603_10_13	 	603_10_13	604_23	1588_21, 1618_21, 1632_21, 1724_21, 2429_20, 2836_21, 2969_16, 3107_21, 3173_21, 583_21, 939_21	604_23	 	 	 	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	498_1	3275_23	2581_9	3276_10_13	 	3276_10_13	3275_23	1033_21, 1444_20, 2238_21, 2326_21, 2342_21, 2378_21, 2968_21, 3297_21, 698_21, 763_21, 902_16	3275_23	 	 	 	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	2655_1	1762_23_6	1054	1763_10_13	 	1763_10_13	1762_23_6	2994_16, 3531_20	1762_23_6	 	1432_27	 	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	1581_1	587_23	3105_9	586_10_13	 	586_10_13	587_23	209_21, 2097_21, 2163_21, 2609_16, 2759_21, 2852_21, 2866_21, 2899_21, 565_21, 72_20, 815_21, 908_21	587_23	 	 	 	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	2905_1	2039_23	378_9	2040_10_13	 	2040_10_13	2039_23	1285_20, 1580_21, 1581_21, 1727_21, 2062_21, 3101_21, 3169_21, 3580_16, 580_21, 616_21, 629_21, 721_21	2039_23	 	 	 	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	1062_1	2744_23	666_9	2743_10_13	 	2743_10_13	2744_23	1265_21, 1331_21, 1921_16, 2721_21, 2979_21, 307_21, 3073_21, 3377_20, 415_21, 429_21, 466_21	2744_23	 	3114_27	 	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	2300_1	503_23	1157_9	502_10_13	 	502_10_13	503_23	1221_20, 1919_21, 2039_21, 2052_21, 2492_21, 2581_21, 2636_21, 3441_21, 3486_16, 482_21, 797_21	503_23	 	842_27	 	 
Acinetobacter pittii ANC 3678 (1217673.3)	847_1	1485_23	2054_9	1484_10_13	 	1484_10_13	1485_23	131_21, 1465_21, 1773_21, 2255_21, 2291_21, 2311_21, 2421_21, 3116_20, 3328_16, 3384_21, 574_21, 650_21	1485_23	 	1815_27	 	 
Acinetobacter pittii ANC 4050 (1217691.3)	3099_1	375_23	1042_9	374_10_13	 	374_10_13	375_23	1241_21, 1277_21, 1293_21, 1419_21, 2216_20, 2606_21, 2722_16, 2857_21, 2919_21, 617_21	375_23	 	658_27	 	 
Acinetobacter pittii ANC 4052 (1217689.3)	568_1	3263_23	2474_9	3264_10_13	 	3264_10_13	3263_23	1102_21, 1504_20, 2221_21, 2236_21, 2272_21, 2999_21, 3284_21, 758_21, 832_21, 971_16	3263_23	 	 	 	 
Acinetobacter pittii CIP 70.29 (1217672.3)	992_1	2502_23	192_9	2501_10_13	 	2501_10_13	2502_23	1177_21, 1247_21, 1687_21, 1777_21, 1821_16, 2481_21, 2778_21, 3103_20, 397_21, 433_21, 446_21, 570_21	2502_23	 	2822_27	 	 
Acinetobacter pittii D499 (1086014.3)	365_1	1317_23	2026_9	1316_10_13	 	1316_10_13	1317_23	1297_21, 1598_21, 171_21, 2230_21, 2267_21, 2280_21, 2390_21, 3149_20, 3579_21, 3668_21, 3704_16, 86_21	1317_23	 	1642_27	 	 
Acinetobacter pittii TG6411 (1221309.3)	3648_1	276_23	1973_9	277_10_13	 	277_10_13	276_23	1068_21, 1179_21, 1193_21, 1790_21, 2269_21, 2827_20, 2924_21, 296_21, 3322_16, 3334_21, 962_21	276_23	 	1005_27	 	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	2245_1	162_23_6	732_9	161_10_13	 	161_10_13	162_23_6	1085_21, 141_21, 2119_21, 2433_21, 2502_21, 3226_16, 3289_20, 391_21, 483_21, 499_21, 535_21	162_23_6	 	 	 	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	1559_1	14_23_6	214_9	13_10_13	 	13_10_13	14_23_6	136_21, 1494_21, 1719_21, 1834_16, 23_21, 2387_20, 425_21, 567_21	14_23_6	 	 	 	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	683_1	1388_23	1211_9	1389_10_13	 	1389_10_13	1388_23	1292_21, 1492_21, 1510_20, 2189_21, 301_16, 856_21, 884_21, 892_21, 930_21	1388_23	 	2406_27	 	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	509_1	2275_23	1983_9	2276_10_13	 	2276_10_13	2275_23	1539_21, 1749_21, 2069_21, 2214_21, 2953_20, 3345_16, 693_21, 721_21, 730_21, 781_21	2275_23	 	1025_27	 	 
Acinetobacter haemolyticus TG21157 (1221299.3)	862_1	3132_23_6	2965_9	3133_10_13	 	3133_10_13	3132_23_6	1812_16, 2281_21, 2626_21, 2938_20, 295_21, 31_21, 75_21	3132_23_6	 	1323_27	 	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	213_1	2226_23	844_9	2228_10_13	 	2228_10_13	2226_23	1150_21, 1203_21, 1708_16, 1790_21, 2227_17, 2277_21, 2942_20, 373_21, 410_21	2226_23	 	1705_27	 	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	3225_1	2127_23	482_9	2125_10_13	 	2125_10_13	2127_23	1327_16, 1416_21, 1530_20, 2069_21, 2126_17, 3435_21, 3471_21, 713_21	2127_23	 	1324_27, 1326_27	 	 
Acinetobacter johnsonii SH046 (575586.4)	2521_1	1263_23	8_9	1261_10_13	 	1261_10_13	1263_23	125_21, 1262_17, 2666_21, 2703_21, 623_16, 716_21, 900_20	1263_23	 	 	 	 
Acinetobacter junii CIP 107470 (1217666.3)	1104_1	1681_23	3239_9	1682_10_13	 	1682_10_13	1681_23	1304_21, 1338_21, 1343_21, 1406_21, 1766_21, 2810_20, 2938_21, 389_16	1681_23	 	3135_27, 651_27	 	 
Acinetobacter junii CIP 64.5 (1217664.3)	2609_1	1543_23	1328_9	1544_10_13	 	1544_10_13	1543_23	1671_21, 2825_21, 2887_21, 306_21, 3085_16, 954_20	1543_23	 	1225_27, 2188_27	 	 
Acinetobacter junii NIPH 182 (1217665.3)	662_1	1680_23	1882_9	1679_10_13	 	1679_10_13	1680_23	1480_21, 2081_21, 2732_16, 448_21, 494_21, 874_20	1680_23	 	1982_27	 	 
Acinetobacter junii SH205 (575587.3)	2159_1	697_23	872_9	696_10_13	 	696_10_13	697_23	1111_21, 1768_20, 1905_21, 1961_21, 2889_16, 559_21	697_23	 	 	 	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	3318_1	787_23	2554_9	789_10_13	 	789_10_13	787_23	2076_20, 2274_21, 2635_21, 788_17	787_23	 	1871_27	 	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	1741_1	30_23	1918_9	32_10_13	 	32_10_13	30_23	1716_21, 2387_21, 2599_21, 2925_20, 31_17	30_23	 	 	 	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	2825_1	663_23	928_9	661_10_13	 	661_10_13	663_23	1005_21, 1976_20, 2675_21, 662_17, 699_21	663_23	 	1759_27	 	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	2634_1	2007_23	1669_9	2009_10_13	 	2009_10_13	2007_23	1492_20, 1596_21, 1967_21, 2008_17, 2786_21	2007_23	 	1257_27	 	 
Acinetobacter lwoffii SH145 (575588.3)	2188_1	428_23	1603_9	430_10_13	 	430_10_13	428_23	1547_21, 392_21, 429_17, 749_20	428_23	 	 	 	 
Acinetobacter lwoffii TG19636 (1221307.3)	1049_1	385_23	1210_9	387_10_13	 	387_10_13	385_23	1282_21, 3252_20, 386_17, 740_21, 797_21	385_23	 	990_27	 	 
Acinetobacter lwoffii WJ10621 (1046625.3)	2410_1	1055_23	495_9	1057_10_13	 	1057_10_13	1055_23	1056_17, 1576_20, 1776_21, 1832_16, 2486_21, 273_21	1055_23	 	 	 	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	582_1	2896_23	1322_9	2897_10_13	 	2897_10_13	2896_23	1370_21, 1384_16, 1457_21, 1481_21, 1505_21, 2118_20	2896_23	 	 	 	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	1826_1	2630_23_6	270	2629_10_13	 	2629_10_13	2630_23_6	1652_21, 2068_20, 209_16, 223_21	2630_23_6	 	 	 	 
Acinetobacter radioresistens SH164 (575589.3)	2385_1	1102_23_6	66	1101_10_13	 	1101_10_13	1102_23_6	904_16, 971_20	1102_23_6	 	 	 	 
Acinetobacter radioresistens SK82 (596318.3)	2028_1	2830_23_6	879	2829_10_13	 	2829_10_13	2830_23_6	239_20, 28_21, 957_21, 971_16	2830_23_6	 	 	 	 
Acinetobacter radioresistens TG02010 (1221310.3)	23_1	1679_23	1832_9	1680_10_13	 	1680_10_13	1679_23	145_21, 1475_20, 2133_16, 2147_21, 2200_21, 2224_21	1679_23	 	 	 	 
Acinetobacter radioresistens WC-A-157 (903900.3)	2593_1	1225_23	255_9	1224_10_13	 	1224_10_13	1225_23	1565_20, 2078_21, 2423_21, 2445_21, 2469_21, 304_21, 318_16	1225_23	 	 	1240_28	 
Moraxella catarrhalis 101P30B1 (857572.3)	1498_1	1901_23_6	1173_9	1902_10_13	 	1902_10_13	1901_23_6	1086_20	1901_23_6	 	 	 	 
Moraxella catarrhalis 103P14B1 (857579.3)	1519_1	1779_23_6	1856_9	1778_10_13	 	1778_10_13	1779_23_6	1697_21, 944_20	1779_23_6	 	 	 	 
Moraxella catarrhalis 12P80B1 (857577.3)	315_1	1415_23	1677	1416_10_13, 1417_10_13	 	1416_10_13, 1417_10_13	1415_23	1706_21, 193_20	1415_23	 	 	 	 
Moraxella catarrhalis 46P47B1 (857578.3)	1611_1	1565_23_6	1874	1564_10_13	 	1564_10_13	1565_23_6	135_20	1565_23_6	 	 	 	 
Moraxella catarrhalis 7169 (857581.3)	1805_1	1222_23_6	1519_9	1221_10_13	 	1221_10_13	1222_23_6	1924_20	1222_23_6	 	 	 	 
Moraxella catarrhalis BC1 (857576.3)	941_1	1908_23_6	377_9, 378_9	1909_10_13	 	1909_10_13	1908_23_6	282_20	1908_23_6	 	 	 	 
Moraxella catarrhalis BC7 (857575.3)	1638_1	1100_23	827	1101_10_13	 	1101_10_13	1100_23	1304_20	1100_23	 	 	 	 
Moraxella catarrhalis BC8 (857574.3)	1820_1	722_23_6	913	723_10_13	 	723_10_13	722_23_6	1939_20	722_23_6	 	 	 	 
Moraxella catarrhalis CO72 (857573.3)	1994_1	401_23	717_9	400_10_13	 	400_10_13	401_23	1721_20	401_23	 	 	 	 
Moraxella catarrhalis O35E (857571.5)	1405_1	882_23_6	1120_9	881_10_13	 	881_10_13	882_23_6	1674_20	882_23_6	 	 	 	 
Moraxella catarrhalis RH4 (749219.3)	1430_1	889_23_6	1148	888_10_13	 	888_10_13	889_23_6	1730_20	889_23_6	 	 	 	 
Pseudomonas aeruginosa 152504 (983919.3)	6229_1	5769_23	3355	5771_10_13	4551_13_12	4551_13_12, 5771_10_13	5769_23	2584_20, 2778_21, 3071_21, 3144_21, 4192_16, 5345_19, 5770_17, 6143_21	5769_23	 	1894_27	 	 
Pseudomonas aeruginosa 18A (1286151.3)	2631_1	5153_23	5483	5155_10_13	5452_14	5155_10_13, 5452_14	5153_23	1332_21, 1971_21, 2119_21, 2543_21, 3504_20, 3780_19, 3890_21, 4304_21, 5141_16, 5510_21	5153_23	 	3133_27	 	 
Pseudomonas aeruginosa 19BR (1051003.3)	5750_1	3642_23_6	1753	3644_10_13	3974_14	3644_10_13, 3974_14	3642_23_6	2133_21, 3621_16, 4693_21, 4728_21, 5021_20, 6011_21, 6166_21	3642_23_6	 	 	 	 
Pseudomonas aeruginosa 213BR (1051004.3)	5716_1	3666_23_6	1791	3668_10_13	3998_14	3668_10_13, 3998_14	3666_23_6	2171_21, 3646_16, 4665_21, 4700_21, 4992_20, 5977_21, 6132_21	3666_23_6	 	 	 	 
Pseudomonas aeruginosa 39016 (798130.4)	3986_1	1728_23	6062	1730_10_13	2060_13_12	1730_10_13, 2060_13_12	1728_23	1297_21, 2809_21, 2842_21, 2983_21, 3217_20, 3898_21, 4262_21, 4447_21, 5144_21, 855_19	1728_23	43_26	275_27	43_26	 
Pseudomonas aeruginosa 9BR (1051005.3)	5811_1	3667_23_6	1831	3669_10_13	3998_14	3669_10_13, 3998_14	3667_23_6	2207_21, 3646_16, 4754_21, 4789_21, 5083_20, 6072_21, 6227_21	3667_23_6	 	 	 	 
Pseudomonas aeruginosa AH16 (1208103.3)	132_1	5024_23	4909	5026_10_13	2143_13_12	2143_13_12, 5026_10_13	5024_23	2957_21, 3514_21, 3733_20, 390_21, 4882_21, 5025_17, 5540_21, 911_21	5024_23	6209_26	 	6209_26	 
Pseudomonas aeruginosa ATCC 14886 (1163392.3)	5587_1	1905_23	3624	1903_10_13	1685_13_12	1685_13_12, 1903_10_13	1905_23	1918_16, 284_21, 3652_21, 4805_20, 820_21, 882_21	1905_23	 	199_27	 	 
Pseudomonas aeruginosa B136-33 (1280938.3)	5401_1	1841_23	3424_9	1839_10_13	1501_13_12	1501_13_12, 1839_10_13	1841_23	1840_17, 1848_16, 2509_19, 272_21, 3047_21, 3455_21, 4288_21, 4664_20, 5333_21, 5656_21, 5809_21, 788_21, 825_21	1841_23	3166_26	2996_27	3166_26	 
Pseudomonas aeruginosa CI27 (1163396.3)	5704_1	1953_23_6	3584	1951_10_13	1610_14	1610_14, 1951_10_13	1953_23_6	259_21, 2667_19, 3183_21, 3615_21, 4974_20, 5959_21, 6111_21, 841_21, 883_21	1953_23_6	3299_26	3132_27	3299_26	 
Pseudomonas aeruginosa DK2 (1093787.3)	5407_1	1751_23	3507	1749_10_13	1421_13_12	1421_13_12, 1749_10_13	1751_23	1765_16, 3139_21, 4700_20, 5338_21, 5665_21, 5842_21	1751_23	 	 	 	 
Pseudomonas aeruginosa DQ8 (1211113.3)	859_1	6157_23_6	4541_9	6155_10_13	5170_13_12	5170_13_12, 6155_10_13	6157_23_6	1160_19, 1598_21, 1663_21, 2736_21, 3638_21_16, 3638_21_16, 3969_20, 4720_21, 4853_21, 6091_21, 6156_17, 6180_16	6157_23_6	 	1139_27	 	 
Pseudomonas aeruginosa E2 (1163395.3)	5247_1	1782_23	3326	1780_10_13	1457_13_12	1457_13_12, 1780_10_13	1782_23	1794_16, 2463_19, 2878_21, 3056_21, 4617_20, 5687_21, 772_21	1782_23	2992_26	237_27	2992_26	 
Pseudomonas aeruginosa LCT-PA102 (1168061.3)	2710_1	5093_23	676	5091_10_13	4764_13_12	4764_13_12, 5091_10_13	5093_23	2072_20, 2640_21, 2967_21, 310_21, 3122_21	5093_23	430_26	 	430_26	 
Pseudomonas aeruginosa LESB58 (557722.4)	5581_1	1980_23_6	3759	1978_10_13	1592_13_12	1592_13_12, 1978_10_13	1980_23_6	1979_17_20, 1979_17_20, 1992_16, 2392_21, 274_21, 4580_21, 4953_20, 5990_21, 795_21	1980_23_6	 	3337_27	 	 
Pseudomonas aeruginosa M18 (941193.4)	5336_1	1883_23	3499	1881_10_13	1552_13_12	1552_13_12, 1881_10_13	1883_23	276_21, 3130_21, 4701_20, 5743_21, 798_21, 835_21	1883_23	 	 	 	 
Pseudomonas aeruginosa MRW44.1 (1198629.3)	258_1	741_23	2408	739_10_13	5822_13_12	5822_13_12, 739_10_13	741_23	1151_21, 2381_21, 2807_20, 4407_21, 740_17, 761_16	741_23	 	 	 	 
Pseudomonas aeruginosa MSH-10 (1331059.3)	5136_1	1160_23	2873	1158_10_13	822_13_12	1158_10_13, 822_13_12	1160_23	1159_17, 1176_16, 118_21, 155_21, 1914_19, 2901_21, 3699_21, 5871_20	1160_23	2559_26	 	2559_26	 
Pseudomonas aeruginosa NCGM2.S1 (1089456.3)	475_1	4248_23	2557	4250_10_13	4586_13_12	4250_10_13, 4586_13_12	4248_23	1145_20, 347_21, 3525_19, 5311_21, 5347_21, 545_21, 6022_21	4248_23	2812_26	3032_27	2812_26	 
Pseudomonas aeruginosa NCMG1179 (1078464.3)	5363_1	3721_23	2069	3723_10_13	4044_13_12	3723_10_13, 4044_13_12	3721_23	127_21, 2041_21, 2429_21, 5994_20, 6177_21	3721_23	2313_26	2477_27	2313_26	 
Pseudomonas aeruginosa PA14 (652611.13)	5666_1	3208_23_6	1597	3210_10_13	3549_14	3210_10_13, 3549_14	3208_23_6	1567_21, 1969_21, 2495_19, 3196_16, 3209_17, 356_20, 4257_21, 4299_21, 4823_21, 5261_21, 5412_21, 740_21	3208_23_6	1850_26	2020_27	1850_26	 
Pseudomonas aeruginosa PA21_ST175 (1285581.3)	1967_1	5520_23	1583	5518_10_13	 	5518_10_13	5520_23	1556_21, 2397_20, 3603_19, 3928_21, 5386_21, 5534_16, 6113_21	5520_23	 	4365_27	 	 
Pseudomonas aeruginosa PA45 (1295076.3)	4822_1	2435_23	755	2437_10_13	2763_13_12	2437_10_13, 2763_13_12	2435_23	1124_21, 1196_21, 2422_16, 2436_17, 3457_21, 3492_21, 3667_21, 4118_20, 728_21	2435_23	1002_26	1174_27	1002_26	 
Pseudomonas aeruginosa PA7 (381754.6)	5494_1	1901_23_6	3422_9	1899_10_13	1592_14	1592_14, 1899_10_13	1901_23_6	1010_21, 1900_17, 2582_19, 2887_21, 3095_21, 3449_21, 4428_21, 4793_20, 5426_21, 5741_21, 909_21	1901_23_6	1294_26	3052_27	1294_26	 
Pseudomonas aeruginosa PABL056 (1214916.3)	447_1	5527_23	1884	5529_10_13	3988_13_12	3988_13_12, 5529_10_13	5527_23	137_21, 1857_21, 2002_21, 2183_21, 2281_21, 3180_21, 4361_20, 4953_21, 5528_17, 5698_21_16, 5698_21_16, 978_19	5527_23	6018_26	424_27	6018_26	 
Pseudomonas aeruginosa PACS2 (388272.4)	5457_1	3935_23	2242	3937_10_13	4267_13_12	3937_10_13, 4267_13_12	3935_23	1034_20, 1409_21, 2215_21, 2613_21, 3522_21, 3922_16, 3936_17_20, 3936_17_20, 4939_21, 4973_21, 5873_21	3935_23	2492_26	2665_27	2492_26	 
Pseudomonas aeruginosa PADK2_CF510 (1134459.3)	362_1	1187_23	4110	1185_10_13	3555_13_12	1185_10_13, 3555_13_12	1187_23	1200_16, 3800_21, 432_21, 5060_21, 5464_21, 5499_21, 6293_21, 649_20	1187_23	 	 	 	 
Pseudomonas aeruginosa PAK (1009714.6)	5590_1	2073_23_6	3709	2071_10_13	1743_13_12	1743_13_12, 2071_10_13	2073_23_6	1018_21, 1053_21, 2072_17, 2085_16, 2803_19, 3338_21, 3736_21, 4567_16_21, 4567_16_21, 4950_20, 5841_21	2073_23_6	 	3290_27	 	 
Pseudomonas aeruginosa PAO1 (208964.12)	5283_1	3307_23_6	1742	3309_10_13	3638_13_12	3309_10_13, 3638_13_12	3307_23_6	1715_21, 2901_21, 3291_16, 3308_17_20, 3308_17_20, 4329_21, 4656_20, 904_21	3307_23_6	 	 	 	 
Pseudomonas aeruginosa MPAO1/P1 (1131757.3)	4771_1	2299_23_6	4867	2301_10_13	3267_13_12	2301_10_13, 3267_13_12	2299_23_6	1507_21, 2280_16, 928_20	2299_23_6	 	 	 	 
Pseudomonas aeruginosa PAO579 (1191475.3)	5108_1	3138_23_6	1745	3140_10_13	3468_13_12	3140_10_13, 3468_13_12	3138_23_6	1718_21, 2729_21, 3119_16, 3139_17, 4159_21, 4485_20, 910_21	3138_23_6	 	 	 	 
Pseudomonas aeruginosa PGPR2 (1328315.3)	5767_1	1870_23	3715	1867_10_13	1519_14	1519_14, 1867_10_13	1870_23	1868_17, 1869_17, 1885_16, 1886_16, 3328_21, 3745_21, 4594_21, 4595_21, 4988_20, 5690_21, 6038_21, 6535_21, 6596_21	1870_23	 	3274_27	 	 
Pseudomonas aeruginosa SJTD-1 (1193501.3)	1849_1	5330_23	3803	5332_10_13	5658_14	5332_10_13, 5658_14	5330_23	1027_20, 2177_21, 2331_21, 3776_21, 4173_21, 4692_19, 704_21, 739_21	5330_23	4052_26	4225_27	4052_26	 
Pseudomonas aeruginosa UCBPP-PA14 (208963.12)	5465_1	1899_23_6	3504	1897_10_13	1558_14	1558_14, 1897_10_13	1899_23_6	1898_17_20, 1898_17_20, 1910_16, 2302_21, 2605_19, 289_21, 4362_21_16, 4362_21_16, 4746_20, 855_21	1899_23_6	3248_26	3078_27	3248_26	 
Pseudomonas aeruginosa XMG (1169413.3)	5318_1	1730_23_6	5792	1732_10_13	2008_13_12	1732_10_13, 2008_13_12	1730_23_6	11_21, 1717_16, 281_21, 4849_21, 5491_20	1730_23_6	 	3493_27	 	 
Pseudomonas alcaliphila 34 (1248438.3)	4065_1	2794_23	4807_9	2797_10_13	 	2797_10_13	2794_23	118_21, 1753_21, 2152_21, 2315_21, 2499_21, 2701_21, 2737_21, 2774_16, 2795_17, 3160_21, 3768_21, 427_21, 4277_21, 4487_20, 69_21, 753_21	2794_23	 	 	 	 
Pseudomonas fluorescens F113 (1114970.3)	438_1	1666_23	4358_9	1664_10_13	2615_14	1664_10_13, 2615_14	1666_23	1042_21, 1552_21, 1665_17, 1740_21, 2367_21, 3265_21, 3762_21, 3813_21, 4198_21, 4288_21, 4292_21, 4415_21, 4954_21, 5089_21, 5875_21, 5962_21, 973_20	1666_23	 	 	 	 
Pseudomonas fluorescens LMG 5329 (1324332.3)	2775_1	1531_23, 4912	3338_9	1529_10_13	2684_14	1529_10_13, 2684_14	1531_23	121_21, 1530_17, 164_21, 1922_21, 1969_21, 2184_21, 2225_16, 2438_21, 2657_21, 2928_19, 3116_21, 3188_21, 3205_21, 3542_21, 3937_21, 4103_21, 4931_21, 5326_21, 5610_21, 5719_20, 5826_21, 5842_21, 6135_21, 915_21	1531_23	 	 	 	 
Pseudomonas fluorescens NCIMB 11764 (1221522.3)	3936_1	742_23	3217_9	744_10_13	3478_14	3478_14, 744_10_13	742_23	1001_21, 1878_21, 2104_21, 2127_21, 2713_21, 3379_16, 3880_21, 3915_21, 4127_21, 4171_21, 4182_21, 5454_21, 5549_21, 66_20, 743_17, 920_21	742_23	 	 	 	 
Pseudomonas fluorescens Pf-5 (220664.5)	460_1	4415_23, 4758	4455_9	4417_10_13	1527_14	1527_14, 4417_10_13	4415_23	1647_21, 1901_21, 2082_16, 2167_21, 2628_21, 2769_21, 3423_21, 4212_21, 4416_17, 5144_21, 953_20	4415_23	 	784_27	 	 
Pseudomonas fluorescens Pf0-1 (205922.5)	413_1	4074_23	1751	4076_10_13	3810_14	3810_14, 4076_10_13	4074_23	1524_21, 1909_16, 2562_21, 2939_21, 3546_21, 4075_17, 884_20	4074_23	 	 	 	 
Pseudomonas fluorescens PfO-1 (205922.3)	2006_1	3160_23_6	1823	3162_10_13	3583_13_12	3162_10_13, 3583_13_12	3160_23_6	1316_21, 2176_16, 2696_21, 3161_17, 929_20	3160_23_6	 	 	 	 
Pseudomonas fluorescens Q2-87 (1038922.3)	242_1	1661_23	4122_9	1659_10_13	2524_14	1659_10_13, 2524_14	1661_23	1025_21, 1559_21, 1660_17, 1732_21, 2094_21, 2145_21, 2347_21, 2398_21, 2650_21, 3810_16, 3959_21, 4049_21, 4098_21, 4662_21, 4712_20, 5327_21, 5605_21	1661_23	 	 	 	 
Pseudomonas fluorescens Q8r1-96 (1038923.3)	452_1	1597_23	4183_9	1595_10_13	2739_14	1595_10_13, 2739_14	1597_23	1491_21, 1596_17, 1676_21, 2005_21, 3194_21, 3244_21, 3415_21, 3870_16, 4021_21, 4109_21, 4113_21, 4193_21, 4731_21, 4877_21, 5635_21, 5701_21, 897_20, 967_21	1597_23	 	 	 	 
Pseudomonas fluorescens R124 (743713.3)	397_1	3834_23	1729_9	3836_10_13	3588_14	3588_14, 3836_10_13	3834_23	1493_21, 1783_21, 2128_21, 2483_21, 2558_21, 3115_21, 3573_16, 3762_21, 3835_17, 3873_21, 3953_21, 4372_21, 4722_20, 5319_21, 5423_21, 865_20	3834_23	 	 	 	 
Pseudomonas fluorescens SBW25 (216595.4)	647_1	1871_23, 2976	4483_9	1869_10_13	1736_14	1736_14, 1869_10_13	1871_23	1134_20, 1870_17, 1953_21, 2077_21, 2448_21, 3342_21, 3607_21, 3643_21, 4173_21, 4352_16, 4441_21, 4603_21, 4757_21, 5267_19	1871_23	 	 	 	 
Pseudomonas fluorescens SS101 (1038924.3)	421_1	1614_23, 2404	3540_9	1612_10_13	1497_14	1497_14, 1612_10_13	1614_23	1613_17, 1695_21, 1798_21, 1806_21, 2144_21, 2264_21, 2286_21, 2384_21, 3422_16, 3659_21, 3827_21, 3905_21, 4283_21, 4327_19, 4427_21, 4501_21, 5126_21, 5236_21, 901_20	1614_23	 	 	 	 
Pseudomonas putida NB2011 (1330531.3)	2421_1	135_23	952_9	136_10_13	 	136_10_13	135_23	1056_21, 1539_21, 1578_16, 1587_21, 161_16, 1682_20, 2120_21, 30_21, 3092_21, 3150_21, 3498_21, 3996_21, 613_21, 852_21, 912_21	135_23	 	 	 	 
Pseudomonas putida B001 (1048261.3)	1925_1	1203_23	1151_9	1204_10_13	 	1204_10_13	1203_23	120_21, 1645_21, 229_21, 2382_21, 2454_21, 3159_16, 3285_21, 3520_16, 3630_21, 4408_21, 4598_21, 4747_21, 4792_20, 5197_21, 608_21, 744_21, 791_21	1203_23	 	 	 	 
Pseudomonas putida B6-2 (1081940.5)	5105_1	4164_23	4114_9	4165_10_13	 	4165_10_13	4164_23	1005_20, 1144_21, 2098_21, 2128_21, 2244_21, 3144_21, 3306_21, 3355_16, 4012_16, 4073_21, 494_21, 5339_21, 5440_21, 5669_21, 891_21	4164_23	 	 	 	 
Pseudomonas putida BIRD-1 (931281.3)	4911_1	3879_23	3821	3880_10_13	 	3880_10_13	3879_23	1026_20, 1167_21, 12_21, 1672_21, 2028_21, 2058_21, 2208_16, 2746_21, 3064_21, 3733_16, 3781_21, 5121_21, 530_21, 916_21	3879_23	 	 	 	 
Pseudomonas putida DOT-T1E (1196325.3)	211_1	2984_23	1598	2983_10_13	 	2983_10_13	2984_23	146_21, 1486_21, 1722_21, 1838_21, 2266_16, 2773_21, 29_21, 3454_21, 3800_21, 3927_21, 396_21, 4138_21, 441_21, 4816_21, 4974_16, 4999_20	2984_23	 	 	 	 
Pseudomonas putida F1 (351746.6)	5025_1	4007_23_6	3946	4008_10_13	 	4008_10_13	4007_23_6	1011_20, 1156_21, 1683_21, 2047_21, 2077_21, 2185_21, 2220_16, 2789_21, 3842_16, 3904_21, 5260_21	4007_23_6	 	 	 	 
Pseudomonas putida GB-1 (76869.5)	5129_1	1367_23_6	1415_9	1366_10_13	 	1366_10_13	1367_23_6	1456_21, 1515_16, 2158_21, 2192_21, 2331_16, 3204_21, 3291_21, 4307_21, 5327_21, 981_20	1367_23_6	 	 	 	 
Pseudomonas putida H8234 (1331671.3)	5936_1	1256_23	1312_9	1255_10_13	 	1255_10_13	1256_23	1351_21, 1407_16, 2072_21, 3590_21, 3639_16, 3750_21, 3782_21, 3803_21, 3906_21, 4507_21, 4526_19, 498_21, 5020_21, 6138_21, 6201_21, 848_21, 923_20	1256_23	 	 	 	 
