Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Staphylococcus aureus M0197 (1157015.3)	632	 	 	 	 	 	 	 	 	 	2339	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	704_49	 	 	527	 	 	 	 
Staphylococcus aureus M0200 (1158514.3)	2187	 	 	 	 	 	 	 	 	 	1146	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2258_49	 	 	2082	 	 	 	 
Staphylococcus aureus M0210 (1224921.3)	1529	 	 	 	 	 	 	 	 	 	455	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1600_49	 	 	 	 	 	 	 
Staphylococcus aureus M0212 (1158515.3)	2570	 	 	 	 	 	 	 	 	 	1528	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2641_49	 	 	2462, 2463	 	 	 	 
Staphylococcus aureus M0213 (1224922.3)	759	 	 	 	 	 	 	 	 	 	2357	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	830_49	 	 	 	 	 	 	 
Staphylococcus aureus M0216 (1158516.3)	2104	 	 	 	 	 	 	 	 	 	1040	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2174_49	 	 	 	 	 	 	 
Staphylococcus aureus M0221 (1157016.3)	724	 	 	 	 	 	 	 	 	 	2445	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	795_49	 	 	619	 	 	 	 
Staphylococcus aureus M0235 (1158517.3)	460	 	 	 	 	 	 	 	 	 	2054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	531_49	 	 	 	 	 	 	 
Staphylococcus aureus M0237 (1157017.3)	2612	 	 	 	 	 	 	 	 	 	1629	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2683_49	 	 	2506	 	 	 	 
Staphylococcus aureus M0239 (1157018.3)	1978	 	 	 	 	 	 	 	 	 	972	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2048_49	 	 	1873	 	 	 	 
Staphylococcus aureus M0240 (1224923.3)	2500	 	 	 	 	 	 	 	 	 	1468	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2571_49	 	 	2393, 2394	 	 	 	 
Staphylococcus aureus M0250 (1158518.3)	859	 	 	 	 	 	 	 	 	 	2517	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	930_49	 	 	753	 	 	 	 
Staphylococcus aureus M0252 (1157019.3)	871	 	 	 	 	 	 	 	 	 	2462	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	942_49	 	 	764, 765	 	 	 	 
Staphylococcus aureus M0270 (1224924.3)	455	 	 	 	 	 	 	 	 	 	2180	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	526_49	 	 	350	 	 	 	 
Staphylococcus aureus M0273 (1224925.3)	739	 	 	 	 	 	 	 	 	 	2382	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	810_49	 	 	633, 634	 	 	 	 
Staphylococcus aureus M0279 (1224926.3)	2127	 	 	 	 	 	 	 	 	 	1094	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2198_49	 	 	2021, 2022	 	 	 	 
Staphylococcus aureus M0280 (1158520.3)	1855	 	 	 	 	 	 	 	 	 	794	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1926_49	 	 	1749	 	 	 	 
Staphylococcus aureus M0288 (1224927.3)	2154	 	 	 	 	 	 	 	 	 	1098	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2225_49	 	 	2049	 	 	 	 
Staphylococcus aureus M0294 (1303781.3)	706	 	 	 	 	 	 	 	 	 	2363	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	779_49	 	 	600	 	 	 	 
Staphylococcus aureus M0306 (1158521.3)	2575	 	 	 	 	 	 	 	 	 	1547	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2647_49	 	 	2470	 	 	 	 
Staphylococcus aureus M0312 (1224928.3)	2216	 	 	 	 	 	 	 	 	 	1165	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2287_49	 	 	2112	 	 	 	 
Staphylococcus aureus M0326 (1157020.3)	2137	 	 	 	 	 	 	 	 	 	1092	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2208_49	 	 	2032	 	 	 	 
Staphylococcus aureus M0328 (1157021.3)	2150	 	 	 	 	 	 	 	 	 	1116	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2220_49	 	 	2043, 2044	 	 	 	 
Staphylococcus aureus M0329 (1157022.3)	2580	 	 	 	 	 	 	 	 	 	1555	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2651_49	 	 	2476	 	 	 	 
Staphylococcus aureus M0330 (1157023.3)	570	 	 	 	 	 	 	 	 	 	2160	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	641_49	 	 	463	 	 	 	 
Staphylococcus aureus M0334 (1158522.3)	687	 	 	 	 	 	 	 	 	 	2371	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	758_49	 	 	582	 	 	 	 
Staphylococcus aureus M0340 (1157024.3)	593	 	 	 	 	 	 	 	 	 	2310	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	663_49	 	 	487	 	 	 	 
Staphylococcus aureus M0347 (1157025.3)	2554	 	 	 	 	 	 	 	 	 	1521	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2625_49	 	 	2447, 2448	 	 	 	 
Staphylococcus aureus M0350 (1158523.3)	478	 	 	 	 	 	 	 	 	 	2133	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	549_49	 	 	373	 	 	 	 
Staphylococcus aureus M0351 (1158524.3)	2574	 	 	 	 	 	 	 	 	 	1513	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2645_49	 	 	2468	 	 	 	 
Staphylococcus aureus M0363 (1158525.3)	2504	 	 	 	 	 	 	 	 	 	1471	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2575_49	 	 	 	 	 	 	 
Staphylococcus aureus M0364 (1157026.3)	2549	 	 	 	 	 	 	 	 	 	1474	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2620_49	 	 	2442, 2443	 	 	 	 
Staphylococcus aureus M0367 (1158526.3)	759	 	 	 	 	 	 	 	 	 	2419	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	831_49	 	 	 	 	 	 	 
Staphylococcus aureus M0374 (1158527.3)	1760	 	 	 	 	 	 	 	 	 	657	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1831_49	 	 	 	 	 	 	 
Staphylococcus aureus M0375 (1158528.3)	457	 	 	 	 	 	 	 	 	 	2124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	528_49	 	 	352	 	 	 	 
Staphylococcus aureus M0391 (1157027.3)	457	 	 	 	 	 	 	 	 	 	2104	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	528_49	 	 	353	 	 	 	 
Staphylococcus aureus M0396 (1158529.3)	132	 	 	 	 	 	 	 	 	 	1699	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	200_49	 	 	28	 	 	 	 
Staphylococcus aureus M0404 (1224929.3)	2337	 	 	 	 	 	 	 	 	 	1307	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2408_49	 	 	 	 	 	 	 
Staphylococcus aureus M0408 (1157028.3)	824	 	 	 	 	 	 	 	 	 	1649	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	754_49	 	 	928	 	 	 	 
Staphylococcus aureus M0415 (1224930.3)	559	 	 	 	 	 	 	 	 	 	2231	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	630_49	 	 	453	 	 	 	 
Staphylococcus aureus M0424 (1158530.3)	463	 	 	 	 	 	 	 	 	 	2222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	534_49	 	 	359	 	 	 	 
Staphylococcus aureus M0427 (1157029.3)	2487	 	 	 	 	 	 	 	 	 	1455	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2558_49	 	 	2381	 	 	 	 
Staphylococcus aureus M0438 (1158531.3)	2486	 	 	 	 	 	 	 	 	 	1521	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2558_49	 	 	2379, 2380	 	 	 	 
Staphylococcus aureus M0450 (1157030.3)	2536	 	 	 	 	 	 	 	 	 	1507	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2607_49	 	 	 	 	 	 	 
Staphylococcus aureus M0455 (1224931.3)	2021	 	 	 	 	 	 	 	 	 	1058	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2094_49	 	 	 	 	 	 	 
Staphylococcus aureus M0460 (1224932.3)	2102	 	 	 	 	 	 	 	 	 	1002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2172_49	 	 	 	 	 	 	 
Staphylococcus aureus M0467 (1157031.3)	1734	 	 	 	 	 	 	 	 	 	667	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1805_49	 	 	1628	 	 	 	 
Staphylococcus aureus M0468 (1157032.3)	2182	 	 	 	 	 	 	 	 	 	1140	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2253_49	 	 	2077	 	 	 	 
Staphylococcus aureus M0478 (1157033.3)	2471	 	 	 	 	 	 	 	 	 	1504	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2542_49	 	 	2365, 2366	 	 	 	 
Staphylococcus aureus M0489 (1157034.3)	2695	 	 	 	 	 	 	 	 	 	1664	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2766_49	 	 	2588, 2589	 	 	 	 
Staphylococcus aureus M0493 (1224933.3)	753	 	 	 	 	 	 	 	 	 	2358	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	824_49	 	 	 	 	 	 	 
Staphylococcus aureus M0494 (1157035.3)	2057	 	 	 	 	 	 	 	 	 	1022	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2130_49	 	 	 	 	 	 	 
Staphylococcus aureus M0510 (1158533.3)	2176	 	 	 	 	 	 	 	 	 	1143	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2247_49	 	 	2070	 	 	 	 
Staphylococcus aureus M0513 (1158534.3)	1777	 	 	 	 	 	 	 	 	 	90	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1705_49	 	 	 	 	 	 	 
Staphylococcus aureus M0528 (1158682.3)	2627	 	 	 	 	 	 	 	 	 	1563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2698_49	 	 	2521	 	 	 	 
Staphylococcus aureus M0529 (1158462.3)	631	 	 	 	 	 	 	 	 	 	2297	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	702_49	 	 	525	 	 	 	 
Staphylococcus aureus M0531 (1158683.3)	2092	 	 	 	 	 	 	 	 	 	1053	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2163_49	 	 	1986	 	 	 	 
Staphylococcus aureus M0536 (1158684.3)	2540	 	 	 	 	 	 	 	 	 	1515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2610_49	 	 	2436	 	 	 	 
Staphylococcus aureus M0539 (1158685.3)	697	 	 	 	 	 	 	 	 	 	2367	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	768_49	 	 	593	 	 	 	 
Staphylococcus aureus M0547 (1158686.3)	684	 	 	 	 	 	 	 	 	 	2372	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	755_49	 	 	578	 	 	 	 
Staphylococcus aureus M0562 (1158535.3)	2528	 	 	 	 	 	 	 	 	 	1477	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2597_49	 	 	2423	 	 	 	 
Staphylococcus aureus M0565 (1158687.3)	2540	 	 	 	 	 	 	 	 	 	1460	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2611_49	 	 	2432, 2433	 	 	 	 
Staphylococcus aureus M0571 (1158536.3)	944	 	 	 	 	 	 	 	 	 	2650	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1016_49	 	 	838, 839	 	 	 	 
Staphylococcus aureus M0580 (1158688.3)	1741	 	 	 	 	 	 	 	 	 	654	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1812_49	 	 	 	 	 	 	 
Staphylococcus aureus M0584 (1158537.3)	2556	 	 	 	 	 	 	 	 	 	1531	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2627_49	 	 	2451	 	 	 	 
Staphylococcus aureus M0586 (1158538.3)	590	 	 	 	 	 	 	 	 	 	2269	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	661_49	 	 	486	 	 	 	 
Staphylococcus aureus M0602 (1158689.3)	2175	 	 	 	 	 	 	 	 	 	1152	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2246_49	 	 	2071	 	 	 	 
Staphylococcus aureus M0622 (1158690.3)	2553	 	 	 	 	 	 	 	 	 	1459	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2624_49	 	 	2445, 2446	 	 	 	 
Staphylococcus aureus M0628 (1158461.3)	2091	 	 	 	 	 	 	 	 	 	992	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2162_49	 	 	 	 	 	 	 
Staphylococcus aureus M0633 (1158539.3)	2639	 	 	 	 	 	 	 	 	 	1595	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2710_49	 	 	2534	 	 	 	 
Staphylococcus aureus M0646 (1214901.3)	941	 	 	 	 	 	 	 	 	 	2641	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1012_49	 	 	834, 835	 	 	 	 
Staphylococcus aureus M0648 (1213721.3)	556	 	 	 	 	 	 	 	 	 	2220	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	627_49	 	 	450	 	 	 	 
Staphylococcus aureus M0660 (1213722.3)	457	 	 	 	 	 	 	 	 	 	2138	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	529_49	 	 	353	 	 	 	 
Staphylococcus aureus M0663 (1213723.3)	2518	 	 	 	 	 	 	 	 	 	1519	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2588_49	 	 	2413	 	 	 	 
Staphylococcus aureus M0673 (1213724.3)	2559	 	 	 	 	 	 	 	 	 	1464	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2630_49	 	 	2454	 	 	 	 
Staphylococcus aureus M0676 (1158691.3)	2515	 	 	 	 	 	 	 	 	 	1477	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2586_49	 	 	 	 	 	 	 
Staphylococcus aureus M0687 (1158692.3)	2377	 	 	 	 	 	 	 	 	 	1349	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2448_49	 	 	2270	 	 	 	 
Staphylococcus aureus M0692 (1158693.3)	459	 	 	 	 	 	 	 	 	 	2190	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	530_49	 	 	353, 354	 	 	 	 
Staphylococcus aureus M0695 (1213725.3)	2543	 	 	 	 	 	 	 	 	 	1468	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2615_49	 	 	2435, 2436	 	 	 	 
Staphylococcus aureus M0719 (1158694.3)	556	 	 	 	 	 	 	 	 	 	2264	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	627_49	 	 	451	 	 	 	 
Staphylococcus aureus M0769 (1158695.3)	2531	 	 	 	 	 	 	 	 	 	1447	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2602_49	 	 	 	 	 	 	 
Staphylococcus aureus M0770 (1158696.3)	934	 	 	 	 	 	 	 	 	 	2644	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1005_49	 	 	828	 	 	 	 
Staphylococcus aureus M0780 (1158697.3)	2533	 	 	 	 	 	 	 	 	 	1443	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2604_49	 	 	2426	 	 	 	 
Staphylococcus aureus M0792 (1213726.3)	2585	 	 	 	 	 	 	 	 	 	1549	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2656_49	 	 	 	 	 	 	 
Staphylococcus aureus M0799 (1158698.3)	687	 	 	 	 	 	 	 	 	 	2408	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	758_49	 	 	582	 	 	 	 
Staphylococcus aureus M0822 (1213727.3)	2546	 	 	 	 	 	 	 	 	 	1439	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2618_49	 	 	 	 	 	 	 
Staphylococcus aureus M0823 (1158699.3)	2638	 	 	 	 	 	 	 	 	 	1595	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2709_49	 	 	2535	 	 	 	 
Staphylococcus aureus M0831 (1213728.3)	2200	 	 	 	 	 	 	 	 	 	1152	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2270_49	 	 	2096	 	 	 	 
Staphylococcus aureus M0844 (1158700.3)	564	 	 	 	 	 	 	 	 	 	2214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	635_49	 	 	457, 458	 	 	 	 
Staphylococcus aureus M0871 (1213729.3)	2505	 	 	 	 	 	 	 	 	 	1434	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2576_49	 	 	 	 	 	 	 
Staphylococcus aureus M0877 (1213730.3)	580	 	 	 	 	 	 	 	 	 	1592	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	514_49	 	 	 	 	 	 	 
Staphylococcus aureus M0892 (1213732.3)	2573	 	 	 	 	 	 	 	 	 	1537	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2644_49	 	 	2466, 2467	 	 	 	 
Staphylococcus aureus M0900 (1213733.3)	2564	 	 	 	 	 	 	 	 	 	1534	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2635_49	 	 	 	 	 	 	 
Staphylococcus aureus M0927 (1213734.3)	2551	 	 	 	 	 	 	 	 	 	1447	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2622_49	 	 	 	 	 	 	 
Staphylococcus aureus M0934 (1158701.3)	944	 	 	 	 	 	 	 	 	 	2623	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1015_49	 	 	839	 	 	 	 
Staphylococcus aureus M0943 (1158702.3)	2532	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2603_49	 	 	2426	 	 	 	 
Staphylococcus aureus M0944 (1158703.3)	2517	 	 	 	 	 	 	 	 	 	1419	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2588_49	 	 	 	 	 	 	 
Staphylococcus aureus M0946 (1169255.3)	597	 	 	 	 	 	 	 	 	 	1671	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	526_49	 	 	 	 	 	 	 
Staphylococcus aureus M0953 (1158704.3)	2106	 	 	 	 	 	 	 	 	 	1075	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2177_49	 	 	1998, 1999	 	 	 	 
Staphylococcus aureus M0964 (1169256.3)	2560	 	 	 	 	 	 	 	 	 	1524	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2631_49	 	 	 	 	 	 	 
Staphylococcus aureus M0978 (1169257.3)	2218	 	 	 	 	 	 	 	 	 	1188	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2289_49	 	 	2112, 2113	 	 	 	 
Staphylococcus aureus M0994 (1169258.3)	2129	 	 	 	 	 	 	 	 	 	1093	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2200_49	 	 	 	 	 	 	 
Staphylococcus aureus M0998 (1158705.3)	2136	 	 	 	 	 	 	 	 	 	1067	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2207_49	 	 	2030	 	 	 	 
Staphylococcus aureus M0999 (1158706.3)	2533	 	 	 	 	 	 	 	 	 	1480	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2605_49	 	 	2427	 	 	 	 
Staphylococcus aureus M1 (1305598.3)	2603	 	 	 	 	 	 	 	 	 	1555	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2677_49	 	 	2497	 	 	 	 
Staphylococcus aureus M1007 (1158707.3)	467	 	 	 	 	 	 	 	 	 	2219	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	538_49	 	 	363	 	 	 	 
Staphylococcus aureus M1010 (1158708.3)	2097	 	 	 	 	 	 	 	 	 	1069	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2168_49	 	 	 	 	 	 	 
Staphylococcus aureus M1015 (1158709.3)	2635	 	 	 	 	 	 	 	 	 	1675	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2706_49	 	 	2530	 	 	 	 
Staphylococcus aureus M1016 (1158710.3)	2132	 	 	 	 	 	 	 	 	 	1102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2204_49	 	 	 	 	 	 	 
Staphylococcus aureus M1034 (1169259.3)	390	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	318_49	 	 	 	 	 	 	 
Staphylococcus aureus M1036 (1158711.3)	2211	 	 	 	 	 	 	 	 	 	1175	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2282_49	 	 	 	 	 	 	 
Staphylococcus aureus M1037 (1158712.3)	2531	 	 	 	 	 	 	 	 	 	1437	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2602_49	 	 	 	 	 	 	 
Staphylococcus aureus M1044 (1169260.3)	2502	 	 	 	 	 	 	 	 	 	1540	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2573_49	 	 	2397	 	 	 	 
Staphylococcus aureus M1060 (1303782.3)	597	 	 	 	 	 	 	 	 	 	2240	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	668_49	 	 	 	 	 	 	 
Staphylococcus aureus M1061 (1169261.3)	459	 	 	 	 	 	 	 	 	 	2138	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	530_49	 	 	354	 	 	 	 
Staphylococcus aureus M1062 (1169262.3)	2545	 	 	 	 	 	 	 	 	 	1448	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2616_49	 	 	2439	 	 	 	 
Staphylococcus aureus M1063 (1158463.3)	657	 	 	 	 	 	 	 	 	 	2375	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	727_49	 	 	553	 	 	 	 
Staphylococcus aureus M1064 (1158465.3)	471	 	 	 	 	 	 	 	 	 	2193	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	542_49	 	 	366	 	 	 	 
Staphylococcus aureus M1068 (1169263.3)	2541	 	 	 	 	 	 	 	 	 	1441	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2612_49	 	 	2434, 2435	 	 	 	 
Staphylococcus aureus M1076 (1158464.3)	2159	 	 	 	 	 	 	 	 	 	1122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2230_49	 	 	2052, 2053	 	 	 	 
Staphylococcus aureus M1078 (1303783.3)	2066	 	 	 	 	 	 	 	 	 	978	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2137_49	 	 	 	 	 	 	 
Staphylococcus aureus M1083 (1169264.3)	2475	 	 	 	 	 	 	 	 	 	1427	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2546_49	 	 	 	 	 	 	 
Staphylococcus aureus M1092 (1158466.3)	558	 	 	 	 	 	 	 	 	 	2172	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	629_49	 	 	 	 	 	 	 
Staphylococcus aureus M1093 (1158467.3)	2220	 	 	 	 	 	 	 	 	 	1268	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2291_49	 	 	 	 	 	 	 
Staphylococcus aureus M1095 (1158468.3)	2591	 	 	 	 	 	 	 	 	 	1554	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2661_49	 	 	2486	 	 	 	 
Staphylococcus aureus M1103 (1158469.3)	707	 	 	 	 	 	 	 	 	 	2385	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	778_49	 	 	601	 	 	 	 
Staphylococcus aureus M1109 (1169265.3)	560	 	 	 	 	 	 	 	 	 	2291	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	631_49	 	 	456	 	 	 	 
Staphylococcus aureus M1119 (1158470.3)	411	 	 	 	 	 	 	 	 	 	2091	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	482_49	 	 	306	 	 	 	 
Staphylococcus aureus M1126 (1169266.3)	2476	 	 	 	 	 	 	 	 	 	1408	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2548_49	 	 	 	 	 	 	 
Staphylococcus aureus M1142 (1169267.3)	2047	 	 	 	 	 	 	 	 	 	1017	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2118_49	 	 	 	 	 	 	 
Staphylococcus aureus M1167 (1158471.3)	2536	 	 	 	 	 	 	 	 	 	1439	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2607_49	 	 	2429, 2430	 	 	 	 
Staphylococcus aureus M1170 (1158472.3)	740	 	 	 	 	 	 	 	 	 	2393	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	811_49	 	 	 	 	 	 	 
Staphylococcus aureus M1188 (1158473.3)	2123	 	 	 	 	 	 	 	 	 	1091	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2193_49	 	 	2017, 2018	 	 	 	 
Staphylococcus aureus M1193 (1303784.3)	761	 	 	 	 	 	 	 	 	 	2351	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	832_49	 	 	655	 	 	 	 
Staphylococcus aureus M1198 (1158474.3)	1744	 	 	 	 	 	 	 	 	 	660	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1815_49	 	 	 	 	 	 	 
Staphylococcus aureus M1199 (1158475.3)	1006	 	 	 	 	 	 	 	 	 	2628	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1077_49	 	 	901	 	 	 	 
