Organism	gdhA	proB	proA	proC	ocd1	ocd2
Escherichia coli TT12B (1005555.3)	 	545	 	715_5	 	 
Escherichia coli TW00353 (1005564.3)	 	452	 	574_5	 	 
Escherichia coli TW06591 (1005515.3)	 	49	 	195_5	 	 
Escherichia coli TW07793 (869693.5)	 	3275	3276	3491_5	 	 
Escherichia coli TW07945 (1005516.3)	 	389	 	520_5	 	 
Escherichia coli TW09098 (1005519.3)	2376_1	428	 	586_5	 	 
Escherichia coli TW09109 (1005520.3)	 	490	 	639_5	 	 
Escherichia coli TW10119 (1005522.3)	 	644	 	808_5	 	 
Escherichia coli TW10246 (1005517.3)	 	751	752	917_5	 	 
Escherichia coli TW10509 (656449.3)	1674_1	3333	3332	3223_5	 	 
Escherichia coli TW10598 (913091.3)	 	3796	3795	2703_5	 	 
Escherichia coli TW10722 (913090.3)	3193_1	1033	1034	2483_5	 	 
Escherichia coli TW10828 (913089.3)	2808_1	3953	3954	272_5	 	 
Escherichia coli TW11039 (1005518.3)	 	638	 	844_5	 	 
Escherichia coli TW11681 (913088.3)	2980_1	306	307	1433_5	 	 
Escherichia coli TW14301 (1005526.3)	 	360	 	515_5	 	 
Escherichia coli TW14425 (913087.3)	3241_1	4677	4678	1687_5	 	 
Escherichia coli TW15901 (1005562.3)	 	284	 	405_5	 	 
Escherichia coli TX1999 (670903.3)	1931_1	230	231	375_5	 	 
Escherichia coli ThroopD (1116001.3)	2154_1	978	979	479_5	 	 
Escherichia coli UM146 (869729.3)	 	3424	 	3306_5	 	 
Escherichia coli UMN026 (585056.7)	 	503	504	623_5	 	 
Escherichia coli UMNF18 (1050617.5)	2188_1	250	 	355_5	 	 
Escherichia coli UMNK88 (696406.3)	2189_1	268	269	423_5	 	 
Escherichia coli UTI89 (364106.8)	 	399	 	512_5	 	 
Escherichia coli W (566546.4)	1919_1	352	353	457_5	 	 
Escherichia coli W26 (1090926.6)	4521_1	2919	2920	3054_5	 	 
Escherichia coli XH001 (1069495.4)	 	3564	 	2023_5	 	 
Escherichia coli XH140A (1068608.3)	 	3496	 	2494_5	 	 
Escherichia coli Xuzhou21 (741093.3)	 	269	 	434_5	 	 
Escherichia coli chi7122 (475609.3)	1861_1	247	248	383_5	 	 
Escherichia coli cloneA_i1 (993513.3)	 	268	 	387_5	 	 
Escherichia coli p0305293.1 (1116089.3)	2207_1	443	444	561_5	 	 
Escherichia coli p0305293.10 (1116098.3)	2318_1	681	682	789_5	 	 
Escherichia coli p0305293.11 (1116099.3)	2275_1	576	577	656_5	 	 
Escherichia coli p0305293.12 (1116100.3)	2317_1	597	598	711_5	 	 
Escherichia coli p0305293.14 (1125646.3)	2279_1	630	631	738_5	 	 
Escherichia coli p0305293.15 (1116102.3)	1894_1	244	245	357_5	 	 
Escherichia coli p0305293.2 (1116090.3)	2286_1	610	611	724_5	 	 
Escherichia coli p0305293.3 (1116091.3)	2311_1	654	655	774_5	 	 
Escherichia coli p0305293.4 (1116092.3)	2285_1	661	662	768_5	 	 
Escherichia coli p0305293.5 (1116093.3)	2374_1	686	687	794_5	 	 
Escherichia coli p0305293.6 (1116094.3)	1853_1	254	255	357_5	 	 
Escherichia coli p0305293.7 (1116095.3)	2259_1	579	580	687_5	 	 
Escherichia coli p0305293.8 (1116096.3)	2324_1	633	634	809_5	 	 
Escherichia coli p0305293.9 (1116097.3)	1848_1	263	264	366_5	 	 
Escherichia coli str. 'clone D i14' (885275.3)	 	358	359	456_5	 	 
Escherichia coli str. 'clone D i2' (885276.3)	 	358	359	456_5	 	 
Escherichia fergusonii ATCC 35469 (585054.5)	1258_1	2649	2648	2552_5	 	 
Escherichia fergusonii B253 (550694.3)	1993_1	516	517	627_5	 	 
Escherichia fergusonii ECD227 (981367.3)	1285_1	2717	2716	2660_5	 	 
Escherichia hermannii NBRC 105704 (1115512.3)	95_1	4015	4016	2969_5	 	 
Escherichia sp. 1_1_43 (457400.3)	 	 	 	 	 	 
Escherichia sp. 3_2_53FAA (469598.5)	 	703	 	598_5	 	 
Escherichia sp. 4_1_40B (457401.3)	 	2407	 	2284_5	 	 
Hafnia alvei ATCC 51873 (1002364.3)	1235_1	3378	3379	1276_5	 	 
Klebsiella oxytoca 10-5245 (883120.3)	1642_1, 1883, 1883	478	477	2221_5, 548_5	 	 
Klebsiella oxytoca 10-5246 (883121.3)	1884_1, 2052, 2052	850	849	905_5	 	 
Klebsiella oxytoca 10-5248 (883123.3)	4001, 4001, 4228_1	5408	5409	3697_5, 5338_5	 	 
Klebsiella oxytoca 11492-1 (1134455.3)	1086, 1086, 2427_1	5027	5026	177_5, 2640_5	 	 
Klebsiella oxytoca E718 (1191061.3)	2455_1, 2576, 2576	1114	1113	1186_5, 3073_5	 	 
Klebsiella pneumoniae 1162281 (1037908.3)	 	930	931	2429_5	 	 
Klebsiella pneumoniae 342 (507522.6)	3027, 3027	4361	4362	1684_5, 4311_5	 	 
Klebsiella pneumoniae 540_1460 (1304923.3)	878_1	4163	4164	4923_5	 	 
Klebsiella pneumoniae 646_1568 (1304924.3)	402_1	1595	1594	1442_5	 	 
Klebsiella pneumoniae 700603 (1276653.3)	2213_1, 2430, 2430	2997	2996	3158_5	 	 
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	161_1	2856	2857	1989_5	 	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	1622_1	399	398	589_5	 	 
Klebsiella pneumoniae DMC0526 (1284796.3)	391_1	178	177	2377_5	 	 
Klebsiella pneumoniae JH1 (1037890.3)	 	4465	4466	85_5	 	 
Klebsiella pneumoniae KP-11 (1284834.3)	 	1182	1181	4043_5	 	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	1953_1	981	980	1031_5	 	 
Klebsiella pneumoniae PR04 (1279040.3)	 	160	159	846_5	 	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	3195_1	5	4	304_5	 	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	5246_1	1751	1752	703_5	 	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	2787_1	2627	2626	3180_5	 	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	3199_1	2192	2191	318_5	 	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	4108_1	4069	4068	4592_5	 	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	4232_1	3189	3188	4558_5	 	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	2275_1	4741	4740	3924_5	 	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	4522_1	1040	1039	229_5	 	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	4838_1	4585	4586	3073_5	 	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	4243_1	3108	3107	928_5	 	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	3009_1	4736	4735	2577_5	 	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	2047_1	3306	3307	4350_5	 	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	 	3521	3522	2103_5	 	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	 	3827	3826	4030_5	 	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	3306_1	5	6	4866_5	 	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	4072_1	2872	2873	4259_5	 	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	3139_1	4415	4414	569_5	 	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	891_1	4883	4882	4562_5	 	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	5084_1	4361	4360	3324_5	 	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	261_1	4292	4291	468_5	 	 
Klebsiella pneumoniae hvKP1 (1267897.3)	 	3881	3882	2343_5	 	 
Klebsiella pneumoniae MGH 78578 (272620.3)	 	281	 	331_5	 	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	14_1, 256, 256	5249	5250	639_5	 	 
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	773, 773	787	786	837_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	3839_1	4279	4280	1708_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	3856_1	608	609	557_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	3670_1	4107	4108	860_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	3764_1	5385	5384	863_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	4011_1	950	951	899_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 (1128951.3)	4081_1	1265	1266	1214_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 (1128952.3)	3693_1	4431	4430	1219_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH19 (1128953.3)	3007_1	275	276	221_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	3857_1	4367	4366	1144_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	3986_1	919	920	867_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	3661_1	3839	3840	915_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	2765_1	5307	5308	793_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	3316_1	4057	4058	747_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	3295_1	5308	5309	1008_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	3739_1	4271	4272	1097_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	3957_1	268	269	217_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	4145_1	1251	1252	1201_5	 	 
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	 	4276	4277	4224_5	 	 
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	 	280	 	332_5	 	 
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	1766_1	5067	5068	4269_5	 	 
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	561, 561, 746_1	2542	2540, 2541	2591_5	 	 
Klebsiella sp. 1_1_55 (469608.3)	1413, 1413, 4592_1	2189	2188	1041_5, 2377_5	 	 
Morganella morganii SC01 (1239989.3)	1476_1	28	27	1817_5	 	 
Morganella morganii subsp. morganii KT (1124991.3)	3524_1	2754	2755	405_5	 	 
Plesiomonas shigelloides 302-73 (1315976.3)	2041_1	2546	2545	2822_5	 	 
Proteus mirabilis ATCC 29906 (525369.4)	3184_1	1643	1642	1677_5	 	 
Proteus mirabilis C05028 (1245027.3)	2595_1	1744	1745	1711_5	 	 
Proteus mirabilis HI4320 (529507.6)	2940_1	352	353	318_5	 	 
Proteus mirabilis PR03 (1279010.3)	804_1	2214	2213	2247_5	 	 
Proteus mirabilis WGLW4 (1125693.3)	281_1	2739	2738	2772_5	 	 
Proteus mirabilis WGLW6 (1125694.3)	3670_1	296	297	263_5	 	 
Proteus penneri ATCC 35198 (471881.3)	1402_1, 1403_1, 1404_1	1759	1758	1810_5, 1811_5	 	 
Providencia alcalifaciens DSM 30120 (520999.6)	446_1	404	405	373_5	 	 
Providencia alcalifaciens Dmel2 (1141661.3)	3769_1	2419	2418	2450_5	 	 
Providencia rettgeri DSM 1131 (521000.6)	1452_1	3357	3358	3323_5	 	 
Providencia rettgeri Dmel1 (1141663.3)	300_1	3569	3568	3600_5	 	 
Providencia stuartii ATCC 25827 (471874.6)	 	2882	 	2915_5	 	 
Providencia stuartii MRSN 2154 (1157951.4)	 	1169	 	1202_5	 	 
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)	1083, 1083, 1602_1	2569	2568	2445_5	 	 
Salmonella enterica subsp. enterica serovar Agona  str. 01.O.05 (1265673.3)	 	4014	 	2144_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)	 	1854	 	1929_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)	 	4114	 	2085_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 04.O.05 (1265657.3)	 	3940	 	4046_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 05.O.06 (1265678.3)	 	3508	 	3626_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 06.O.05 (1265642.3)	 	4179	 	1987_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 07.O.05 (1265611.3)	 	4243	 	2314_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 08.A.05 (1265637.3)	 	4095	 	359_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 10.A.05 (1265679.3)	 	3976	 	909_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 11.A.05 (1265643.3)	 	4301	 	3605_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 12.A.06 (1265612.3)	 	4264	 	360_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 13.E.05 (1265638.3)	 	3245	 	435_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 14.E.05 (1265659.3)	 	4290	 	3112_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 15.H.03 (1265680.3)	 	2215	 	682_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 17.H.06 (1265613.3)	 	3721	 	2557_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 18.H.07 (1265644.3)	 	4113	 	2935_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 19.F.03 (1265668.3)	 	4018	 	2044_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 20.H.06 (1265614.3)	 	3584	 	2953_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 21.H.10 (1265650.3)	 	3601	 	2382_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 22.H.04 (1265618.3)	 	4302	 	716_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 23.F.01 (1265639.3)	 	3867	 	2377_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 24.H.04 (1265660.3)	 	4130	 	784_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 26.F.98 (1265681.3)	 	4086	 	3379_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 27.O.98 (1265645.3)	 	3612	 	3746_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 28.O.08 (1265615.3)	 	2975	 	3767_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 29.O.08 (1265640.3)	 	155	 	3472_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 30.H.04 (1265661.3)	 	4264	 	3675_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09 (1265682.3)	 	4272	 	970_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 32.A.00 (1265646.3)	 	258	 	4521_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 33.A.05 (1265616.3)	 	3895	 	2254_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 34.H.09 (1265641.3)	 	3913	 	357_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 35.H.08 (1265669.3)	 	720	 	1123_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 36.H.00 (1265617.3)	 	4308	 	1007_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 37.F.02 (1265651.3)	 	3969	 	1888_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 38.O.03 (1265621.3)	 	4407	 	2679_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 39.O.03 (1265647.3)	1159, 1159	3110	 	25_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 40.E.08 (1265622.3)	 	4330	 	785_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 41.E.09 (1265652.3)	 	2397	 	4755_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 42.E.09 (1265648.3)	 	1956	 	4701_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 43.E.09 (1265670.3)	 	4055	 	350_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 45.E.09 (1265653.3)	 	3496	 	4110_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 46.E.09 (1265623.3)	 	3001	 	3648_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 48.E.08 (1265675.3)	3169_1	4209	 	361_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 49.E.09 (1265625.3)	 	2714	 	3950_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 50.E.08 (1265662.3)	 	2720	 	3093_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 51.E.09 (1265628.3)	 	2890	 	3591_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 52.F.08 (1265655.3)	 	4016	 	359_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 53.F.08 (1265676.3)	 	3980	 	2624_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 54.O.08 (1265626.3)	 	4051	 	710_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 55.U.08 (1265663.3)	 	4184	 	362_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 56.O.08 (1265629.3)	 	4223	 	359_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 57.A.08 (1265656.3)	 	4295	4817	2648_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 58.E.08 (1265677.3)	 	4387	 	778_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 59.F.08 (1265631.3)	 	4057	 	358_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 60.O.08 (1265664.3)	 	378	 	3321_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 61.O.08 (1265630.3)	 	672	 	2615_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 62.H.72 (1265666.3)	 	3451	 	3053_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 63.H.87 (1265619.3)	 	2038	 	1155_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 64.H.00 (1265632.3)	 	4152	 	756_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 65.H.72 (1265671.3)	 	3676	 	2740_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 66.F.99 (1265634.3)	 	3687	 	2136_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 67.H.09 (1265667.3)	 	4193	 	386_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 68.U.05 (1265620.3)	 	4274	 	719_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 69.H.06 (1265633.3)	 	208	 	4321_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 70.E.05 (1265672.3)	 	4098	 	3264_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 71.E.05 (1265635.3)	 	2049	 	756_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 72.A.52 (1265674.3)	 	3213	 	2920_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. 73.H.09 (1265627.3)	 	4245	 	942_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH08SF124 (1262652.4)	 	4625	 	2755_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH10GFN094 (1262654.4)	 	1270	 	1894_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH11G1113 (1263410.4)	 	154	 	640_5	 	 
Salmonella enterica subsp. enterica serovar Agona str. SL483 (454166.8)	 	365	 	432_5	 	 
Salmonella enterica subsp. enterica serovar Anatum str. 06-0532 (1328326.3)	 	2559	2560	2624_5	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 06-0784 (1212554.4)	2863, 2863	544	543	466_5	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 07-0873 (1328327.3)	 	3558	3557	3955_5	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. (321314.9)	1691_1, 2206, 2206	581	582	703_5	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. A50 (904139.4)	4345, 4345	357	358	474_5	 	 
Salmonella enterica subsp. enterica serovar Dublin str. 3246 (909945.3)	 	341	342	409_5	 	 
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853 (439851.8)	 	429	430	499_5	 	 
Salmonella enterica subsp. enterica serovar Dublin str. HWS51 (687860.3)	 	2934	2933	1016_5	 	 
Salmonella enterica subsp. enterica serovar Dublin str. SL1438 (687915.3)	 	2988	2989	3056_5	 	 
Salmonella enterica subsp. enterica serovar Dublin str. UC16 (1192688.3)	 	3929	3930	168_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 (550537.3)	 	316	317	384_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0128 (1182760.3)	 	3299	3298	3235_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0627 (1182761.3)	 	980	979	916_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 13-1 (696866.4)	 	391	390	326_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 17927 (984212.3)	1414_1, 2756_1	3052	3053	3117_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 18569 (696867.3)	 	1238	1239	1305_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 20037 (696864.3)	 	4732	4731	4664_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237 (1179780.3)	 	423	422	355_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0669 (1182757.3)	 	1751	1750	1684_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-2599 (1182758.3)	 	1621	1620	1555_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 22510-1 (926037.3)	 	1415	1416	1481_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 (910413.3)	 	1712	1711	1646_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 50-3079 (1090945.3)	 	3498	3499	3564_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 53-407 (1116477.3)	 	3824	3823	3759_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 22-17 (984215.3)	 	1872	1871	484_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 40-18 (984216.3)	 	4313	4314	4380_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 42-20 (984233.3)	 	2461	2462	2527_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 1-1 (984217.3)	 	4674	4673	4609_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 9-7 (984232.3)	 	116	115	2579_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 576709 (887063.3)	 	1706	1705	1640_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 58-6482 (1116476.3)	1297_1	4689	4688	4624_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22 (910414.3)	 	480	479	414_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70 (910415.3)	 	4671	4670	4605_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2 (887070.3)	 	1639	1638	1573_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6 (891413.3)	 	1666	1665	1601_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-16 (887068.3)	 	2551	2550	2484_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-19 (887069.3)	 	3823	3822	3757_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-9 (891412.3)	 	4670	4669	4605_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 62-1976 (1079476.3)	 	4267	4266	4619_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39 (887064.3)	 	1575	1574	1508_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629163 (891414.3)	 	1422	1423	1488_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26 (910416.3)	 	3389	3390	3455_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 (910417.3)	 	1533	1534	1599_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58 (887067.3)	 	3840	3839	4331_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15 (938147.3)	 	1992	1991	1073_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6 (887065.3)	 	4366	4367	4433_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46 (910418.3)	 	3848	3847	3782_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 (910419.3)	 	1862	1861	1798_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 640631 (887066.3)	 	3749	3748	3683_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 4-1 (984218.3)	 	4289	4290	4356_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 8-1 (984231.3)	 	2062	2063	1286_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642046 4-7 (984219.3)	 	4536	4535	4468_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648898 4-5 (984220.3)	1, 1	3716	3715	3651_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648899 3-17 (984221.3)	 	2079	2078	4030_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648900 1-16 (984222.3)	 	1256	1257	1322_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 1-17 (984223.3)	 	999	1000	1065_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 16-16 (984234.3)	 	1547	1546	1480_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18 (984230.3)	 	3194	3193	1364_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648902 6-8 (984225.3)	 	1863	1862	1798_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648903 1-6 (984226.3)	 	4686	4685	4360_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648904 3-6 (984227.3)	 	2741	2742	4739_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18 (984228.3)	 	4691	4690	3615_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 653049 13-19 (984229.3)	 	1479	1478	1414_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-0424 (891411.3)	 	2640	2639	2574_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427 (926034.3)	 	3585	3586	3651_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-2659 (926035.3)	 	4658	4657	4592_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757 (926036.3)	 	4294	4295	4359_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625 (1079475.3)	 	875	876	3642_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1 (930769.3)	 	1249	1250	1316_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895 (885384.3)	 	1275	1276	1341_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899 (885385.3)	 	1565	1564	1500_5	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0956 (886723.3)	 	3915	3916	3981_5	 	 
