Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Escherichia coli P0301867.5 (1116069.3)	1456, 3943_1	483	819	479	482	4771_7	4360	4360	451_12	4355_15	 
Escherichia coli P0301867.7 (1116070.3)	1143, 3627_1	194	494	190	193	4445_7	4042	4042	163_12	4037_15	 
Escherichia coli P0301904.3 (1125647.3)	1269, 3809_1	307	629	304	306	3326_7, 4569_7	4199	4199	277_12	4194_15	 
Escherichia coli P0302293.10 (1116079.3)	1554, 3855_1	597	880	593	596	157_7, 3469_7	4186	4186	564_12	4181_15	 
Escherichia coli P0302293.2 (1116073.3)	1099, 3689_1	134	473	130	133	3213_7, 4463_7	4115	4115	101_12	4110_15	 
Escherichia coli P0302293.3 (1116074.3)	1045, 3541_1	131	453	127	130	3162_7, 4894_7	3918	3918	96_12	3913_15	 
Escherichia coli P0302293.4 (1116075.3)	1307, 4037_1	399	738	395	398	193_7, 3549_7	4417	4417	365_12	4412_15	 
Escherichia coli P0302293.6 (1116076.3)	1112, 3280_1	134	467	130	133	3244_7, 4985_7	4020	4020	99_12	4015_15	 
Escherichia coli P0302293.7 (1125643.3)	1060, 3609_1	129	429	125	128	3218_7, 4363_7	3982	3982	97_12	3977_15	 
Escherichia coli P0302293.8 (1116077.3)	1331, 3845_1	370	714	366	369	3450_7, 4623_7	4274	4274	336_12	4269_15	 
Escherichia coli P0302293.9 (1116078.3)	1006, 3292_1	132	432	128	131	2869_7, 4960_7	3949	3949	99_12	3944_15	 
Escherichia coli P0302308.1 (1116153.3)	1893, 4221_1	670	1009	666	669	4928_7	1317	1317	623_12	1312_15	 
Escherichia coli P0302308.10 (1116158.3)	1183, 3570_1	148	486	144	147	3588_7	3997	3997	100_12	3992_15	 
Escherichia coli P0302308.11 (1116159.3)	1248, 3653_1	148	493	144	147	4414_7	4057	4057	100_12	4052_15	 
Escherichia coli P0302308.12 (1116160.3)	1185, 3575_1	147	519	144	146	3593_7	3964	3964	101_12	3959_15	 
Escherichia coli P0302308.13 (1116161.3)	1497, 3813_1	555	853	552	554	4532_7	4210	4210	508_12	4205_15	 
Escherichia coli P0302308.14 (1116162.3)	1249, 3639_1	148	495	143	147	4385_7	4046	4046	98_12	4041_15	 
Escherichia coli P0302308.2 (1116154.3)	1253, 3666_1	150	419	146	149	4420_7	4071	4071	101_12	4066_15	 
Escherichia coli P0302308.3 (1116155.3)	1535, 3905_1	407	739	403	406	4414_7	4285	4285	359_12	4280_15	 
Escherichia coli P0302308.4 (1116156.3)	1641, 3930_1	698	995	694	697	3947_7	4267	4267	658_12	4262_15	 
Escherichia coli P0302308.5 (1116157.3)	1467, 3926_1	414	762	410	413	4642_7	4332	4332	366_12	4327_15	 
Escherichia coli P0304777.1 (1116163.3)	3611_1, 904	5017	370	5013	5016	4425_7	4019	4019	4977_12	4014_15	 
Escherichia coli P0304777.10 (1116171.3)	1462, 3941_1	555	833	551	554	4539_7	4273	4273	515_12	4268_15	 
Escherichia coli P0304777.11 (1116172.3)	1440, 3902_1	530	804	526	529	4657_7	4259	4259	489_12	4254_15	 
Escherichia coli P0304777.12 (1116173.3)	1055, 3492_1	140	418	136	139	4278_7	3852	3852	100_12	3847_15	 
Escherichia coli P0304777.13 (1116174.3)	1105, 3523_1	140	438	136	139	215_7	3847	3847	100_12	3842_15	 
Escherichia coli P0304777.14 (1116175.3)	1306, 3823_1	426	718	422	425	217_7	4243	4243	385_12	4238_15	 
Escherichia coli P0304777.15 (1116176.3)	1490, 3843_1	469	758	465	468	4599_7	4203	4203	429_12	4198_15	 
Escherichia coli P0304777.2 (1116164.3)	1295, 3777_1	533	805	529	532	236_7	4196	4196	499_12	4191_15	 
Escherichia coli P0304777.3 (1116165.3)	1342, 3856_1	478	754	474	477	555_7	4217	4217	439_12	4212_15	 
Escherichia coli P0304777.4 (1116166.3)	1041, 3514_1	140	420	136	139	4298_7	3875	3875	100_12	3870_15	 
Escherichia coli P0304777.7 (1116168.3)	1085, 3510_1	138	410	134	137	4241_7	3844	3844	98_12	3839_15	 
Escherichia coli P0304777.8 (1116169.3)	1017, 3321_1	131	401	127	130	4939_7	3698	3698	98_12	3693_15	 
Escherichia coli P0304777.9 (1116170.3)	1107, 3426_1	133	424	129	132	4177_7	3781	3781	99_12	3776_15	 
Escherichia coli P0304799.3 (1125651.3)	1636, 4101_1	615	935	611	614	3603_7, 4855_7	4455	4455	585_12	4450_15	 
Escherichia coli P0304816.1 (1116177.3)	1284, 4229_1	2736	625	2732	2735	4246_7	4625	4625	2704_12	4620_15	 
Escherichia coli P0304816.11 (1116187.3)	1526, 3964_1	527	863	523	526	602_7	4309	4309	496_12	4304_15	 
Escherichia coli P0304816.12 (1116188.3)	2062, 3501_1	98	427	94	97	4311_7	3954	3954	67_12	3949_15	 
Escherichia coli P0304816.13 (1116189.3)	1123, 3505_1	114	413	110	113	3523_7	3887	3887	83_12	3882_15	 
Escherichia coli P0304816.14 (1116190.3)	1459, 3876_1	428	762	424	427	3886_7	4228	4228	397_12	4223_15	 
Escherichia coli P0304816.15 (1116191.3)	1085, 3550_1	99	436	95	98	3568_7	3910	3910	68_12	3905_15	 
Escherichia coli P0304816.2 (1116178.3)	1534, 3941_1	503	893	499	502	4626_7	4294	4294	472_12	4289_15	 
Escherichia coli P0304816.3 (1116179.3)	1154, 3548_1	99	438	95	98	3565_7	3934	3934	68_12	3929_15	 
Escherichia coli P0304816.4 (1116180.3)	1432, 3788_1	453	785	449	452	3805_7	4213	4213	422_12	4208_15	 
Escherichia coli P0304816.5 (1116181.3)	1499, 3941_1	508	885	504	507	3958_7	4303	4303	477_12	4298_15	 
Escherichia coli P0304816.6 (1116182.3)	1603, 3931_1	577	919	573	576	3947_7	4336	4336	545_12	4331_15	 
Escherichia coli P0304816.7 (1116183.3)	1024, 3545_1	100	432	96	99	3563_7	4005	4005	68_12	4000_15	 
Escherichia coli P0304816.8 (1116184.3)	1086, 3445_1	99	431	95	98	3463_7	3913	3913	68_12	3908_15	 
Escherichia coli P0304816.9 (1116185.3)	1210, 3491_1	116	461	112	115	4965_7	3937	3937	84_12	3932_15	 
Escherichia coli P0305260.1 (1125644.3)	3310_1, 994	4685	315	4681	4684	4132_7	3709	3709	4653_12	3704_15	 
Escherichia coli P0305260.10 (1116084.3)	3483_1, 997	123	498	119	122	4256_7	3877	3877	91_12	3872_15	 
Escherichia coli P0305260.11 (1116085.3)	1112, 3516_1	126	514	122	125	4290_7	3906	3906	94_12	3901_15	 
Escherichia coli P0305260.12 (1116086.3)	1036, 3486_1	124	416	120	123	4781_7	3875	3875	92_12	3870_15	 
Escherichia coli P0305260.13 (1116087.3)	1116, 3468_1	126	479	122	125	4779_7	3864	3864	94_12	3859_15	 
Escherichia coli P0305260.15 (1116088.3)	1103, 3447_1	121	514	117	120	4242_7	3859	3859	89_12	3854_15	 
Escherichia coli P0305260.2 (1125645.3)	1224, 3603_1	221	606	217	220	4405_7	3992	3992	188_12	3987_15	 
Escherichia coli P0305260.3 (1116192.3)	1110, 3486_1	123	506	119	122	4268_7	3867	3867	91_12	3862_15	 
Escherichia coli P0305260.4 (1116193.3)	1010, 3414_1	120	416	116	119	4254_7	3894	3894	88_12	3889_15	 
Escherichia coli P0305260.5 (1116194.3)	1105, 3440_1	122	504	118	121	4795_7	3832	3832	90_12	3827_15	 
Escherichia coli P0305260.6 (1116080.3)	1089, 3400_1	121	478	117	120	4644_7	3787	3787	89_12	3782_15	 
Escherichia coli P0305260.7 (1116081.3)	1093, 3459_1	123	486	119	122	4781_7	3851	3851	91_12	3846_15	 
Escherichia coli P0305260.8 (1116082.3)	1271, 3568_1	251	617	247	250	85_7	3961	3961	219_12	3956_15	 
Escherichia coli P0305260.9 (1116083.3)	1151, 3430_1	122	464	118	121	4079_7	3827	3827	90_12	3822_15	 
Escherichia coli PA10 (1005494.3)	1284, 4182_1	193	582	189	192	4972_7	4594	4594	161_12	4589_15	 
Escherichia coli PA14 (1005495.3)	1332, 4119_1	283	619	279	282	4911_7	4532	4532	251_12	4527_15	 
Escherichia coli PA15 (1005496.3)	1399, 4244_1	343	682	339	342	5046_7	4659	4659	311_12	4654_15	 
Escherichia coli PA2 (1005487.3)	1340, 4075_1	269	634	265	268	341_7	4394	4394	235_12	4389_15	 
Escherichia coli PA22 (1005497.3)	1345, 4428_1	329	696	325	328	5302_7	4857	4857	297_12	4852_15	 
Escherichia coli PA23 (1005498.3)	1163, 4054_1	80	438	76	79	4873_7	4473	4473	46_12	4468_15	 
Escherichia coli PA24 (1005499.3)	1225, 3908_1	198	523	194	197	4697_7	4319	4319	167_12	4314_15	 
Escherichia coli PA25 (1005500.3)	1075, 3863_1	5245	373	5241	5244	4665_7	4277	4277	5213_12	4272_15	 
Escherichia coli PA28 (1005501.3)	1305, 4080_1	260	606	256	259	4912_7	4495	4495	228_12	4490_15	 
Escherichia coli PA3 (1005488.3)	1163, 4023_1	220	569	216	219	4821_7	4438	4438	189_12	4433_15	 
Escherichia coli PA31 (1005502.3)	1217, 3977_1	226	514	222	225	4764_7	4386	4386	194_12	4381_15	 
Escherichia coli PA32 (1005503.3)	1298, 4030_1	293	588	289	292	4818_7	4441	4441	262_12	4436_15	 
Escherichia coli PA33 (1005504.3)	1236, 3985_1	195	528	191	194	4779_7	4397	4397	163_12	4392_15	 
Escherichia coli PA34 (1005505.3)	1337, 4191_1	262	624	258	261	5030_7	4610	4610	229_12	4605_15	 
Escherichia coli PA38 (1005506.3)	1211, 3850_1	125	506	121	124	4634_7	4260	4260	91_12	4255_15	 
Escherichia coli PA4 (1005489.3)	1348, 4198_1	266	622	262	265	5064_7	4619	4619	233_12	4614_15	 
Escherichia coli PA40 (1005508.3)	1426, 4478_1	336	712	332	335	5295_7	4890	4890	304_12	4885_15	 
Escherichia coli PA41 (1005509.3)	1288, 4061_1	201	572	197	200	4850_7	4474	4474	169_12	4469_15	 
Escherichia coli PA42 (1005510.3)	1481, 4264_1	414	760	410	413	5067_7	4677	4677	382_12	4672_15	 
Escherichia coli PA45 (1005511.3)	1357, 4260_1	280	634	276	279	5083_7	4680	4680	246_12	4675_15	 
Escherichia coli PA47 (1005512.3)	1356, 3957_1	315	666	311	314	4700_7	4281	4281	281_12	4276_15	 
Escherichia coli PA48 (1005513.3)	1040, 3743_1	69	416	65	68	3756_7	4032	4032	37_12	4027_15	 
Escherichia coli PA5 (1005490.3)	1209, 3991_1	197	497	193	196	4786_7	4407	4407	165_12	4402_15	 
Escherichia coli PA7 (1005491.3)	2222, 5294_1	1002	1364	998	1001	5343_7	131	131	968_12	136_15	 
Escherichia coli PA8 (1005492.3)	1409, 4296_1	447	822	443	446	5009_7	4624	4624	414_12	4619_15	 
Escherichia coli PA9 (1005493.3)	1308, 4170_1	267	608	263	266	4994_7	4584	4584	236_12	4579_15	 
Escherichia coli PCN033 (1001989.3)	3179_1, 914	122	370	 	121	3955_7	3566	3566	93_12	3561_15	 
Escherichia coli RN587/1 (670899.3)	1105, 2680_1	1322	378	1326	1323	1931_7	2300	2300	1353_12	2305_15	 
Escherichia coli S17 (1227813.3)	3066_1, 907	121	357	117	120	3785_7	3457	3457	89_12	3452_15	 
Escherichia coli S88 (585035.6)	1036, 3579_1	147	419	144	146	4346_7	3982	3982	113_12	3977_15	 
Escherichia coli SCI-07 (1144302.3)	3286_1, 985	177	444	173	176	4037_7	3685	3685	141_12	3680_15	 
Escherichia coli SE11 (409438.11)	1214, 3707_1	252	573	248	251	4444_7	4092	4092	221_12	4087_15	 
Escherichia coli SE15 (431946.3)	3226_1, 967	150	400	145	149	3989_7	3622	3622	112_12	3617_15	 
Escherichia coli SEPT362 (1196033.3)	1209, 3465_1	271	560	267	270	4252_7	3877	3877	240_12	3872_15	 
Escherichia coli SMS-3-5 (439855.10)	2263, 3709_1	318	638	314	317	4544_7	4111	4111	283_12	4106_15	 
Escherichia coli STEC_7v (754082.3)	1684, 3796_1	171	521	168	170	4565_7	4197	4197	141_12	4192_15	 
Escherichia coli STEC_94C (754083.3)	1177, 1178, 3836_1	153	459	149	152	4583_7	4233	4233	117_12	4228_15	 
Escherichia coli STEC_B2F1 (754084.3)	3458_1, 915	4776	270	4772	4775	4843_7	3845	3845	4745_12	3840_15	 
Escherichia coli STEC_C165-02 (754085.3)	1621, 4008_1	661	922	658	660	4793_7	4409	4409	631_12	4404_15	 
Escherichia coli STEC_DG131-3 (754086.3)	1861, 4465_1	649	993	645	648	5246_7	4846	4846	617_12	4841_15	 
Escherichia coli STEC_EH250 (754087.3)	1286, 3897_1	196	508	192	195	4908_7	4254	4254	164_12	4249_15	 
Escherichia coli STEC_H.1.8 (754088.3)	1245, 3982_1	96	422	92	95	4791_7	4388	4388	65_12	4383_15	 
Escherichia coli STEC_MHI813 (754089.3)	3615_1, 3616_1, 905	4947	319	4943	4946	4365_7	3986	3986	4912_12	3981_15	 
Escherichia coli STEC_O31 (754081.3)	1083, 3582_1	5131	367	5127	5130	3176_7, 4422_7	3984	3984	5083_12	3979_15	 
Escherichia coli STEC_S1191 (754090.3)	1521, 4179_1	480	774	476	479	4750_7	4434	4434	444_12	4429_15	 
Escherichia coli SWW33 (1235805.3)	2333_1, 767	4054	228	4058	4055	3982_7	3246	3246	4085_12	3251_15	 
Escherichia coli TA007 (656429.3)	3789_1, 803	3437	1795	3433	3436	5087_7	2856	2856	3404_12	2851_15	 
Escherichia coli TA124 (656435.3)	1099, 14_1	1400	3171	1405	1401	4497_7	4222	4222	1433_12	4217_15	 
Escherichia coli TA143 (656437.3)	1153, 3682_1	200	508	196	199	4467_7	4094	4094	168_12	4089_15	 
Escherichia coli TA206 (656440.3)	3497_1, 930	5224	300	5220	5223	4528_7	3926	3926	5166_12	3921_15	 
Escherichia coli TA271 (656443.3)	1333, 1334, 4156_1	275	672	271	274	4947_7	4570	4570	238_12	4565_15	 
Escherichia coli TA280 (656444.3)	1658, 4520_1	475	899	470	474	5363_7	4955	4955	442_12	4950_15	 
Escherichia coli TT12B (1005555.3)	1476, 4183_1	406	763	402	405	5000_7	4599	4599	373_12	4594_15	 
Escherichia coli TW00353 (1005564.3)	1251, 3718_1	299	615	295	298	4520_7	4155	4155	267_12	4150_15	 
Escherichia coli TW06591 (1005515.3)	1075, 3940_1	5306	241	5302	5305	4709_7	4356	4356	5274_12	4351_15	 
Escherichia coli TW07793 (869693.5)	4093, 707_1	3134	3533	3130	3133	2575_7	1082	1082	3103_12	1077_15	 
Escherichia coli TW07945 (1005516.3)	1268, 4021_1	251	566	247	250	4844_7	4434	4434	219_12	4429_15	 
Escherichia coli TW09098 (1005519.3)	1327, 4090_1	292	632	288	291	4912_7	4502	4502	261_12	4497_15	 
Escherichia coli TW09109 (1005520.3)	1556, 4566_1	352	685	348	351	4613_7	5016	5016	320_12	5011_15	 
Escherichia coli TW10119 (1005522.3)	1686, 4744_1	506	855	502	505	5596_7	5161	5161	474_12	5156_15	 
Escherichia coli TW10246 (1005517.3)	1496, 4580_1	612	963	608	611	4597_7	5000	5000	580_12	4995_15	 
Escherichia coli TW10509 (656449.3)	16_1, 2529	3507	3181	3510	3508	5160_7	4197	4197	3538_12	4202_15	 
Escherichia coli TW10598 (913091.3)	1478_1, 2097	4554	2663	4550	4553	3884_7	397	397	4523_12	402_15	 
Escherichia coli TW10722 (913090.3)	124, 1560_1	1265	2442	1888	1264	4664_7	3642	3642	1915_12	3647_15	 
Escherichia coli TW10828 (913089.3)	3297, 560_1	3075	313	3079	3076	4498_7	974	974	3107_12	969_15	 
Escherichia coli TW11039 (1005518.3)	1635, 4603_1	499	891	495	498	4649_7	5054	5054	467_12	5049_15	 
Escherichia coli TW11681 (913088.3)	3873, 899_1	3615	1394	3619	3616	919_7	624	624	3647_12	619_15	 
Escherichia coli TW14301 (1005526.3)	1239, 3954_1	226	561	222	225	4748_7	4364	4364	195_12	4359_15	 
Escherichia coli TW14425 (913087.3)	1778_1, 745	4907	1649	4911	4908	4342_7	3052	3052	2183_12	3047_15	 
Escherichia coli TW15901 (1005562.3)	1152, 3586_1	183	445	179	182	4412_7	4025	4025	151_12	4020_15	 
Escherichia coli TX1999 (670903.3)	1028, 3764_1	99	416	95	98	4587_7	4155, 4156	4155, 4156	67_12	4150_15	 
Escherichia coli ThroopD (1116001.3)	1250, 4175_1	255	519	251	254	4922_7	4524	4524	222_12	4519_15	 
Escherichia coli UM146 (869729.3)	15_1, 2675	5050	3262	5047	5049	3550_7	3935	3935	5013_12	3930_15	 
Escherichia coli UMN026 (585056.7)	1397, 3914_1	324	668	320	323	4671_7	4328	4328	293_12	4323_15	 
Escherichia coli UMNF18 (1050617.5)	1179, 4091_1	133, 134	396	129	132	4820_7	4490	4490	101_12	4485_15	 
Escherichia coli UMNK88 (696406.3)	1140, 3943_1	133	463	129	132	4707_7	4342	4342	101_12	4337_15	 
Escherichia coli UTI89 (364106.8)	1154, 3653_1	276	555	272	275	3729_7	4090	4090	241_12	4085_15	 
Escherichia coli W (566546.4)	1118, 3487_1	131	498	127	130	4269_7	3876	3876	100_12	3871_15	 
Escherichia coli W26 (1090926.6)	1368_1, 3770	73	3096	77	74	645_7	984	984	104_12	989_15	 
Escherichia coli XH001 (1069495.4)	3591_1, 3642	1332	1982	 	1333	4617_7	1803	1803	1363_12	1798_15	 
Escherichia coli XH140A (1068608.3)	3064_1, 3268	905	2455	 	906	4173_7	2305	2305	936_12	2300_15	 
Escherichia coli Xuzhou21 (741093.3)	1284, 4165_1	134	481	130	133	4976_7	4581	4581	102_12	4576_15	 
Escherichia coli chi7122 (475609.3)	1128, 3441_1	131	422	127	130	4174_7	3831	3831	99_12	3826_15	 
Escherichia coli cloneA_i1 (993513.3)	3457_1, 981	142	430	138	141	4233_7	3866	3866	107_12	3861_15	 
Escherichia coli p0305293.1 (1116089.3)	1242, 4015_1	306	600	303	305	4065_7	4470	4470	276_12	4465_15	 
Escherichia coli p0305293.10 (1116098.3)	1476, 3918_1	537	830	533	536	612_7	4299	4299	506_12	4294_15	 
Escherichia coli p0305293.11 (1116099.3)	1421, 3846_1	440	696	436	439	3908_7	4169	4169	409_12	4164_15	 
Escherichia coli p0305293.12 (1116100.3)	1432, 3977_1	469	751	465	468	3996_7	4297	4297	438_12	4292_15	 
Escherichia coli p0305293.14 (1125646.3)	1428, 4018_1	489	779	486	488	3604_7, 565_7	4381	4381	459_12	4376_15	 
Escherichia coli p0305293.15 (1116102.3)	1029, 3601_1	130	398	126	129	3136_7, 3619_7	3972	3972	99_12	3967_15	 
Escherichia coli p0305293.2 (1116090.3)	1428, 3940_1	476	765	472	475	3496_7, 4394_7	4258	4258	445_12	4253_15	 
Escherichia coli p0305293.3 (1116091.3)	1470, 3957_1	471	814	467	470	591_7	4280	4280	440_12	4275_15	 
Escherichia coli p0305293.4 (1116092.3)	1456, 3902_1	524	807	520	523	4601_7	4247	4247	493_12	4242_15	 
Escherichia coli p0305293.5 (1116093.3)	1484, 3941_1	548	835	545	547	218_7	4272	4272	518_12	4267_15	 
Escherichia coli p0305293.6 (1116094.3)	1077, 3375_1	126	4702	122	125	4053_7, 4057_7	3707	3707	95_12	3702_15	 
Escherichia coli p0305293.7 (1116095.3)	1418, 3908_1	446	727	443	445	4629_7	4277	4277	416_12	4272_15	 
Escherichia coli p0305293.8 (1116096.3)	1476, 4001_1	449	849	445	448	4712_7	4356	4356	418_12	4351_15	 
Escherichia coli p0305293.9 (1116097.3)	1013, 3371_1	125	405	122	124	200_7	3732	3732	95_12	3727_15	 
Escherichia coli str. 'clone D i14' (885275.3)	1023, 3556_1	145	497	141	144	4327_7	3956	3956	110_12	3951_15	 
Escherichia coli str. 'clone D i2' (885276.3)	1024, 3561_1	145	497	141	144	4332_7	3960	3960	110_12	3955_15	 
Escherichia fergusonii ATCC 35469 (585054.5)	1851, 3132_1	162	2514	157	161	3638_7	3778	3778	130_12	3773_15	 
Escherichia fergusonii B253 (550694.3)	1391, 14_1	2877	664	2881	2878	4592_7	3968	3968	2908_12	3963_15	 
Escherichia fergusonii ECD227 (981367.3)	1931, 3207_1	199	2622	195	198	3704_7	3870	3870	168_12	3865_15	 
Escherichia hermannii NBRC 105704 (1115512.3)	3329_1, 384	2864	1416, 965	2860	2861	1353_7, 4201_7	2728	2728	2822_12	2733_15	 
Escherichia sp. 1_1_43 (457400.3)	1197_1	216	 	212	215	2078_7	1704	1704	184_12	1699_15	 
Escherichia sp. 3_2_53FAA (469598.5)	922, 957_1	3923	554	3920	3922	4831_7	4442	4442	3889_12	4437_15	 
Escherichia sp. 4_1_40B (457401.3)	1176, 2530_1	3637	2241	3633	3636	4721_7	4052	4052	3605_12	4057_15	 
Hafnia alvei ATCC 51873 (1002364.3)	2299, 4326_1	3047	4100	3049	3048	2155_7	2881	2881	3076_12	2886_15	 
Klebsiella oxytoca 10-5245 (883120.3)	1475, 4441_1	319	2171, 3420, 600	317	318	5199_7	4773	4773	275_12	4768_15	 
Klebsiella oxytoca 10-5246 (883121.3)	1713, 4450_1	726	2025, 956	724	725	3_7	4800	4800	671_12	4795_15	 
Klebsiella oxytoca 10-5248 (883123.3)	1588_1, 4395	78	2451, 3744, 5285	80	79	855_7	1247	1247	132_12	1252_15	 
Klebsiella oxytoca 11492-1 (1134455.3)	101, 1745_1, 3980_1	5414	2692, 3227, 4402	5412	5413	3424_7	4713	4713	337_12	647_15	 
Klebsiella oxytoca E718 (1191061.3)	2233, 5256_1	933	1234, 3033	931	932	215_7	5630	5630	886_12	5625_15	 
Klebsiella pneumoniae 1162281 (1037908.3)	1138_1, 4704	4419	2331, 2479	4417	4418	4197_7	1707	1707	3614_12	1702_15	 
Klebsiella pneumoniae 342 (507522.6)	3530, 667_1	4515	10, 3072, 4261	4517	4516	5190_7	340	340	4551_12	345_15	 
Klebsiella pneumoniae 540_1460 (1304923.3)	1945_1, 2093	3808	2289, 4872	3810	3809	2894_7	3983	3983	5304_12	3988_15	 
Klebsiella pneumoniae 646_1568 (1304924.3)	101, 4021_1	4204	1392, 2107	4206	4205	1820_7	657	657	2290_12	652_15	 
Klebsiella pneumoniae 700603 (1276653.3)	2839, 4328_1	2735	2384, 3108	2733	2734	4980_7	3339	3339	2698_12	3334_15	 
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	1024_1, 1810	4570	2039, 4764	4572	4571	5463_7	2390	2390	3004_12	2385_15	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	1450, 4144_1	268	458, 641	266	267	4836_7	4480	4480	228_12	4475_15	 
Klebsiella pneumoniae DMC0526 (1284796.3)	4648_1, 5257	794	2326, 3293	796	795	4829_7	4330	4330	2005_12	4325_15	 
Klebsiella pneumoniae JH1 (1037890.3)	1558_1, 2833	4846	1073, 136	4844	4845	4339_7	3094	3094	4039_12	3089_15	 
Klebsiella pneumoniae KP-11 (1284834.3)	2816_1, 3539	3514	1653, 4094	3516	3515	1744_7	4687	4687	5211_12	4682_15	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	1780, 4373_1	843	1081, 2154	841	842	190_7	4686	4686	807_12	4681_15	 
Klebsiella pneumoniae PR04 (1279040.3)	5170, 696_1	1139	4743, 795	1137	1138	5135_7	1919	1919	1099_12	1914_15	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	4082, 4872_1	1354	355, 4963	1356	1355	5430_7	5369	5369	2577_12	5364_15	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	338_1, 5371	1378	3563, 653	1380	1379	3267_7	3327	3327	3665_12	3332_15	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	4676_1, 644	3541	3130, 3392	3543	3542	4546_7	1980	1980	149_12	1975_15	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	1527, 2554_1	1116	268, 3841	1118	1117	1016_7	4581	4581	818_12	4576_15	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	3004, 4916_1	251	3684, 4643	253	252	554_7	69	69	305_12	74_15	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	1006, 1195_1	985	374, 4508	987	986	4013_7	3634	3634	149_12	3639_15	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	4583_1, 4594	3055	3873, 4857	3057	3056	4768_7	2578	2578	3261_12	2573_15	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	2843_1, 743	3569	179, 334	3571	3570	5415_7	4320	4320	4751_12	4315_15	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	1675_1, 9	4916	3022, 4473	4918	4917	3478_7	2465	2465	117_12	2460_15	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	4165, 4926_1	1437	2702, 878	1439	1438	1472_7	4087	4087	4656_12	4082_15	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	1492_1, 181	970	1885, 2628	972	971	4016_7	2329	2329	3062_12	2324_15	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	1218_1, 2247	2922	4401, 4747	2924	2923	1465_7	3392	3392	1324_12	3387_15	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	1861, 2399_1	3462	2052, 2255	3464	3463	555_7	419	419	2610_12	414_15	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	16, 1984_1	1124	2945, 3979	1126	1125	2816_7	1906	1906	4700_12	1901_15	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	2332_1, 572	2841	4332, 4815	2843	2842	537_7	3258	3258	5100_12	3263_15	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	3033_1, 3601	1927	3676, 4209	1929	1928	2084_7	5062	5062	4366_12	5057_15	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	2641_1, 5304	3810	2151, 619	3808	3809	3215_7	4784	4784	3361_12	4789_15	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	1202, 539_1	1161	1775, 4512	1163	1162	1047_7	3474	3474	3128_12	3469_15	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	393_1, 629	2174	3273, 4966	2176	2175	3007_7	4703	4703	1749_12	4698_15	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	935, 948_1	1785	4170, 519	1787	1786	5313_7	5099	5099	229_12	5094_15	 
Klebsiella pneumoniae hvKP1 (1267897.3)	1371, 1760_1	3554	2292, 4656	3556	3555	4790_7	996	996	1816_12	990_15	 
Klebsiella pneumoniae MGH 78578 (272620.3)	1060, 3711_1	143	1458, 382	141	142	4380_7	4020	4020	107_12	4015_15	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	2560_1, 4767	4858	301, 587	4860	4859	5443_7	2845	2845	4894_12	2840_15	 
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	1678, 4390_1	646	2046, 3090, 887	644	645	5070_7	4712	4712	608_12	4707_15	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	134, 1956_1, 633_1	3923	1658, 2617	3925	3924	5502_7	4406	4406	1779_12	4401_15	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	1108, 1421_1, 944_1	3962	2532, 505	3960	3961	5457_7	4363, 4364	4363, 4364	1242_12	4358_15	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	1109_1, 1370, 2750_1, 2751_1	3690	2251, 810	3688	3689	5452_7	4235	4235	931_12	4230_15	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	2057, 313_1, 4605_1	3872	3057, 811	3870	3871	5494_7	4134	4134	2218_12	4139_15	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	1515_1, 368_1, 4264	4032	2446, 848	4030	4031	5444_7	4337	4337	1339_12	4342_15	 
