Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Staphylococcus aureus M0792 (1213726.3)							942	943	944, 1258	1768	1769	945	846	941	216, 1395						
Staphylococcus aureus M0799 (1158698.3)							1758	1759	1760, 2120	2621	2622	1761	1662	1757	1031, 2257						
Staphylococcus aureus M0822 (1213727.3)							909	910	911, 1203	1658	1659	912	813	908	212, 1340						
Staphylococcus aureus M0823 (1158699.3)							939	940	941, 1308	1815	1816	942	843	938	215, 1445						
Staphylococcus aureus M0831 (1213728.3)							469	470	471	1369	1370	472	369	468	987, 2533						
Staphylococcus aureus M0844 (1158700.3)							1625	1626	1627, 1919	2428	2429	1628	1529	1624	902, 2056						
Staphylococcus aureus M0871 (1213729.3)							866	867	868, 1195	1652	1653	869	769	865	214, 1332						
Staphylococcus aureus M0877 (1213730.3)							2197	2196	2195	1367	1366	2194		2198	258, 1687						
Staphylococcus aureus M0892 (1213732.3)							1003	1004	1005, 1300	1761	1762	1006	844	1002	217, 1437						
Staphylococcus aureus M0900 (1213733.3)							909	910	911, 1245	1757	1758	912	813	908	187, 1382						
Staphylococcus aureus M0927 (1213734.3)							913	914	915, 1209	1666	1667	916	817	912	213, 1348						
Staphylococcus aureus M0934 (1158701.3)							1926	1927	1928, 2332	129	130	1929	1830	1925	1280, 2467						
Staphylococcus aureus M0943 (1158702.3)							906	907	908, 1202	1656	1657	909	810	905	213, 1338						
Staphylococcus aureus M0944 (1158703.3)							828	829	830, 1123	1644	1645	831	732	827	172, 1260						
Staphylococcus aureus M0946 (1169255.3)							2289	2288	2287	1436	1435	2286	2395	2290	248, 1835						
Staphylococcus aureus M0953 (1158704.3)							532	533	534, 840	1294	1295	535	436	531	975, 2449						
Staphylococcus aureus M0964 (1169256.3)							935	936	937, 1228	1748	1749	938	839	934	213, 1365						
Staphylococcus aureus M0978 (1169257.3)							581	582	583, 890	1409	1410	584	485	580	1027, 2510						
Staphylococcus aureus M0994 (1169258.3)							498	499	500, 793	1317	1318	501	402	497	929, 2469						
Staphylococcus aureus M0998 (1158705.3)							534	535	536, 831	1287	1288	537	438	533	968, 2480						
Staphylococcus aureus M0999 (1158706.3)							947	948	949, 1244	1700	1701	950	851	946	212, 1380						
Staphylococcus aureus M1 (1305598.3)							934	935	936	1781	1782	937	835	933	265, 1389						
Staphylococcus aureus M1007 (1158707.3)							1538	1539	1540	2438	2439	1541	1436	1537	801, 2054						
Staphylococcus aureus M1010 (1158708.3)							483	484	485, 833	1288	1289	486	387	482	969, 2439						
Staphylococcus aureus M1015 (1158709.3)							1077	1078	1079, 1376	1895	1896	1080	981	1076	220, 1513						
Staphylococcus aureus M1016 (1158710.3)							571	572	573, 866	1321	1322	574	475	570	1002, 2475						
Staphylococcus aureus M1034 (1169259.3)							2053	2052	2051	1216	1215	2050	2156	2054	89, 1595						
Staphylococcus aureus M1036 (1158711.3)							531	532	533, 876	1398	1399	534	435	530	1011, 2555						
Staphylococcus aureus M1037 (1158712.3)							909	910	911, 1202	1662	1663	912	813	908	215, 1339						
Staphylococcus aureus M1044 (1169260.3)							916	917	918, 1244	1758	1759	919	820	915	223, 1379						
Staphylococcus aureus M1060 (1303782.3)							1656	1657	1658, 1949	2459	2460	1659	1560	1655	935, 2087						
Staphylococcus aureus M1061 (1169261.3)							1466	1467	1468, 1904	2352	2353	1469	1370	1465	797, 2040						
Staphylococcus aureus M1062 (1169262.3)							916	917	918, 1211	1674	1675	919	820	915	214, 1349						
Staphylococcus aureus M1063 (1158463.3)							1727	1728	1729, 2086	2590	2591	1730	1631	1726	993, 2224						
Staphylococcus aureus M1064 (1158465.3)							1513	1514	1515	2412	2413	1516	1414	1512	798, 2031						
Staphylococcus aureus M1068 (1169263.3)							908	909	910, 1204	1659	1660	911	812	907	210, 1341						
Staphylococcus aureus M1076 (1158464.3)							532	533	534, 825	1341	1342	535	436	531	961, 2502						
Staphylococcus aureus M1078 (1303783.3)							423	424	425, 742	1196	1197	426	326	422	876, 2411						
Staphylococcus aureus M1083 (1169264.3)							865	866	867, 1188	1651	1652	868	768	864	213, 1324						
Staphylococcus aureus M1092 (1158466.3)							1591	1592	1593, 1936	2390	2391	1594	1495	1590	901, 2072						
Staphylococcus aureus M1093 (1158467.3)							735	736	737, 1030	1481	1482	738	639	734	1166, 2563						
Staphylococcus aureus M1095 (1158468.3)							900	901	902, 1256	1780	1781	903	804	899	181, 1393						
Staphylococcus aureus M1103 (1158469.3)							1772	1773	1774, 2087	2599	2600	1775	1676	1771	1048, 2225						
Staphylococcus aureus M1109 (1169265.3)							1633	1634	1635, 2053	2512	2513	1636	1536	1632	901, 2190						
Staphylococcus aureus M1119 (1158470.3)							1488	1489	1490, 1787	2304	2305	1491	1392	1487	754, 1923						
Staphylococcus aureus M1126 (1169266.3)									1171	1626	1627		815		213, 1308						
Staphylococcus aureus M1142 (1169267.3)							428	429	430, 778	1235	1236	431	330	427	914, 2392						
Staphylococcus aureus M1167 (1158471.3)							910	911	912, 1206	1664	1665	913	813	909	213, 1340						
Staphylococcus aureus M1170 (1158472.3)							1734	1735	1736, 2097	2612	2613	1737	1637	1733	1084, 2233						
Staphylococcus aureus M1188 (1158473.3)							494	495	496, 791	1314	1315	497	398	493	929, 2465						
Staphylococcus aureus M1193 (1303784.3)							1821	1822	1823, 2115	2571	2572	1824	1725	1820	1103, 2252						
Staphylococcus aureus M1198 (1158474.3)							128	129	130, 423	879	880	131	32	127	560, 2089						
Staphylococcus aureus M1199 (1158475.3)							2073	2074	2075, 2389	129	130	2076	1976	2072	1344, 2526						
Staphylococcus aureus M1215 (1158476.3)							129	130	131, 424	880	881	132	32	128	561, 2095						
Staphylococcus aureus M1216 (1158477.3)							427	428	429, 763	1227	1228	430	328	426	913						
Staphylococcus aureus M1223 (1169268.3)							1522	1523	1524	2411	2412	1525	1422	1521	795, 2033						
Staphylococcus aureus M1224 (1169269.3)							904	905	906, 1226	1681	1682	907	808	903	213, 1363						
Staphylococcus aureus M1228 (1303785.3)							1552	1553	1554, 1854	2389	2390	1555		1551	2010						
Staphylococcus aureus M1229 (1158478.3)							128	129	130, 426	880	881	131	32	127	563, 2062						
Staphylococcus aureus M1244 (1169270.3)							993	994	995, 1361	1811	1812	996	897	992	202, 1499						
Staphylococcus aureus M1248 (1158479.3)							912	913	914, 1209	1671	1672	915	816	911	213, 1346						
Staphylococcus aureus M1253 (1158480.3)							1873	1874	1875, 2170	2623	2624	1876	1714	1872	1091, 2306						
Staphylococcus aureus M1255 (1158481.3)							925	926	927, 1281	1806	1807	928	829	924	213, 1420						
Staphylococcus aureus M1256 (1169271.3)							2158	2157	2156	1385	1384	2155	2263	2159	208, 1701						
Staphylococcus aureus M1257 (1158482.3)							929	930	931, 1223	1681	1682	932	833	928	211, 1358						
Staphylococcus aureus M1275 (1169272.3)							988	989	990, 1282	1740	1741	991	892	987	212, 1418						
Staphylococcus aureus M1277 (1158483.3)							493	494	495, 788	1243	1244	496	396	492	924, 2430						
Staphylococcus aureus M1286 (1169273.3)							911	912	913, 1220	1680	1681	914	815	910	211, 1357						
Staphylococcus aureus M1291 (1158484.3)							903	904	905, 1231	1695	1696	906	807	902	213, 1367						
Staphylococcus aureus M1309 (1169274.3)							888	889	890, 1249	1769	1770	891	791	887	215, 1385						
Staphylococcus aureus M1311 (1158485.3)							2214	2213	2212	1448	1447	2211		2215	244, 1756						
Staphylococcus aureus M1320 (1158486.3)							532	533	534, 823	1278	1279	535	436	531	959, 2478						
Staphylococcus aureus M1321 (1158487.3)							954	955	956, 1306	1831	1832	957	858	953	214, 1442						
Staphylococcus aureus M1322 (1158488.3)							123	124	125, 445	901	902	126	27	122	582, 2061						
Staphylococcus aureus M1359 (1158489.3)							1808	1809	1810, 2123	2581	2582	1811	1712	1807	1097, 2260						
Staphylococcus aureus M1367 (1158490.3)							497	498	499, 790	1312	1313	500	401	496	928, 2473						
Staphylococcus aureus M1373 (1158491.3)							1468	1469	1470, 1763	2266	2267	1471	1372	1467	751, 1899						
Staphylococcus aureus M1374 (1169275.3)							909	910	911, 1202	1655	1656	912	813	908	211, 1337						
Staphylococcus aureus M1394 (1158492.3)							1822	1823	1824, 2113	2570	2571	1825	1726	1821	1107, 2250						
Staphylococcus aureus M1405 (1169276.3)							912	913	914, 1207	1668	1669	915	816	911	212, 1344						
Staphylococcus aureus M1407 (1303786.3)							1609	1610	1611, 1907	2426	2427	1612	1513	1608	942, 2042						
Staphylococcus aureus M1450 (1158493.3)							477	478	479, 771	1221	1222	480	381	476	909, 2440						
Staphylococcus aureus M1451 (1158494.3)							961	962	963, 1255	1710	1711	964	865	960	227, 1392						
Staphylococcus aureus M1462 (1158495.3)							937	938	939	1816	1817	940	836	936	179, 1108						
Staphylococcus aureus M1463 (1158496.3)							732	733	734, 1027	1485	1486	735	636	731	33, 1165						
Staphylococcus aureus M1466 (1303787.3)							954	955	956, 1313	1844	1845	957	858	953	212, 1449						
Staphylococcus aureus M1481 (1158497.3)							471	472	473, 767	1225	1226	474	375	470	904, 2437						
Staphylococcus aureus M1510 (1169277.3)							905	906	907, 1260	1777	1778	908	808	904	213, 1395						
Staphylococcus aureus M1520 (1158498.3)							1447	1448	1449, 1738	2252	2253	1450	1351	1446	800, 1874						
Staphylococcus aureus M1521 (1158499.3)							535	536	537, 844	1380	1381	538	439	534	983, 2532						
Staphylococcus aureus M1531 (1158500.3)							807	808	809, 1102	1556	1557	810	711	806	134, 1237						
Staphylococcus aureus M1533 (1158501.3)							535	536	537, 832	1287	1288	538	438	534	970, 2437						
Staphylococcus aureus M1544 (1158502.3)							1002	1003	1004, 1316	1769	1770	1005	842	1001	211, 1452						
Staphylococcus aureus M1556 (1158503.3)							905	906	907, 1200	1666	1667	908	809	904	213, 1338						
Staphylococcus aureus M1563 (1158504.3)							1124	1125	1126, 1420	1883	1884	1127	1028	1123	382, 1557						
Staphylococcus aureus M1565 (1158505.3)							1925	1926	1927, 2260	132	133	1928	1829	1924	1205, 2398						
Staphylococcus aureus M1578 (1158506.3)							944	945	946, 1240	1696	1697	947	848	943	212, 1377						
Staphylococcus aureus M2 (1233245.3)							443	444	445	383	384	446	1583	442	173, 1100, 1355						
Staphylococcus aureus NN54 (1161392.3)							909	908	907	2062	2063	906	2529	910	121, 637						
Staphylococcus aureus O11 (948561.3)							2546	2146	2147	2084	2085	2148		2545	1589						
Staphylococcus aureus O46 (948563.3)							2415	2208	2209	2117	2116	2210		2416	1768						
Staphylococcus aureus PM1 (1147034.3)							1556	1555	1554	582	583	1553		1557	1126						
Staphylococcus aureus PPUKM-261-2009 (1235275.3)							1052	1053	1054	1847	1848	1055	950	1051	272, 1516						
Staphylococcus aureus PPUKM-332-2009 (1235276.3)							1063	1064	1065	1909	1910	1066	960	1062	271, 1529						
Staphylococcus aureus PPUKM-377-2009 (1235277.3)							990	991	992, 1298	1779	1780	993	888	989	254, 1447						
Staphylococcus aureus PPUKM-775-2009 (1235278.3)							2140	2139	2138	1778	1779	2137	928	2141	258, 1406						
Staphylococcus aureus RF122 (273036.3)							1028	1029	1030	1599	1600	1031		1027	454, 1079						
Staphylococcus aureus ST228/10388 (1075076.3)							903	904	905	1651	1652	906	806	902	234, 1332						
Staphylococcus aureus ST228/10497 (1075077.3)							907	908	909	1657	1658	910	810	906	235, 1336						
Staphylococcus aureus ST228/15532 (1075078.3)							902	903	904	1655	1656	905	805	901	234, 1331						
Staphylococcus aureus ST228/16035 (1075079.3)							899	900	901	1651	1652	902	802	898	234, 1330						
Staphylococcus aureus ST228/18412 (1075082.3)							904	905	906	1658	1659	907	807	903	235, 1336						
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)							1027	1028	1029	1789	1790	1030	930	1026	309, 1475						
Staphylococcus aureus subsp. aureus 091751 (1137129.3)							1904	1905	1906	2196	2195	1907	324	1903	4, 684						
Staphylococcus aureus subsp. aureus 103564 (1137130.3)							1172	1173	1174	651	650	1175	1658	1171	1121						
Staphylococcus aureus subsp. aureus 112808A (1137132.3)							1639	1638	1637	1755	1756	1636		1640	1859						
Staphylococcus aureus subsp. aureus 118 (1144271.3)							595	596	597	1536	1535	598		594	2323						
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)							978	979	980		1775	981	879	977	1404						
Staphylococcus aureus subsp. aureus 120 (1221451.3)							949	948	947	775	774	946		950	2205						
Staphylococcus aureus subsp. aureus 122051 (1137131.3)							2077	2076	2075	1729	1730	2074		2078	1412, 2500						
Staphylococcus aureus subsp. aureus 132 (644279.4)							1047	1048	1049		1938	1050	948	1046	333, 1561						
Staphylococcus aureus subsp. aureus 21172 (904723.3)							36	35	34	926	927	33	133	37	606, 1326						
Staphylococcus aureus subsp. aureus 21178 (904724.3)							2367	2366	2365		752	2364	694	2368	159, 416						
Staphylococcus aureus subsp. aureus 21189 (904725.3)							470	469	468		2263	467	1953	471	130, 2630						
Staphylococcus aureus subsp. aureus 21193 (904726.3)							2358, 2359	2357	2356	516	517	2355	26	2360	1288						
Staphylococcus aureus subsp. aureus 21195 (904728.3)							2157	2156	2155	743	744	2154	1502	2158	478, 2255						
Staphylococcus aureus subsp. aureus 21196 (904729.3)							1181	1180	1179	689	690	1178	2110	1182	879						
Staphylococcus aureus subsp. aureus 21200 (904730.3)							2280	2279	2278	1134	1135	2277		2281	34, 336						
Staphylococcus aureus subsp. aureus 21201 (904731.3)							937	936	935	733	734	934	1036	938	883, 1719						
Staphylococcus aureus subsp. aureus 21202 (904732.3)							1386	1385	1384	469	470	1383		1387	1086, 2339						
Staphylococcus aureus subsp. aureus 21209 (904735.3)							543	542	541		986	540	1466	544	126, 1072						
Staphylococcus aureus subsp. aureus 21232 (904737.3)							600	599	598		811	597	698	601	1466, 2266						
Staphylococcus aureus subsp. aureus 21236 (904739.3)							2144	2145	2146	880	879	2147	1119	2143	191, 2560						
Staphylococcus aureus subsp. aureus 21252 (904743.3)							2028	2029	2030	2387	2388	2031		2027	252, 1722						
Staphylococcus aureus subsp. aureus 21259 (904744.3)							2019, 2020	2018	2017	1636	1637	2016		2021	269						
Staphylococcus aureus subsp. aureus 21262 (904745.3)							1731	1730	1729	2444	2445	1728		1732	1080						
Staphylococcus aureus subsp. aureus 21264 (904746.3)							2383	2384	2385	935	936	2386	1727	2382	1427, 2324						
Staphylococcus aureus subsp. aureus 21266 (904747.3)							1523	1522	1521	993	994	1520		1524	1074						
Staphylococcus aureus subsp. aureus 21269 (904749.3)							338, 339	337	336	2127	2126	335		340	2408						
Staphylococcus aureus subsp. aureus 21272 (904750.3)							2072	2071	2070	157	158	2069	2509	2073	917, 1831						
Staphylococcus aureus subsp. aureus 21282 (904753.3)							2664	2665	2666	1268	1267	2667	2567	2663	1301, 1575						
Staphylococcus aureus subsp. aureus 21283 (904754.3)							1241	1242	1243		774	1244	1144	1240	2045						
Staphylococcus aureus subsp. aureus 21305 (904759.3)							37	36	35	1271	1272	34	139	38	2202						
Staphylococcus aureus subsp. aureus 21310 (904760.3)							2152	2153	2154, 2445	1505	1504	2155		2151	2319						
Staphylococcus aureus subsp. aureus 21318 (904763.3)							1612	1613, 1614	1143, 1615	547	548	1616	18	1611	243, 2489						
Staphylococcus aureus subsp. aureus 21331 (904766.3)							458	457	456	767	768	455		459	881						
Staphylococcus aureus subsp. aureus 21333 (904767.3)							2520	2519	59, 2518		336	2517	1885	2521	757						
Staphylococcus aureus subsp. aureus 21334 (904768.3)							586	587	588	1888	1889	589		585	130						
Staphylococcus aureus subsp. aureus 21340 (904771.3)							1537	1536	1535	1571	1570	1534		1538	1867						
Staphylococcus aureus subsp. aureus 21342 (904772.3)							1832	1833	1834	203	204	1835	864	1831	794, 2550						
Staphylococcus aureus subsp. aureus 21343 (904773.3)							467	466	465, 1616	1579	1580	464	269	468	1824, 2431						
Staphylococcus aureus subsp. aureus 21345 (904774.3)							1843	1844	1845	1294	1295	1846	1088	1842	709, 2541						
Staphylococcus aureus subsp. aureus 333 (1221452.3)							363	364	365	2002	2001	366		362	1456						
Staphylococcus aureus subsp. aureus 3989 (1221453.3)							737	738	739	2490	2489	740		736	1674						
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)							1491	1492	1493	2325	2326	1494	1396	1490	531, 1674						
Staphylococcus aureus subsp. aureus 58-424 (585144.3)							1860	1861	1862	2353	2354	1863	1755	1859	423, 1405						
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)							1484	1485	1486	2084	2085	1487	1383	1483	238, 1670						
Staphylococcus aureus subsp. aureus 68-397 (585146.3)							1489	1490	1491	2322	2323	1492	1387	1488	850, 1669						
Staphylococcus aureus subsp. aureus 71193 (1155084.3)							858	859	860	1591	1592	861		857	1287						
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)							524	525	526	660	661	527	447	523	1076, 2590						
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)							1026	1025	1024	196	195	1023		1027	572						
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)							2291	2290	2289		1410	2288	2393	2292	1080, 1817						
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)							523	524	525	1377	1378	526	415	522	992, 1781						
Staphylococcus aureus subsp. aureus C101 (585149.6)							1126	1127	1128	1960	1961	1129	1009	1125	412, 1575						
Staphylococcus aureus subsp. aureus C160 (585150.3)							1549	1550	1551	2054	2055	1552	1440	1548	354, 1727						
Staphylococcus aureus subsp. aureus C427 (585151.3)							579	580	581	1004	1005	582	477	578	1399, 2148						
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)							605	604	603, 941	2474	2475	602	2204	606	1541, 1796						
Staphylococcus aureus subsp. aureus CGS00 (543538.3)							1900	1901	1902	431	432	1903	1365	1899	107, 1042						
Staphylococcus aureus subsp. aureus CGS01 (543539.3)							1214	1213	1212		2584	1211	1419	1215	375, 1004						
Staphylococcus aureus subsp. aureus CGS03 (543540.3)							744	743	173, 742	524	523	741	840	745	983, 1895						
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)							1531	1532	1533, 2069	1919	1918	1534	1435	1530	796, 2207						
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)							1517	1518	1519, 1812	2336	2337	1520	1421	1516	798, 1946						
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)							1530	1531	1532		2370	1533	1429	1529	821, 1986						
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)							1545	1546	1547, 1839	2287	2288	1548	1449	1544	806, 1977						
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)							1493	1494	1495, 1798	2324	2325	1496	1397	1492	796, 1935						
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)							1613	1614	1615	2545	2546	1616	1507	1612	818, 2151						
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)							1536	1537	1538, 1830	2288	2289	1539	1440	1535	801, 1965						
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)							1488	1489	1490	2530	2531	1491	2865	1487	812, 2138						
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)							1571	1572	1573	2430	2431	1574	1465	1570	850, 2033						
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)							983	984	985	1917	1918	986	879	982	289, 1516						
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)							1520	1521	1522	2381	2382	1523	1416	1519	812, 1987						
Staphylococcus aureus subsp. aureus CIG149 (931453.3)							1590	1591	1592	2474	2475	1593	1485	1589	845, 2049						
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)							1621	1622	1623	2676	2677	1624	46	1620	984, 2279						
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)							1432	1433	1434	2181	2182	1435		1431	772, 1875						
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)							1540	1541	1542	2579	2580	1543	1434	1539	806, 2188						
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)							1559	1560	1561		2404	1562	1456	1558	815, 2016						
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)							1423	1424	1425, 1791	2478	2479	1426	1326	1422	850, 1929						
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)							1640	1641	1642, 2626	2288	2289	1643	1544	1639	923, 1997						
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)							1535	1536	1537		2403	1538	1434	1534	824, 1993						
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)							1124	1125	1126	2098	2099	1127		1123	1730						
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)							1312	1313	1314		2792	1315	1211	1311	796, 1829						
Staphylococcus aureus subsp. aureus CIG290 (931451.3)							1518	1519	1520	2358	2359	1521		1517	863, 1993						
Staphylococcus aureus subsp. aureus CIG547 (931442.3)							1647	1648	1649		2418	1650	1548	1646	863, 2076						
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)							1394	1395	1396	2261	2262	1397		1393	1891						
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)							1421	1422	1423, 1717	2166	2167	1424	1322	1420	805, 1852						
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)							1581	1582	1583	2641	2642	1584	1476	1580	864, 2249						
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)							1457	1458	1459	2213	2214	1460	1358	1456	780, 1894						
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)							1642	1643	1644, 2150	2558	2559	1645	1546	1641	803, 2288						
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)							1084	1085	1086	1827	1828	1087	983	1083	1515						
Staphylococcus aureus subsp. aureus CM05 (1134842.3)							2608	2607	589, 2606	2377	2378	2605	50	2609	1602, 1784						
Staphylococcus aureus subsp. aureus COL (93062.4)							1220	1221	1222		508	1223	1099	1218	715, 1741						
Staphylococcus aureus subsp. aureus D139 (585152.3)							890	891	892	1133	1134	893		889	179, 1455						
Staphylococcus aureus subsp. aureus DR10 (1155079.3)							613	612	611	411	412	610		614	37						
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)							503	504	505	1246	1247	506	406	502	934, 2290						
Staphylococcus aureus subsp. aureus E1410 (585153.3)							1550	1551	1552	2067	2068	1553	1442	1549	191, 1746						
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)							876	877	878, 1168	1609	1610	879		875	226, 1302						
Staphylococcus aureus subsp. aureus ED133 (685039.3)							1022	1023	1024	1853	1854	1025		1021	1543						
Staphylococcus aureus subsp. aureus ED98 (681288.4)							1010	1011	1012, 1311	1807	1808	1013	907	1009	240, 1458						
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)							959	960	961	1822	1823	962	853	958	219, 1101						
Staphylococcus aureus subsp. aureus GR1 (1144272.3)							594	595	596, 1445	2258	2259	597		593	1721						
Staphylococcus aureus subsp. aureus H19 (585155.3)							2313	2314	2315	2024	2025	2316		2312	502, 1685						
Staphylococcus aureus subsp. aureus H29 (1258575.3)							64	65	66, 918	1526	1525	67	2629	63	1747, 2609						
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)							888	889	890, 1196	1733	1734	891		887	1351						
Staphylococcus aureus subsp. aureus IS-105 (904781.3)							1126	255, 1127	256, 2274	1062	1061	257		1125	2524						
Staphylococcus aureus subsp. aureus IS-111 (904782.3)							264	265	266		834	267	706	263	438, 1850						
Staphylococcus aureus subsp. aureus IS-122 (904783.3)							1606	1607	1334, 1608	839	840	1609		1605	1299, 1416						
Staphylococcus aureus subsp. aureus IS-189 (904787.3)							1838	1836, 1837	1835	1095	1096, 1097	1834	60	1839	1459, 2854						
Staphylococcus aureus subsp. aureus IS-250 (904789.3)							1991	1990	149, 1989	480	481	1988	2120	1992	1563						
Staphylococcus aureus subsp. aureus IS-3 (904775.3)							1939	1938	366, 1937	976	977	1936	2037	1940	1425, 2495						
Staphylococcus aureus subsp. aureus IS-55 (904777.3)							38, 39	36, 37	35	2449	2450, 2451	34	236	40	1948						
Staphylococcus aureus subsp. aureus IS-88 (904778.3)							1460, 1461	1459	1458		364	1457	1677	1462	660, 1183						
Staphylococcus aureus subsp. aureus IS-99 (904780.3)							2277	2275, 2276	2274, 2556	736	737, 738	2273	1947	2278	515, 975						
Staphylococcus aureus subsp. aureus IS-K (904791.3)							2189	2190	403, 2191	1852	1853	2192	254	2188	1270						
Staphylococcus aureus subsp. aureus JH1 (359787.11)							1155	1156	1157, 1454	1927	1928	1158	994	1154	294, 1597						
Staphylococcus aureus subsp. aureus JH9 (359786.13)							1174	1175	1176, 1475	1952	1953	1177	1011	1173	296, 1617						
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)							946	947	948	1796	1797	949		945	263, 1409						
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)							447	448	449	1257	1258	450	329	446	885, 2310						
Staphylococcus aureus subsp. aureus LGA251 (985006.4)							962	963	964	1694	1695	965		961	1392						
Staphylococcus aureus subsp. aureus M013 (1118959.3)							945	946	947		1765	948		944	1383						
Staphylococcus aureus subsp. aureus M1015 (585156.3)							508	509	510	1338	1339	511	407	507	957, 2617						
Staphylococcus aureus subsp. aureus M809 (585157.3)							630	631	632	1516	1517	633	226	629	910, 2674						
Staphylococcus aureus subsp. aureus M876 (585158.3)							1478	1479	1480	2304	2305	1481	1377	1477	26, 1924						
Staphylococcus aureus subsp. aureus M899 (585159.3)							1093	1094	1095	1858	1859	1096	992	1092	404, 1529						
Staphylococcus aureus subsp. aureus MN8 (548470.3)							2600	2599	2598	2660	2661	2597	1631	2601	354, 628						
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)							1435	1436	1437	779	780	1438	723	1434	2516, 2654						
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)							723	722	721		985	720	821	724	248, 1283						
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)							1350	1349	1348		773	1347	1448	1351	1710, 2214						
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)							1014	1015	1016	1882	1883	1017	905	1013	268, 1484						
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)							898	899	900	1650	1651	901		897	1319						
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)							1013	1014	1015	1783	1784	1016		1012	1471						
Staphylococcus aureus subsp. aureus Mu3 (418127.6)							1052	1053	1054, 1349	1828	1829	1055	954	1051	270, 1495						
Staphylococcus aureus subsp. aureus Mu50 (158878.14)							1069	1070	1071, 1369	1852	1853	1072	970	1068	271, 1514						
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)							1066	1067	1068, 1366	1849	1850	1069	968	1065	270, 1511						
Staphylococcus aureus subsp. aureus MW2 (196620.5)							971	972	973	1803	1804	974		970	1425						
Staphylococcus aureus subsp. aureus N315 (158879.11)							957	958	959, 1256	1737	1738	960	859	956	271, 1402						
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)							902	903	904		1745	905	801	901	218, 1356						
Staphylococcus aureus subsp. aureus NN50 (1112349.3)							696	695	694	1543	1542	693	795	697	1031, 1613						
Staphylococcus aureus subsp. aureus PB32 (1265302.3)							965	966	967	1814	1813	968	1030	964	1229						
Staphylococcus aureus subsp. aureus RN4220 (561307.5)							703	704	705		1295	706	56	702	669, 1725						
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)							1052	1053	1054		1862	1055	949	1051	257, 1521						
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)							1879	1880	1881		132	1882	442	1878	984, 1177						
Staphylococcus aureus subsp. aureus str. Newman (426430.8)							986	987	988		1824	989	886	985	215, 1501						
Staphylococcus aureus subsp. aureus T0131 (1006543.3)							999	1000	1001		1768	1002	900	998	239, 1439						
Staphylococcus aureus subsp. aureus TCH130 (548474.3)							1274	1273	974, 1272	2056	2055	1271		1275	838						
