Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Escherichia coli p0305293.8 (1116096.3)	4681_1, 4763_1, 5184_1	2948, 4128	4681_1, 5184_1	4747	 	4680	 	2178_12, 3749_10	 	 	4754	4555_18	 	 	520_23	 
Escherichia coli p0305293.9 (1116097.3)	4056_1, 4131_1, 4535_1	2400, 3532	4056_1, 4535_1	4115	 	4055	 	1703_12, 3127_10	 	 	4122	3930_18	 	 	 	 
Escherichia coli str. 'clone D i14' (885275.3)	1_1, 4289_1, 4379_1	2548, 3735	1_1, 4289_1	4360	 	4288	 	3296_10	 	 	4366	4160_18	 	 	212_24, 213_23	 
Escherichia coli str. 'clone D i2' (885276.3)	1_1, 4294_1, 4384_1	2551, 3740	1_1, 4294_1	4365	 	4293	 	3300_10	 	 	4371	4165_18	 	 	212_24, 213_23	 
Escherichia fergusonii ATCC 35469 (585054.5)	1_1, 3677_1, 3950_1	3291, 810	1_1, 3677_1	3902	 	3678	 	2849_10	 	 	3908	3542_18	 	 	229_23	 
Escherichia fergusonii B253 (550694.3)	3035_1, 3421_1, 3872_1	2548, 3622	3035_1, 3872_1	3470	 	3873	 	305_10	 	 	3464	4487_18	 	 	 	 
Escherichia fergusonii ECD227 (981367.3)	3738_1, 4037_1, 41_1	3368, 820	3738_1, 41_1	3991	 	3739	 	2910_10	 	 	3997	3610_18	 	 	264_25, 266_23	 
Escherichia hermannii NBRC 105704 (1115512.3)	1228_1, 2791_1, 3892_1	2544, 754	1228_1, 2791_1	4181	 	2790	 	2190_10, 3779_10	 	 	3899	2086_20, 3620_18	 	1675	2780_25, 2924_25, 2925_24, 2926_23, 2989_25, 2990_24, 2991_23	 
Escherichia sp. 1_1_43 (457400.3)	2047_1, 293_1, 79_1	1482	2047_1, 79_1	3	 	2046	 	966_10	 	 	288	1895_18	 	 	1739_25	 
Escherichia sp. 3_2_53FAA (469598.5)	3307_1, 3781_1, 4684_1	4219	3781_1, 4684_1	3289	 	4683	 	1213_10	 	 	3294	4787_18	 	 	3989_24	 
Escherichia sp. 4_1_40B (457401.3)	3291_1, 3506_1, 4454_1	4269	3506_1, 4454_1	3279	 	4455	 	3182_10	 	 	3286	4613_18	 	 	 	 
Hafnia alvei ATCC 51873 (1002364.3)	152_1, 3417_1, 4223_1	1216, 2223	152_1, 4223_1	4242	 	4222	 	 	 	 	3415	232_18	 	 	1385_25, 1386_24, 1387_23, 3898_25	 
Klebsiella oxytoca 10-5245 (883120.3)	142_1, 5057_1, 5263_1	2159, 3240, 4565	142_1, 5057_1	5234	 	2513, 5056	 	4187_10	4168	4167	5240	2297_20, 2306_18, 5151_18	 	518	2235_25, 2236_23, 2237_24, 2425_25, 2497_24, 2498_25, 2499_23, 2603_25, 394_25, 396_23, 4822_25	 
Klebsiella oxytoca 10-5246 (883121.3)	5040_1, 55_1, 567_1	3474, 4580	5040_1, 567_1	34	 	5039	 	4222_10, 481_10	4199	4198	41	1833_18, 2398_20, 5114_18	 	876	2307_25, 2308_23, 2309_24, 2529_25, 2628_24, 2629_25, 2630_23, 2750_25, 3947_25, 3948_24, 3949_23, 4838_25, 796_25, 797_24, 798_23	 
Klebsiella oxytoca 10-5248 (883123.3)	267_1, 796_1, 884_1	1457, 2674, 3757	267_1, 884_1	821	 	3404, 885	 	1851_10	1870	1871	815	3615_18, 3622_20, 999_18	 	5369	1198_25, 2_23, 3315_25, 3422_23, 3424_25, 3425_24, 3497_25, 3681_24, 3682_23, 3683_25, 4_25	 
Klebsiella oxytoca 11492-1 (1134455.3)	2332_1, 3601_1, 4786_1	2216, 3239, 5577	3601_1, 4786_1	2358	 	3685, 4785, 5671	 	1340_10	1321	1320	2352	1843_18, 2912_20, 2920_18	 	2611	143_25, 145_23, 161_24, 162_23, 163_25, 2987_25, 5459_25, 5685_23, 5687_25, 5688_24, 5761_25	 
Klebsiella oxytoca E718 (1191061.3)	104_1, 277_1, 766_1	2716, 4214, 5381	104_1, 766_1	251	 	103	 	5001_10	4985	4984	257	191_18, 3140_20, 3144_18	 	1155	1013_23, 2564_25, 3085_25, 3087_24, 3458_25, 5686_25	 
Klebsiella pneumoniae 1162281 (1037908.3)	3517_1, 4121_1, 486_1	143, 1855, 3149	3517_1, 4121_1	498	 	4122	 	 	1424	1425	493	3716_20, 4255_18, 905_18	 	2409	1758_25, 2302_25, 2303_23, 2304_24, 3761_24, 4239_25, 642_23, 643_24, 644_25	 
Klebsiella pneumoniae 342 (507522.6)	4668_1, 5137_1, 5294_1	1593, 2676, 535	4668_1, 5294_1	5157	 	5295	 	903_10	918	919	5152	2273_18, 2845_20, 5217_18	 	4330	1169_23, 1170_24, 1171_25, 2258_25, 2412_23, 2413_25, 2414_24, 2799_23, 292_25, 3098_24, 3099_23, 3100_25, 4440_23, 4441_24, 4442_25	 
Klebsiella pneumoniae 540_1460 (1304923.3)	3073_1, 4273_1, 790_1	1675, 4673, 943	3073_1, 790_1	4291	 	3074	 	 	2481	2480	4286	1147_18, 4401_18	 	4942	1083_25, 1330_25, 1331_24, 1332_23, 2128_24, 2129_23, 2262_23, 3933_25	 
Klebsiella pneumoniae 646_1568 (1304924.3)	189_1, 2396_1, 563_1	3116, 5058, 832	189_1, 2396_1	545	 	188	 	 	4516	4517	550	1555_20, 3019_18, 4911_18	 	1461	2134_23, 2437_24, 2438_23, 2954_25, 3586_25, 3587_24, 3588_23, 707_25	 
Klebsiella pneumoniae 700603 (1276653.3)	2105_1, 2589_1, 4336_1	3963, 442, 707	2105_1, 2589_1	4978	 	2104	 	3473_10	3458	3457	4973	1683_18, 4084_20, 4757_18	 	3177	1548_24, 1549_25, 1550_23, 1699_25, 2356_25, 2357_23, 2358_24, 2810_24, 3380_25, 3740_23, 3741_24, 3742_25, 4049_25, 4050_23	 
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	2223_1, 3111_1, 4656_1	1093, 3357, 3722	3111_1, 4656_1	2205	 	4655	 	 	768	767	2210	1392_18, 5074_18, 5150_20	 	1970	1408_25, 3594_24, 3595_23, 454_25, 455_24, 456_23, 4791_23, 4925_25	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	120_1, 4731_1, 4888_1	2061, 3063, 4292	120_1, 4731_1	4870	 	4730	 	 	3887	3886	4875	1885_20, 2462_18, 4813_18	 	570	1932_24, 1934_25, 2478_25, 3574_25, 3575_24, 3576_23, 431_23, 4530_25	 
Klebsiella pneumoniae DMC0526 (1284796.3)	1157_1, 2113_1, 289_1	28, 3171, 3770	1157_1, 2113_1	307	 	1158	 	 	4391	4390	302	1356_20, 2563_18, 3011_18	 	2396	1776_23, 3027_25, 3320_23, 4380_25, 585_25, 586_24, 587_23	 
Klebsiella pneumoniae JH1 (1037890.3)	2989_1, 3722_1, 422_1	1866, 2180, 3913	3722_1, 422_1	3008	 	423	 	 	2633	2632	3003	2026_20, 3251_18, 4400_18	 	66	1096_24, 1097_23, 2072_24, 2073_23, 3145_25, 4384_25, 727_23, 728_24, 729_25	 
Klebsiella pneumoniae KP-11 (1284834.3)	3301_1, 5321_1, 871_1	2903, 4346, 5389	3301_1, 5321_1	890	 	3302	 	 	653	652	885	1886_18, 5425_18	 	4023	1068_25, 1589_25, 1626_23, 2285_23, 2286_23, 2287_24, 2288_25, 4716_24, 4717_23	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	234_1, 711_1, 86_1	2469, 3452, 4503	711_1, 86_1	223	 	85	 	4129_10	4111	4110	228	167_18, 2852_18	 	1012	2126_25, 2127_23, 2128_24, 2354_24, 2356_25, 2867_25, 3875_25, 3876_24, 3877_23, 4738_25	 
Klebsiella pneumoniae PR04 (1279040.3)	1642_1, 3492_1, 988_1	1518, 4248, 4531	3492_1, 988_1	1624	 	3491	 	 	3412	3413	1629	2471_20, 3795_18, 3946_18	 	866	1974_25, 2430_25, 2431_23, 3778_25, 4767_24, 4768_23, 4769_25, 931_25, 932_24, 933_23	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	2684_1, 3542_1, 997_1	1147, 1484, 2072	2684_1, 997_1	3560	 	998	 	 	2382	2381	3555	1279_20, 1387_18, 1912_18	 	285	1928_25, 2988_25, 2989_24, 2990_23, 4936_23, 5419_25, 653_23	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	147_1, 3772_1, 3949_1	1535, 2439, 2851	147_1, 3772_1	3931	 	146	 	 	2180	2181	3936	1437_18, 3815_20, 4456_18	 	722	2198_24, 2199_23, 2469_25, 3277_25, 3590_23, 5255_25, 5256_24, 5257_23	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	254_1, 5089_1, 868_1	1010, 2951, 3658	254_1, 868_1	5071	 	869	 	 	4239	4240	5076	369_18, 4960_20, 63_18	 	3199	2030_25, 2316_25, 2317_24, 2318_23, 3365_23, 3772_25, 5144_24, 5145_23	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	2939_1, 3272_1, 384_1	4452, 697, 986	2939_1, 3272_1	366	 	3273	 	 	5164	5163	371	2836_18, 35_20, 3971_18	 	337	3243_25, 3743_23, 3867_23, 4631_25, 4758_25, 4759_24, 4760_23	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	1398_1, 3482_1, 414_1	1659, 2155, 943	1398_1, 414_1	3464	 	1399	 	 	2375	2374	3469	1162_18, 1329_18, 3452_20	 	3412	1492_25, 1493_24, 1494_23, 19_25, 2857_25, 3242_23, 3711_23	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	256_1, 3022_1, 4623_1	2045, 2826, 5281	256_1, 3022_1	4605	 	3023	 	 	1751	1750	4610	2436_20, 3887_18, 4168_18	 	4577	3178_23, 3179_24, 3180_25, 3358_24, 3359_23, 3584_25, 401_23, 4184_25	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	1215_1, 3565_1, 662_1	2815, 4051, 486	1215_1, 662_1	3547	 	1216	 	 	347	346	3552	12_20, 2002_18, 2463_18	 	3943	1379_25, 1380_24, 1381_23, 2628_25, 4884_23, 5003_25, 5237_24, 5238_23	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	3119_1, 3283_1, 4641_1	1314, 2344, 3394	3283_1, 4641_1	3137	 	3282	 	 	888	889	3132	2679_18, 4103_18, 4928_20	 	248	1092_25, 2279_23, 2280_24, 2281_25, 307_23, 4370_25, 5247_24, 5248_23	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	225_1, 5430_1, 726_1	1260, 4955, 505	225_1, 5430_1	708	 	5431	 	 	5352	5351	713	2773_20, 4335_18, 4709_18	 	3092	2515_25, 2532_25, 3136_25, 3137_24, 3138_23, 3997_23, 4500_23	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	1178_1, 2536_1, 4763_1	1259, 2310, 339	1178_1, 4763_1	2518	 	1177	 	 	5162	5161	2523	3486_18, 3755_18, 629_20	 	3411	1002_24, 1003_23, 1479_25, 1480_24, 1481_23, 2729_23, 4137_25, 4297_25	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	2820_1, 3171_1, 3733_1	408, 481, 998	3171_1, 3733_1	2802	 	3734	 	 	2991	2990	2807	1138_18, 3386_18, 3965_20	 	1299	1229_25, 1230_24, 1774_25, 1912_23, 2379_25, 4739_23, 5410_23	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	1432_1, 2207_1, 544_1	1018, 4296, 839	1432_1, 544_1	2225	 	545	 	 	681	680	2220	2398_18, 2510_20, 4677_18	 	5033	1664_24, 1665_23, 3442_25, 3980_25, 3981_24, 3982_23, 4693_25, 4774_23	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	1346_1, 1603_1, 929_1	212, 4957, 5273	1346_1, 1603_1	941	 	1602	 	5341_10	4448	4447	936	1806_20, 4522_18, 542_18	 	2123	2282_23, 3210_25, 470_25, 5054_25, 5055_24, 5056_23, 5400_25, 5401_23	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	1651_1, 4590_1, 4808_1	1634, 3637, 4972	4590_1, 4808_1	1662	 	4591	 	 	3206	3205	1657	1193_18, 1391_18	 	4049	2968_24, 2969_23, 2970_25, 3390_24, 3392_25, 4218_25, 4422_23, 4423_24, 4424_25, 495_25	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	2661_1, 404_1, 5208_1	2445, 490, 893	404_1, 5208_1	2643	 	405	 	 	2727	2726	2648	320_20, 45_18, 5029_18	 	4885	3132_25, 3208_25, 3752_25, 3753_24, 3754_23, 4266_23, 4305_23	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	1820_1, 3186_1, 3313_1	1379, 2003, 4726	1820_1, 3313_1	3168	 	3314	 	 	2231	2230	3173	1286_18, 5157_20, 683_18	 	4278	1598_25, 1599_24, 1600_23, 3649_23, 4565_24, 4566_23, 5112_25, 940_25	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	1706_1, 2444_1, 3468_1	1049, 1573, 4310	2444_1, 3468_1	1688	 	2445	 	 	4858	4857	1693	260_18, 3249_20, 3946_18	 	550	2178_23, 2980_23, 2981_24, 2982_25, 3596_24, 3597_23, 3736_25, 4734_25	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	2803_1, 3021_1, 3706_1	2032, 2146, 474	2803_1, 3021_1	3688	 	2802	 	 	1368	1369	3693	4676_18, 5142_18, 948_20	 	4581	1628_23, 1629_24, 1630_25, 1748_23, 1880_24, 1881_23, 2427_25, 3524_25	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	1857_1, 4475_1, 960_1	1447, 4249, 75	1857_1, 960_1	4493	 	959	 	 	5022	5021	4488	1164_18, 4401_20, 470_18	 	3343	3894_25, 4100_25, 4101_24, 4102_23, 4753_25, 4993_23, 5468_23	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	1340_1, 1387_1, 3037_1	3086, 4903, 852	1387_1, 3037_1	1322	 	3036	 	 	3820	3821	1327	2773_18, 3947_20, 4967_18	 	449	112_25, 113_24, 114_23, 1805_25, 2369_24, 2370_23, 4197_23, 5149_25	 
Klebsiella pneumoniae hvKP1 (1267897.3)	1710_1, 2579_1, 546_1	2200, 3503, 4089	2579_1, 546_1	1728	 	547	 	3821_10	1583	1584	1723	2478_18, 3408_18, 4739_20	 	5049	2099_25, 2447_25, 3974_23, 3975_25, 4895_24, 4896_23, 4897_25, 731_25, 732_24, 733_23	 
Klebsiella pneumoniae MGH 78578 (272620.3)	2_1, 4276_1, 4430_1	1784, 3841	2_1, 4276_1	4412	 	4275	 	 	3415	3414	4417	4358_18	 	311	 	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	2242_1, 3004_1, 5001_1	1677, 2656, 3300	2242_1, 5001_1	3017	 	2243	 	2105_10	2120	2121	3012	1427_18, 3417_20, 4326_18	 	660	1056_25, 1057_24, 1058_23, 1731_24, 1732_25, 1733_23, 328_24, 329_23, 330_25, 3451_24, 3452_23, 3453_25, 4089_24, 4247_25, 4309_25	 
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	20_1, 4965_1, 499_1	2394, 3379, 4518	4965_1, 499_1	2	 	4964	 	 	4138	4137	7	2226_20, 2787_18, 5047_18	 	818	2019_23, 2020_24, 2273_24, 2274_23, 2803_25, 3851_25, 3852_24, 3853_23, 4763_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	1889_1, 3201_1, 3577_1	1007, 2055, 3681	1889_1, 3577_1	3219	 	3578	 	 	376	375	3214	2703_20, 3498_18, 4461_18	 	1727	2404_25, 2644_23, 2750_24, 2751_23, 3514_25, 921_25, 922_24, 923_23	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	1353_1, 3434_1, 3678_1	124, 1994, 3784	1353_1, 3678_1	3452	 	3679	 	 	686	685	3447	2653_18, 2776_20, 4395_18	 	576	1489_23, 1490_24, 1491_25, 2559_23, 2669_25, 2823_24, 2824_23, 4590_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	1040_1, 3407_1, 4494_1	1863, 212, 3545	1040_1, 3407_1	4512	 	3408	 	 	2925	2924	4507	2339_20, 2531_18, 4267_18	 	879	1176_23, 1177_24, 1178_25, 2278_23, 2386_24, 2387_23, 2547_25, 4061_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	2327_1, 3329_1, 3589_1	1871, 3118, 3692	2327_1, 3589_1	3347	 	3590	 	 	55	54	3342	2616_18, 2688_20, 4282_18	 	882	2600_25, 2735_24, 2736_23, 3084_23, 385_23, 386_24, 387_25, 4671_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	1448_1, 3485_1, 3750_1	2088, 212, 3888	1448_1, 3750_1	3503	 	3751	 	 	628	629	3498	2619_18, 2814_20, 4441_18	 	918	1610_23, 1611_24, 1612_25, 2473_23, 2603_25, 2766_23, 4225_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 (1128951.3)	1720_1, 3437_1, 3957_1	2149, 225, 4012	1720_1, 3957_1	3455	 	3956	 	 	711	710	3450	2761_20, 2831_18, 4601_18	 	1233	1585_25, 1586_24, 1587_23, 2503_23, 2712_23, 2847_25, 4445_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 (1128952.3)	1398_1, 3351_1, 3664_1	2262, 228, 4112	1398_1, 3664_1	3369	 	3663	 	 	644	645	3364	2547_20, 2783_18, 4551_18	 	1238	2486_23, 2594_24, 2595_23, 2767_25, 4324_25, 957_25, 958_24, 959_23	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH19 (1128953.3)	1516_1, 2221_1, 2794_1	1088, 2474, 2850	1516_1, 2794_1	2239	 	2793	 	 	3465	3464	2234	2553_18, 3252_20, 3952_18	 	242	1947_23, 2537_25, 3204_23, 4397_25, 579_23, 580_24, 581_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	2627_1, 3283_1, 3733_1	1695, 211, 3820	2627_1, 3733_1	3301	 	3732	 	 	644	643	3296	2201_18, 2605_20, 4487_18	 	1163	2110_25, 2217_25, 2418_23, 2557_23, 2880_25, 2881_24, 2882_23	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	1380_1, 3572_1, 3766_1	2030, 213, 3824	1380_1, 3766_1	3590	 	3765	 	 	999	998	3585	2915_18, 3041_20, 4437_18	 	887	1697_25, 1698_24, 1699_23, 2575_25, 2820_23, 2931_25, 3088_24, 3089_23	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	3355_1, 4936_1, 640_1	3092, 3445, 41	3355_1, 640_1	4918	 	3354	 	 	2257	2258	4923	2010_20, 3037_18, 4050_18	 	934	1360_25, 1947_23, 2057_24, 2058_23, 291_23, 292_24, 293_25, 3021_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	1919_1, 2438_1, 2565_1	10, 4720	2438_1, 2565_1	1937	 	2439	 	 	1288	1289	1932	4181_18, 4192_20, 589_18	 	774	2505_25, 3244_23, 354_23, 355_24, 356_25, 573_25, 670_24, 671_23, 672_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	1897_1, 2645_1, 3144_1	1346, 3281, 40	1897_1, 3144_1	2663	 	3145	 	 	1596	1595	2658	2238_20, 4238_18, 976_18	 	766	1072_23, 2190_23, 274_23, 275_24, 276_25, 4011_25, 992_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	1187_1, 2558_1, 3081_1	1385, 3134, 507	1187_1, 3081_1	2540	 	3080	 	 	10	9	2545	1988_20, 2857_18, 4014_18	 	1027	1925_23, 2035_24, 2036_23, 2251_25, 2252_24, 2253_23, 2841_25, 4427_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	1277_1, 2782_1, 3563_1	1870, 3666, 755	1277_1, 3563_1	2764	 	3564	 	 	347	346	2769	2336_20, 3488_18, 4429_18	 	1117	1538_23, 2275_25, 2383_24, 2384_23, 2598_25, 2599_24, 2600_23, 3472_25	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	2473_1, 3432_1, 3696_1	1996, 3799, 972	2473_1, 3696_1	3450	 	3697	 	 	923	924	3445	2715_18, 2786_20, 4449_18	 	236	1630_23, 2698_25, 2833_24, 2834_23, 4256_25, 592_25, 593_24, 594_23	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	1752_1, 3826_1, 4020_1	211, 2351, 4108	1752_1, 4020_1	3844	 	4019	 	 	696	695	3839	3046_18, 3171_20, 4657_18	 	1220	1575_25, 1576_24, 1577_23, 2013_23, 2866_25, 3062_25, 3219_24, 3220_23	 
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	101_1, 4550_1, 5019_1	1667, 2641, 543	101_1, 4550_1	5030	 	102	 	 	947	948	5025	21_18, 2251_18	 	4243	1254_23, 1255_24, 1256_25, 2235_25, 3010_24, 3011_23, 3012_25, 304_25	 
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	2_1, 4301_1, 4456_1	1801, 3858	2_1, 4301_1	4438	 	4300	 	 	3433	3432	4443	2182_18, 4383_18	 	313	1395_23, 1682_24, 2198_25, 4094_25	 
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	2260_1, 2658_1, 3870_1	1287, 1367, 758	2260_1, 2658_1	3852	 	2261	 	 	432	433	3857	2492_18, 3074_18, 3485_20	 	4250	2144_25, 2145_24, 2146_23, 2897_25, 2939_23, 3273_25, 909_24, 910_23	 
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	4725_1, 4974_1	274, 3394	4725_1, 4974_1	3880	 	4972, 4973	 	2527_10	 	 	3873, 3874	1562_20, 1946_18, 5131_18	 	2571	1143_25, 1144_24, 1145_23, 1146_23, 1518_25, 1519_23, 1520_24, 1928_25, 3290_25, 4511_24, 4512_25	 
Klebsiella sp. 1_1_55 (469608.3)	4229_1, 4466_1, 4877_1	1111, 3803, 947	4466_1, 4877_1	4249	 	4878	 	3338_10	3323	3322	4244	1279_20, 4968_18, 535_18	 	2357	1234_23, 1486_24, 1487_23, 1488_25, 3071_25, 3072_24, 3073_23, 3565_25, 4252_23, 4253_24, 4254_25, 520_25, 680_23, 681_25, 682_24	 
Morganella morganii SC01 (1239989.3)	2798_1, 3480_1, 382_1	1058, 1840	2798_1, 3480_1	375	 	1432, 2799	3717, 3942	1339_10, 2104_10	 	 	378	414_18	 	 	1802_25, 3066_23, 3610_25, 3611_24, 3612_23, 3718_25	 
Morganella morganii subsp. morganii KT (1124991.3)	1630_1, 2073_1, 3118_1	1738, 429	1630_1, 2073_1	3125	 	1631, 2813	253, 3352	1787_10, 2535_10	 	 	3122	3084_18	 	 	2201_25, 2202_24, 2203_23, 2446_23, 254_25, 390_25	 
Plesiomonas shigelloides 302-73 (1315976.3)	1426_1, 2929_1, 3126_1, 3127_1	1192, 466	2929_1, 3126_1, 3127_1	1423	 	3128	1522, 1638	 	 	 	1425	184_18	 	 	1804_23, 2768_23, 2769_24, 2770_25	385
Proteus mirabilis ATCC 29906 (525369.4)	2007_1, 2595_1, 2980_1	3067, 718	2007_1, 2980_1	2606	 	2981	2565	1398_10, 1978_10	 	1782	2598	2748_18	 	 	123_25, 192_25, 2184_23, 2185_24, 2186_25, 3172_25	 
Proteus mirabilis C05028 (1245027.3)	1409_1, 2204_1, 2856_1	2940, 421	1409_1, 2856_1	2193	 	2857	2234	1437_10, 2089_10	 	1622	2201	3066_18	 	 	2557_25, 2558_24, 2559_23, 2584_25, 900_25, 972_25	 
Proteus mirabilis HI4320 (529507.6)	1_1, 2684_1, 3151_1	1740, 3065	1_1, 3151_1	2695	 	3150	2654	28_10, 610_10	 	227	2687	3449_18	 	 	1200_25, 1267_25, 2206_23, 2207_24, 2208_25, 2952_25	 
Proteus mirabilis PR03 (1279010.3)	1416_1, 1540_1, 253_1	164, 3461	1540_1, 253_1	1405	 	252	1446	1568_10, 2809_10	 	1644	1413	2456_18	 	 	2379_25, 2380_24, 2381_23, 2647_25, 2718_25, 816_25	 
Proteus mirabilis WGLW4 (1125693.3)	3174_1, 526_1, 73_1	1353, 159	3174_1, 73_1	516	 	74	555	2560_10, 3146_10	 	2944	524	3358_18	 	 	1878_25, 1953_25, 268_25, 856_25, 857_24, 858_23	 
Proteus mirabilis WGLW6 (1125694.3)	2496_1, 2807_1, 3498_1	1714, 3580	2496_1, 3498_1	2796	 	3499	2836	2537_10	 	165	2804	3214_18	 	 	1187_25, 1260_25, 2150_23, 2151_24, 2152_25, 3682_25	 
Proteus penneri ATCC 35198 (471881.3)	1129_1, 2227_1, 2228_1, 2229_1, 2230_1, 3336_1	1248, 373	1129_1, 2227_1, 2228_1, 2229_1, 2230_1	3349	 	1130	3292, 3293	2167_10, 2168_10, 4491_10, 4492_10	 	 	3338, 3339	2541_18	 	 	1842_23, 2835_23, 2836_23, 2837_23, 2838_24, 2839_25, 3762_25	 
Providencia alcalifaciens DSM 30120 (520999.6)	140_1, 1471_1, 3288_1	3052, 3398	140_1, 3288_1	1485	 	3289	1168	167_10	 	 	1475	1037_18, 1245_18	 	 	1285_23, 1286_24, 1287_25, 3008_24, 3009_23, 3012_25, 744_23	 
Providencia alcalifaciens Dmel2 (1141661.3)	2701_1, 3323_1, 3645_1	3441, 525	2701_1, 3323_1	3659	 	3324	3597	2673_10	 	 	3649	325_18, 3520_18	 	 	1721_23, 1728_23, 3035_25, 3036_24, 3037_23, 483_24, 484_23, 487_25	 
Providencia rettgeri DSM 1131 (521000.6)	14_1, 1716_1, 4238_1	1550, 2353	1716_1, 4238_1	1	 	1715, 290, 4187	2588	171_10, 4200_10, 49_10	 	 	11	2522_18, 2673_18	 	 	2763_23, 3619_23, 3743_25, 3744_24, 3745_23, 4189_25, 709_24, 710_23, 713_25, 714_25	 
Providencia rettgeri Dmel1 (1141663.3)	3849_1, 4061_1, 539_1	2899, 382	3849_1, 539_1	4075	 	3338, 3799, 537, 538	4019	3813_10, 714_10, 801_10	 	 	4065	2282_18, 3939_18	 	 	1258_23, 1381_25, 1382_24, 1658_23, 2981_25, 2984_23, 2985_23, 2986_24, 3801_25, 4079_23	 
Providencia stuartii ATCC 25827 (471874.6)	3305_1, 3743_1, 4059_1	3148	3305_1, 4059_1	3729	 	3306	 	4107_10	 	 	3739	3349_18	 	 	2319_25, 2322_23, 2323_24, 970_23	 
Providencia stuartii MRSN 2154 (1157951.4)	1454_1, 1677_1, 2255_1	2107	1454_1, 2255_1	1691	 	2254	 	 	 	 	1681	1562_18	 	 	 	 
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)	2853_1, 3293_1, 3371_1	3884, 505	2853_1, 3371_1	3305	 	3372	 	4234_10	 	 	3300	3502_18	 	 	2327_24, 2328_23, 2329_25, 2625_23, 2626_24, 2627_25	 
Salmonella enterica subsp. enterica serovar Agona  str. 01.O.05 (1265673.3)	1703_1, 3193_1, 3621_1	738	3193_1, 3621_1	1750	 	3192	 	 	 	 	1743	3881_18	 	 	4366_24	 
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)	1113_1, 1289_1, 4159_1	145	1289_1, 4159_1	1161	 	1288	 	 	 	 	1153	1336_18	 	 	698_24	 
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)	1470_1, 3380_1, 3675_1	845	3380_1, 3675_1	1518	 	3379	 	 	 	 	1511	649_18	 	 	4585_24	 
