Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Salmonella enterica subsp. enterica serovar Heidelberg str. 41579 (1124937.3)	1258, 3950, 4643	1190_2, 3539_2	1951	4293	4476	3464_8	1957	 	 	 	 	2635_17	 	4021	1178_21, 960_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 (1160717.4)	212, 320, 693	3183_2, 4335_2	3313	759	937	4259_8	3307	 	 	 	 	56_17	 	3776	3006_21, 3171_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00322 (1182164.3)	1094, 2575, 4081	132_2, 3485_2	2196	210	2964	3409_8	2190	 	 	 	 	40_17	 	4500	120_21, 1566_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00325 (1182167.3)	2463, 3736, 751	1871_2, 2293_2	205	2848	2666	2368_8	199	 	 	 	 	16_17	 	3866	1305_21, 1883_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00326 (1182168.3)	1046, 3252, 3702	1320_2, 280_2	3527	3376	591	1245_8	3521	 	 	 	 	93_17	 	2617	2326_21, 293_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00328 (1182170.3)	117, 1206, 1635	3453_2, 3999_2	1996	1569	1388	3923_8	2002	 	 	 	 	3242_17	 	938	3441_21, 3507_21	 	 
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 (454169.8)	4212, 4312, 78	2522_2, 3651_2	2652	145	309	3580_8	2646	 	 	 	 	4060_17	 	3085	2351_21, 2510_21	 	 
Salmonella enterica subsp. enterica serovar Infantis str. SARB27 (596155.6)	1, 4214, 4333	3631_2	2568	65	226	3569_8	2562	 	 	 	 	4052_17	 	3011	2280_21, 2429_21	 	 
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188 (439842.10)	3888, 3995, 4383	3312_2	2295	4448	4623	3241_8	2289	 	 	 	 	3723_17	 	2170, 2745	2009_21, 2167_21	 	 
Salmonella enterica subsp. enterica serovar Mbandaka str. 2009K-0807 (1235459.3)	1325, 3074, 3347	2482_2	1712	2411	2232	4466_8	1718	 	 	 	 	4079_17	 	760	1893_21, 3828_21	 	 
Salmonella enterica subsp. enterica serovar Mississippi str. 2010K-1406 (1212561.4)	2644, 3668, 3724	1333_2	469	2779	540	3351_8	463	 	 	 	 	3174_17	 	1136, 2053	1133_21, 3071_21, 4656_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	1752, 2949, 4566	2276_2, 2604_2	3465	4219	4385	2193_8	3471	 	 	 	 	4172_17	 	4039	2289_21, 4182_22, 955_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	116, 4167, 967	2838_2	2134, 2845	4233	4453	3806_8	2128	 	 	 	 	301_17	 	3490, 623	1894_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	2895, 3306, 3594	629_2, 878_2	2804	3370	3535	811_8	2810	 	 	 	 	46_17	 	1537	4261_21, 56_22, 616_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	2079, 3135, 4491	1321_2, 325_2	135	4427	4260	4580_8	141	 	 	 	 	2147_17	 	2584	2157_22, 3021_21, 338_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	2153, 2792, 2859	1016_2, 571_2	1721	2728	2561	3938_8	1727	 	 	 	 	3999_17	 	2019	1003_21, 3893_21, 3989_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	1818, 2314, 931	4254_2	2460	4476	4641	4321_8	2466	 	 	 	 	2818_17	 	117, 1710	120_21, 2667_21, 2828_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	1559, 3694, 4216	1504_2	3062	3758	3918	1927_8	3068	 	 	 	 	4001_17	 	1399	356_21, 3991_22, 473_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	1, 894, 983	3534_2, 356_2	3659	2853	3016	294_8	3652, 3653	 	 	 	 	744_17	 	4045	3384_21, 3521_21, 754_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	1346, 2816, 929	2229_2, 596_2	4117	2134	1969	2160_8	4123	 	 	 	 	3536_17	 	1787	3526_22, 610_21, 704_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	3016, 4092, 4593	3393_2, 643_2	4043	4156	4321	307_8	4037	 	 	 	 	1451_17	 	160	1461_22, 42_21, 630_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	1165, 1947, 2880	1313_2, 1560_2	944	3044	2295	4448_8	950	 	 	 	 	4496_17	 	228	1573_21, 3267_21, 4486_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	1, 2492, 2570	1945_2	1026	3399	3561	1882_8	1020	 	 	 	 	2332_17	 	1421, 895	2342_22, 756_21, 892_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	3730, 623, 907	250_2, 3929_2	4553	764	3141	1067_8	4547	 	 	 	 	4671_17	 	1919	264_21, 3223_21, 4681_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	1244, 1926, 3494	1559_2, 4283_2	611	2047	2208	3156_8	617	 	 	 	 	3971_17	 	2997	3981_22, 4106_21, 4270_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	2332, 3783, 3964	4413_2, 457_2	1055	4028	4190	3405_8	1049	 	 	 	 	2392_17	 	1356	2382_22, 3036_21, 4426_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	1792, 2200, 4308	3099_2, 3483_2	3274	2263	2426	3166_8	3280	 	 	 	 	4376_17	 	3805	1505_21, 4386_22, 4520_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	1998, 2408, 831	1590_2, 2970_2	400	2471	2634	3037_8	406	 	 	 	 	918_17	 	3830	1577_21, 3156_21, 928_22	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	2823, 461, 50	1768_2, 2686_2	2500	524	688	1835_8	2506	 	 	 	 	2981_17	 	1116	2699_21, 2991_22, 4561_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	2835, 3723, 728	4409_2	3938	794	4123	4343_8	3932	 	 	 	 	2913_17	 	1665, 1889	3161_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	1612, 3129, 544	633_2	4044	477	313	4191_8	4038	 	 	 	 	4550_17	 	156, 803	4373_21	 	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	1129, 1603, 1994	1447_2	2063	3367	2993	1381_8	2069	 	 	 	 	2889_17	 	195, 2194	2197_21, 2899_22, 3131_21	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	203, 44, 596	1368_2	3462	4820	4648	3631_8	3455	 	 	 	 	1037_17	 	2454	1997_21, 4570_21	 	 
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	208, 2409, 934	1379_2	3921	3443	3611	989_8	3154	 	 	 	 	2529_17	 	1102	4026_21, 4078_21, 4192_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	4530, 4846, 966	3184_2	3177, 3815	715	557	40_8	3809	 	 	 	 	4696_17	 	3108	1765_21, 4289_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	116, 3423, 472	4231_2	4004, 4238	541	251	309_8	4010	 	 	 	 	4563_17	 	3708, 717	2286_21, 720_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	2260, 3480, 688	4179_2	1803, 4186	1220	1386	3998_8	1809	 	 	 	 	221_17	 	138, 3827	141_21, 2649_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	2653, 3139, 4548	1332_2	1325, 2765	366	611	2720_8	2759	 	 	 	 	2492_17	 	771	1242_21, 2116_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	3696, 4492, 71	4107_2	373, 4114	3469	787	3640_8	367	 	 	 	 	1035_17	 	1257	1023_22, 1024_22, 3846_21, 914_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	4355, 462, 78	2937_2	2944, 4085	531	2738	29_8	4091	 	 	 	 	1868_17	 	1426, 4210	4213_21, 718_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	2287, 2655, 545	812_2	4127, 805	3087	2979	4576_8	4133	 	 	 	 	2854_17	 	4043	2843_22, 3652_21, 4512_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	1924, 2239, 4518	3362_2	3355, 4675	2171	2006	4571_8	4669	 	 	 	 	4323_17	 	3777	183_21, 4334_22, 827_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	175, 1761, 2241	1202_2, 304_2	1085	1694	1528	232_8	1091	 	 	 	 	4465_17	 	1211, 2775	1214_21, 3352_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	2163, 2711, 474	1570_2	1563, 237	540	704	1502_8	231	 	 	 	 	1966_17	 	1027	107_21, 1977_22, 4698_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	2284, 2729, 4278	1436_2	1443, 3453	4345	4509	3195_8	3447	 	 	 	 	4584_17	 	4156	2519_21, 4573_22, 785_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	2688, 30, 3078	1851_2, 3329_2	404	4387	4220	1779_8	410	 	 	 	 	3240_17	 	834	1320_21, 3341_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	2594, 3022, 3407	691_2	157, 684	1720	1884	4760_8	163	 	 	 	 	1963_17	 	4036	1974_22, 3928_21, 402_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	1753, 1862, 273	1161_2	1154, 4563	340	506	1094_8	4557	 	 	 	 	1561_17	 	618	1572_22, 4288_21, 4434_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	1327, 3305, 4073	3209_2, 854_2	2477	4536	4370	782_8	2483	 	 	 	 	4721_17	 	312	2030_21, 3197_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	1812, 3053, 4313	2423_2, 4148_2	4219	1880	2993	2496_8	4225	 	 	 	 	2792_17	 	2104, 4139	4136_21, 721_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	1790, 4586, 897	3840_2, 4283_2	3723	1336	1979	2999_8	3729	 	 	 	 	1152_17	 	544	2054_21, 3852_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	243, 3214, 3602	1384_2, 3882_2	1267	4284	4451	3810_8	1273	 	 	 	 	44_17	 	1393, 2027	1396_21, 874_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	120, 2710, 4050	2826_2, 4157_2	3938	593	3662	1795_8	3944	 	 	 	 	2300_17	 	857	2838_21, 2984_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	1878, 2196, 789	4498_2	2802, 4505	2264	1610	2429_8	2808	 	 	 	 	4081_17	 	368	3357_21, 4070_22, 4615_21, 4616_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	167, 4281, 4825	1600_2	1808	4212	4627	3489_8	1802	 	 	 	 	43_17	 	4039	1348_21, 2655_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	23, 411, 4526	738_2	1301, 745	478	1684	3323_8	1295	 	 	 	 	2297_17	 	3594	2308_22, 2622_21, 4759_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	1741, 2566, 3608	3421_2	3414, 597	1673	523	4470_8	603	 	 	 	 	43_17	 	1974	3330_21, 54_22, 960_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	1472, 1867, 4087	3352_2	3125	1935	2101	3285_8	3119	 	 	 	 	4533_17	 	2500, 2998	2995_21, 4280_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	2470, 4014, 4522	2619_2	3122	2857	3025	2551_8	3116	 	 	 	 	4341_17	 	1853	3480_21, 3891_21, 4353_22	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	190, 4102, 42	2959_2, 4372_2	3076	2344	2511	1730_8	3070	 	 	 	 	1752_17	 	2950, 748	2947_21, 3514_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	1927, 3892, 4363	323_2, 4156_2	4551	643	478	4083_8	4545	 	 	 	 	1765_17	 	2525	1244_21, 335_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	1215, 3638, 4515	1562_2	2719	3761	4362	4575_8	2725	 	 	 	 	4283_17	 	1896	2851_21, 4162_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	159, 4424, 4535	3828_2	2756, 3821	225	389	3759_8	2750	 	 	 	 	4231_17	 	3290	2476_21, 2625_21, 4242_22	 	 
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	1755, 3852, 4315	2369_2, 3005_2	3738	1689	1526	2442_8	3744	 	 	 	 	4472_17	 	1187, 3014	3017_21, 3171_21	 	 
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	2093, 2478, 4127	2822_2	3152	3649	3816	2889_8	3146	 	 	 	 	4514_17	 	1694	3020_21, 4199_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	1, 4160, 4246	3567_2	399	67	232	3507_8	405	 	 	 	 	3997_17	 	3035	527_21, 676_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	1, 4198, 4285	3603_2	409	68	238	3544_8	415	 	 	 	 	4034_17	 	3068	540_21, 690_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	1, 4192, 4281	3592_2	409	68	237	3533_8	415	 	 	 	 	4029_17	 	3058	539_21, 688_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	4133, 4215, 4616	3539_2	346	8	179	3478_8	352	 	 	 	 	3968_17	 	3002, 478	481_21, 626_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	4164, 4247, 4640	3532_2	345	8	179	3470_8	351	 	 	 	 	3961_17	 	2998	479_21, 620_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	4169, 4251, 4648	3532_2	346	8	178	3470_8	352	 	 	 	 	3961_17	 	2997, 477	480_21, 624_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	4137, 4220, 4616	3512_2, 471_2	350	8	181	3451_8	356	 	 	 	 	3934_17	 	2971, 480	3946_22, 483_21, 633_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	1, 4115, 4203	3556_2	377	68	223	3491_8	383	 	 	 	 	3965_17	 	3028, 505	508_21, 671_21	 	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	4271, 4342, 60	1378_2, 3661_2	1219	128	284	3592_8	1225	 	 	 	 	4116_17	 	1387, 3136	1390_21, 1548_21, 4129_22	 	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	3232, 4251, 782	1358_2	2204	2832	66	3818_8	2198	 	 	 	 	3081_17	 	1695	1001_21, 3453_21	 	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	3169, 4290, 515	3340_2	2453	4403	2182	3402_8	2446	 	 	 	 	1538_17	 	675	1040_21, 1528_22, 2323_21	 	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	4605, 483, 74	4029_2	3033, 4022	548	708	3956_8	3027	 	 	 	 	4445_17	 	2907, 3482	2739_21, 2904_21	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	125, 4271, 4350	3710_2	2761	191	348	3646_8	2754	 	 	 	 	4118_17	 	2635, 3184	2486_21	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	125, 4291, 4371	3726_2	2772	191	350	3663_8	2765	 	 	 	 	4138_17	 	2647, 3200	2496_21	 	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	3, 3887, 4387	1123_2	3922	2247	1876	2646_8	3928	 	 	 	 	69_17	 	2796	3376_21, 56_22, 773_21	 	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	1405, 4566, 594	2964_2, 3850_2	3976	4681	854	1457_8	3970	 	 	 	 	719_17	 	3379, 3840	1602_21, 3837_21	 	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	1332, 2901, 3719	1011_2	4343	1721	1893	4306_8	4337	 	 	 	 	3634_17	 	307	3008_21, 3581_21	 	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	3036, 3920, 4553	128_2	1055	4101	3230	201_8	1061	 	 	 	 	3292_17	 	1008	2999_21, 3560_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	2259, 4097, 792	1035_2	1551	3496	1859	1327_8	3953	 	 	 	 	2629_17	 	3425	2408_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1109, 2040, 4621	3714_2	3267	3829	2390	1552_8	3261	 	 	 	 	4408_17	 	3762	4094_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	1, 3844, 4516	4364_2	2765	73	236	4423_8	2759	 	 	 	 	3681_17	 	3213	2461_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	1155, 2554, 2555, 3726	3234_2	4533	2634	2072	1259_8, 1260_8	4006	 	 	 	 	4343_17	 	4487	1104_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	1, 3746, 4419	4266_2	414	76	238	4325_8	420	 	 	 	 	3588_17	 	3129	710_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	2295, 3333, 4227	2414_2	3868	3795	2658	879_8	630	 	 	 	 	1339_17	 	2491	1515_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	1, 3799, 4467	4314_2	409	73	234	4374_8	415	 	 	 	 	3635_17	 	3173	710_21	 	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	1, 3738, 4420	4266_2, 538_2	409	75	236	4326_8	415	 	 	 	 	3576_17	 	3117	550_21, 705_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	1, 4365, 4483	3783_2	2642	69	233	3708_8	2636	 	 	 	 	4205_17	 	3231	2343_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	1, 4339, 4457	3755_2	2651	67	225	3683_8	2645	 	 	 	 	4183_17	 	3167	2355_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	1, 4323, 4440	3741_2	2627	66	226	3665_8	2621	 	 	 	 	4165_17	 	3189	2328_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	136, 4479, 4597	3895_2	2833	201	363	3822_8	2827	 	 	 	 	4321_17	 	3349	2532_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	1, 4508, 4629	3903_2	2723	69	236	3824_8	2717	 	 	 	 	4344_17	 	3335	2416_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	4196, 4317, 4689	3541_2	2418, 3822	4756	4920	3467_8	2412	 	 	 	 	4028_17	 	2983	2116_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	4, 4175, 4290	3601_2	2620	70	232	3527_8	2614	 	 	 	 	4016_17	 	3053	2324_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	4123, 4239, 4643	3560_2	2570	9	174	3486_8	2564	 	 	 	 	3963_17	 	3007	2276_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	2, 4205, 4322	3617_2	2664	170	335	3542_8	2658	 	 	 	 	4043_17	 	3151	2373_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	4, 4238, 4354	3656_2	2623	70	234	3581_8	2617	 	 	 	 	4074_17	 	3105	2325_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	4, 4223, 4340	3636_2	2643	81	247	3561_8	2637	 	 	 	 	4062_17	 	3084	2350_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	4094, 4210, 4615	3505_2	2517	9	177	3429_8	2511	 	 	 	 	3932_17	 	2387, 2954	2224_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	3332, 4156, 4273	3600_2	2562	9	174	3526_8	2556	 	 	 	 	3995_17	 	3027	2271_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	4, 4224, 4339	3628_2	2638	79	248	3555_8	2632	 	 	 	 	4060_17	 	3075	2353_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	3985, 4100, 4509	3401_2	2518	9	174	3327_8	2512	 	 	 	 	3825_17	 	2949	2226_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	1, 4411, 4526	3742_2	2597, 4038	68	229	3667_8	2591	 	 	 	 	4250_17	 	3187	2299_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	1, 4361, 4479	3774_2	1853	68	230	3702_8	1847	 	 	 	 	4197_17	 	3217	1553_21	 	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	1, 4274, 4389	3694_2	2632	68	229	3619_8	2626	 	 	 	 	4114_17	 	3143	2332_21	 	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	284, 690, 797	1401_2, 2564_2	2448	217	48	1467_8	2454	 	 	 	 	952_17	 	1939, 2573	2576_21, 2726_21	 	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	4273, 4392, 4816	2549_2, 3699_2	2722	10	180	4313_8	2716	 	 	 	 	4113_17	 	3185	2385_21, 2536_21	 	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	3877, 3949, 44	3370_2	2429, 3834	85	243	3427_8	2423	 	 	 	 	3747_17	 	2268, 2831	2141_21, 2271_21, 3734_22	 	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	1, 4066, 4139	3501_2	2587, 4008	45	206	3443_8	2581	 	 	 	2302	3887_17	 	2448, 2971	2239_21, 2445_21, 3904_22	 	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	1494, 1952, 2055	2602_2, 3772_2	3646	1442	1267	2666_8	3652	 	 	 	 	2204_17	 	3239, 3782	2192_22, 3191_22, 3785_21, 3939_21	 	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	223, 3875, 4005	3040_2	1780	220	101	3360_8	1707	 	 	 	 	3602_17	 	2764	1480_21, 2104_21	 	 
Shigella dysenteriae CDC 74-1112 (941429.3)	4512, 614, 996	2846_2, 4738_2	1278	4167	4207	1334_8	1285	 	 	 	 	1516_17	 	1097	2592_21, 745_22	 	 
Shigella dysenteriae 155-74 (766142.3)	115, 4421, 4966	2671_2, 4132_2	2898	144	301	4057_8	2891	 	 	 	 	4594_17	 	3283	1268_21, 4574_22	 	 
Shigella dysenteriae 1617 (754093.3)	390, 4167, 703	2393_2	1358	4105	3935	2311_8	1372	 	 	 	 	1074_17	 	1746	4948_21	 	 
Shigella dysenteriae 225-75 (766143.3)	176, 4344, 4963	2979_2, 4206_2	3150	207	350	4117_8	3143	 	 	 	 	4502_17	 	3635	1102_21, 4481_22	 	 
Shigella dysenteriae Sd197 (300267.13)	1, 4464, 4978	4250_2	3218	57	211	4176_8	3205	 	 	 	 	4647_17	 	3660	2540_21	 	 
Shigella flexneri CDC 796-83 (945360.3)	4239, 5010, 660	1869_2, 4031_2	2701	1674	1212	3698_8	2694	 	 	 	 	2370_17	 	2228	1578_22, 3397_21	 	 
Shigella flexneri 1485-80 (766155.3)	179, 3903, 4107	2806_2, 4685_2	2956	206	328	4779_8	2949	 	 	 	394, 396	4257_17	 	3383	2618_21, 4239_22	 	 
Shigella flexneri 2002017 (591020.3)	1, 4695, 4899	4048_2	3011	31	174	3964_8	3003	 	 	 	 	4542_17	 	3380	2687_21, 4559_22	 	 
Shigella flexneri 2747-71 (766157.3)	3872, 4065, 5092	4688_2	2937, 2938	19	157	4790_8	2930	 	 	 	 	4205_17	 	3354	2603_21, 4188_22	 	 
Shigella flexneri 2850-71 (766158.3)	3824, 4062, 73	4669_2	2901	99	239	4754_8	2894	 	 	 	 	4200_17	 	3067	2574_21, 4182_22	 	 
Shigella flexneri 2930-71 (766159.3)	3851, 4012, 92	4627_2	2969	119	256	4708_8	2962	 	 	 	 	4156_17	 	3313	2646_21, 4139_22	 	 
Shigella flexneri 2a str. 2457T (198215.9)	2643, 2839, 4978	4115_2	531	4952	4810	4200_8	524	 	 	 	 	4372_17	 	3379	208_21, 4354_22	 	 
Shigella flexneri 2a str. 301 (198214.7)	1, 4734, 4933	4076_2	3014	31	176	3988_8	3006	 	 	 	 	4584_17	 	3389	2686_21, 4601_22	 	 
Shigella flexneri 4343-70 (766160.3)	3434, 3609, 4673	4252_2	2606	188	325	4340_8	2599	 	 	 	 	3781_17	 	3001	2276_21, 3764_22	 	 
Shigella flexneri 5 str. 8401 (373384.11)	1, 4557, 4761	3917_2	2904	30	172	3834_8	2896	 	 	 	 	4208_17	 	3335	2577_21, 4192_22	 	 
Shigella flexneri 5a str. M90T (1086030.3)	1, 4335, 4525	3725_2	2748	26	161	3643_8	2741	 	 	 	 	4002_17	 	3175	2432_21, 3985_22	 	 
Shigella flexneri 6603-63 (766161.3)	3856, 4000, 5087	4569_2	2982	5115	152	4751_8	2975	 	 	 	 	4156_17	 	3375	2656_21, 4140_22	 	 
Shigella flexneri CCH060 (754091.3)	3973, 4141, 5190	2883_2, 4719_2	3030	116	249	4807_8	3023	 	 	 	 	4285_17	 	3494	2632_21, 4268_22	 	 
Shigella flexneri J1713 (754092.3)	4626, 5082	4466_2	2861	76	156	4547_8	2854	 	 	 	 	3995_17	 	3262	2520_21, 3978_22	 	 
Shigella flexneri K-218 (766146.3)	342, 4385, 4583	5276_2	3537	372	509	5359_8	3530	 	 	 	 	4747_17	 	3922	3207_21, 4729_22	 	 
Shigella flexneri K-227 (766147.3)	3974, 5237	2907_2, 4746_2	3054	21	168	4829_8	3047	 	 	 	 	4251_17	 	3425, 3426	2716_21, 4234_22	 	 
