Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	1724	4428	1865_3	1935_5_6, 1935_5_6	1864_8	2464_15	1851_10	530_11	4429_12	4429_12	4634	1873_17	1872_19	152	3874, 4000	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	2503	4340	2644_3	2713_5_6, 2713_5_6	2643_8	568_15	2630_10	1251_11	4341_12	4341_12	4543	2651_17	2650_19	150	3918	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	2571	739	2433_3, 3057_4	2363_5_6, 2363_5_6	2434_8	4500_9	2450_10	3805_11	738_12	738_12	536	2424_17	2425_19	134	1178, 1301	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	2541	4369	1350_4, 2737_3	2808_5_6, 2808_5_6	2736_8	541_9	2720_10	2071_11	4370_12	4370_12	4567	2746_17	2745_19	98	3923	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	2266	3933	1899_4, 2444_3	2513_5_6, 2513_5_6	2443_8	455_22, 456_9	2427_10	1101_11	3934_12	3934_12	4112	2458_17	2457_19	174	3432	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	2450	4121	1861_4, 2602_3	2658_5_6, 2658_5_6	2601_8	468_9, 469_22	2585_10	1104_11	4122_12	4122_12	4316	2608_17	2607_19	135	 	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	3780	2001	3632_3, 4330_4	3561_5_6, 3561_5_6	3633_8	934_22, 935_9	3648_10	189_11	2000_12	2000_12	1780	3620_17	3621_19	1355	2387, 955	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	2100	3986	1634_3	1575_5_6, 1575_5_6	1635_8	1252_9	1703_10	1466_11	3987_12	3987_12	3529	1624_17	1625_19	159	2714, 3120	 
Shigella dysenteriae CDC 74-1112 (941429.3)	2839	4748	1250_3, 14_4	1415_5_6, 1415_5_6	1251_8	2640_9	1280_10	1901_11	4747_12	4747_12	3842	2458_17	2457_19	4671	1640	 
Shigella dysenteriae 155-74 (766142.3)	2664	4391	1561_4, 2924_3	2990_5_6, 2990_5_6	2923_8	810_9	2896_10	2061_11, 3245_11	4390_12	4390_12	5166	2933_17	2932_19	224	3477	 
Shigella dysenteriae 1617 (754093.3)	1564	446	1330_3	1259_5_6, 1259_5_6	1331_8	3825_22, 3826_15	1361_10	5074_11	216_12, 447_12	216_12, 447_12	4519	1309_17	1310_19	3998	903	 
Shigella dysenteriae 225-75 (766143.3)	2972	4288	1282_4, 3199_3	3261_5_6, 3261_5_6	3198_8	434_9	3148_10	2254_11	4287_12	4287_12	5013	3209_17	3208_19	272	 	 
Shigella dysenteriae Sd197 (300267.13)	3026	4412	3244_3	3312_5_6, 3312_5_6	3243_8	314_15	3215_10	2434_11	4411_12	4411_12	5210	3262_17	3261_19	152	4807	 
Shigella flexneri CDC 796-83 (945360.3)	4024	1825	2734_3, 4588_4	1443_5_6, 1443_5_6	2733_8	1620_9	2699_10	3427_11	1824_12	1824_12	748	2744_17	2743_19	4191	3278	 
Shigella flexneri 1485-80 (766155.3)	2799	4044	2062_4, 2988_3	3060_5_6, 3060_5_6, 3061_5_6, 3061_5_6	2987_8	656_9	2954_10	1301_11	4043_12	4043_12	5080	2998_17	2997_19	270	 	 
Shigella flexneri 2002017 (591020.3)	2856	4765	3037_3	3104_5_6, 3104_5_6	3036_8	528_15	3008_10	1407_11	4766_12	4766_12	5075	3049_17	3048_19	114	3407, 4321	 
Shigella flexneri 2747-71 (766157.3)	2775	5130	2163_4, 2965_3	3052_5_6, 3052_5_6, 3053_5_6, 3053_5_6	2964_8	520_15	2935_10	1439_11	5131_12	5131_12	223	2996_17	2995_19	97	3380, 4414	 
Shigella flexneri 2850-71 (766158.3)	2757	3996	2123_4, 2928_3	2996_5_6, 2996_5_6, 2997_5_6, 2997_5_6	2927_8	707_22, 708_15	2899_10	1329_11	3995_12	3995_12	4916	2941_17	2940_21	178	 	 
Shigella flexneri 2930-71 (766159.3)	2812	4998	2142_4, 2995_3	3081_5_6, 3081_5_6	2994_8	565_15	2967_10	1409_11	4999_12	4999_12	4890	3026_17	3025_19	195	3336, 4369	 
Shigella flexneri 2a str. 2457T (198215.9)	374	2712	557_3	647_5_6, 647_5_6	556_8	4490_15	529_10	1021_11	2713_12	2713_12	5089	590_17	589_19	4874	3852	 
Shigella flexneri 2a str. 301 (198214.7)	2855	4802	2215_4, 3040_3	3109_5_6, 3109_5_6	3039_8	519_15	3011_10	1351_11	4803_12	4803_12	5106	3052_17	3051_19	115	3419, 4358	 
Shigella flexneri 4343-70 (766160.3)	2448	3713	2012_4, 2632_3	2727_5_6, 2727_5_6	2631_8	651_15	2604_10	1452_11	3712_12	3712_12	4559	2673_17	2672_19	264	3870	 
Shigella flexneri 5 str. 8401 (373384.11)	2748	4626	2145_4, 2929_3	2998_5_6, 2998_5_6	2928_8	543_15	2901_10	1341_11	4627_12	4627_12	4918	2942_17	2941_19	113	3358, 4404	 
Shigella flexneri 5a str. M90T (1086030.3)	2597	4401	2023_4, 2773_3	2841_5_6, 2841_5_6	2772_8	516_15	2746_10	1279_11	4402_12	4402_12	4675	2786_17	2785_21	102	4190	 
Shigella flexneri 6603-63 (766161.3)	2825	4	2176_4, 3010_3	3096_5_6, 3096_5_6	3009_8	558_15	2980_10	1420_11	3_12	3_12	4971	3039_17	3038_19	92	3395, 4346	 
Shigella flexneri CCH060 (754091.3)	2876	4080	2092_4, 3068_3	3157_5_6, 3157_5_6	3067_8	566_9	3028_10	1263_11	4079_12	4079_12	5004	3079_17	3078_19	179	 	 
Shigella flexneri J1713 (754092.3)	2716	3741	2071_4, 2887_3	2955_5_6, 2955_5_6	2886_8	495_15, 496_22	2859_10	1260_11	3740_12	3740_12	4804	2900_17	 	43	 	 
Shigella flexneri K-218 (766146.3)	3380	4517	2176_4, 3564_3	3641_5_6, 3641_5_6	3563_8	840_9	3535_10	1915_11	4516_12	4516_12	229	3576_17	3575_19	448, 449	5005	 
Shigella flexneri K-227 (766147.3)	2900	4005	2104_4, 3083_3	3143_5_6, 3143_5_6	3082_8	747_15, 748_22	3052_10	1295_11	4004_12	4004_12	4940	3095_17	 	106	 	 
Shigella flexneri K-272 (766148.3)	3098	4183	2463_4, 3280_3	3342_5_6, 3342_5_6	3279_8	813_15, 814_22	3250_10	1684_11	4182_12	4182_12	115, 116	3292_17	 	462	 	 
Shigella flexneri K-304 (766149.3)	3070	4096	3259_3	3327_5_6, 3327_5_6	3258_8	601_15	3230_10	1567_11	4095_12	4095_12	5286	3271_17	3270_19	213	3622, 4667	 
Shigella flexneri K-315 (766150.3)	2686	3860	2012_4, 2892_3	2962_5_6, 2962_5_6	2891_8	435_9	2860_10	2367_11	3859_12	3859_12	4715	2902_17	2901_19	95	 	 
Shigella flexneri VA-6 (766145.3)	3173	48	2498_4, 3352_3	3433_5_6, 3433_5_6	3351_8	886_15	3323_10	1698_11	49_12	49_12	165, 166	3374_17	 	442	 	 
Shigella sonnei 3233-85 (766163.3)	2692	4619	2971_3	3039_5_6, 3039_5_6	2970_8	533_22, 534_9	2943_10	1214_11	4620_12	4620_12	4785	2980_17	2979_19	99	3393, 4192	 
Shigella sonnei 4822-66 (766164.3)	2404	4342	2635_3	2699_5_6, 2699_5_6	2634_8	512_22, 513_9	2607_10	1225_11	4343_12	4343_12	4548	2644_17	2643_19	97	3914	 
Shigella sonnei Ss046 (300269.12)	2852	4944	3097_3	3164_5_6, 3164_5_6	3096_8	567_22, 568_9	3068_10	1355_11	4945_12	4945_12	5171	3106_17	3105_19	131	3617, 4455	 
Shigella sonnei str. Moseley (754077.4)	3007	5146	3245_3	3309_5_6, 3309_5_6	3244_8	702_22, 703_9	3216_10	1474_11	5147_12	5147_12	5416	3254_17	3253_19	268	3807, 3808, 4609	 
Yersinia bercovieri ATCC 43970 (349968.5)	2776	3165	1394_3	1760_5_6, 1760_5_6	1395_8	2940_15	1407_10	1346_11	3166_12	3166_12	3926	2913_17	2914_19	2127	1579	 
Yersinia enterocolitica IP 10393 (1243181.3)	617	1458	2111_4, 261_3	162_5_6, 162_5_6	262_8	2735_22, 2736_9	274_10	2190_11	1459_12	1459_12	4156	214_17	216_19	3724	1004	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	1429	394	1227_3	1129_5_6, 1129_5_6	1228_8	3248_15	1242_10	1866_11	395_12	395_12	478	1179_17	1180_19	781	131	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	2233	3885	1772_4, 2422_3	2515_5_6, 2515_5_6	2421_8	528_9	2408_10	1836_11	3884_12	3884_12	3805	2469_17	2468_19	163	4039	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	3045	320	2583_4, 3242_3	3339_5_6, 3339_5_6	3241_8	1278_9, 1279_22	3230_10	2663_11	321_12	321_12	424	3286_17	3284_19	838	42	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	3162	277	1925_4, 4141_3	4044_5_6, 4044_5_6	4142_8	3899_22, 3900_9	4154_10	2554_11	278_12	278_12	1209	4097_17	4099_19	1536	156	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	456	4156	1169_3, 2616_4	1072_5_6, 1072_5_6	1170_8	3262_22, 3263_9	1182_10	2693_11	4155_12	4155_12	1430	1126_17	1128_19	1744	151	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	910	3950	2221_3, 2763_4	1327_5_6, 1327_5_6	2220_8	831_9, 832_22	2208_10	740_11	3949_12	3949_12	114	1379_17	1381_19	258	3457	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	184	3493	4323_3, 634_4	4227_5_6, 4227_5_6	4324_8	1958_22, 1959_9	10_10	560_11	3494_12	3494_12	3600	4279_17	4281_19	3900	 	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	186	3490	4344_3, 652_4	4245_5_6, 4245_5_6	4345_8	1954_22, 1955_9	10_10	574_11	3491_12	3491_12	3597	4296_17	4298_19	3910	2896	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	185	3498	4352_3, 649_4	4255_5_6, 4255_5_6	4353_8	1959_22, 1960_9	10_10	571_11	3499_12	3499_12	3604	4306_17	4308_19	3919	2904	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	184	3486	4338_3, 647_4	4239_5_6, 4239_5_6	4339_8	1951_22, 1952_9	10_10	568_11	3487_12	3487_12	3593	4290_17	4292_19	3906	2893	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	185	3475	4332_3, 647_4	4233_5_6, 4233_5_6	4333_8	1939_22, 1940_9	10_10	568_11	3476_12	3476_12	3581	4284_17	4286_19	3895	2878	 
Yersinia frederiksenii ATCC 33641 (349966.5)	2150	4169	1572_3, 2515_4	1662_5_6, 1662_5_6	1571_8	4381_9, 4382_22	1560_10	2580_11	4170_12	4170_12	963	1613_17	1612_19	118	3046	 
Yersinia kristensenii ATCC 33638 (527012.3)	2978	4663	1327_4, 2666_3	1856_5_6, 1856_5_6	2667_8	1961_22, 1962_9	4616_10	1255_11	4664_12	4664_12	3795	2625_17	2626_19	573	3395	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	2723	3650	3355_4, 769_3	3525_5_6, 3525_5_6	770_8	3066_9	3243_10	2187_11	3649_12	3649_12	1176	421_17	419_19	775	3928	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	2640	1745	2196_3	1361_5_6, 1361_5_6	2197_8	1500_15, 1501_22	2210_10	2396_11	1744_12	1744_12	667	2158_17	2160_19	3737	1548	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	3839	1257	2290_4, 2437_3	2708_5_6, 2708_5_6	2436_8	605_15, 606_22	3065_10	3942_11	1258_12	1258_12	4324	2477_17	2475_19	4264	1026	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	1761	4381	1545_3, 2761_4	1448_5_6, 1448_5_6	1546_8	3489_15	1562_10	1964_11	4380_12	4380_12	4169	1504_17	1506_19	3868	243	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	3189	468	3405_3	3500_5_6, 3500_5_6	3404_8	1314_15	3390_10	2968_11	469_12	469_12	618	3445_17	3443_19	932	169	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	2948	333	3159_3	3257_5_6, 3257_5_6	3158_8	1165_15	3144_10	2727_11	334_12	334_12	480	3200_17	3198_19	780	36	 
Yersinia pseudotuberculosis YPIII (502800.6)	1640	373	1434_3	1330_5_6, 1330_5_6	1435_8	3405_15	1450_10	1857_11	374_12	374_12	4106	1385_17	1387_19	3786	4517	 
Yersinia rohdei ATCC 43380 (527004.3)	2028	3602	270_4, 2862_3	1094_5_6, 1094_5_6	2861_8	1826_9, 1827_22	2849_10	335_11	3603_12	3603_12	786	3264_17	3263_19	3242	1521	 
Yokenella regensburgei ATCC 43003 (1002368.3)	4151	28	3605_4, 4297_3	4354_5_6, 4354_5_6	4296_8	2219_9, 2220_22	4276_10	2792_11	29_12	29_12	241	4304_17	4303_19	579	1308, 1547	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	1009	4241	1197_3, 2290_4	1519_5_6, 1519_5_6	1196_8	266_9, 267_22	1117_10	1965_11	4240_12	4240_12	2890	80_17	2990_19, 81_19	1640	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	438	1223	 	1748_5_6, 1748_5_6	1143_8	692_15	2101_10	862_11	1001_12	1001_12	1123	624_17	623_19	 	1127	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	612	1533	1143_4	966_5_6, 966_5_6	1132_8	1400_22, 1402_9	382_10	95_11	2124_12	2124_12	1113	893_17	892_19	 	1117	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	482	1234	1163_4, 1164_4	1756_5_6, 1756_5_6	1152_8	688_22, 690_9	2115_10	883_11	1009_12	1009_12	1133	627_17	626_19	 	1137	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	470	1306	1237_4	1830_5_6, 1830_5_6	1226_8	726_22, 728_9	2176_10	900_11	1077_12	1077_12	1207	666_17	665_19	 	1211	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	475	1222	1151_4, 1153_4	1728_5_6, 1728_5_6	1140_8	682_22, 684_9	2067_10	870_11	1003_12	1003_12	1121	621_17	620_19	 	1125	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	454	1255	1186_4	1767_5_6, 1767_5_6	1175_8	716_22, 718_9	2119_10	904_11	1035_12	1035_12	1156	655_17	654_19	 	1160	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	466	1298	 	1810_5_6, 1810_5_6	1217_8	720_22, 722_9	2154_10	890_11	1069_12	1069_12	1198	661_17	660_19	 	1202	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	1023	1639	1711_4	2143_5_6, 2143_5_6	1722_8	2098_9, 2100_22, 767_9	117_10	1183_11	1948_12	1948_12	1741	564_17	563_19	 	1737	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	453	1187	1117_4, 1119_4	1709_5_6, 1709_5_6	1106_8	653_22, 655_9	2058_10	833_11	971_12	971_12	1088	590_17	589_19	 	1092	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	458	1204	1133_4	1728_5_6, 1728_5_6	1122_8	658_9	2044_10	836_11	984_12	984_12	1103	2100_17	2101_19	 	1108	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	502	1326	1256_4, 1257_4	1842_5_6, 1842_5_6, 1843_5_6, 1843_5_6	1245_8	733_9	17_10	964_11	1102_12	1102_12	1225	668_17	667_19	 	1229	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	460	1258	1186_4, 1187_4	1785_5_6, 1785_5_6	1175_8	719_22, 721_9	2160_10	902_11	1033_12	1033_12	1157	658_17	657_19	 	1161	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	460	1301	1232_4	1812_5_6, 1812_5_6	1221_8	715_22, 717_9	2151_10	890_11	1070_12	1070_12	1201	656_17	655_19	 	1205	 
Aggregatibacter aphrophilus F0387 (679198.3)	411	768	1468_4, 1612_3	902_5_6, 902_5_6	1613_8	258_22, 259_9	2134_10	1724_11	769_12	769_12	969	30_17	18_19	 	22	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	892	1245	1649_3	1379_5_6, 1379_5_6	1648_8	733_15	396_10	1533_11	1246_12	1246_12	252	498_17	487_19	 	490	 
Haemophilus haemolyticus HK386 (1095742.3)	1458	1019	172_4, 360_4, 399_4	1228_5_6, 1228_5_6	1146_8	825_22, 826_9	682_10	66_11	1018_12	1018_12	618	1594_17	1595_19	 	 	 
Haemophilus haemolyticus M21621 (1028805.3)	1669	713	39_4	1866_5_6, 1866_5_6	1956_8	302_9, 303_22	1746_10	1591_11	712_12	712_12	1173	361_17	363_19	 	 	 
Haemophilus haemolyticus M21639 (1028806.3)	1615	449	808_4	797_5_6, 797_5_6, 798_5_6, 798_5_6	1247_8	1715_9	564_10	2265_11	448_12	448_12	626	1636_17	1634_19	 	 	 
Haemophilus influenzae 10810 (862964.3)	1415	1064	1691_3	922_5_6, 922_5_6	1692_8	1867_22, 1868_9	1978_10	795_11	1063_12	1063_12	1886	283_17	284_19	 	 	 
Haemophilus influenzae 6P18H1 (521004.3)	1011	939	248_3	785_5_6, 785_5_6	247_8	969_22, 970_9	1440_10	1807_11	938_12	938_12	986	1102_17	1103_19	 	 	 
Haemophilus influenzae 7P49H1 (521005.3)	484	177	962_3	31_5_6, 31_5_6	961_8	524_9, 525_22	1589_10	1664_11	176_12	176_12	509	552_17	553_19	 	 	 
Haemophilus influenzae 86-028NP (281310.6)	1275	980	1579_3	846_5_6, 846_5_6	1578_8	1315_9, 1316_22	1875_10	706_11	979_12	979_12	1300	295_17	296_19	 	 	 
Haemophilus influenzae F3031 (866630.3)	1039, 1040	1390	 	1521_5_6, 1521_5_6	 	995_22, 996_9	413_10	1606_11	1391_12	1391_12	1013	158_17	159_19	 	 	 
Haemophilus influenzae F3047 (935897.3)	1818	248	 	393_5_6, 393_5_6	 	1773_22, 1774_9	1188_10	537_11	249_12	249_12	1791	1063_17	1062_19	 	 	 
Haemophilus influenzae NT127 (656913.3)	582	153	1496_3	1604_5_6, 1604_5_6	1497_8	627_9, 628_22	1278_10	1641_11	152_12	152_12	609	1350_17	1349_19	 	 	 
Haemophilus influenzae PittAA (374928.4)	1024	28	968_3	810_5_6, 810_5_6	966_8, 967_8	1066_9, 1067_22	1381_10	1614_11	27_12	27_12	1050	1093_17	1094_19	 	 	 
Haemophilus influenzae PittHH (374932.4)	981	926	87_3	642_5_6, 642_5_6, 643_5_6, 643_5_6, 644_5_6, 644_5_6	88_8	1434_22, 1435_9	1788_10	1915_11	927_12	927_12	1451	1171_17	1170_19	 	 	 
Haemophilus influenzae PittII (374933.4)	1190	212	885_3	373_5_6, 373_5_6	884_8	1838_22, 1839_9	1042_10	1306_11	213_12	213_12	1164	1776_17	1775_19	 	 	 
Haemophilus influenzae R2846 (262727.7)	1153	1460	895_3	1608_5_6, 1608_5_6	896_8	1104_22, 1105_9	652_10	1738_11	1461_12	1461_12	1122	384_17	383_19	 	 	 
Haemophilus influenzae R2866 (262728.5)	681	367	922_3	215_5_6, 215_5_6	923_8	724_9, 725_22	1159_10	21_11	366_12	366_12	708	1491_17	1492_19	 	 	 
Haemophilus influenzae Rd KW20 (71421.8)	1259	930	1485_3	790_5_6, 790_5_6	1486_8	1689_15	1805_10	667_11	929_12	929_12	1708	233_17, 234_17	235_19	 	 	 
Haemophilus influenzae RdAW (656912.3)	1306	170	942_3	33_5_6, 33_5_6	941_8	591_15	1279_10	1601_11	169_12	169_12	609	1105_17	1104_19	 	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	801	156	1311_3, 1696_4	1528_5_6, 1528_5_6	1310_8	744_22, 745_9	402_10	1172_11	155_12	155_12	538	937_17	938_19	 	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	340	1760	1126_3, 181_4	1934_5_6, 1934_5_6	1127_8	390_9, 391_22	741_10	1948_11	1759_12	1759_12	603	869_17	868_19	 	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	445	758	125_3, 845_4	285_5_6, 285_5_6	124_8	394_22, 395_9	1517_10	300_11	759_12	759_12	1329	661_17	660_19	 	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	1714	167	1056_3	755_5_6, 755_5_6	1057_8	1662_15	1910_10	770_11	168_12	168_12	1461	1392_17	1391_19	 	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	1629	1887	1082_3, 1321_4	4_5_6, 4_5_6	603_8	383_22, 385_9	105_10	1567_11	1009_12	1009_12	1431	454_17	456_19	 	 	 
Haemophilus sputorum HK 2154 (1078483.3)	573	1246	1121_4, 1490_3	1955_5_6, 1955_5_6	982_8	761_22, 763_9	20_10	635_11	95_12	95_12	1012	833_17	835_19	 	 	 
Acinetobacter baumannii AB0057 (480119.5)	2518	2439	1659_4, 2910_3	2887_5_6, 2887_5_6	2909_8	50_9	3731_10	2767_11	2438_12	2438_12	1281	3624_17	174_19, 3395_19	 	3205, 3658	3346
Acinetobacter baumannii AB307-0294 (557600.4)	1141	1224	1937_4, 832_3	854_5_6, 854_5_6	833_8	3389_9	54_10	975_11	1225_12	1225_12	2311	156_17	3270_19, 413_19	 	123, 601	462
Acinetobacter baumannii AB900 (557601.3)	2132	746	346_3	369_5_6, 369_5_6	347_8	3170_9	2047_10	476_11	747_12	747_12	2742	3078_17, 3185_17	2328_19, 2494_19	 	1069, 3045	3452
Acinetobacter baumannii ACICU (405416.6)	2502, 2503	2442	1587_4, 2883_3	2860_5_6, 2860_5_6	2882_8	124_15	3642_10	2693_11	2441_12	2441_12	1245	3538_17	255_19, 3309_19	 	3113, 3571	3260
Acinetobacter baumannii ATCC 19606 (575584.3)	863	941	2264_3	2286_5_6, 2286_5_6	2265_8	3565_9	3318_10	2030_11	942_12	942_12	3065	3420_17	2565_19, 3127_19	 	2728, 3387	2614
Acinetobacter baumannii AYE (509173.8)	1302	1382	2124_4, 938_3	960_5_6, 960_5_6	939_8	3687_9	158_10	1079_11	1383_12	1383_12	2500	261_17	3566_19, 488_19	 	227, 718	537
Acinetobacter baumannii SDF (509170.6)	1242	1458	2067_4, 874_3	898_5_6, 898_5_6	875_8	3446_9, 3447_22	3398_10	1092_11	1459_12	1459_12	1387	1986_17, 3253_17	181_19, 439_19	 	3294, 617	487
Acinetobacter baumannii 1656-2 (696749.3)	1255	1319	1993_4, 2936_3	2911_5_6, 2911_5_6	2935_8	37_9	3715_10	2798_11	1320_12	1320_12	1635	3607_17	165_19, 3366_19	 	3171, 3644	3317
Acinetobacter baumannii 3990 (886888.3)	3514	804	2770_4, 721_3	699_5_6, 699_5_6	720_8	1123_15	3187_10	3392_11	805_12	805_12	3574	1657_17	1007_19, 1557_19	 	1736, 2577	976
Acinetobacter baumannii 48055 (1293574.3)	610	88	2742_4, 364_3	386_5_6, 386_5_6	365_8	3132_9	1116_10	496_11	87_12	87_12	3165	1218_17	1867_19	 	 	1509
Acinetobacter baumannii 53264 (1216295.3)	2349	2288	1491_4, 2782_3	2760_5_6, 2760_5_6	2781_8	37_9	3551_10	2650_11	2287_12	2287_12	1145	3448_17	166_19	 	 	3157
Acinetobacter baumannii AA-014 (903937.3)	3232	3156	2026_3	2004_5_6, 2004_5_6	2025_8	372_9	1849_10	3402_11	3155_12	3155_12	301	1746_17	2679_19	 	 	16
Acinetobacter baumannii AB1H8 (1222031.3)	3673	818	305_4, 604_3	582_5_6, 582_5_6	603_8	3218_9	2427_10	472_11	817_12	817_12	1169	1544_17	2243_19	 	 	2084
Acinetobacter baumannii AB210 (886886.3)	1726	2051	211_3, 809_4	189_5_6, 189_5_6	210_8	3299_9	3098_10	79_11	2050_12	2050_12	3500	1911_17	1126_19, 1449_19	 	1878, 3365	1400
Acinetobacter baumannii AB405E4 (1222033.3)	560	273	1319_3	1297_5_6, 1297_5_6	1318_8	3392_9	2071_10	149_11	274_12	274_12	2812	424_17	1758_19	 	 	2925
Acinetobacter baumannii AB4A3 (1222032.3)	1812	822	2463_4, 2689_3	3646_5_6, 3646_5_6	2688_8	2301_9	1252_10	69_11	821_12	821_12	1974	396_17	1161_19	 	 	473
Acinetobacter baumannii AB5256 (1116235.3)	3245	3164	2426_4, 3560_3	3537_5_6, 3537_5_6	3559_8	47_9	498_10	3420_11	3163_12	3163_12	1867	395_17	886_21	 	3690, 3697	103
Acinetobacter baumannii AB5711 (1116236.3)	2396	2457	1951_3, 3072_4	1973_5_6, 1973_5_6	1952_8	166_15	445_10	2083_11	2458_12	2458_12	2726	548_17	111_19	 	 	839
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	2437	2376	1491_4, 2794_3	2772_5_6, 2772_5_6	2793_8	37_9	3574_10	2659_11	2375_12	2375_12	1140	3460_17	163_19	 	 	3168
Acinetobacter baumannii ABNIH1 (992402.3)	547	484	1201_4, 1850_3	1828_5_6, 1828_5_6	1849_8	254_9	2767_10	1713_11	483_12	483_12	858	2230_17	1554_19	 	 	3386
Acinetobacter baumannii ABNIH11 (1094475.3)	2966	347	1706_4, 2672_3	2694_5_6, 2694_5_6	2673_8	3288_9	2477_10	529_11	346_12	346_12	3221	257_17	3342_19	 	 	1802
Acinetobacter baumannii ABNIH14 (1094478.3)	304	1072	2151_4, 2316_3	142_5_6, 142_5_6	2317_8	3274_9	2020_10	32_11	1073_12	1073_12	3082	889_17	1221_19	 	 	2873
Acinetobacter baumannii ABNIH15 (1094479.3)	2069	677	2012_3, 2479_4	18_5_6, 18_5_6	2011_8	3242_9	1816_10	129_11	676_12	676_12	3058	726_17	1535_19	 	 	2729
Acinetobacter baumannii ABNIH16 (1094480.3)	744	851	2287_4, 2484_3	2669_5_6, 2669_5_6	2485_8	3201_9	2269_10	458_11	852_12	852_12	2900	1465_17	1131_19	 	 	16
Acinetobacter baumannii ABNIH18 (1094482.3)	89	2537	1828_3, 2553_4	814_5_6, 814_5_6	1829_8	2601_9	2019_10	754_11	2536_12	2536_12	1607	1132_17	2983_19	 	 	3007
Acinetobacter baumannii ABNIH19 (1094483.3)	1455	1387	1037_4, 701_3	679_5_6, 679_5_6	700_8	2223_9	1769_10	555_11	1386_12	1386_12	1636	1123_17	2040_19	 	 	1924
Acinetobacter baumannii ABNIH22 (1094486.3)	2910	646	1695_4, 1715_3	18_5_6, 18_5_6	1714_8	3502_9	505_10	1826_11	647_12	647_12	2489	809_17	1269_19	 	 	335
Acinetobacter baumannii ABNIH23 (1094487.3)	2021	1827	1454_3, 2407_4	110_5_6, 110_5_6	1453_8	3463_9	1361_10	1594_11	1826_12	1826_12	2963	549_17	1695_19	 	 	2581
Acinetobacter baumannii ABNIH25 (1224165.3)	708	647	2925_4, 3396_3	3418_5_6, 3418_5_6	3397_8	1658_9	873_10	3528_11	646_12	646_12	3273	2165_17	2007_19	 	 	932
Acinetobacter baumannii ABNIH26 (1224166.3)	2974	3034	1430_4, 2588_3	2610_5_6, 2610_5_6	2589_8	3281_9	3336_10	2720_11	3035_12	3035_12	1771	3439_17	197_19	 	 	3725
