Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	753_1, 754_2, 755_4, 756_3, 946_3, 947_4, 948_2, 949_1	752_9, 950_9	3584_26, 3585_22, 3587_25, 3588_23, 3589_20, 3590_24	 	 	 	 	 	 	2558_50	2561	2098_56, 2099_64, 2100_65, 2101_67, 2102_69, 2103_73, 2104_74	 	 	3199_87	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	1046_3, 1047_4, 1048_2, 1049_1, 1956_3, 1957_4, 1958_2, 1959_1	1050_9, 1960_9	2840_24, 2841_20, 2842_23, 2843_25, 2845_22, 2846_26	 	 	 	 	 	 	 	1740	3993_74, 3994_69, 3995_67, 3996_66, 3997_64, 3998_56	 	 	4629_88	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	2705_3, 2706_4, 2707_2, 2708_1, 761_1, 762_2, 763_4, 764_3	2709_9, 760_9	436_26, 437_22, 438_21, 439_25, 440_23, 441_20, 442_24	 	 	 	 	 	 	 	4092	1513_56, 1514_64, 1515_66, 1516_67, 1517_69, 1518_74	 	 	4626_88	 
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	128_1, 129_2, 130_4, 131_3, 322_3, 323_4, 324_2, 325_1	127_9, 326_9	2952_26, 2953_22, 4869_24, 4870_20, 4871_23, 4872_25, 4873_21	 	 	 	 	 	 	4583_50	4586	4037_56, 4038_64, 4039_66, 4040_67, 4041_69, 4042_74	 	 	2646_88	 
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	1801_1, 1802_2, 1803_4, 1804_3, 1989_3, 1990_4, 1991_2, 1992_1	1800_9, 1993_9	2522_24, 2523_20, 2524_23, 2525_25, 2527_22, 2528_26	 	 	 	 	 	 	 	3769	4593_56, 4594_64, 4595_65, 4596_67, 4597_69, 4598_74	 	 	2830_88	 
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	279_1, 280_2, 281_4, 282_3, 469_3, 470_4, 471_2, 472_1	278_9, 473_9	3118_26, 3119_22, 3121_25, 3122_23, 3123_20, 3124_24	 	 	 	 	 	 	 	2433	3909_56, 3910_64, 3911_66, 3912_67, 3913_69, 3914_74	 	 	3664_88	 
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	314_1, 315_2, 316_4, 317_3, 506_3, 507_4, 508_2, 509_1	313_9, 510_9	2913_24, 2914_20, 2915_23, 2916_25, 2918_22, 2919_26	 	 	 	 	 	 	2882_50	2879	2152_56, 2153_64, 2154_66, 2155_67, 2156_69, 2157_74	 	 	3225_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	1163_1, 1164_2, 1165_4, 1166_3, 1347_3, 1348_4, 1349_4, 1350_2, 1351_1	1162_9, 1352_11	626_29, 628_25, 629_23, 630_20, 631_24	 	 	 	 	 	 	3514_50	3516	4306_56, 4307_62, 4308_65, 4309_68, 4310_69, 4311_73, 4312_76	 	 	318_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	1185_1, 1186_2, 1187_4, 1188_3, 1371_3, 1372_4, 1373_4, 1374_2, 1375_1	1184_9, 1376_11	640_26, 641_29, 643_25, 644_23, 645_20, 646_24	 	 	 	 	 	 	3551_50	3553	4345_56, 4346_62, 4347_65, 4348_68, 4349_69, 4350_73, 4351_76	 	 	325_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	1187_1, 1188_2, 1189_4, 1190_3, 1373_3, 1374_4, 1375_4, 1376_2, 1377_1	1186_9, 1378_11	639_26, 640_29, 642_25, 643_23, 644_20, 645_24	 	 	 	 	 	 	3540_50	3542	4341_56, 4342_62, 4343_65, 4344_68, 4345_69, 4346_73, 4347_74	 	 	326_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	1119_1, 1120_2, 1121_4, 1122_3, 1304_3, 1305_4, 1306_4, 1307_6, 1308_2, 1309_1	1118_9, 1310_9	584_26, 585_29, 587_25, 588_23, 589_20, 590_24	 	 	 	 	 	 	3485_50	3487	4275_56, 4276_62, 4277_65, 4278_68, 4279_69, 4280_73, 4281_74	 	 	266_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	1114_1, 1115_2, 1116_4, 1117_3, 1298_3, 1299_4, 1300_4, 1301_2, 1302_1	1113_9, 1303_9	580_26, 581_29, 583_25, 584_23, 585_20, 586_24	 	 	 	 	 	 	3478_49	3480	4306_56, 4307_62, 4308_65, 4309_68, 4310_69, 4311_73, 4312_74	 	 	265_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	1118_1, 1119_2, 1120_4, 1121_3, 1306_3, 1307_4, 1308_4, 1309_2, 1310_1	1117_9, 1311_9	582_26, 583_29, 585_25, 586_23, 587_20, 588_24	 	 	 	 	 	 	3478_50	3480	4310_56, 4311_62, 4312_65, 4313_68, 4314_69, 4315_73, 4316_74	 	 	266_88	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	1130_1, 1131_2, 1132_4, 1133_3, 1315_3, 1316_4, 1317_4, 1318_2, 1319_2, 1320_1, 1321_1	1129_9, 1322_9	585_26, 586_29, 588_25, 589_23, 590_20, 591_24	 	 	 	 	 	 	3458_50	3460	4279_56, 4280_62, 4281_65, 4282_68, 4283_69, 4284_73, 4285_74	 	 	268_88	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	1206_1, 1207_2, 1208_4, 1209_3, 1394_3, 1395_4, 1396_2, 1397_1	1205_9, 1398_9	608_26, 609_22, 611_25, 612_23, 613_20, 614_24	 	 	 	 	 	 	 	3499	4262_56, 4263_62, 4264_65, 4265_67, 4266_69_72, 4266_69_72, 4267_74	 	 	307_88	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	2018_1, 2019_2, 2020_4, 2021_3, 2214_3, 2215_4, 2216_2, 2217_1	2017_9, 2218_9, 2219_9	1495_26, 1496_22, 1497_21, 1498_25, 1499_23, 1500_20, 1501_24	 	 	 	 	 	 	 	3600	4401_56, 4402_62, 4403_65, 4404_67, 4405_69, 4406_74	 	 	1148_87	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	1337_3, 1338_4, 1339_2, 1340_1, 659_3, 660_4, 661_2, 662_1	1341_9, 663_9	903_24, 904_20, 905_23, 906_25, 908_22, 909_26	 	 	 	 	 	 	3810_52, 3811_49	3490	4187_74, 4189_69, 4190_67, 4191_66, 4192_62, 4193_56	 	 	3341_88	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	2671_1, 2672_1, 2673_2, 2674_4, 2675_3, 2872_3, 2873_4, 2874_2, 2875_1	2670_9, 2876_9	2219_24, 2220_20, 2221_23, 2222_25, 2223_21, 2224_22, 2225_26	 	 	 	 	 	 	3396_50	3394	1467_74, 1469_69, 1470_67, 1471_65, 1472_62, 1473_56	 	 	1759_88	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	2084_1, 2085_2, 2086_4, 2087_3, 2273_3, 2274_4, 2275_2, 2276_1	2083_9, 2277_9	2798_24, 2799_20, 2800_23, 2801_25, 2803_22, 2804_26	 	 	 	 	 	 	 	3965	134_64, 135_66, 136_68, 137_70, 138_76	 	 	3106_88	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	1765_1, 1766_2, 1767_4, 1768_3, 1964_3, 1965_4, 1966_2, 1967_1	1764_9, 1968_9	2529_24, 2530_20, 2531_23, 2532_25, 2534_22, 2535_26	 	 	 	 	 	 	 	3655	4466_64, 4467_66, 4468_68, 4469_70, 4471_76	 	 	2835_88	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	1770_1, 1771_2, 1772_4, 1773_3, 1969_3, 1970_4, 1971_2, 1972_1	1769_9, 1973_9	2539_24, 2540_20, 2541_23, 2542_25, 2544_22, 2545_26	 	 	 	 	 	 	 	3672	4488_64, 4489_66, 4490_68, 4491_70, 4493_76	 	 	2846_88	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	2965_3, 2966_4, 2967_2, 2968_1, 936_1, 937_2, 938_4, 939_3	2969_9, 935_9	4640_26, 4641_22, 4643_25, 4644_23, 4645_20, 4646_24	 	 	 	 	 	 	2640_50	2637	3821_74, 3822_73, 3823_69, 3824_67, 3825_65, 3826_64, 3827_56	 	 	2915_88	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	2018_1, 2019_2, 2020_4, 2021_3, 2573_1, 2574_2, 2575_4, 2576_3	2017_9, 2572_9	1552_26, 1553_22, 1554_21, 1555_25, 1556_23, 1557_20, 1558_24	 	 	 	 	 	 	1464_50	1467	362_74, 363_73, 364_69, 365_67, 366_65, 367_64, 368_56	 	 	216_88	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	2449_1, 2450_2, 2451_4, 2452_3, 4380_3, 4381_4, 4382_2, 4383_1	2448_9, 4384_9	4649_26, 4650_22, 4651_21, 4652_25, 4653_23, 4654_20, 4655_24	 	 	 	 	 	 	 	4315	3408_56, 3409_64, 3410_65, 3411_67, 3412_69, 3413_74	 	 	3346_88	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	1892_1, 1893_2, 1894_4, 1895_3, 3078_1, 3079_2, 3080_4, 3081_3	1891_9, 3077_9	4392_24, 4393_20, 4394_23, 4395_25, 4397_22, 4398_26	 	 	 	 	 	 	194_50	191	3314_64, 3315_66, 3316_67, 3317_69, 3318_73, 3319_74	 	 	2858_88	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	3769_3, 3770_4, 3771_2, 3772_1, 4641_1, 4642_2, 4643_4, 4644_3	3296_9	179_22, 180_26, 4312_25, 4313_23, 4314_20, 4315_24	 	 	 	 	 	 	 	1318	4584_64, 4585_66, 4586_68, 4587_70, 4588_73, 4589_76	 	 	2702_88	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1265_3, 1266_4, 1267_2, 1268_1, 3089_1, 3090_2, 3091_4, 3092_3	1269_9, 3088_9	3913_21, 4215_25, 4216_23, 4217_20, 4218_24, 4224_22, 4225_26	 	 	 	 	 	 	3788_50	3786	3449_76, 3450_73, 3451_70, 3452_68, 3453_66, 3454_64	 	 	1862_88	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	1293_1, 1294_2, 1295_4, 1296_3, 1494_3, 1495_4, 1496_2, 1497_1	1292_9, 1498_9	2512_24, 2513_20, 2514_23, 2515_25, 2517_22, 2518_26	 	 	 	 	 	 	 	4415	4578_64, 4579_66, 4580_68, 4581_70, 4582_73, 4583_76	 	 	2850_88	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	2_1, 2813_1, 2814_2, 2815_4, 2816_3, 3_2, 4_4, 5_3	1_9, 2812_9	2974_24, 2975_20, 2976_23, 2977_25, 2978_21, 5215_26, 5216_22	 	 	 	 	 	 	1266_50, 1267_49	1269	4116_74, 4117_73, 4118_69, 4119_69, 4120_69, 4121_68, 4122_65, 4123_62, 4124_62	 	 	1896_87, 3442_87	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	1608_1, 1609_2, 1610_4, 1802_3, 1803_4, 1804_2, 1805_1	1607_9, 1806_9	656_26, 657_22, 659_25, 660_23, 661_20, 662_24	 	 	 	 	 	 	 	4317	4480_64, 4481_66, 4482_68, 4483_70, 4484_73, 4485_76	 	 	329_88	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	1112_1, 1113_2, 1114_4, 1115_3, 3447_3, 3448_4, 3449_2, 3450_1	1111_9, 3451_9	2606_22, 2607_26, 2808_21, 4335_25, 4336_23, 4337_20, 4338_24	 	 	 	 	 	 	4492_50	4490	1945_64, 1946_66, 1947_68, 1948_70, 1949_73, 1950_76	 	 	1183_88	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	1632_1, 1633_2, 1634_4, 1832_3, 1833_4, 1834_2, 1835_1	1631_9, 1836_9	653_26, 654_22, 656_25, 657_23, 658_20, 659_24	 	 	 	 	 	 	 	4366	4528_64, 4529_66, 4530_68, 4531_70, 4532_73, 4533_76	 	 	323_88	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	1603_1, 1604_2, 1605_4, 1798_3, 1799_4, 1800_2, 1801_1	1602_9, 1802_9	651_26, 652_22, 654_25, 655_23, 656_20, 657_24	 	 	 	 	 	 	 	4317	4480_64, 4481_66, 4482_67, 4483_67, 4484_69, 4485_73, 4486_76	 	 	325_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	1628_1, 1629_2, 1630_4, 1631_3, 1817_3, 1818_4, 1819_2, 1820_1	1627_9, 1821_9	2399_24, 2400_20, 2401_23, 2402_25, 2404_22, 2405_26	 	 	 	 	 	 	 	3718	4545_64, 4546_66, 4547_68, 4548_70, 4549_76	 	 	2715_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	1653_1, 1654_2, 1655_4, 1656_3, 1841_3, 1842_4, 1843_2, 1844_1	1652_9, 1845_9	2413_24, 2414_20, 2415_23, 2416_25, 2418_22, 2419_26	 	 	 	 	 	 	 	3691	4518_64, 4519_66, 4520_68, 4521_70, 4522_76	 	 	2728_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	1668_1, 1669_2, 1670_4, 1671_3, 1856_3, 1857_4, 1858_2, 1859_1	1667_9, 1860_9	2389_24, 2390_20, 2391_23, 2392_25, 2394_22, 2395_26	 	 	 	 	 	 	 	3674	4499_64, 4500_66, 4501_68, 4502_70, 4503_76	 	 	2697_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	1814_1, 1815_2, 1816_4, 1817_3, 2003_3, 2004_4, 2005_2, 2006_1	1813_9, 2007_9	2593_24, 2594_20, 2595_23, 2596_25, 2597_21, 2598_22, 2599_26	 	 	 	 	 	 	 	3831	4656_64, 4657_66, 4658_68, 4659_70, 4660_76	 	 	2908_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	1675_1, 1676_2, 1677_4, 1678_3, 1868_3, 1869_4, 1870_2, 1871_1	1674_9, 1872_9	2479_24, 2480_20, 2481_23, 2482_25, 2484_22, 2485_26	 	 	 	 	 	 	 	3833	4693_64, 4694_66, 4695_68, 4696_70, 4697_76	 	 	2799_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	1419_1, 1420_2, 1421_4, 1422_3, 1612_3, 1613_4, 1614_2, 1615_1	1418_9, 1616_9	2175_24, 2176_20, 2177_23, 2178_25, 2180_22, 2181_26	 	 	 	 	 	 	 	3476	 	 	 	2488_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	1613_1, 1614_2, 1615_4, 1616_3, 1804_3, 1805_4, 1806_2, 1807_1	1611_9, 1808_9	2381_24, 2382_20, 2383_23, 2384_25, 2385_21, 2386_26	 	 	 	 	 	 	 	3536	4352_64, 4353_66, 4354_68, 4355_70, 4356_76	 	 	2691_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	1563_1, 1564_2, 1565_4, 1566_3, 1751_3, 1752_4, 1753_2, 1754_1	1562_9, 1755_9	2313_24, 2314_20, 2315_23, 2316_25, 2317_21, 2336_26	 	 	 	 	 	 	 	3495	4300_64, 4301_66, 4302_68, 4303_70, 4304_76	 	 	2644_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	1658_1, 1659_2, 1660_4, 1661_3, 1849_3, 1850_4, 1851_2, 1852_1	1656_9, 1853_9	2423_24, 2424_20, 2425_23, 2426_25, 2427_21, 2428_26	 	 	 	 	 	 	 	3551	4385_64, 4386_66, 4387_68, 4388_69, 4389_76	 	 	2738_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	1614_1, 1615_2, 1616_4, 1617_3, 1802_3, 1803_4, 1804_2, 1805_1	1612_9, 1806_9	2383_24, 2384_20, 2385_23, 2386_25, 2387_21, 2388_22, 2389_26	 	 	 	 	 	 	 	3590	4414_64, 4415_66, 4416_68, 4417_69, 4418_76	 	 	2695_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	1633_1, 1634_2, 1635_4, 1636_3, 1822_3, 1823_4, 1824_2, 1825_1	1631_9, 1826_9	2402_24, 2403_20, 2404_23, 2405_25, 2406_21, 2407_26	 	 	 	 	 	 	 	3571	4401_64, 4402_66, 4403_68, 4404_70, 4405_76	 	 	2718_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	1513_5, 1514_2, 1515_4, 1516_3, 1704_3, 1705_4, 1706_2, 1707_1	1708_9, 4849_9	2279_24, 2280_20, 2281_23, 2282_25, 2283_21, 2284_26	 	 	 	 	 	 	3436_50	3439	4271_64, 4272_66, 4273_68, 4274_70, 4275_76	 	 	2591_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	1563_1, 1564_2, 1565_4, 1566_3, 1754_3, 1755_4, 1756_2, 1757_1	1561_9, 1758_9	2321_24, 2322_20, 2323_23, 2324_25, 2325_21, 2326_22, 2327_26	 	 	 	 	 	 	 	3535	4335_64, 4336_66, 4337_68, 4338_70, 4339_76	 	 	2637_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	1634_1, 1635_2, 1636_4, 1637_3, 1825_3, 1826_4, 1827_2, 1828_1	1632_9, 1830_9	2398_24, 2399_20, 2400_23, 2401_25, 2402_21, 2403_22, 2404_26	 	 	 	 	 	 	 	3564	4400_64, 4401_66, 4402_68, 4403_69, 4404_76	 	 	2712_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	1519_1, 1520_2, 1521_4, 1522_3, 1711_3, 1712_4, 1713_2, 1714_1	1517_9, 1715_9	2278_24, 2279_20, 2280_23, 2281_25, 2282_21, 2283_26	 	 	 	 	 	 	 	3336	4164_64, 4165_66, 4166_68, 4167_69, 4168_76	 	 	2592_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	1651_1, 1652_2, 1653_4, 1654_3, 1841_3, 1842_4, 1843_2, 1844_1	1650_9, 1845_9	2357_24, 2358_20, 2359_23, 2360_25, 2362_22, 2363_26	 	 	 	 	 	 	 	3676	4586_64, 4587_66, 4588_67, 4589_70, 4590_76	 	 	2669_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	1086_3, 1087_4, 1088_2, 1089_1, 895_1, 896_2, 897_4, 898_3	1090_9, 894_9	1612_24, 1613_20, 1614_23, 1615_25, 1617_22, 1618_26	 	 	 	 	 	 	3708_50	3711	4539_64, 4540_66, 4541_68, 4542_70, 4543_76	 	 	1925_88	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	1614_1, 1615_2, 1616_4, 1617_3, 1805_3, 1806_4, 1807_2, 1808_1	1613_9, 1809_9	2390_24, 2391_20, 2392_23, 2393_25, 2394_21, 2395_22, 2396_26	 	 	 	 	 	 	 	3629	4450_64, 4451_66, 4452_68, 4453_70, 4454_76	 	 	2703_88	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	3195_1, 3196_2, 3197_4, 3198_3, 3386_3, 3387_4, 3388_2, 3389_1	3194_9, 3390_9	2674_26, 2675_22, 2677_25, 2678_23, 2679_20, 2680_24	 	 	 	 	 	 	1460_50	1458	625_74, 626_73, 627_69, 628_67, 629_65, 630_64, 631_56	 	 	2373_88	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	1479_1, 1480_2, 1481_4, 1482_3, 1678_3, 1679_4, 1680_2, 1681_1	1478_9, 1682_9, 2453_9	2434_24, 2435_20, 2436_23, 2437_25, 2438_21, 2439_22, 2440_26	 	 	 	 	 	 	4306_50	4304	4453_56, 4454_64, 4455_66, 4456_67, 4457_69, 4458_74	 	 	2796_88	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	1511_3, 1512_4, 1513_2, 1514_1, 1699_1, 1700_2, 1701_4, 1702_3	1471_9, 1730_9	2190_21, 2191_25, 2192_23, 2193_20, 2194_24, 2195_22, 2196_26	 	 	 	 	 	 	3419_52, 3420_50	3418	4037_74, 4038_73, 4039_69, 4040_67, 4041_65, 4042_62, 4043_56	 	 	2522_87	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	1475_1, 1476_2, 1477_4, 1478_3, 1706_3, 1707_4, 1708_2, 1709_1	1474_9, 1710_9	2344_24, 2345_20, 2346_23, 2347_25, 2348_21, 2349_22, 2350_26	 	 	 	 	 	 	3450_50, 3451_51	3452	4201_56, 4202_62, 4203_65, 4204_67, 4205_69, 4206_73, 4207_74	 	 	2649_87	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	4448_1, 4449_2, 4450_4, 4451_3, 4679_3, 4680_4, 4681_2, 4682_1	4447_9, 4683_9	3879_26, 3880_29, 3882_25, 3883_23, 3884_20, 3885_24	 	 	 	 	 	 	2657_51, 2658_50	2656	1884_74, 1885_73, 1886_69, 1887_67, 1888_65, 1889_62, 1890_56	 	 	3570_87	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	1905_1, 1906_2, 1907_4, 1908_3, 2533_3, 2534_2, 2535_1	1904_9, 2536_11	2491_26, 2492_29, 2494_25, 2495_23, 2496_20, 2497_24	 	 	 	 	 	 	2662_50	2664	4057_56, 4058_62, 4059_65, 4060_68, 4061_69, 4062_73, 4063_76	 	 	1583_88	 
Shigella dysenteriae CDC 74-1112 (941429.3)	1187_1, 1188_2, 1189_4, 1190_3	1186_9	282_24, 283_20, 284_23, 285_25, 286_21, 287_22, 288_26	 	 	 	 	 	 	1340_50	1342	3089_74, 3090_73, 3091_69, 3092_67, 3093_66, 3094_62	 	 	1420_88	 
Shigella dysenteriae 155-74 (766142.3)	607_3, 608_4, 609_2, 610_1	611_9	1193_26, 1194_22, 1195_21, 1197_25, 1198_23, 1199_20, 1200_24	 	 	 	 	 	 	4063_50, 4064_51	4066	4900_74, 4901_73, 4902_69, 4903_67, 4904_66, 4905_62	 	 	2985_88	 
Shigella dysenteriae 1617 (754093.3)	5584_3, 5585_4, 5586_2, 5587_1, 6100_3, 6101_4, 6102_2, 6103_1	6104_9	3353_26, 3354_22, 3356_25, 3357_23, 3358_20, 3359_24	 	 	 	 	 	 	 	2320	 	 	 	1264_88	 
Shigella dysenteriae 225-75 (766143.3)	1537_1, 1538_2, 1539_4, 1540_3	1536_9	1046_26, 1047_22, 1048_21, 1049_25, 1050_23, 1051_20, 1052_24	 	 	 	 	 	 	 	4125	5083_74, 5084_73, 5085_69, 5086_67, 5087_66, 5088_62, 5089_56	 	 	3256_88	 
Shigella dysenteriae Sd197 (300267.13)	1518_1, 1519_2, 1520_4, 1521_3, 1986_1, 1987_1, 1990_1, 1991_2, 1992_4, 1993_3	1517_11, 1984_11	1005_26, 1006_22, 1008_25, 1009_23, 1010_20, 1011_24	 	 	 	 	 	 	 	4183	 	 	 	3307_88	 
Shigella flexneri CDC 796-83 (945360.3)	2190_1, 2191_2, 2192_4, 2193_3	2188_9, 2189_9	1913_24, 1914_20, 1915_23, 1916_25, 1917_21, 1918_22, 1919_26	 	 	 	 	 	 	3692_50	3690	4716_74, 4717_73, 4718_69, 4719_67, 4720_66, 4721_62	 	 	1438_88	 
Shigella flexneri 1485-80 (766155.3)	1392_1, 1393_2, 1394_4, 1395_3	1391_9	2674_24, 2675_20, 2676_23, 2677_25, 2678_21, 2679_22, 2680_26	 	 	 	 	 	 	4772_50	4770	3967_56, 3968_62, 3969_66, 3970_67, 3971_69, 3972_73, 3973_74	 	 	3054_88	 
Shigella flexneri 2002017 (591020.3)	1501_1, 1502_2, 1503_4, 1504_3, 2120_1, 2121_1, 2122_2	1500_11, 2119_10	2738_24, 2739_20, 2740_23, 2741_25, 2743_22, 2744_26	 	 	 	 	 	 	 	3972	4838_64, 4839_66, 4840_68, 4841_69, 4843_76	 	 	3099_88	 
Shigella flexneri 2747-71 (766157.3)	1528_1, 1529_2, 1530_2, 1531_4, 1532_3, 1897_2, 1898_1, 1899_1	1527_9, 1900_10	2654_24, 2655_20, 2656_23, 2657_25, 2659_22, 2660_26	 	 	 	 	 	 	 	4783	3929_76, 3931_69, 3932_68, 3933_66, 3934_64, 3935_56	 	 	3046_88	 
Shigella flexneri 2850-71 (766158.3)	1429_1, 1430_2, 1431_4, 1432_3, 1984_2, 1985_1	1428_9, 1986_10	2624_24, 2625_20, 2626_23, 2627_25, 2628_21, 2629_22, 2630_26	 	 	 	 	 	 	 	4742	3881_56, 3882_62, 3883_66, 3884_67, 3885_69, 3887_76	 	 	2991_88	 
Shigella flexneri 2930-71 (766159.3)	1496_1, 1497_2, 1498_4, 1499_3, 2065_1, 2066_1, 2067_2	1495_11, 2064_10	2698_24, 2699_20, 2700_23, 2701_25, 2703_22, 2704_26	 	 	 	 	 	 	 	4701	3905_76, 3907_69, 3908_68, 3909_66, 3910_64, 3911_56	 	 	3076_88	 
Shigella flexneri 2a str. 2457T (198215.9)	2005_1, 2006_2, 2007_4, 2008_3, 2604_1, 2605_1, 2606_2	2004_11, 2603_10	258_24, 259_20, 260_23, 261_25, 263_22, 264_26	 	 	 	 	 	 	 	4191	2778_64, 2779_66, 2780_68, 2781_69, 2783_76	 	 	642_88	 
Shigella flexneri 2a str. 301 (198214.7)	1446_1, 1447_2, 1448_4, 1449_3, 2087_1, 2088_1, 2089_2	1445_11, 2086_10	2737_24, 2738_20, 2739_23, 2740_25, 2742_22, 2743_26	 	 	 	 	 	 	 	3998	4874_64, 4875_66, 4876_68, 4877_69, 4879_76	 	 	3104_88	 
Shigella flexneri 4343-70 (766160.3)	1541_1, 1542_2, 1543_4, 1544_3, 1984_1, 1985_1, 1986_2	1540_11, 1983_10	2329_24, 2330_20, 2331_23, 2332_25, 2334_22, 2335_26	 	 	 	 	 	 	 	4331	3492_76, 3494_69, 3495_68, 3496_65, 3497_64	 	 	2722_88	 
Shigella flexneri 5 str. 8401 (373384.11)	1427_1, 1428_2, 1429_4, 1430_3, 2032_1, 2033_2	1426_11, 2031_10	2628_24, 2629_20, 2630_23, 2631_25, 2632_21, 2633_22, 2634_26	 	 	 	 	 	 	 	3841	4694_76, 4696_69, 4697_67, 4698_66, 4699_64	 	 	2993_88	 
Shigella flexneri 5a str. M90T (1086030.3)	1362_1, 1363_2, 1364_4, 1365_3, 1919_1, 1920_2	1361_11, 1918_10	2480_24, 2481_20, 2482_23, 2483_25, 2485_22, 2486_26	 	 	 	 	 	 	 	3652	4464_76, 4466_69, 4467_68, 4468_66, 4469_64	 	 	2836_88	 
Shigella flexneri 6603-63 (766161.3)	1507_1, 1508_2, 1509_4, 1510_3, 2157_1, 2158_1, 2159_2	1506_11, 2155_9, 2156_9	2706_24, 2707_20, 2708_23, 2709_25, 2711_22, 2712_26	 	 	 	 	 	 	 	4742	 	 	 	3091_88	 
