Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	1717_1, 3174_1	 	2454_7	2455, 725	702	3720_11_19	1927_12	3720_11_19	3212_22, 3873_21	2551	 
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	1880_1, 2224_1	 	614_7	3353, 615	3374	1686_11_19	3979_12	1686_11_19	1938_22, 642_21	2604	 
Pseudomonas stutzeri CCUG 29243 (1196835.3)	2202_1, 2492_1	 	3708_7	3707, 852	831	2393_11_19	241_12	2393_11_19	2143_22, 3675_21	2788	 
Pseudomonas stutzeri DSM 10701 (1123519.7)	2282_1	 	591_7	3073, 592	3093	1421_11_19	3685_12	1421_11_19	2216_22, 686_21	2571	 
Pseudomonas stutzeri DSM 4166 (996285.3)	2013_1, 2364_1	 	664_7	3464, 665	3485	1807_11_19	4182_12	1807_11_19	2069_22, 693_21	1829, 2738	 
Pseudomonas stutzeri NF13 (1212548.4)	38_1	 	2318_7	2317, 454	288	2565_11_19	3745_12	2565_11_19	1763_22, 2295_21	1383	 
Pseudomonas stutzeri RCH2 (644801.3)	1945_1, 2329_1	 	3574_7	3573, 965	944	2524_11_19	228_12	2524_11_19	2271_22, 3546_21	1652	 
Pseudomonas stutzeri SDM-LAC (1109445.3)	341_1	 	3016_7	3015, 3123	3101	3812_11_19	2918_12	3812_11_19	2389_21, 492_22	3510	 
Pseudomonas stutzeri T13 (1210443.6)	1895_1, 2950_1	 	801_7	3082, 800	2100, 2176	4350_11_19	1507_12	4350_11_19	1838_22, 773_21	1093, 4327	 
Pseudomonas stutzeri TS44 (477228.3)	2149_1, 2714_1, 3219_2	 	3342_7	2101, 3341	2081	1400_11_19	667_12	1400_11_19	2697_22, 3056_21	1224	 
Pseudomonas stutzeri XLDN-R (1200345.6)	1896_1, 2844_1	 	693_7	2704, 694	584	2315_11_19	413_12	2315_11_19	1953_22, 722_21	109, 2338	 
Grimontia hollisae CIP 101886 (675812.3)	2972_1	 	2006_7	2005, 753	1877	3346_11_19	2057_12	3346_11_19	1236_22, 396_21	3047	 
Vibrio parahaemolyticus BB22OP (1211705.3)	4090_1	 	396_7	2370, 397	2328	2041_11_19	344_12	2041_11_19	1758_22, 1831_21, 2698_21	1918	 
Vibrio parahaemolyticus PCV08-7 (1276919.3)	2100_1	 	2444_7	2443, 559	601	2937_11_19	2494_12	2937_11_19	3147_21, 3219_22, 3594_21	3059	 
Vibrio parahaemolyticus SNUVpS-1 (1234128.4)	615_1	 	3978_7	1103, 3977	1146	1414_11_19	3626_12	1414_11_19	2489_21, 2561_22, 4552_21	2400	 
Vibrio mimicus CAIM 602 (1259812.3)	3002_1	 	3464_7	3465, 3532	3576	2634_11_19	3405_12	2634_11_19	1931_21, 2514_22	1332, 2171	 
Vibrio mimicus MB-451 (675806.3)	3603_1	 	2113_7	2050, 2112	2009	1713_11_19	2186_12	1713_11_19	129_21, 1374_22	3463, 694	 
Vibrio mimicus VM223 (675820.3)	839_1	 	646_7	583, 645	542	2158_11_19	725_12	2158_11_19	2526_22, 3785_21	3200, 899	 
Vibrio mimicus VM603 (671074.4)	2918_1	 	46_7	3504, 47	1598	3344_11_19	3290_12	3344_11_19	1980_21, 3856_22	1709, 2718	 
Vibrio parahaemolyticus AN-5034 (563773.3)	3705_1	 	1908_7	1909, 2843	2885	2656_11_19	1837_12	2656_11_19	1080_21, 3509_22, 485_21	2981	 
Vibrio parahaemolyticus RIMD 2210633 (223926.6)	4095_1	 	390_7	2404, 391	2362	2092_11_19	320_12	2092_11_19	1790_22, 1872_21, 2693_21	1961	 
Stenotrophomonas maltophilia ATCC 19867 (1279018.3)	2983_1	 	3928_7	2043, 818	3108	3808_11_19	1459_12	3808_11_19	3743_22, 514_21	3496	3614_27
Stenotrophomonas maltophilia Ab55555 (1183154.3)	4340_1	 	336_7	1715, 3701	1671	825_11_19	679_12	825_11_19	3979_21, 901_22	1183	1054_27
Stenotrophomonas maltophilia D457 (1163399.5)	4303_1	 	386_7	1738, 3702	1698	857_11_19	711_12	857_11_19	4002_21, 991_22	1242	1118_27
Stenotrophomonas maltophilia PML168 (1118235.3)	1573_1	 	3582_7	3627, 857	900	3426_11_19	42_12	3426_11_19	2890_21, 2935_22	2077	3293_27
Stenotrophomonas maltophilia K279a (522373.3)	4392_1	 	423_7	1699, 3801	1657	931_11_19	783_12	931_11_19	1000_22, 4080_21	1316	1150_27
Stenotrophomonas maltophilia R551-3 (391008.4)	4061_1	 	330_7	1544, 3464	1495	826_11_19	675_12	826_11_19	3767_21, 892_22	1170	1044_27
Bilophila wadsworthia 3_1_6 (563192.3)	759_2	 	 	1887	949	2210_11_19	 	2210_11_19	 	 	 
Desulfovibrio desulfuricans subsp. aestuarii DSM 17919 = ATCC 29578 (1121444.3)	1424_2	 	 	2781	2186	1432_11_19	 	1432_11_19	1983_21, 1984_22	1985	 
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774 (525146.4)	2050_2	 	 	1390	1989	2019_11_19	 	2019_11_19	 	 	 
Desulfovibrio desulfuricans subsp. desulfuricans str. G20 (207559.7)	2886_2	 	2173_8	1948	1508	2990_11_19	 	2990_11_19	3510_21, 3511_22	3512	 
Desulfovibrio piger ATCC 29098 (411464.8)	1218_2	 	1931_8	645	1260	1273_11_19	 	1273_11_19	 	 	 
Desulfovibrio sp. 3_1_syn3 (457398.5)	2308_2	 	2971_8	1925	2208	2162_11_19	 	2162_11_19	 	 	 
Arcobacter butzleri ED-1 (944546.4)	1532_1	 	1850_7	464	 	381_11_19	1138_16	381_11_19	1818_21, 247_22	250	417_27
Arcobacter butzleri JV22 (888827.3)	356_1	 	1893_7	1785	 	1694_11_19	816_16	1694_11_19	1549_22, 1863_21	1552	1735_27
Arcobacter butzleri RM4018 (367737.6)	1614_1	 	1980_7	479	1189_16	396_11_19	1189_16	396_11_19	1951_21, 254_22	257	 
Campylobacter coli BIGS0003 (1247729.4)	316_1	 	562_7	1004	636_16	832_11_19	636_16	832_11_19	1070_21, 1071_22	1071_22	 
Campylobacter coli 1098 (887291.3)	229_1	 	1023_7	1173	1196_13	22_11_19	1196_13	22_11_19	1525_21, 1526_22	1526_22	 
Campylobacter coli 111-3 (887280.3)	144_1	 	528_7	1502	168_13	218_11_19	168_13	218_11_19	 	 	 
Campylobacter coli 1148 (887292.3)	1411_1	 	103_7	1361	1214_13	842_11_19	1214_13	842_11_19	712_21, 713_22	713_22	 
Campylobacter coli 132-6 (887282.3)	1353_1	 	224_7	1440	559_13	445_11_19	559_13	445_11_19	 	 	 
Campylobacter coli 1417 (887293.3)	1436_1	 	1764_7	1743	439_13	1535_11_19	439_13	1535_11_19	1096_21, 1097_22	1097_22	 
Campylobacter coli 151-9 (887285.3)	1486_1	 	261_7	1343	1092_16	110_11_19	1092_16	110_11_19	1432_22, 1433_21	1432_22	 
Campylobacter coli 1891 (887294.3)	932_1	 	454_7	789	359_13	1087_11_19	359_13	1087_11_19	 	 	 
Campylobacter coli 1909 (887295.3)	954_1	 	1305_7	1552	1707_13	1334_11_19	1707_13	1334_11_19	1640_22, 1641_21	1640_22	 
Campylobacter coli 1948 (887296.3)	1283_1	 	476_7	1562	525_16	282_11_19	525_16	282_11_19	1633_22, 1634_21	1633_22	 
Campylobacter coli 1957 (887297.3)	561_1	 	539_7	1722	1680_13	981_11_19	1680_13	981_11_19	1395_21, 1396_22	1396_22	 
Campylobacter coli 1961 (887298.3)	874_1	 	808_7	1189	1472_16	484_11_19	1472_16	484_11_19	1681_21, 1682_22	1682_22	 
Campylobacter coli 202/04 (887299.3)	1101_1	 	389_7	1557	1346_16	9_11_19	1346_16	9_11_19	1506_22, 1507_21	1506_22	 
Campylobacter coli 2548 (887315.3)	1554_1	 	373_7	973	1223_16	794_11_19	1223_16	794_11_19	 	 	 
Campylobacter coli 2553 (887316.3)	1748_1	 	272_7	1759	379_16	1490_11_19	379_16	1490_11_19	526_21, 527_22	527_22	 
Campylobacter coli 2680 (887317.3)	1707_1	 	202_7	1482	566_16	616_11_19	566_16	616_11_19	1516_22, 1517_21	1516_22	 
Campylobacter coli 2685 (887318.3)	743_1	 	269_7	988	145_16	1140_11_19	145_16	1140_11_19	1301_21, 1302_22	1302_22	 
Campylobacter coli 2698 (887321.3)	1367_1	 	183_7	1323	397_16	1108_11_19	397_16	1108_11_19	 	 	 
Campylobacter coli 317/04 (887300.3)	1023_1	 	90_7	1419	540_16	172_11_19	540_16	172_11_19	1724_22, 1725_21	1724_22	 
Campylobacter coli 37/05 (887301.3)	1038_1	 	361_7	1370	1268_16	955_11_19	1268_16	955_11_19	1403_21, 1404_22	1404_22	 
Campylobacter coli 59-2 (887283.3)	454_1	 	903_7	1632	1409_16	91_11_19	1409_16	91_11_19	1139_22, 1140_21	1139_22	 
Campylobacter coli 7--1 (887281.3)	74_1	 	308_7	1171	656_16	932_11_19	656_16	932_11_19	 	 	 
Campylobacter coli 84-2 (887287.3)	1118_1	 	1086_7	272	715_13	1152_11_19	715_13	1152_11_19	232_22, 233_21	232_22	 
Campylobacter coli 86119 (887289.3)	869_1	 	339_7	1588	697_16	1213_11_19	697_16	1213_11_19	1031_21, 1032_22	1032_22	 
Campylobacter coli 90-3 (887286.3)	661_1	 	287_7	1676	785_13	477_11_19	785_13	477_11_19	1587_21, 1588_22	1588_22	 
Campylobacter coli H56 (887312.3)	911_1	 	242_7	1443	1045_13	517_11_19	1045_13	517_11_19	1741_21, 1742_22	1742_22	 
Campylobacter coli H6 (887309.3)	1154_1	 	120_7	950	465_16	850_11_19	465_16	850_11_19	 	 	 
Campylobacter coli LMG 23336 (887303.3)	1540_1	 	124_7	1463	318_16	816_11_19	318_16	816_11_19	377_22, 378_21	377_22	 
Campylobacter coli LMG 23341 (887304.3)	771_1	 	230_7	1609	534_16	430_11_19	534_16	430_11_19	1079_22, 1080_21	1079_22	 
Campylobacter coli LMG 23342 (887305.3)	1374_1	 	1570_7	1422	172_16	520_11_19	172_16	520_11_19	133_22, 134_21	133_22	 
Campylobacter coli LMG 9853 (887307.3)	703_1	 	313_7	1640	1494_16	656_11_19	1494_16	656_11_19	1592_21, 1593_22	1593_22	 
Campylobacter coli LMG 9854 (887302.3)	1396_1	 	107_7	1654	878_13	940_11_19	878_13	940_11_19	1697_22, 1698_21	1697_22	 
Campylobacter coli LMG 9860 (887308.3)	503_1	 	1152_7	1794	1258_16	396_11_19	1258_16	396_11_19	1868_21, 1869_22	1869_22	 
Campylobacter coli RM2228 (306254.7)	1139_1	 	941_7	1254	505_16	712_11_19	505_16	712_11_19	28_21, 29_22	29_22	 
Campylobacter coli Z156 (887313.3)	486_1	 	1222_7	1050	413_16	1375_11_19	413_16	1375_11_19	 	 	 
Campylobacter coli Z163 (887314.3)	244_1	 	22_7	789	985_16	1243_11_19	985_16	1243_11_19	206_21, 207_22	207_22	 
Campylobacter concisus 13826 (360104.9)	112_1	 	432_7	1419	1343_16	1231_11_19	1343_16	1231_11_19	 	 	 
Campylobacter concisus UNSWCD (929793.3)	185_1	 	1666_7	303	457_13	1406_11_19	457_13	1406_11_19	 	 	 
Campylobacter curvus 525.92 (360105.8)	141_1	 	1630_7	1549	751_16	1281_11_19	751_16	1281_11_19	1974_22	1973	 
Campylobacter curvus DSM 6644 (1121268.3)	1815_1	 	269_7	335	1030_13	833_11_19	1030_13	833_11_19	1544_22	1543	 
Campylobacter fetus subsp. fetus 82-40 (360106.6)	1648_1	 	236_7	1468, 1648_1	1086_16	708_11_19	1086_16	708_11_19	1070_22	1071	 
Campylobacter fetus subsp. venerealis NCTC 10354 (983328.4)	1945_1	 	310_7	1739, 1945_1	1259_13	843_11_19	1259_13	843_11_19	1243_22	1244	 
Campylobacter gracilis RM3268 (553220.3)	1549_1	 	1350_7	557	2608_16	1979_11_19	2608_16	1979_11_19	 	 	 
Campylobacter hominis ATCC BAA-381 (360107.7)	43_1	 	1443_7	1164	962_16	455_11_19	962_16	455_11_19	 	1045	 
Campylobacter jejuni RM1221 (195099.5)	191_1	 	405_7	65	687_16	1247_11_19	687_16	1247_11_19	961_21, 962_22	962_22	 
Campylobacter jejuni str. NCCP No. 15742 (1293289.3)	189_1	 	344_7	62	564_16	1058_11_19	564_16	1058_11_19	831_21, 832_22	832_22	 
Campylobacter jejuni subsp. doylei 269.97 (360109.10)	200_1	 	1583_7	70	1085_16	632_11_19	1085_16	632_11_19	1012_21, 1013_22	1013_22	 
Campylobacter jejuni subsp. jejuni 04197 (1111075.3)	1110_1	 	208_7	444	1613_16	1767_11_19	1613_16	1767_11_19	806_22, 807_21	806_22	 
Campylobacter jejuni subsp. jejuni 04199 (1111076.3)	867_1	 	1246_7	986	1684_16	1172_11_19	1684_16	1172_11_19	546_21, 547_22	547_22	 
Campylobacter jejuni subsp. jejuni 110-21 (889214.3)	243_1	 	547_7	379	413_16	100_11_19	413_16	100_11_19	968_21, 969_22	969_22	 
Campylobacter jejuni subsp. jejuni 1213 (889230.3)	1375_1	 	395_7	1535	162_13	324_11_19	162_13	324_11_19	1088_21, 1089_22	1089_22	 
Campylobacter jejuni subsp. jejuni 129-258 (889213.3)	773_1	 	442_7	135	385_16	721_11_19	385_16	721_11_19	238_21, 239_22	239_22	 
Campylobacter jejuni subsp. jejuni 1336 (683082.3)	1386_1	 	1534_7	382	1752_13	727_11_19	1752_13	727_11_19	283_21, 284_22	284_22	 
Campylobacter jejuni subsp. jejuni 140-16 (889215.3)	366_1	 	914_7	11	1155_13	609_11_19	1155_13	609_11_19	108_21, 109_22	109_22	 
Campylobacter jejuni subsp. jejuni 1854 (889233.3)	894_1	 	34_7	833	1497_13	393_11_19	1497_13	393_11_19	148_21, 149_22	149_22	 
Campylobacter jejuni subsp. jejuni 1893 (889234.3)	1146_1	 	739_7	835	166_13	637_11_19	166_13	637_11_19	212_21, 213_22	213_22	 
Campylobacter jejuni subsp. jejuni 1997-1 (889221.3)	346_1	 	585_7	1338	1267_13	1108_11_19	1267_13	1108_11_19	1641_22, 1642_21	1641_22	 
Campylobacter jejuni subsp. jejuni 1997-11 (889225.3)	371_1	 	727_7	1516	1277_16	590_11_19	1277_16	590_11_19	854_22, 855_21	854_22	 
Campylobacter jejuni subsp. jejuni 1997-7 (889223.3)	280_1	 	635_7	1336	1552_13	106_11_19	1552_13	106_11_19	1044_22, 1045_21	1044_22	 
Campylobacter jejuni subsp. jejuni 2008-1025 (889250.3)	1381_1	 	158_7	1650	993_16	620_11_19	993_16	620_11_19	1524_22, 1525_21	1524_22	 
Campylobacter jejuni subsp. jejuni 2008-831 (889255.3)	429_1	 	321_7	879	1229_16	198_11_19	1229_16	198_11_19	516_22, 517_21	516_22	 
Campylobacter jejuni subsp. jejuni 2008-894 (889251.3)	827_1	 	1031_7	301	440_13	369_11_19	440_13	369_11_19	671_21, 672_22	672_22	 
Campylobacter jejuni subsp. jejuni 51037 (889227.3)	954_1	 	257_7	925	1097_16	693_11_19	1097_16	693_11_19	426_21, 427_22	427_22	 
Campylobacter jejuni subsp. jejuni 53161 (889220.3)	925_1	 	570_7	688	1409_16	852_11_19	1409_16	852_11_19	1291_22, 1292_21	1291_22	 
Campylobacter jejuni subsp. jejuni 55037 (889218.3)	675_1	 	266_7	276	4_13	1252_11_19	4_13	1252_11_19	735_21, 736_22	736_22	 
Campylobacter jejuni subsp. jejuni 60004 (889217.3)	1100_1	 	1019_7	1687	510_16	91_11_19	510_16	91_11_19	421_22, 422_21	421_22	 
Campylobacter jejuni subsp. jejuni 6399 (1111074.3)	1646_1	 	1423_7	975	751_16	1063_11_19	751_16	1063_11_19	327_21, 328_22	328_22	 
Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17)	212_1	 	374_7	78	602_13, 603_13	1132_11_19	602_13, 603_13	1132_11_19	892_21, 893_22	893_22	 
Campylobacter jejuni subsp. jejuni 81116 (407148.6)	186_1	 	341_7	62	556_16	1039_11_19	556_16	1039_11_19	816_21, 817_22	817_22	 
Campylobacter jejuni subsp. jejuni 84-25 (360110.4)	1375_1	 	1233_7	1719	1005_16	668_11_19	1005_16	668_11_19	1520_22, 1521_21	1520_22	 
Campylobacter jejuni subsp. jejuni 86605 (889219.3)	381_1	 	587_7	326	926_16	1365_11_19	926_16	1365_11_19	100_22, 99_21	100_22	 
Campylobacter jejuni subsp. jejuni 87330 (889228.3)	347_1	 	577_7	1080	244_16	1060_11_19	244_16	1060_11_19	24_22, 25_21	24_22	 
Campylobacter jejuni subsp. jejuni CG8421 (478547.3)	1467_1	 	786_7	1317	145_13	612_11_19, 613_11_19	145_13	612_11_19, 613_11_19	1199_21, 1200_21, 1201_22	1201_22	 
Campylobacter jejuni subsp. jejuni CG8486 (398000.3)	979_1	 	1098_7	1658	442_13	522_11_19	442_13	522_11_19	1222_21, 1223_22, 1224_22	1223_22, 1224_22	 
Campylobacter jejuni subsp. jejuni D2600 (1093789.3)	525_1	 	1623_7	911	147_16	1523_11_19	147_16	1523_11_19	283_22, 284_21	283_22	 
Campylobacter jejuni subsp. jejuni DFVF1099 (691336.3)	293_1	 	612_7	706	1118_16	441_11_19	1118_16	441_11_19	1909_22, 1910_21	1909_22	 
Campylobacter jejuni subsp. jejuni H22082 (885274.3)	1341_1	 	75_7	409	1616_16	1227_11_19	1616_16	1227_11_19	1009_21, 1010_22	1010_22	 
Campylobacter jejuni subsp. jejuni IA3902 (567106.3)	191_1	 	351_7	64	581_16	1071_11_19	581_16	1071_11_19	850_21, 851_22	851_22	 
Campylobacter jejuni subsp. jejuni ICDCCJ07001 (757425.3)	255_1	 	413_7	116	633_16	1230_11_19	633_16	1230_11_19	980_21, 981_22	981_22	 
Campylobacter jejuni subsp. jejuni ICDCCJ07002 (1295394.3)	1137_1	 	1283_7	1007	1566_16	333_11_19	1566_16	333_11_19	112_21, 113_22	113_22	 
Campylobacter jejuni subsp. jejuni ICDCCJ07004 (1295400.3)	1009_1	 	1651_7	1579	516_16	266_11_19	516_16	266_11_19	1738_21, 1739_22	1739_22	 
Campylobacter jejuni subsp. jejuni LMG 23210 (889237.3)	826_1	 	1042_7	1641	1365_13	297_11_19	1365_13	297_11_19	41_22, 42_21	41_22	 
Campylobacter jejuni subsp. jejuni LMG 23211 (889238.3)	669_1	 	546_7	1485	233_16	382_11_19	233_16	382_11_19	943_21, 944_22	944_22	 
Campylobacter jejuni subsp. jejuni LMG 23216 (889239.3)	366_1	 	489_7	1396	1286_13	193_11_19	1286_13	193_11_19	 	 	 
Campylobacter jejuni subsp. jejuni LMG 23218 (889240.3)	593_1	 	1243_7	925	1280_16	422_11_19	1280_16	422_11_19	479_22, 480_21	479_22	 
Campylobacter jejuni subsp. jejuni LMG 23223 (889241.3)	1419_1	 	454_7	243	742_13	664_11_19	742_13	664_11_19	1272_21, 1273_22	1273_22	 
Campylobacter jejuni subsp. jejuni LMG 23264 (889243.3)	168_1	 	1158_7	713	1347_16	293_11_19	1347_16	293_11_19	1024_21, 1025_22	1025_22	 
Campylobacter jejuni subsp. jejuni LMG 23269 (889244.3)	444_1	 	146_7	1083	360_16	484_11_19	360_16	484_11_19	2_22, 3_21	2_22	 
Campylobacter jejuni subsp. jejuni LMG 23357 (889246.3)	923_1	 	332_7	1204	82_13	752_11_19	82_13	752_11_19	1421_21, 1422_22	1422_22	 
Campylobacter jejuni subsp. jejuni LMG 9081 (889248.3)	103_1	 	704_7	906	32_16	939_11_19	32_16	939_11_19	966_22, 967_21	966_22	 
Campylobacter jejuni subsp. jejuni LMG 9217 (889249.3)	19_1	 	680_7	1498	286_13	941_11_19	286_13	941_11_19	1267_21, 1268_22	1268_22	 
Campylobacter jejuni subsp. jejuni LMG 9872 (889236.3)	1075_1	 	1194_7	1156	12_13	460_11_19	12_13	460_11_19	740_22, 741_21	740_22	 
Campylobacter jejuni subsp. jejuni LMG 9879 (889245.3)	220_1	 	1524_7	1562	1699_13	453_11_19	1699_13	453_11_19	491_22, 492_21	491_22	 
Campylobacter jejuni subsp. jejuni M1 (645464.3)	189_1	 	339_7	64	557_16	1055_11_19	557_16	1055_11_19	829_21, 830_21, 831_22	831_22	 
Campylobacter jejuni subsp. jejuni NCTC 11168 (192222.6)	191_1	 	348_7	64	577_16	1070_11_19	577_16	1070_11_19	849_21, 850_22	850_22	 
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148 (1211776.3)	188_1	 	345_7	63	571_16	1060_11_19	571_16	1060_11_19	841_21, 842_22	842_22	 
Campylobacter jejuni subsp. jejuni NW (1093788.3)	18_1	 	1295_7	1556	1130_16	157_11_19	1130_16	157_11_19	690_22, 691_21	690_22	 
Campylobacter jejuni subsp. jejuni P110B (885273.3)	1597_1	 	1362_7	1088	1255_16	669_11_19	1255_16	669_11_19	455_21, 456_22	456_22	 
Campylobacter jejuni subsp. jejuni PT14 (1201032.3)	188_1	 	343_7	63	568_16	1052_11_19	568_16	1052_11_19	834_21, 835_22	835_22	 
Campylobacter jejuni subsp. jejuni S3 (718271.4)	190_1	 	345_7	66	572_16	1128_11_19	572_16	1128_11_19	901_21, 902_22	902_22	 
Campylobacter lari RM2100 (306263.5)	1462_1	 	175_7	230	652_16	1026_11_19	652_16	1026_11_19	968_22, 969_21	968_22	 
Campylobacter rectus RM3267 (553218.4)	1752_1	 	358_7	2846	1365_16	2160_11_19	1365_16	2160_11_19	 	 	 
Campylobacter showae CSUNSWCD (1244083.3)	1805_1	 	1436_7	2139	1966_13	1654_11_19	1966_13	1654_11_19	 	 	 
Campylobacter showae RM3277 (553219.3)	1832_1	 	583_7	693	106_16	188_11_19	106_16	188_11_19	 	 	 
Campylobacter upsaliensis JV21 (888826.3)	958_1	 	537_7	237	187_13	199_11_19	187_13	199_11_19	 	 	 
Bacteroides ureolyticus DSM 20703 (1121102.3)	519_1	 	1404_7	1670	994_13	1493_11_19	994_13	1493_11_19	 	 	 
Helicobacter bilis ATCC 43879 (613026.4)	1434_1	 	2113_7	 	1416_13	1109_11_19	1416_13	1109_11_19	116_21, 1900_22, 86_22	1900_22, 86_22	 
Helicobacter bilis WiWa (1235804.3)	1940_1	 	2584_7	1435	2554_13, 2555_13, 278_13	1134_11_19	2554_13, 2555_13, 278_13	1134_11_19	1202_22, 2030_21, 2058_22	1202_22, 2058_22	 
Helicobacter canadensis MIT 98-5491 (Prj:30719) (537970.9)	914_1	 	1587_7	1400	 	983_11_19	874_16	983_11_19	 	 	 
Helicobacter cinaedi ATCC BAA-847 (1206745.3)	1192_1	 	209_7	2474	295_13	1453_11_19	295_13	1453_11_19	646_22, 647_21	646_22	 
Helicobacter cinaedi CCUG 18818 (537971.5)	1316_1	 	2061_7	340	1976_13	2168_11_19	1976_13	2168_11_19	1006_22, 1007_21	1006_22	 
Helicobacter pullorum MIT 98-5489 (537972.5)	120_1	 	700_7	1286	 	1692_11_19	77_16	1692_11_19	 	 	 
Helicobacter pylori 2017 (985081.3)	938_1	 	1496_7, 820_7	429	1225_13, 1226_13	1551_11_19	1225_13, 1226_13	1551_11_19	1280_21, 312_22	312_22	 
Helicobacter pylori 2018 (985080.3)	940_1	 	1497_7, 819_7	427	1234_13	1559_11_19	1234_13	1559_11_19	1289_21, 310_22	310_22	 
Helicobacter pylori 26695 (85962.8)	964_1	 	1586_7, 843_7	1085	1288_13	1624_11_19	1288_13	1624_11_19	1340_21, 304_22	304_22	 
Helicobacter pylori 35A (585535.5)	1175_1	 	108_7, 795_7	663	1446_13	166_11_19	1446_13	166_11_19	1497_21, 542_22	542_22	 
Helicobacter pylori 51 (290847.5)	934_1	 	1490_7, 566_7	445	1238_13	1558_11_19	1238_13	1558_11_19	1287_21, 324_22	324_22	 
Helicobacter pylori 83 (585538.3)	1004_1	 	1529_7, 611_7	482	1278_13	1602_11_19	1278_13	1602_11_19	1328_21, 362_22	362_22	 
Helicobacter pylori 98-10 (544405.3)	783_1	 	1108_7, 942_7	48	861_13	626_11_19	861_13	626_11_19	171_22, 367_21	171_22	 
Helicobacter pylori A45 (1231719.3)	1150_1	 	40_7, 931_7	644	1252_13	812_11_19	1252_13	812_11_19	1016_21, 1462_22	1462_22	 
Helicobacter pylori Aklavik117 (1055531.3)	912_1	 	1484_7, 795_7	409	1195_13	1554_11_19	1195_13	1554_11_19	1246_21, 298_22	298_22	 
Helicobacter pylori Aklavik86 (1055532.3)	701_1	 	1438_7, 853_7	646	253_13	1328_11_19	253_13	1328_11_19	556_22, 68_21	556_22	 
Helicobacter pylori B128 (544406.3)	1764_1	 	1556_7, 454_7	210	858_13	272_11_19	858_13	272_11_19	76_22, 77_22, 964_21	76_22, 77_22	 
Helicobacter pylori B38 (592205.3)	913_1	 	1472_7, 544_7	418	1197_13	1536_11_19	1197_13	1536_11_19	1248_21, 301_22	301_22	 
Helicobacter pylori B45 (999629.3)	189_1	 	295_7, 700_7	1511	87_13	112_11_19	87_13	112_11_19	1392_22, 395_21	1392_22	 
Helicobacter pylori B8 (693745.3)	600_1	 	19_7, 985_7	1112	247_13	1619_11_19	247_13	1619_11_19	1223_22, 196_21	1223_22	 
Helicobacter pylori BCS100H1 (981210.3)	1525_1	 	1105_7, 748_7	525	1498_13	1172_11_19	1498_13	1172_11_19	392_22, 886_21	392_22	 
Helicobacter pylori CCHI 33 (1200325.3)	1124_1	 	1008_7, 1574_7	507	1352_13	37_11_19	1352_13	37_11_19	1406_21, 389_22	389_22	 
Helicobacter pylori CPY1124 (992013.3)	1256_1	 	1569_7, 963_7	1093	259_13	1628_11_19	259_13	1628_11_19	208_21, 519_22	519_22	 
Helicobacter pylori CPY1313 (992014.3)	63_1	 	1544_7, 462_7	1032	1290_13	1598_11_19	1290_13	1598_11_19	1341_21, 907_22	907_22	 
Helicobacter pylori CPY1662 (992015.3)	1013_1	 	1497_7, 300_7	423	1292_13	1552_11_19	1292_13	1552_11_19	1346_21, 546_22	546_22	 
Helicobacter pylori CPY1962 (992016.3)	1288_1	 	111_7, 1204_7	661	1468_13	173_11_19	1468_13	173_11_19	1518_21, 537_22	537_22	 
Helicobacter pylori CPY3281 (992017.3)	1078_1	 	1590_7, 962_7	455	1297_13	1521_11_19	1297_13	1521_11_19	1348_21, 331_22	331_22	 
Helicobacter pylori CPY6081 (992018.3)	524_1	 	1430_7, 764_7	901	12_13	1488_11_19	12_13	1488_11_19	1023_22, 1024_22, 1191_21	1023_22, 1024_22	 
Helicobacter pylori CPY6261 (992019.3)	1588_1	 	113_7, 846_7	719	1187_13	190_11_19	1187_13	190_11_19	1239_21, 599_22	599_22	 
Helicobacter pylori CPY6271 (992020.3)	952_1	 	1319_7, 339_7	474	1057_13	1381_11_19	1057_13	1381_11_19	1108_21, 596_22	596_22	 
Helicobacter pylori CPY6311 (992022.3)	953_1	 	1482_7, 840_7	453	1233_13	1539_11_19	1233_13	1539_11_19	1282_21, 330_22	330_22	 
Helicobacter pylori ELS37 (1055527.3)	371_1	 	1558_7, 495_7	941	1281_13	1614_11_19	1281_13	1614_11_19	1061_22, 1332_21	1061_22	 
Helicobacter pylori F16 (866344.4)	967_1	 	1509_7, 584_7	441	1248_13	1560_11_19	1248_13	1560_11_19	1299_21, 321_22	321_22	 
Helicobacter pylori F30 (866345.4)	437_1	 	1468_7, 548_7	934	171_13	1532_11_19	171_13	1532_11_19	1053_22, 120_21	1053_22	 
Helicobacter pylori F32 (102608.4)	455_1	 	1488_7, 822_7	948	1230_13	1543_11_19	1230_13	1543_11_19	1284_21, 320_22	320_22	 
Helicobacter pylori F57 (866346.4)	1001_1	 	1530_7, 892_7	493	1277_13	1587_11_19	1277_13	1587_11_19	1328_21, 372_22	372_22	 
