Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	1147	 	2275_3	3225	4250_6, 4327_7	3367	1670	1672_11, 3518_11	 	3672_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	2411	 	3480_3	1721	4263_6	2230	2045	2047_11, 2081_11	 	3130_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	364	 	630_3	2581	3402_6, 3478_7	4563	2135	2133_11, 2857_11	 	2732_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	1730	 	324_3	1012	4317_7, 4395_6	816	3776	188_11, 3778_11	 	1163_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	4374	 	1017_3	3464	2618_7, 2696_6	1623	1250	1248_11, 1774_11	 	3615_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	275	 	107_3	1855	4507_6, 4585_7	2362	2544	2514_11, 2542_11	 	1983_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	870	 	459_3	3582	3787_6, 3865_7	2306	3141	3114_11, 3139_11	 	2549_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	1462	 	3535_3	1957	2883_6, 2961_7	3746	2407	2409_11, 3598_11	 	1803_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	3446	 	595_3	2779	2026_7, 2104_6	2722	4008	1401_11, 4006_11	 	2645_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	1308	 	644_3	2369	4188_6, 4266_7	3990	2306	2304_11, 3111_11	 	3179_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	3654	 	1559_3	2678	2164_6, 2241_7	848	4130	4128_11, 997_11	 	2020_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	3082	 	905_3	3778	3428_6, 3506_7	1121	4215	4217_11, 967_11	 	3624_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	2352, 2353	 	249_3	2439	3085_7, 795_6	1531	1601	1884_11, 4497_11	 	3268_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	195	 	4284_3	2300	2077_6, 2154_7	1155	2742	1459_11, 2744_11	 	1100_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	692	 	4412_3	2824	4058_6, 4135_7	1514	1715	1002_11, 1713_11	 	2673_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	2641	 	3484_3	136	2294_6, 2372_7	1469	1152	1150_11, 3327_11	 	2955_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	1759	 	1591_3	3613	2578_7	1262	3993	3991_11, 453_11	 	3463_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	2080	 	2685_3	3302	555_6, 633_7	2402	3747	2553_11, 3749_11	 	3151_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	1082	 	1879_3	2694	823_6	4034	2342	2340_11, 3886_11	 	3682_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	2477	 	166_3	2316, 2317	447_6	4139	2294	2296_11, 3992_11	 	3266_16	 
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	4349	 	2184_3	876	2937_6, 3397_6	26	2736	2116_11, 2738_11	 	715_16	 
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	1522	 	1984_3	2926	4703_7, 4791_6	947	2978	2976_11, 3406_11	 	1714_16	 
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	1946	 	4091_3	4615	3470_6, 3556_7	1569	5090	3107_11, 5092_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	1466	 	3931_4, 4276_3	3419	685_6	1052	3459	1146_11, 3457_11	 	206_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	4462	 	707_3	2622	571_6	3905	1599	1602_11, 4056_11	 	3492_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	2439	 	128_3	4562	1249_6	597	518	1855_11, 520_11	 	343_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	4149	 	2129_3, 825_4	185	473_6, 556_7	2914	4697	3988_11, 4699_11	 	2976_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	3025	 	1313_4, 3859_3	2571	3441_6, 749_7	971	1732	1734_11, 319_11	 	468_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	3761	 	4200_3	2303	560_6	3311	3222	3225_11, 4137_11	 	3125_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	1063	 	4525_3	140	3060_6	3523	3121	3119_11, 4179_11	 	4366_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	1133	 	196_3	385	2143_6	912	2511	2509_11, 4623_11	 	1573_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	3169	 	1201_3	535	1663_6	4242	736	1137_11, 734_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	2430	 	120_3	3358	567_6	335	3894	184_11, 3896_11	 	3199_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	181	 	798_3	2568	4372_6	3552	1501	1499_11, 3401_11	 	3608_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	2264	 	3328_3	4674	4357_6	1662	3664	3662_11, 456_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	2256	 	415_3	91	1747_6	503	1097	1095_11, 209_11	 	1042_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	2433	 	4447_3	2953	368_6	4662	3485	3487_11, 4511_11	 	2794_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	1503	 	3210_3	4301	4506_6	3388	2921	2529_11, 2923_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	3557	 	4149_3	1909	2861_6	2167	1330	1328_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	3347	 	3839_3	1301	1366_6	1509	2622	2624_11, 3775_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	2568	 	1383_3	4077	4315_6	2747	4496	1319_11, 4494_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	4460	 	2825_3	4803	563_6	252	1142	1144_11, 3990_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	1314	 	4602_3	726	1747_6	2705	2028	2026_11, 2855_11	 	2597_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	444	 	1335_3	3195	4183_6, 4681_7	1904	2707	1271_11, 2705_11	 	3354_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	1999	 	4746_3	4062	505_6	562	983	1249_11, 981_11	 	1349_16	 
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	2802	 	3343_3	4580	1646_6	677	3719	3717_11, 650_11	 	4314_16	 
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	3819	 	3008_3	1228	1965_6	3233	733	3072_11, 731_11	 	1393_16, 1415_16	 
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	3292	 	3466_3	176	2886_6	3223	615	3068_11, 617_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	2698	 	2960_3	1911	2375_6	4607	1321	1319_11, 3024_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	3090	 	322_3	4773	613_6	4648	1010	1008_11, 4499_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	2532	 	2838_3, 3316_4	1863	3793_6	2623	2380	2382_11, 2772_11	 	3096_16	 
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	605	 	2638_3	1121	252_6	2852	1667	1669_11, 2702_11	 	965_16	 
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	2658	 	3004_3	3566	1658_6	3642	607	3789_11, 605_11	 	 	 
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	3467	 	1748_4, 3033_3	1132	3679_6, 3762_6	3247	644	3099_11, 642_11	 	1291_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	2420	 	514_3	1916	96_6	294	1482	1480_11, 451_11	 	2074_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	2451	 	527_3	1945	98_6	300	1505	1503_11, 463_11	 	2105_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	2447	 	526_3	1944	98_6	301	1505	1503_11, 462_11	 	2103_16, 4089_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	2387	 	468_3	1884	37_6	241	1441	1439_11, 399_11	 	2043_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	2378	 	466_3	1877	38_6	240	1434	1432_11, 399_11	 	2034_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	2378	 	467_3	1881	37_6	241	1445	1443_11, 399_11	 	2039_16	 
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	2402	 	3027_4, 470_3	1897	120_7, 121_7, 38_6	243	1454	1452_11, 403_11	 	2054_16	 
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	2565	 	495_3	2059	94_6	286	1529	1527_11, 433_11	 	2215_16	 
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	491	2523	1377_3, 3191_4	1031	156_6	1124	2348	1273_11, 2345_11	 	837_16	 
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	3219	 	1014_3	140	12_7, 2863_6	3364	2959	2153_11, 2961_11	 	3643_16, 3661_16	 
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	888	 	2336_3	2569	4375_6	1735	3641	2400_11, 3639_11	 	2033_16	 
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	922	 	2917_3	1440	576_6, 656_7	3129	1947	1949_11, 2981_11	 	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	580	 	2646_3	1166	220_6	2857	1618	1620_11, 2709_11	 	 	 
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	583	 	2657_3	1172	221_6	2868	1623	1625_11, 2720_11	 	 	 
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	1503	 	2743_4, 3389_3	277	2128_6, 2217_6	2938	520	464_11, 518_11	 	 	 
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	505	 	3851_3	4317	4709_6, 798_7	194	1879	1881_11, 3921_11	 	4060_16	 
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	2068	 	2993_3	3961	1749_6, 1831_7	3370	3848	3530_11, 3846_11	 	 	 
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	410	 	3546_3	1598	1768_7, 4442_6	2836	3423	1108_11, 3421_11	 	 	 
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	2905	 	3889_3	2648	3465_6	2681	3180	3182_11, 4754_11	 	2024_16, 2065_16	 
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1425	 	3941_3	3236	2142_6	1840	981	2823_11, 979_11	 	4011_16, 466_16	 
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	462	 	2634_3	986	105_6	2872	1684	1682_11, 2709_11	 	3950_16, 821_16	 
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	1477	 	3579_3	2247	2600_6, 2601_6	1870, 1871	1355	1352_11, 1353_11, 4908_11	 	1630_16, 4559_16	 
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	2626	 	542_3	2108	107_6	306	1425	1427_11, 468_11	 	2267_16, 3854_16	 
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	3609	 	2530_3	4266	4669_6	34	96	4313_11, 94_11	 	306_16, 4036_16	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	2661	 	539_3	2143	103_6	301	1444	1446_11, 465_11	 	2307_16, 3904_16	 
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	2611	 	537_3	2099	105_6	303	1418	1420_11, 463_11	 	2255_16, 3847_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	458	 	2520_3	992	98_6	2738	1486	1488_11, 2587_11	 	4261_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	496	 	2533_3	1017	174_7, 95_6	2751	1519	1521_11, 2597_11	 	4240_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	451	 	2509_3	1030	94_6	2719	1531	1533_11, 2573_11	 	4225_16, 817_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	582	 	2714_3	1108	230_6	2931	1676	1678_11, 2779_11	 	4379_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	467	 	2601_3	1020	99_6	2823	1534	1536_11, 2667_11	 	4405_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	244	 	2296_3	779	4786_6	2511	1277	1279_11, 2363_11	 	4088_16, 611_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	450	 	2501_3	980	98_6	2714	1470	1472_11, 2566_11	 	4071_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	401	 	2451_3	916	37_6	2667	1407	1409_11, 2516_11	 	4019_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	558	 	2544_3	1551	198_6	2761	1505	1507_11, 2610_11	 	4100_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	458	 	2504_3	1513	98_6	2719	1428	1430_11, 2569_11	 	4133_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	472	 	2523_3	1523	110_6	2741	1463	1465_11, 2589_11	 	4118_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	442	 	2398_3	1429	39_6	2614	1368	1370_11, 2463_11	 	3989_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	398	 	2443_3	1445	38_6	2660	1371	1373_11, 2508_11	 	4051_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	474	 	2519_3	1001	109_6	2736	1491	1493_11, 2584_11	 	4118_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	396	 	2399_3	1399	37_6	2615	1356	1358_11, 2464_11	 	3881_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	502	 	2476_3	1031	96_6	2692	1515	1517_11, 2542_11	 	4307_16, 865_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	2580	 	1733_3	2048	97_6	1948	754	1799_11, 756_11	 	2211_16, 4256_16	 
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	452	 	2512_3	982	95_6	2726	1473	1475_11, 2577_11	 	4170_16	 
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	4615	 	2563_3	4071	190_6	2350	3524	2501_11, 3522_11	 	4233_16, 4252_16	 
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	428	 	2550_3, 3243_4	956	124_7, 39_6	2821	1816	1814_11, 2666_11	 	 	 
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	404	 	2257_3, 2890_4	886	113_6, 200_6	2502	1271	1269_11, 2377_11	 	712_16	 
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	381	 	2459_3, 3014_4	885	161_6, 74_6	2669	1340	1342_11, 2535_11	 	709_16	 
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	1058	 	3201_4, 3771_3	452	1321_6, 1412_6	3550	4827	3699_11, 4825_11	 	638_16	 
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	1172	 	2092_3	1322	147_6	13	1440	1438_11, 1865_11	 	3707_16, 676_16	 
Shigella dysenteriae CDC 74-1112 (941429.3)	3751	2104	1612_4, 2847_3, 4604_4	4266	4724_6	1408	3348	3350_11, 3679_11	 	1959_16	 
Shigella dysenteriae 155-74 (766142.3)	4269	 	2672_3	1310	168_6	3027	1827	1825_11, 2844_11	 	 	 
Shigella dysenteriae 1617 (754093.3)	3781	5426, 5427	1556_3	525	4075_6	1184	5293	1433_11, 5295_11	 	3166_16	 
Shigella dysenteriae 225-75 (766143.3)	498	1908, 1939, 2161	2980_3, 3461_4	2748	223_6	3268	1974	1972_11, 3089_11	 	868_16	 
Shigella dysenteriae Sd197 (300267.13)	356	 	3034_3	2839	87_6	3380	2240	2238_11, 3152_11	 	824_16, 825_16	 
Shigella flexneri CDC 796-83 (945360.3)	1750	2044	2518_4, 4032_3	3571	4888_6	1450	1536	1534_11, 2639_11	 	3851_16	 
Shigella flexneri 1485-80 (766155.3)	552	1600, 1603, 1701, 1702	2807_3, 3250_4	2595	218_6	3068	1969	1967_11, 2899_11	 	812_16	 
Shigella flexneri 2002017 (591020.3)	419	2162	2864_3	1045	58_6	3130	2006	2004_11, 2952_11	 	 	 
Shigella flexneri 2747-71 (766157.3)	406	1703, 1704, 571	2783_3	1088	42_6	3099	2059	2057_11, 2877_11	 	 	 
Shigella flexneri 2850-71 (766158.3)	446	1953	2765_3	1018	125_6	3026	1859	1861_11, 2853_11	 	 	 
Shigella flexneri 2930-71 (766159.3)	455	1292	2821_3	1070	143_6	2383	1956	1954_11, 2909_11	 	675_16	 
Shigella flexneri 2a str. 2457T (198215.9)	4594	957	382_3	3071	4927_6	3132	2499	2497_11, 471_11	 	 	 
Shigella flexneri 2a str. 301 (198214.7)	408	2129	2863_3	1051	58_6	3134	1959	1957_11, 2954_11	 	 	 
Shigella flexneri 4343-70 (766160.3)	544	2210, 63, 64	2456_3	1131	211_6	2752	1878	1876_11, 2544_11	 	722_16	 
Shigella flexneri 5 str. 8401 (373384.11)	434	1650, 2068	2756_3	1028	57_6	3022	1911	1909_11, 2841_11	 	 	 
Shigella flexneri 5a str. M90T (1086030.3)	411	1565, 1954	2606_3	981	49_6	2866	1808	1806_11, 2689_11	 	 	 
Shigella flexneri 6603-63 (766161.3)	444	1729, 1793, 1794	2833_3	1112	5139_6	3119	2050	2048_11, 2925_11	 	682_16	 
Shigella flexneri CCH060 (754091.3)	452	1700, 1701, 792, 795	2884_3, 3530_4	2657	128_6	3164	1990	1988_11, 2971_11	 	630_16	 
Shigella flexneri J1713 (754092.3)	385	1502, 1737, 1738	2724_3	959	100_6	2978	1911	1913_11, 2815_11	 	 	 
Shigella flexneri K-218 (766146.3)	731	2255	3388_3	1343	396_6	3667	2618	2616_11, 3478_11	 	 	 
Shigella flexneri K-227 (766147.3)	327	1582, 1762, 1763	2908_3, 3649_4	1096	46_6	3157	1929	1931_11, 3006_11	 	 	 
Shigella flexneri K-272 (766148.3)	681	2015, 2119, 2120	3106_3, 3714_4	1386	406_6	3355	2339	2337_11, 3202_11	 	 	 
Shigella flexneri K-304 (766149.3)	490	2404	3078_3	1196	160_6	2834	2250	2248_11, 3170_11	 	712_16	 
Shigella flexneri K-315 (766150.3)	325	 	2694_3, 3635_4, 3636_4	862	44_6	2953	1876	1873_11, 1874_11, 2794_11	 	570_16	 
Shigella flexneri VA-6 (766145.3)	771	2247	3181_3	1395	387_6	3455	2032	2030_11, 3268_11	 	989_16	 
Shigella sonnei 3233-85 (766163.3)	433	1911, 1914	2700_3	982	49_6	1924	1674	1676_11, 2892_11	 	 	 
Shigella sonnei 4822-66 (766164.3)	413	1445, 1446, 1829	2412_3	1009	46_6	2773	1587	1589_11, 2550_11	 	 	 
Shigella sonnei Ss046 (300269.12)	453	2077	2860_3	1064	74_6	3227	1813	1815_11, 3014_11	 	 	 
Shigella sonnei str. Moseley (754077.4)	591	2269	3015_3	1163	212_6	3389	1985	1987_11, 3165_11	 	 	 
Yersinia bercovieri ATCC 43970 (349968.5)	1175	 	2768_3	2101	165_6	1749	87	89_11	 	 	 
Yersinia enterocolitica IP 10393 (1243181.3)	2838	 	2267_4, 3417_4, 565_4, 625_3	388	3663_6	151	1899	1897_11	 	2584_16	 
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	3357	 	1418_3	1664	724_6	1116	2303	2301_11	 	 	 
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	421	 	1009_4, 2187_4, 2243_3	1974	108_6	2527	1393	1395_11	 	688_16	 
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	1179	2488	1756_4, 2992_4, 3053_3, 794_4	2811	664_6	3350	2202	2204_11	 	1458_16	 
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	3378	 	1895_4, 3154_3, 3212_4, 751_4	2742	1477_6	4033	2132	2134_11	 	3751_16	 
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	3363	 	2782_4, 3657_4, 448_3, 507_4	683	1684_6	1061	2362	2360_11	 	3099_16	 
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	2738	 	1245_4, 2637_4, 4007_4, 918_3	1503	316_6	1316	3879	3877_11	 	1090_16	 
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	2060	 	1488_4, 1489_4, 176_3, 2288_4, 237_4, 238_4	417	3842_6	4216	838	840_11	 	1809_16	 
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	2057	 	1486_4, 178_3, 2293_4, 241_4	424	3850_6	4234	861	863_11	 	1805_16	 
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	2061	 	1489_4, 177_3, 2298_4, 239_4	422	3856_6	4244	862	864_11	 	1810_16	 
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	2055	 	1483_4, 176_3, 2293_4, 238_4	420	3845_6	4228	857	859_11	 	1803_16	 
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	2040	 	1466_4, 177_3, 2277_4, 239_4	420	3833_6	4222	857	859_11	 	1788_16	 
Yersinia frederiksenii ATCC 33641 (349966.5)	1429	1937, 2992	2099_4, 2158_3, 756_4	2826	66_6	1672	563	565_11	 	2229_16	 
Yersinia kristensenii ATCC 33638 (527012.3)	4571	1274, 2237	2291_4, 2516_4, 2517_4, 2599_4, 2600_4, 2969_3, 946_4	2381	3750_6	1846	1550	1553_11	 	2928_16	 
Yersinia pseudotuberculosis B-6863 (1286086.3)	87	 	2715_3, 3435_4, 3436_4, 3858_4	1975	993_6	3534	 	2042_11	 	132_16	 
Yersinia pseudotuberculosis B-7194 (1324608.3)	2772	 	195_4, 2632_3	1823	440_6	1370	3020	3018_11	 	 	 
Yersinia pseudotuberculosis B-7195 (1324587.3)	215	 	2396_4, 3831_3	1599	1886_6	2717	2218	2216_11	 	 	 
Yersinia pseudotuberculosis IP 31758 (349747.9)	3588	 	1753_3, 1817_4, 3138_4	3020	3948_6	1440	2140	2142_11	 	3302_16	 
Yersinia pseudotuberculosis IP 32953 (273123.10)	1212	 	1654_4, 3197_3	1775	850_6	3509	2794	2792_11	 	 	 
Yersinia pseudotuberculosis PB1/+ (502801.6)	1063	 	1522_4, 2956_3	1640	700_6	3266	2556	2554_11	 	 	 
Yersinia pseudotuberculosis YPIII (502800.6)	3510	 	1632_3, 3001_4	2884	3865_6	1275	2029	2031_11	 	3181_16	 
Yersinia rohdei ATCC 43380 (527004.3)	3572	2406	1980_4, 2037_3, 2744_4, 3089_4	474	3071_6	1103	104	102_11	 	536_16	 
Yokenella regensburgei ATCC 43003 (1002368.3)	2103	2833, 3086	1757_4, 4160_3	2604	527_6	4361	3328	3326_11, 4216_11	 	2416_16	 
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	1298	2440	1017_3, 3142_4, 3873_4	683	1695_6	226	2223	2221_11	 	440_16	 
Actinobacillus pleuropneumoniae L20 (416269.6)	212	 	 	736	 	 	2092	1546_11	603_14, 604_13	477_16	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	701	 	 	235	 	 	373	2074_11	870_14, 871_13	1720_16	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	240	495	1520_4	732	 	 	2106	1553_11	604_14, 605_13	525_16	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	233	480	 	772	 	 	2167	1630_11	645_14, 646_13	508_16	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	242	 	1493_4	729, 730	 	 	2058	1525_11	599_14, 600_13	517_16	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	227	 	 	764	 	 	2110	1566_11	633_14, 634_13	551_16	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	232	476	 	766	 	 	2145	1607_11	640_14, 641_13	505_16	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	363	1033	803_4	724	 	 	108	1044_11, 1362_11	543_14, 544_13	466_16	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	210	 	1467_4	704	 	 	2049	1503_11	569_14, 570_13	492_16	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	230	468	 	708	 	 	2035	1521_11	582_14, 583_13	498_16	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	262	 	 	780	 	 	8	1636_11	647_14, 648_13	540_16	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	212	 	 	765	 	 	2151	1581_11	635_14, 636_13	553_16	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	234	470	 	761	 	 	2142	1611_11	635_14, 636_13	501_16	 
Aggregatibacter aphrophilus F0387 (679198.3)	208	 	 	697	 	 	1692	15_11	 	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	680	 	 	1176	 	 	1566	434_11	 	1435_16	 
Haemophilus haemolyticus HK386 (1095742.3)	497	 	338_4	1308	 	 	911	1140_11	 	 	 
Haemophilus haemolyticus M21621 (1028805.3)	1054	1655	59_4	1295, 912	 	 	1787	1962_11	 	 	 
Haemophilus haemolyticus M21639 (1028806.3)	1534	2400	837_4	2364, 2365	 	 	194	1240_11	 	 	 
Haemophilus influenzae 10810 (862964.3)	1705	1	613_4	1373	 	 	1037	532_11	1901_14, 1902_13	 	 
Haemophilus influenzae 6P18H1 (521004.3)	234	1603	530_4	1052	 	 	911	588_11	1235_14, 1236_13	 	 
Haemophilus influenzae 7P49H1 (521005.3)	948	1161	796_4	444	 	 	153	 	1121_14, 1122_13	 	 
