Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Acinetobacter baumannii WC-692 (903913.3)	1074_4, 1075_1	3130_5	2544_6, 3131_6	3769_7	 	 	188_13	3342_14	 	407_16	1380_17	2459_19	447_20
Acinetobacter baumannii WC-A-694 (903925.3)	2692_4, 2693_1	2229_5	2230_6, 2976_6	1928_7	 	 	1474_13	393_14	 	3184_16	2420_17	1580_19	3144_20
Acinetobacter baumannii WC-A-92 (903931.3)	2986_1, 2987_4	3031_5	2970_6, 3030_6	2008_12	 	 	2743_13	110_14	 	1683_16	3478_17	2111_19	1644_20
Acinetobacter baumannii WM99c (945555.3)	2861_1, 2862_4	2546_5	2051_6, 2544_6, 2545_6	3306_12	 	 	1893_13	1093_14	 	3568_16	2379_17	3187_19	1829_20
Acinetobacter baumannii ZWS1122 (1223564.3)	2872_4, 2873_1	1395_5	1321_6, 1396_6	3668_12	 	 	3476_13	1837_14	 	633_16	1210_17	2172_19	594_20
Acinetobacter baumannii ZWS1219 (1224141.3)	2838_4, 2839_1	1304_5	1305_6, 3710_6	3639_12	 	 	3441_13	1746_14	 	563_16	1152_17	2144_19	523_20
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	1377_1, 1378_4	3209_5	3208_6, 3304_6	1800_7	 	 	1033_13	2697_14	2121_15	382_16	3347_17	2203_19	422_20
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	260_1, 261_4	1949_5	1948_6, 2039_6	630_7	 	 	3202_13	1411_14	961_15	2562_16	2081_17	1042_19	2600_20
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	3660_4, 3661_1	1942_5	1848_6, 1943_6	3255_7	 	 	663_13	2494_14	2947_15	1313_16	1802_17	2868_19	1273_20
Acinetobacter calcoaceticus PHEA-2 (871585.3)	2129_4, 2130_1	440_5	344_6, 441_6	1741_12	 	 	2808_13	964_14	 	3404_16	304_17	1373_19	3365_20
Acinetobacter calcoaceticus TG19585 (1221293.3)	248_1, 249_4	2423_5	1924_6, 2422_6	612_7	 	 	2197_13	3017_14	929_15	1272_16	1883_17	1006_19	1311_20
Acinetobacter calcoaceticus TG19588 (1221294.3)	2381_4, 2382_1	952_5	1055_6, 951_6	2013_7	 	 	3068_13	463_14	1705_15	2611_16	1096_17	1627_19	2571_20
Acinetobacter calcoaceticus TG19593 (1221295.3)	1448_1, 1449_4	2122_5	2121_6, 2210_6	2769_7	 	 	1233_13	581_14	3094_15	1638_16	2252_17	3174_19	1677_20
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	16_1, 17_4	1725_5	1607_6, 1726_6	530_7	 	 	2463_13	3333_14	 	2914_16	1566_17	902_19	2875_20
Acinetobacter pittii ANC 3678 (1217673.3)	1032_1, 1033_4	2579_5	2478_6, 2578_6, 2709_6	1505_7	 	 	681_13	2142_14	 	408_16	2750_17	1876_19	369_20
Acinetobacter pittii ANC 4050 (1217691.3)	11_1, 12_4	1656_5	1655_6, 1840_6	395_7	 	 	2950_13	1127_14	 	2340_16	1882_17	718_19	2380_20
Acinetobacter pittii ANC 4052 (1217689.3)	3653_4, 3654_1	96_5	1890_6, 97_6	3243_7	 	 	728_13	2387_14	 	1375_16	1849_17	2814_19	1335_20
Acinetobacter pittii CIP 70.29 (1217672.3)	2147_1, 2148_4	732_5	3492_6, 731_6	2530_7	 	 	1145_13	282_14	 	1411_16	3450_17	2882_19	1451_20
Acinetobacter pittii D499 (1086014.3)	853_1, 854_4	2532_5	2531_6, 2669_6	1345_7	 	 	206_13	2114_14	 	3301_16	2710_17	1703_19	3340_20
Acinetobacter pittii TG6411 (1221309.3)	2102_4, 2103_1	1595_5	1594_6, 377_6	249_7	 	 	2498_13	1885_14	 	725_16	418_17	3417_19	686_20
Acinetobacter calcoaceticus RUH2202 (575585.3)	10_4, 9_1	1401_5	1400_6, 1478_6	188_7	 	 	2403_13	649_14	1064_15	2774_16	1582_17	993_19	2736_20
Acinetobacter haemolyticus ATCC 19194 (707232.3)	942_4, 943_1	513_5	2815_6, 512_6	441_7	 	 	1689_13	348_14	155_15	1237_16	2760_17	289_19	2217_20
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	2973_1, 2974_4	2235_5	1950_6, 2135_6, 2236_6	2311_7	 	 	826_13	1028_14	1274_15	2593_16	1907_17	1093_19	2644_20
Acinetobacter haemolyticus NIPH 261 (1217986.3)	1122_1, 1123_4	1588_5	1504_6, 1589_6, 2503_6	1732_7	 	 	658_13	1824_14	2047_15	840_16	2548_17	1890_19	269_20
Acinetobacter haemolyticus TG21157 (1221299.3)	2116_4, 2117_1	1686_5	1687_6, 2155_6, 341_6	1748_7	 	 	1_13	439_14	2645_15	2413_16	2809_17	1704_19	596_20
Acinetobacter johnsonii ANC 3681 (1217662.4)	2403_4, 2404_1	2187_5	1467_6, 2186_6	2149_7	 	 	342_13	3215_14	2008_15	2709_16	1539_17	1971_19	719_20
Acinetobacter johnsonii CIP 64.6 (1217663.3)	1831_1, 1832_4	2163_5	1009_6, 2164_6	2202_7	 	 	3402_13	2534_14	2351_15	2773_16	1152_17	2389_19	169_20
Acinetobacter johnsonii SH046 (575586.4)	1103_1, 1104_4	1299_5	1300_6, 379_6	1337_7	 	 	2551_13	2197_14	2009_15	2871_16	457_17	2055_19	1943_20
Acinetobacter junii CIP 107470 (1217666.3)	555_4, 556_1	2967_5	1984_6, 2905_6, 2968_6	1789_7	 	 	1262_13	1624_14	3181_15	864_16	2030_17	1557_19	3273_20
Acinetobacter junii CIP 64.5 (1217664.3)	2097_4, 2098_1	3011_5	1879_6, 3012_6, 351_6	1690_7	 	 	2790_13	1487_14	1267_15	2382_16	1928_17	1422_19	278_20
Acinetobacter junii NIPH 182 (1217665.3)	2451_1, 2452_4	1505_5	1418_6, 1506_6, 2282_6	2100_7	 	 	527_13	1735_14	1942_15	165_16	2591_17	1796_19	3067_20
Acinetobacter junii SH205 (575587.3)	151_1, 152_4	1091_5	1090_6, 358_6	541_7	 	 	1871_13	750_14	949_15	219_16	316_17	811_19	2519_20
Acinetobacter lwoffii CIP 70.31 (1217667.3)	1091_4, 1092_1	1546_5	1545_6, 1711_6	1511_7	 	 	2396_13	651_14	3091_15	442_16	1762_17	2511_19	333_20, 363_20, 370_20
Acinetobacter lwoffii NCTC 5866 (981327.3)	2072_4, 2073_1	1285_5	1284_6, 2126_6	1253_7	 	 	437_13	1163_14	1945_15	2626_16	193_17	2649_19, 2650_19	2162_20
Acinetobacter lwoffii NIPH 478 (1217668.3)	459_1, 460_4	1465_5	1464_6, 1606_6	1433_7	 	 	2403_13	776_14	1324_15	2072_16	1658_17	884_19	2140_20
Acinetobacter lwoffii NIPH 715 (1217669.3)	2214_4, 2215_1	930_5	1108_6, 929_6	896_7	 	 	309_13	1888_14	782_15	2921_16	1155_17	1712_19	581_20
Acinetobacter lwoffii SH145 (575588.3)	1768_4, 1769_1	1333_5	1140_6, 1332_6	1301_7	 	 	2308_13	693_14	1431_15	256_16	1090_17	588_19	321_20
Acinetobacter lwoffii TG19636 (1221307.3)	280_1, 281_4	656_5	657_6, 8_6	689_7	 	 	2312_13	1568_14	2912_15	2024_16	58_17	105_19	3123_20
Acinetobacter lwoffii WJ10621 (1046625.3)	2607_4, 2608_1	1020_5	1019_6, 4_6	982_7	 	 	 	618_14	843_15	2184_16	2030_17	807_19	1451_20
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	2923_1, 2924_4	2264_5	143_6, 2263_6	2243_7	 	 	1522_13	1802_14	 	398_16	187_17	2463_19	436_20
Acinetobacter radioresistens NIPH 2130 (1217674.3)	835_4, 836_1	509_5	2385_6, 508_6	488_7	 	 	1718_13	370_14	 	1167_16	2343_17	2913_19	1205_20
Acinetobacter radioresistens SH164 (575589.3)	619_4, 620_1	300_5	1646_6, 299_6	279_12	 	 	2490_13	163_14	 	2120_16	1605_17	1370_19	2082_20
Acinetobacter radioresistens SK82 (596318.3)	806_1, 807_4	1328_5	1329_6, 2183_6	1349_12	 	 	1870_13	2292_14	 	2895_16	1057_17	95_19	2933_20
Acinetobacter radioresistens TG02010 (1221310.3)	1502_4, 1503_1	2767_5	2766_6, 989_6	2746_7	 	 	128_13	1930_14	 	673_16	945_17	182_19	635_20
Acinetobacter radioresistens WC-A-157 (903900.3)	902_1, 903_4	16_5	17_6, 1959_6	37_7	 	 	2486_13	155_14	 	452_16	1915_17	1500_19	490_20
Moraxella catarrhalis 101P30B1 (857572.3)	1259_4, 1264_1	486_5	1390_6, 484_6	1867_12	 	 	109_13	1918_14	 	1960_16	1288_17	1377_19	1568_20
Moraxella catarrhalis 103P14B1 (857579.3)	1699_4, 1704_1	251_5	1459_6, 249_6	611_12	 	 	324_13	1761_14	 	1722_16	777_17	1472_19	1162_20
Moraxella catarrhalis 12P80B1 (857577.3)	1709_4, 1715_1	428_5	426_6, 803_6	1107_7	 	 	1173_13	1435_14	 	1492_16	605_17	789_19	1877_20
Moraxella catarrhalis 46P47B1 (857578.3)	1718_1, 1724_4	606_5	168_6, 604_6	1599_12	 	 	399_13	1548_14	 	971_16	1836_17	155_19	941_20
Moraxella catarrhalis 7169 (857581.3)	1434_1, 1439_4	711_5	1700_6, 713_6	1256_12	 	 	582_13	1205_14	 	1166_16	1597_17	1687_19	46_20
Moraxella catarrhalis BC1 (857576.3)	1614_4, 1620_1	111_5	1050_6, 34_6	1873_12	 	 	135_13	1925_14	 	1967_16	799_17	1063_19	481_20
Moraxella catarrhalis BC7 (857575.3)	857_4, 862_1	671_5, 672_5	1529_6, 669_6	1063_12	 	 	1968_13	1117_14	 	1157_16	1902_17	1517_19	1250_20
Moraxella catarrhalis BC8 (857574.3)	943_4, 949_1	1169_5	1171_6, 1661_6	688_12	 	 	567_13	739_14	 	779_16	88_17	1648_19	535_20
Moraxella catarrhalis CO72 (857573.3)	630_1, 635_4	818_5	1886_6, 820_6	436_12	 	 	1496_13	384_14	 	343_16	1781_17	1873_19	1570_20
Moraxella catarrhalis O35E (857571.5)	1086_1, 1091_4	406_5	1300_6, 408_6	916_12	 	 	279_13	865_14	 	826_16	1195_17	1287_19	1457_20
Moraxella catarrhalis RH4 (749219.3)	1112_1, 1118_4	405_5	1329_6, 407_6	923_12	 	 	282_13	872_14	 	833_16	1226_17	1317_19	1481_20
Pseudomonas aeruginosa 152504 (983919.3)	1257_1, 1259_4	2541_5	2498_6, 2540_6, 920_6, 921_6	1808_7, 2654_7	 	 	 	3094_14	 	4315_16	3738_17	1290_19	3682_20
Pseudomonas aeruginosa 18A (1286151.3)	5580_1, 5582_4	1183_5	1046_6, 1184_6, 3287_6	2508_12	 	 	4367_13	5310_14	 	2983_16	4980_17	5029_19	1364_20
Pseudomonas aeruginosa 19BR (1051003.3)	5452_1, 5454_4	420_5	4005_6, 419_6, 6279_6	3534_12	 	 	6059_13	3350_14	 	4300_16	4170_17	4121_19	357_20
Pseudomonas aeruginosa 213BR (1051004.3)	5419_1, 5421_4	422_5	4029_6, 421_6, 6245_6	3559_12	 	 	6025_13	3374_14	 	4322_16	4193_17	4144_19	360_20
Pseudomonas aeruginosa 39016 (798130.4)	3612_1, 3614_4	4635_5	2097_6, 4368_6, 4563_6	1625_7	 	 	4314_13	1422_14	 	2450_16	2321_17	2272_19	3729_20
Pseudomonas aeruginosa 9BR (1051005.3)	5512_1, 5514_4	420_5	4029_6, 419_6, 6340_6	3559_12	 	 	6120_13	3374_14	 	4324_16	4194_17	4145_19	358_20
Pseudomonas aeruginosa AH16 (1208103.3)	3340_1, 3342_4	741_5	1692_6, 2112_6, 742_6	2614_12	 	 	439_13	4068_14	 	1391_16	1257_17	2721_19	2400_20
Pseudomonas aeruginosa ATCC 14886 (1163392.3)	5286_1, 5288_4	446_5	1654_6, 2081_6, 445_6	2485_7	 	 	5892_13	2667_14	 	1352_16	1488_17	1537_19	383_20
Pseudomonas aeruginosa B136-33 (1280938.3)	5096_1, 5098_4	414_5	1466_6, 413_6, 5923_6	1936_7	 	 	5705_13	2118_14	 	1163_16	1301_17	1350_19	351_20
Pseudomonas aeruginosa CI27 (1163396.3)	5402_1, 5404_4	402_5	1544_6, 401_6, 6226_6	2055_7	 	 	6007_13	2236_14	 	1229_16	1381_17	1430_19	338_20
Pseudomonas aeruginosa DK2 (1093787.3)	5111_1, 5113_4	419_5	1390_6, 418_6, 5956_6	1856_7	 	 	5737_13	2042_14	 	1094_16	1225_17	1274_19	357_20
Pseudomonas aeruginosa DQ8 (1211113.3)	1812_4, 1814_1	632_5	3447_6, 633_6	1070_12	 	 	4323_13	1844_14	 	3238_16	5595_17	402_19	2102_20
Pseudomonas aeruginosa E2 (1163395.3)	4950_1, 4952_4	392_5	1425_6, 391_6, 5800_6	1884_12	 	 	5554_13	2066_14	 	1110_16	1248_17	1297_19	330_20
Pseudomonas aeruginosa LCT-PA102 (1168061.3)	2412_1, 2414_4	3693_5	3237_6, 3692_6, 4733_6	5197_12	 	 	3016_13	5381_14	 	4385_16	4520_17	4618_19	3631_20
Pseudomonas aeruginosa LESB58 (557722.4)	5282_1, 5284_4	415_5	1561_6, 414_6, 6106_6	2081_12	 	 	5886_13	2265_14	 	1213_16	1351_17	1445_19	353_20
Pseudomonas aeruginosa M18 (941193.4)	5037_1, 5039_4	419_5	1521_6, 418_6, 5858_6	1983_12	 	 	5637_13	2165_14	 	1172_16	1307_17	1356_19	357_20
Pseudomonas aeruginosa MRW44.1 (1198629.3)	5075_4, 5077_1	4673_5	3913_6, 4672_6, 5197_6	851_12	 	 	561_13	1034_14	 	1985_16	2118_17	2167_19	4610_20
Pseudomonas aeruginosa MSH-10 (1331059.3)	5443_4, 5445_1	4164_5	4165_6, 4612_6, 791_6	1267_7	 	 	4832_13	1451_14	 	494_16	625_17	674_19	4227_20
Pseudomonas aeruginosa NCGM2.S1 (1089456.3)	775_4, 777_1	5770_5	4622_6, 5771_6, 6291_6	4151_7	 	 	6071_13	3969_14	 	4969_16	4790_17	4741_19	5834_20
Pseudomonas aeruginosa NCMG1179 (1078464.3)	5658_4, 5660_1	4374_5	4375_6, 4848_6, 819_6	3609_12	 	 	5065_13	3407_14	 	474_16	604_17	701_19	4436_20
Pseudomonas aeruginosa PA14 (652611.13)	5967_4, 5969_1	4680_5	3585_6, 4681_6, 5146_6	3108_7	 	 	5364_13	2926_14	 	3910_16	3749_17	3700_19	4744_20
Pseudomonas aeruginosa PA21_ST175 (1285581.3)	4768_4, 4770_1	2680_5	2679_6, 3813_6, 992_6	4904_12	 	 	5429_13	4218_14	 	5133_16	827_17	876_19	2618_20
Pseudomonas aeruginosa PA45 (1295076.3)	4522_1, 4524_4	5818_5	2812_6, 5356_6, 5817_6	2331_12	 	 	5135_13	2148_14	 	3111_16	2978_17	2929_19	5755_20
Pseudomonas aeruginosa PA7 (381754.6)	5202_1, 5204_4	474_5	1561_6, 473_6, 6038_6	2003_7	 	 	5813_13	2193_14	1427_15	1250_16	1395_17	1444_19	408_20
Pseudomonas aeruginosa PABL056 (1214916.3)	5942_1, 5944_4	6428_5	2412_6, 638_6, 6429_6	1737_7	 	 	6482_13	553_14	 	68_16	824_17	873_19	2753_20
Pseudomonas aeruginosa PACS2 (388272.4)	5160_1, 5162_4	416_5	415_6, 4298_6, 5987_6	3832_12	 	 	5768_13	3649_14	 	4601_16	4464_17	4415_19	353_20
Pseudomonas aeruginosa PADK2_CF510 (1134459.3)	172_1, 174_4	4565_5	3524_6, 4564_6, 6004_6	1294_7	 	 	2718_13	3833_14	 	5838_16	3352_17	3401_19	4501_20, 4502_20
Pseudomonas aeruginosa PAK (1009714.6)	5289_1, 5291_4	624_5	1694_6, 180_6, 623_6	2173_12	 	 	5889_13	2356_14	 	1394_16	1529_17	1578_19	562_20
Pseudomonas aeruginosa PAO1 (208964.12)	4982_1, 4984_4	423_5	3691_6, 422_6, 5807_6	3201_12	 	 	5586_13	3017_14	 	3986_16	3855_17	3806_19	360_20
Pseudomonas aeruginosa MPAO1/P1 (1131757.3)	3292_4, 3294_1	5445_5	1260_6, 3882_6, 5444_6	3431_12	 	 	4376_13	5174_14	 	2995_16	3126_17	3175_19	1414_20
Pseudomonas aeruginosa PAO579 (1191475.3)	4807_1, 4809_4	424_5	3521_6, 423_6, 5629_6	3029_12	 	 	5410_13	2846_14	 	3815_16	3685_17	3636_19	361_20
Pseudomonas aeruginosa PGPR2 (1328315.3)	5435_1, 5437_4	442_5	1486_6, 6363_6	1982_12	 	 	6121_13, 6122_13, 6123_13	2172_14	 	1165_16	1305_17	1360_19, 1361_19, 1362_19	378_20
Pseudomonas aeruginosa SJTD-1 (1193501.3)	1550_1, 1552_4	1267_5	1266_6, 2444_6, 69_6	5235_7	 	 	2225_13	5052_14	 	365_16	236_17	186_19	1205_20
Pseudomonas aeruginosa UCBPP-PA14 (208963.12)	5162_1, 5164_4	432_5	1523_6, 431_6, 5993_6	1998_7	 	 	5773_13	2180_14	 	1200_16	1358_17	1407_19	368_20
Pseudomonas aeruginosa XMG (1169413.3)	1469_4, 1471_1	1278_5	1279_6, 4964_6	2517_12	 	 	2264_13	3314_14	 	3986_16	3851_17	3802_19	4449_20
Pseudomonas alcaliphila 34 (1248438.3)	607_1, 608_4	3934_5	3300_6, 3933_6	4885_7	 	 	1404_13	2711_14	32_15	436_16	350_17	16_19, 2954_19	1240_20
Pseudomonas fluorescens F113 (1114970.3)	873_4, 874_1	5654_5	4653_6, 5655_6	4124_7	 	 	5888_13	4295_14	1151_15	1033_16	1117_17	1168_19, 4596_19	243_20
Pseudomonas fluorescens LMG 5329 (1324332.3)	1108_4, 1109_1	5553_5	2152_6, 3640_6, 5552_6	3169_7	 	 	899_13	1201_14	 	4112_16	4387_17	2955_19, 992_19	5424_20
Pseudomonas fluorescens NCIMB 11764 (1221522.3)	5967_1, 5968_4	5104_5	4427_6, 5103_6, 5580_6	1123_7	 	 	5468_13	3918_14	220_15	4140_16	252_17	203_19, 3998_19	5040_20
Pseudomonas fluorescens Pf-5 (220664.5)	851_4, 852_1	5947_5	4969_6, 5948_6, 6312_6	1912_7	 	 	6183_13	1793_14	1210_15	5079_16	1179_17	1226_19, 4639_19	6011_20
Pseudomonas fluorescens Pf0-1 (205922.5)	777_4, 778_1	5330_5	4525_6, 5331_6, 5682_6	1817_12	 	 	5566_13	4195_14	 	4613_16	1091_17	1142_19	5392_20
Pseudomonas fluorescens PfO-1 (205922.3)	823_4, 824_1	4982_5	4677_6, 4983_6, 5502_6	1887_12	 	 	4202_13	4454_14	 	4144_16	1127_17	1176_19	5182_20
Pseudomonas fluorescens Q2-87 (1038922.3)	4819_1, 4820_4	5111_5	4356_6, 5112_6	1825_7	 	 	5342_13	4053_14	1133_15	1016_16	1095_17	1150_19, 4300_19	37_20
Pseudomonas fluorescens Q8r1-96 (1038923.3)	798_4, 799_1	5421_5	4419_6, 5422_6	1747_7	 	 	5648_13	4116_14	1079_15	958_16	1046_17	1096_19, 4362_19	254_20
Pseudomonas fluorescens R124 (743713.3)	751_4, 752_1	5103_5	4285_6, 5104_6, 5457_6	1794_7	 	 	5335_13	3956_14	1094_15	4381_16	1059_17	1112_19, 4074_19	5162_20
Pseudomonas fluorescens SBW25 (216595.4)	5397_1, 5398_4	5880_5	1388_6, 5881_6, 6218_6	4738_7	 	 	6109_13	2074_14	1503_15	5196_16	1472_17	1520_19, 4921_19	5936_20
Pseudomonas fluorescens SS101 (1038924.3)	4459_1, 4460_4	4926_5	1140_6, 4927_6, 5269_6	3804_7	 	 	5139_13	1795_14	1253_15	4293_16	1223_17	1270_19, 4019_19	4980_20
Pseudomonas putida NB2011 (1330531.3)	755_4, 756_1	4498_5	4499_6, 4869_6	2069_7	 	 	3137_13	968_14	 	3083_16	1347_17	1300_19	1488_20, 21_20, 2353_20
Pseudomonas putida B001 (1048261.3)	2867_1, 2868_4	4614_5	4613_6, 585_6	35_7	 	 	730_13	1165_14	 	3434_16	2136_17	1402_19	2530_20
Pseudomonas putida B6-2 (1081940.5)	5628_4, 5629_1	5024_5	1121_6, 1243_6, 5025_6	3867_7	 	 	5386_13	5653_14	 	882_16	4428_17	4379_19	5171_20
Pseudomonas putida BIRD-1 (931281.3)	4465_1, 4466_4	4828_5	1144_6, 4829_6	3591_7	 	 	5135_13	3836_14	 	907_16	4089_17	4041_19	4978_20
Pseudomonas putida DOT-T1E (1196325.3)	653_1, 654_4	1112_5	1111_6, 4667_6	3213_7	 	 	4655_13	587_14	 	4129_16	2889_17	4913_19	4444_20
Pseudomonas putida F1 (351746.6)	4653_1, 4654_4	4945_5	1133_6, 4946_6	3696_7	 	 	5274_13	3962_14	 	885_16	4273_17	4224_19	5092_20, 5118_20, 5122_20
Pseudomonas putida GB-1 (76869.5)	4731_1, 4732_4	5049_5	1767_6, 4329_6, 5050_6	1620_7	1769_9, 1770_8	 	5340_13	1400_14	1154_15	897_16	1117_17	1170_19	5193_20
Pseudomonas putida H8234 (1331671.3)	5469_1, 5470_4	5856_5	5043_6, 5857_6	1510_7	 	 	6151_13	1298_14	 	839_16	1060_17	1107_19	5997_20
Pseudomonas putida HB3267 (1215088.3)	4612_1, 4613_4	4902_5	4198_6, 4903_6	1632_7	 	 	5234_13	1413_14	 	949_16	1172_17	1226_19	5049_20
Pseudomonas putida KT2440 (160488.4)	5034_1, 5035_4	5339_5	1151_6, 5340_6	2209_12	 	 	5643_13	1915_14	 	909_16	1597_17	1701_19	5488_20
Pseudomonas putida LS46 (1193146.3)	3719_4, 3720_1	3413_5	3412_6, 4072_6	1966_7	 	 	3058_13	2217_14	 	4319_16	2480_17	2432_19	3265_20
Pseudomonas putida ND6 (231023.4)	1655_1, 1656_4	1976_5	1977_6, 3487_6, 3603_6	762_7	 	 	2321_13	1023_14	 	3244_16	1280_17	1233_19	2136_20
Pseudomonas putida S12 (1215087.3)	5071_4, 5072_1	462_5	3515_6, 461_6	1914_7	 	 	924_13	1534_14	 	397_16	2598_17	291_19	5455_20
Pseudomonas putida S16 (1042876.5)	4648_1, 4649_4	4926_5	4243_6, 4927_6	1682_7	 	 	5228_13	1472_14	 	923_16	1162_17	1212_19	5075_20
Pseudomonas putida SJTE-1 (1193499.3)	2053_1, 2054_1, 2055_4	2342_5	2343_6, 3564_6, 3682_6	960_7	 	 	2668_13	1243_14	 	3325_16	1680_17	1633_19	2517_20
Pseudomonas putida TRO1 (1227924.3)	2056_4, 2057_1	3941_5	1789_6, 3942_6	3394_7	 	 	1032_13	5727_14	 	3119_16	1512_17	4182_19	2290_20
Pseudomonas putida W619 (390235.5)	712_4, 713_1	473_5	1116_6, 472_6	1619_7	 	 	184_13	1419_14	4103_15	4352_16	4134_17	4086_19	328_20
Pseudomonas stutzeri A1501 (379731.5)	3336_1, 3337_4	3939_5	1201_6, 3940_6	2393_7	 	 	480_13	2600_14	1540_15	3043_16	2752_17	1557_19	427_20
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	696_4, 697_1	1867_5	1868_6, 2060_6	636_7	 	 	2339_13	2529_14	4049_15	3263_16	2679_17	4065_19	2290_20
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	3379_1, 3380_4	3920_5	1106_6, 3921_6	2297_7	 	 	504_13	2582_14	1449_15	3094_16	2736_17	1466_19	448_20
Pseudomonas stutzeri CCUG 29243 (1196835.3)	825_4, 826_1	300_5	1145_6, 299_6	2556_7	 	 	3834_13	2764_14	1657_15	1109_16	2900_17	1673_19	3883_20
Pseudomonas stutzeri DSM 10701 (1123519.7)	3098_1, 3099_4	327_5	326_6, 941_6	1698_7	 	 	457_13	1176_14	2820_15	2596_16	2656_17	2804_19	3552_20
Pseudomonas stutzeri DSM 4166 (996285.3)	3490_1, 3491_4	4122_5	1171_6, 4123_6	2496_7	 	 	526_13	2703_14	1574_15	3201_16	2868_17	1591_19	474_20
Pseudomonas stutzeri NF13 (1212548.4)	293_1, 294_4	3692_5	3693_6, 3886_6	520_7	 	 	180_13	1361_14	 	387_16	2171_17	1185_19	3518_20
Pseudomonas stutzeri RCH2 (644801.3)	938_4, 939_1	290_5	289_6, 3039_6	1906_7	 	 	3706_13	1674_14	2772_15	1221_16	1516_17	2756_19	3754_20
Pseudomonas stutzeri SDM-LAC (1109445.3)	3094_4, 3095_1	815_5	3238_6, 814_6	3752_7	 	 	2250_13	1348_14	 	2101_16	2040_17	3418_19	2764_20
Pseudomonas stutzeri T13 (1210443.6)	2094_4, 2095_1	541_5	3614_6, 542_6	1552_7	 	 	935_13	1116_14	3343_15	2698_16	2566_17	3326_19	4144_20
Pseudomonas stutzeri TS44 (477228.3)	2073_4, 2075_1	204_5	205_6, 905_6	2633_7	 	 	120_13	1246_14	3402_15	1751_16	2419_17	3386_19	527_20
Pseudomonas stutzeri XLDN-R (1200345.6)	578_4, 579_1	2532_5	2533_6, 758_6	2129_7	 	 	3657_13	131_14	1163_15	4117_16	3524_17	1146_19	309_20
Grimontia hollisae CIP 101886 (675812.3)	1884_1, 1885_4	1979_5	2582_6	2781_12	 	 	484_13	1445_14	 	1781_16	3247_17	682_19	1899_20
Vibrio parahaemolyticus BB22OP (1211705.3)	452_4, 453_1	2515_5	3372_6	1478_12	 	 	186_13	1895_14	 	578_16	786_17	2427_19	501_20
Vibrio parahaemolyticus PCV08-7 (1276919.3)	2385_1, 2386_4	3686_5	1751_6	4339_12	 	 	107_13	3082_14	 	4694_16	4469_17	3973_19	2335_20
Vibrio parahaemolyticus SNUVpS-1 (1234128.4)	3922_1, 3923_4	4602_5	1638_6	2746_12	 	 	3743_13	2424_14	 	3299_16	3082_17	3869_19	4496_20
Vibrio mimicus CAIM 602 (1259812.3)	450_1, 451_4	1020_5	24_6	813_7	 	 	2328_13	1226_14	326_15	3939_16	204_17	515_19	885_20
Vibrio mimicus MB-451 (675806.3)	357_4, 358_1	237_5	3176_6	1194_7	 	 	2433_13	794_14	473_15	1896_16	1726_17	297_19	1972_20
Vibrio mimicus VM223 (675820.3)	3557_1, 3558_4	3677_5	1256_6	2695_7	 	 	304_13	3100_14	3442_15	1965_16	2145_17	3618_19	503_20
Vibrio mimicus VM603 (671074.4)	102_4, 103_1	2087_5	1811_6	3004_7	 	 	2145_13	1633_14	3592_15	3423_16	3330_17	3150_19	991_20
Vibrio parahaemolyticus AN-5034 (563773.3)	7_4, 8_1	3155_5	4667_6	2521_12	 	 	1670_13	4673_14	 	132_16	2065_17	2787_19	58_20
Vibrio parahaemolyticus RIMD 2210633 (223926.6)	448_4, 449_1	2549_5	3350_6	1524_12	 	 	171_13	1937_14	 	573_16	779_17	2461_19	499_20
Stenotrophomonas maltophilia ATCC 19867 (1279018.3)	1122_4, 1123_1	3703_5	1855_6	1022_7	 	 	256_13	3875_14	3360_15	968_16	150_17	3128_19	1457_20
Stenotrophomonas maltophilia Ab55555 (1183154.3)	2102_4, 2103_1	966_5	3005_6	1994_7	 	 	298_13	19_14	1327_15	1926_16	3561_17	1651_19	678_20
Stenotrophomonas maltophilia D457 (1163399.5)	2032_4, 2033_1	1032_5	2925_6	1947_7	 	 	350_13	56_14	1359_15	1882_16	3561_17	1678_19	710_20
Stenotrophomonas maltophilia PML168 (1118235.3)	567_1, 569_4	2979_5	435_6	660_7	 	 	1548_13	1735_14	1981_15	693_16	1417_17	918_19	43_20
Stenotrophomonas maltophilia K279a (522373.3)	2111_4, 2112_1	1063_5	3106_6	2022_7	 	 	385_13	87_14	1441_15	1957_16	3661_17	1636_19	782_20
Stenotrophomonas maltophilia R551-3 (391008.4)	1838_4, 1839_1	959_5	2752_6	1750_12	 	 	296_13	54_14	 	1685_16	3327_17	1473_19	673_20
