Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	1655_1, 2139_2, 846_1	1208_5, 664_7	879_9, 880_10	879_9	452_12	3094_14	1302_18	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	3053_1, 681_1	1683_5, 71_7	1046_9, 1047_10	1046_9	1464_12	1967_14	2815_18	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	1580_1, 3826_1	1253_5, 2263_7	2140_9, 2141_10	2140_9	1037_12, 1236_12	3692_14	2802_18	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	1637_1, 3338_1, 824_2	1240_5, 3144_7	1015_10, 1016_9	1016_9	2430_12	1732_14	2299_18	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	1300_3, 238_1, 297_1	411_5, 884_7	2062_9, 2063_10	2062_9	1107_12	1178_14	3485_18	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	3154_1, 3509_1	2214_7, 2512_5	2678_9, 2679_10	2678_9	1223_12, 2483_12	3561_14	3040_18	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	108_1, 1479_1, 297_3	2300_5, 2474_7	180_10, 181_9	181_9	640_12	1708_14	1596_18	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	319_1, 3538_1	2929_7, 3563_5	3303_10, 3304_9	3304_9	1349_12, 2310_12	1684_14	395_18	 
Acinetobacter baumannii AB_515-8 (1221265.3)	1834_1, 1889_1	3324_5, 948_7	3534_10, 3535_9	3535_9	129_12, 779_12	1767_14	396_18	 
Acinetobacter baumannii AB_908-12 (1221266.3)	2811_1, 3578_1	1703_7, 3547_5	1612_10, 1613_9	1613_9	441_12, 65_12	513_14	3068_18	 
Acinetobacter baumannii AB_908-13 (1221267.3)	2124_1, 3569_1	2615_5, 2729_7	949_10, 950_9	950_9	3539_12	3275_14	209_18	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	1361_1, 3274_1, 3369_3	1131_7, 1800_5	1904_9, 1905_10	1904_9	3222_12	2520_14	2853_18	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	653_1, 707_1	1817_7, 1866_5	2801_10, 2802_9	2802_9	929_12	555_14	2092_18	 
Acinetobacter baumannii AB_909-05 (1221271.3)	2055_1, 2662_1	3759_5, 847_7	2789_10, 2790_9	2790_9	1192_12, 3377_12, 916_13	684_14	337_18	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	1184_1, 2531_3, 4_1	1010_5, 2241_7	3507_9, 3508_10	3507_9	3253_12	3325_14	1846_18	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	1358_1, 3378_3, 948_1	1032_7, 551_5	810_10, 811_9	811_9	1234_12	2180_14	1676_18	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	1946_1, 2000_1	2172_5, 2432_7	2056_10, 2057_9	2057_9	1042_12, 154_12, 3083_13	976_14	1631_18	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	2860_1, 3494_1	1321_5, 2307_7	2661_9, 2662_10	2661_9	1182_12, 2144_13, 3465_12	1592_14	3119_18	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	1883_1, 3324_1	2345_7, 3089_5	3703_9, 3704_10	3703_9	1118_12, 1711_12	2998_14	93_18	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	1689_2, 2280_1, 693_1, 694_1	1917_5, 75_7	2929_9, 2930_10	2929_9	431_12	503_14	1512_18	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	2883_2, 686_1, 956_1, 957_1	1035_5, 1423_7	2816_10, 2817_9	2817_9	1942_12	279_14	2552_18	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	1069_1, 1070_1, 1986_2, 487_1	1778_5, 277_7	3027_9, 3028_10	3027_9	832_12	760_14	3215_18	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	2455_1, 2510_1	1029_7, 1591_5	3496_10, 3497_9	3497_9	3054_12, 9_12	3772_14	1323_18	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	3223_1, 3278_1	1456_5, 3019_7	1727_9, 1728_10	1727_9	2036_12	1967_14	1046_18	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	768_1, 825_1	1388_7, 3580_5	3732_10, 3733_9	3733_9	1639_12	506_14	2498_18	 
Acinetobacter baumannii AC12 (1198108.3)	2789_1, 3234_1	3394_5, 74_7	2752_10, 2753_9	2753_9	1210_12, 2909_12	1041_14	2681_18	 
Acinetobacter baumannii AC30 (1224747.3)	3181_1, 3305_1	2034_7, 3371_5	3562_10, 3563_9	3563_9	1421_12, 3231_12	2224_14	2113_18	 
Acinetobacter baumannii ANC 4097 (1217638.3)	1567_1, 1622_1	201_5, 595_7	983_10, 984_9	984_9	3191_12	3263_14	3463_18	 
Acinetobacter baumannii Ab11111 (1168588.3)	2273_1, 2329_1	3294_7, 3688_5	2895_9, 2896_10	2895_9	3172_12, 720_12	647_14	456_18	 
Acinetobacter baumannii Ab33333 (1168590.3)	2084_1, 2139_1, 3498_1	3036_7, 3390_5	2639_9, 2640_10	2639_9	702_12	632_14	441_18	 
Acinetobacter baumannii Ab44444 (1168591.3)	2508_1, 2564_1	2980_7, 3355_5	1437_10, 1438_9	1438_9	1170_12, 649_12	577_14	394_18	 
Acinetobacter baumannii BZICU-2 (1210907.3)	2217_1, 2271_1	1498_7, 3363_5	1401_10, 1402_9	1402_9	1785_12	99_14	3191_18	 
Acinetobacter baumannii Canada BC-5 (903895.3)	1057_1, 1114_1, 3360_3, 3368_3	114_7, 3473_5	501_10, 502_9	502_9	2599_12	2672_14	2856_18	 
Acinetobacter baumannii Canada BC1 (903924.3)	1252_1, 43_1, 520_3, 528_3	579_5, 97_7	3016_9, 3017_10	3016_9	1832_12	1905_14	1448_18	 
Acinetobacter baumannii IS-116 (903912.3)	1602_1, 3439_1, 428_3	112_5, 2971_7	1142_9, 1143_10	1142_9	2662_12	2589_14	523_18	 
Acinetobacter baumannii IS-123 (903899.3)	132_3, 2541_1, 2598_1	3122_5, 665_7	2917_10, 2918_9	2918_9	1659_12	1733_14, 1734_14	1922_18	 
Acinetobacter baumannii IS-143 (903911.3)	1509_1, 1771_1	1917_5, 2702_7	3479_10, 3480_9	3480_9	1115_12, 384_12	312_14	138_18	 
Acinetobacter baumannii IS-235 (903905.3)	1220_2, 3280_1, 3794_1	1524_7, 3177_5	2031_9, 2032_10	2031_9	3196_12	1696_14	262_18	 
Acinetobacter baumannii IS-251 (903906.3)	3150_1, 328_2, 52_1	1615_5, 224_7	802_9, 803_10	802_9	3313_12	1325_14	2155_18	 
Acinetobacter baumannii IS-58 (903914.3)	132_2, 2189_1, 3282_1	1727_5, 3615_7	2575_10, 2576_9	2576_9	3539_12	3721_14	916_18	 
Acinetobacter baumannii MDR-TJ (889738.3)	2420_1, 2477_1	3384_7, 48_5	3008_9, 3009_10	3008_9	1182_13, 3265_12, 910_12	836_14	651_18	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	1547_1, 1599_1	207_5, 611_7	1081_10, 1082_9	1082_9	3103_12, 729_12	3177_14	3362_18	 
Acinetobacter baumannii MSP4-16 (1278070.3)	1025_1, 2419_3, 970_1	408_7, 459_5	716_10, 717_9	717_9	1461_12	1391_14	3609_18	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	1444_1, 1500_1	2356_7, 2731_5	1969_9, 1970_10	1969_9	2238_12, 3005_12	3076_14	3261_18	 
Acinetobacter baumannii NIPH 146 (1217639.3)	1967_1, 2021_1	1068_7, 674_5	1444_10, 1445_9	1445_9	3480_12	3550_14	66_18	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	2057_1, 2112_1, 3530_2	3024_7, 3418_5	2655_9, 2656_10	2655_9	692_12	619_14	393_18	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	2125_1, 2181_1	3042_7, 3401_5	2650_9, 2651_10	2650_9	695_12	623_14	441_18	 
Acinetobacter baumannii NIPH 190 (1217640.3)	2197_1, 2251_1	3081_7, 3467_5	2679_9, 2680_10	2679_9	680_12	610_14	425_18	 
Acinetobacter baumannii NIPH 201 (1217630.3)	2112_1, 2167_1	3112_7, 3525_5	2702_9, 2703_10	2702_9	674_12	603_14	 	 
Acinetobacter baumannii NIPH 2061 (1217645.3)	1546_1, 1601_1	203_5, 584_7	1069_10, 1070_9	1070_9	3026_12, 707_12	3097_14	3283_18	 
Acinetobacter baumannii NIPH 24 (1217646.3)	2106_1, 2159_1	3004_7, 3434_5	2625_9, 2626_10	2625_9	2883_12, 656_12, 918_13	585_14	399_18	 
Acinetobacter baumannii NIPH 290 (1217631.3)	2253_1, 2308_1, 3684_2	3135_7, 3578_5	2664_9, 2665_10	2664_9	696_12	623_14	397_18	 
Acinetobacter baumannii NIPH 329 (1217632.3)	2072_1, 2127_1	3004_7, 3386_5	2630_9, 2631_10	2630_9	666_12	591_14	403_18	 
Acinetobacter baumannii NIPH 335 (1217633.3)	2068_1, 2123_1	3146_7, 3538_5	2784_9, 2785_10	2784_9	700_12, 968_13	630_14	422_18	 
Acinetobacter baumannii NIPH 410 (1217634.3)	2273_1, 2324_1	1605_5, 3207_7, 3625_5	2835_9, 2836_10	2835_9	708_12	626_14	 	 
Acinetobacter baumannii NIPH 527 (1217635.3)	2178_1, 2233_1, 3637_2	3132_7, 3525_5, 3531_5	2763_9, 2764_10	2763_9	654_12	582_14	400_18	 
Acinetobacter baumannii NIPH 528 (1217636.3)	1490_1, 1543_1	195_5, 588_7	964_10, 965_9	965_9	2693_13, 2955_12, 708_12	3026_14	3212_18	 
Acinetobacter baumannii NIPH 60 (1217647.3)	1531_1	2498_7, 2905_5	2069_9, 2070_10	2069_9	206_12	133_14	3298_18	 
Acinetobacter baumannii NIPH 601 (1217637.3)	2065_1, 2120_1, 2121_1	2963_7, 3364_5	2529_9, 2530_10	2529_9	663_12	591_14	 	 
Acinetobacter baumannii NIPH 615 (1217641.3)	2024_1, 2079_1	1157_7, 727_5	1586_10, 1587_9	1587_9	3442_12	3514_14	655_18	 
Acinetobacter baumannii NIPH 67 (1217627.3)	2161_1, 2213_1	3113_7, 3466_5	2736_9, 2737_10	2736_9	659_12	590_14	407_18	 
Acinetobacter baumannii NIPH 70 (1217628.3)	2056_1, 2112_1	2937_7, 3289_5	2576_9, 2577_10	2576_9	668_12	586_14	 	 
Acinetobacter baumannii NIPH 80 (1217629.3)	2558_1, 2616_1	3467_7, 3848_5	3115_9, 3116_10	3115_9	1156_12	1082_14	 	 
Acinetobacter baumannii Naval-113 (903920.3)	2026_1, 486_1	2515_7, 3285_5	1238_9, 1239_10	1238_9	1495_12, 3088_13, 3416_12	1792_14	2582_18	 
Acinetobacter baumannii Naval-13 (903904.3)	1119_1, 1426_1, 1483_3	2474_7, 3033_5	3772_10, 3773_9	3773_9	2893_12	2820_14	1643_18	 
Acinetobacter baumannii Naval-17 (903896.3)	3429_1, 3482_1	1414_5, 1811_7	2214_10, 2215_9	2215_9	183_13, 1936_12, 514_12	600_14	795_18	 
Acinetobacter baumannii Naval-18 (903897.3)	4110_1, 4166_1	388_7, 812_5	3556_10, 3557_9	3557_9	1528_12	1458_14	1292_18	 
Acinetobacter baumannii Naval-2 (903922.3)	1119_1, 630_1	1060_5, 947_7	1894_9, 1895_10	1894_9	1529_12, 2478_12	3600_14	533_18	 
Acinetobacter baumannii Naval-21 (903923.3)	2837_1, 3568_3, 3576_3, 3663_1	1510_7, 2010_5	1375_9, 1376_10	1375_9	81_12	3021_14	1844_18	 
Acinetobacter baumannii Naval-57 (903927.3)	2858_1, 703_1	605_7, 88_5	967_9, 968_10	967_9	1651_12	1579_14	 	 
Acinetobacter baumannii Naval-72 (903908.3)	2620_1, 4_1	2722_5, 3013_7	3162_9, 3163_10	3162_9	2886_12	2813_14	1489_18	 
Acinetobacter baumannii Naval-78 (903936.3)	238_1, 3721_1	2490_5, 2882_7	197_10, 198_9	198_9	1742_12, 2400_12	1814_14	1645_18	 
Acinetobacter baumannii Naval-81 (903898.3)	2457_1, 2513_1, 796_3	244_7, 643_5	1337_9, 1338_10	1337_9	2203_12	2278_14	910_18	 
Acinetobacter baumannii Naval-82 (903921.3)	1116_1, 167_1	2174_5, 2937_7	106_10, 107_9	107_9	1483_12	1412_14	2533_18	 
Acinetobacter baumannii Naval-83 (903909.3)	1804_1, 3530_1, 499_2	1857_5, 710_7	1568_9, 1569_10	1568_9	1011_12	2443_14	2707_18	 
Acinetobacter baumannii OIFC0162 (903907.3)	2986_1, 3224_1	2154_5, 2534_7, 387_5	2009_10, 2010_9	2010_9	727_12	1834_14	539_18	 
Acinetobacter baumannii OIFC021 (903928.3)	1120_1, 847_1	294_5, 3802_7, 440_5	3657_9, 3658_10	3657_9	2196_12	2125_14	1090_18, 3760_18	 
Acinetobacter baumannii OIFC032 (903890.3)	2809_1, 2863_1	560_5, 971_7	2287_10, 2288_9	2288_9	1690_12	1763_14	167_18	 
Acinetobacter baumannii OIFC035 (903926.3)	2327_1, 2600_1	161_5, 1744_7	1224_9, 1225_10	1224_9	3421_12	3495_14	3041_18	 
Acinetobacter baumannii OIFC047 (903933.3)	1830_1, 420_1	2026_7, 2092_5, 3379_5	230_9, 231_10	230_9	645_12	574_14	75_18	 
Acinetobacter baumannii OIFC065 (903932.3)	1547_1, 3772_1, 58_3	2837_7, 602_5	2202_10, 2203_9	2203_9	1086_12	1160_14	997_18	 
Acinetobacter baumannii OIFC074 (903901.3)	2099_1, 2515_2, 3490_1	2228_7, 2986_5	600_10, 601_9	601_9	3681_12	3309_14	1592_18	 
Acinetobacter baumannii OIFC087 (903929.3)	3606_1, 683_1	1426_7, 399_5	1891_9, 1892_10	1891_9	2799_12	982_14	760_18	 
Acinetobacter baumannii OIFC098 (903902.3)	1046_1, 3575_1	1885_7, 3554_5	1453_9, 1454_10	1453_9	3112_12	3040_14	738_18	 
Acinetobacter baumannii OIFC099 (903930.3)	2415_1, 901_1	1544_5, 2101_7	844_10, 845_9	845_9	3556_12	3484_14	43_18	 
Acinetobacter baumannii OIFC109 (903892.3)	119_1, 2139_2, 64_1	2985_5, 3381_7	3763_10, 3764_9	3764_9	1110_12	1183_14	1653_18	 
Acinetobacter baumannii OIFC110 (903910.3)	1511_1, 2196_3, 2204_3, 931_1	1300_5, 994_7	379_10, 380_9	380_9	2467_12	2397_14	87_18	 
Acinetobacter baumannii OIFC111 (903935.3)	1992_1, 2486_1	3609_5, 601_7	2949_9, 2950_10	2949_9	1447_12	1519_14	3416_18	 
Acinetobacter baumannii OIFC137 (903889.3)	2785_2, 448_1, 503_1	2908_5, 3300_7	3682_10, 3683_9	3683_9	2011_12	2084_14	2306_18	 
Acinetobacter baumannii OIFC143 (903893.3)	1054_1, 999_1	17_7, 3645_5	403_10, 404_9	404_9	2408_12	2337_14	2156_18	 
Acinetobacter baumannii OIFC180 (903903.3)	130_1, 1888_1	1761_5, 2827_7	3329_9, 3330_10	3329_9	203_12, 441_12, 576_13	1301_14	1417_18	 
Acinetobacter baumannii OIFC189 (903894.3)	484_1, 538_1	2930_5, 3326_7	3704_10, 3705_9	3705_9	1433_12, 1699_13, 3446_12	1359_14	2332_18	 
Acinetobacter baumannii OIFC338 (903934.3)	1961_1, 3172_1	61_5, 667_7	1255_10, 1256_9	1256_9	1386_12, 1787_12, 3294_13	1458_14	255_18	 
Acinetobacter baumannii TCDC-AB0715 (980514.3)	1658_1, 1712_1	203_5, 624_7	1112_10, 1113_9	1113_9	1815_13, 2872_13, 3348_12, 744_12	3419_14	3602_18	 
Acinetobacter baumannii TYTH-1 (1100841.3)	1822_1	840_7	1314_10, 1315_9	1315_9	3294_12, 959_12	3374_14	3560_18	 
Acinetobacter baumannii UMB001 (933263.3)	2448_1, 2987_1	1090_5, 2105_7	2757_10, 2758_9	2758_9	1642_12, 678_12	3262_14	2402_18	 
Acinetobacter baumannii UMB003 (933265.3)	1598_1, 1653_1	237_7, 971_5	725_9, 726_10	725_9	1748_12	2511_14	2292_18	 
Acinetobacter baumannii W7282 (981329.3)	3250_1, 3291_1	2642_5, 853_7	1630_9, 1631_10	1630_9	2185_12, 501_12	2844_14	171_18	 
Acinetobacter baumannii WC-136 (903916.3)	328_1, 386_1	1786_7, 3679_5	1981_9, 1982_10	1981_9	1384_12	1304_14	1535_18	 
Acinetobacter baumannii WC-141 (903915.3)	812_1, 864_1	1938_7, 2779_5	81_10, 82_9	82_9	1291_12	1371_14	701_18	 
Acinetobacter baumannii WC-323 (903918.3)	1172_3, 3047_1, 3308_1	509_5, 897_7	1628_10, 1629_9	1629_9	3224_12	1845_14	2540_18	 
Acinetobacter baumannii WC-348 (903919.3)	1893_1, 3586_1	2349_5, 2515_5, 50_7	625_10, 626_9	626_9	3230_12	1313_14, 3158_14	 	 
Acinetobacter baumannii WC-487 (903917.3)	1946_1, 3264_1	2316_7, 255_5, 3908_5	1795_10, 1796_9	1796_9	2195_12	2958_14	2600_18, 569_18, 570_18	 
Acinetobacter baumannii WC-692 (903913.3)	1776_1, 3467_1, 680_3, 688_3	1751_5, 334_7	1357_10, 1358_9	1358_9	2737_12	2666_14	2108_18	 
Acinetobacter baumannii WC-A-694 (903925.3)	2276_3, 2391_1, 2834_1	113_5, 3279_7	2442_9, 2443_10	2442_9	193_12	266_14	1222_18	 
Acinetobacter baumannii WC-A-92 (903931.3)	1371_1, 617_1	2893_7, 3257_5	3501_9, 3502_10	3501_9	3188_12	2801_14	 	 
Acinetobacter baumannii WM99c (945555.3)	241_1, 444_1	1350_7, 2816_5	2369_10, 2370_9	2370_9	1998_12, 2624_13, 3468_12	1593_14	1188_18	 
Acinetobacter baumannii ZWS1122 (1223564.3)	1660_1, 1715_1, 97_2	248_5, 706_7	1187_10, 1188_9	1188_9	2961_12, 825_12	3033_14	3216_18	 
Acinetobacter baumannii ZWS1219 (1224141.3)	1569_1, 1624_1, 98_2	249_5, 636_7	1129_10, 1130_9	1130_9	2928_12, 756_12	3000_14	3182_18	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	2819_1, 2876_1	309_7, 684_5	3368_9, 3369_10	3368_9	170_12	89_14	1305_18	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	1594_1, 1644_1, 2982_3	2490_7, 2864_5, 923_5	2103_9, 2104_10	2103_9	85_12	157_14	3480_18	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	2317_1, 2373_1	1006_5, 1387_7, 2984_5	1779_10, 1780_9	1780_9	239_12	166_14	387_18	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	788_1, 843_1	3093_5, 3477_7	281_10, 282_9	282_9	 	2310_14	 	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	2621_3, 2842_1, 2894_1	1198_7, 237_5, 892_5	1861_10, 1862_9	1862_9	3414_12	3488_14	1086_18	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	3593_2, 3600_1, 585_1, 639_1	1609_5, 1743_5, 2683_7	1117_9, 1118_10	1117_9	3392_12	3321_14	2796_18	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	405_1, 461_1	1357_5, 1566_7	2273_9, 2274_10	2273_9	3556_12	3475_14	64_18	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	2027_1, 2084_1	2608_5, 3594_7, 781_5	1543_10, 1544_9	1544_9	 	3165_14	2189_18	 
Acinetobacter pittii ANC 3678 (1217673.3)	2260_1, 2323_1	102_5, 1759_5, 496_7	2772_9, 2773_10	2772_9	 	3533_14	957_18	 
Acinetobacter pittii ANC 4050 (1217691.3)	1246_1	2271_7, 2634_5	1903_9, 1904_10	1903_9	3454_12	3382_14	3206_18	 
Acinetobacter pittii ANC 4052 (1217689.3)	2212_1, 2267_1	1074_5, 1446_7	1828_10, 1829_9	1829_9	 	273_14	457_18	 
Acinetobacter pittii CIP 70.29 (1217672.3)	402_1, 455_1	1323_7, 1715_5, 2763_5	3428_10, 3429_9	3429_9	2048_12	1968_14	882_18	 
Acinetobacter pittii D499 (1086014.3)	2235_1, 2293_1	3204_7, 3607_5	2732_9, 2733_10	2732_9	751_12	662_14	476_18	 
Acinetobacter pittii TG6411 (1221309.3)	1205_1, 2571_1	2602_7, 2895_5, 947_5	440_9, 441_10	440_9	3097_12	3178_14	3536_18	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	473_1, 530_1	1100_5, 2476_5, 2845_7	1603_9, 1604_10	1603_9	3052_12	2980_14	2097_18	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	1827_3, 429_1	1922_5, 2324_7	766_9, 767_10	766_9	1067_12	1152_14	1394_18	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	1488_1, 308_3	2959_5, 53_7	3153_10, 3154_9	3154_9	2429_12	2459_15, 2497_14	556_18	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	1745_1, 3353_3, 3358_1	2_5, 3138_7	1344_10, 1345_9	1345_9	1013_12, 1689_13	931_14	389_18	 
Acinetobacter haemolyticus TG21157 (1221299.3)	2277_1	1309_7, 1431_5	 	 	1335_12	2241_14	3034_18	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	2097_1, 2270_1, 2834_1, 2839_3	784_7, 970_5	1576_9, 1577_10	1576_9	1727_12	1795_14, 1796_14, 2626_14	117_18	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	2076_1, 2254_1, 2896_1, 2898_3	592_5, 67_7	1189_9, 1190_10	1189_9	1347_12	1420_14, 1578_14	3113_18	 
Acinetobacter johnsonii SH046 (575586.4)	1225_1, 1389_1, 2776_3	1861_7, 951_5	494_9, 495_10	494_9	641_12	1009_14, 720_14	2432_18	 
Acinetobacter junii CIP 107470 (1217666.3)	1773_1	248_7, 3559_5	2390_9, 2391_10	2390_9	697_12	770_14	994_18	 
Acinetobacter junii CIP 64.5 (1217664.3)	1676_1, 3059_4, 3067_3	1009_7, 3_5	502_9, 503_10	502_9	2225_12	2294_14	2507_18	 
Acinetobacter junii NIPH 182 (1217665.3)	2086_1, 2741_3	2394_7, 2790_5	1280_10, 1281_9	1281_9	2668_12, 325_12	256_14	775_18	 
Acinetobacter junii SH205 (575587.3)	2866_3, 553_1	2253_5, 2655_7	1365_9, 1366_10	1365_9	1801_12	1184_14	2052_18	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	2206_3, 3116_1	2602_5, 70_7	1790_9, 1791_10	1790_9	1875_12	1320_14	3202_18	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	1828_1, 741_4, 745_1, 747_3	2040_7, 2245_5	220_9, 221_10	220_9	1673_12	282_14	839_18	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	1349_1, 2607_3	194_7, 977_5	1684_9, 1685_10	1684_9	1763_12	253_14	2919_18	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	808_1	1622_5, 3251_7	1181_9, 1182_10	1181_9	1262_12	2428_14	2538_18	 
Acinetobacter lwoffii SH145 (575588.3)	1455_1	1558_5, 2564_7	1063_10, 1064_9	1064_9	975_12	2623_14	2447_18	 
Acinetobacter lwoffii TG19636 (1221307.3)	2936_1	1176_7, 1256_5	1668_9, 1669_10	1668_9	986_12	3346_14	1873_18	 
Acinetobacter lwoffii WJ10621 (1046625.3)	1099_1, 931_1	1514_7, 380_5	1996_10, 1997_9	1997_9	1813_12	1772_14, 3004_14	2312_18	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	1700_1, 1938_3	329_7	204_9, 205_10	204_9	1159_12	1124_14	684_18	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	1523_3, 2776_1	1062_7	2325_10, 2326_9	2326_9	 	986_14	 	 
Acinetobacter radioresistens SH164 (575589.3)	1236_1, 2676_3	2188_7	1587_10, 1588_9	1588_9	 	763_14	 	 
Acinetobacter radioresistens SK82 (596318.3)	1085_1, 2428_3	2647_7	1039_10, 1040_9	1040_9	 	1491_14	 	 
Acinetobacter radioresistens TG02010 (1221310.3)	2823_3, 319_1	774_7	927_10, 928_9	928_9	1611_12	2460_14	1202_18	 
Acinetobacter radioresistens WC-A-157 (903900.3)	1364_1, 800_3	385_7	1897_10, 1898_9	1898_9	 	2160_14	2680_18	 
Moraxella catarrhalis 101P30B1 (857572.3)	1146_1	1000_5, 593_7	654_9, 655_10	 	656_13	1254_14	704_18	 
Moraxella catarrhalis 103P14B1 (857579.3)	1831_1	547_7, 734_5	486_10, 487_9	 	485_13	1694_14	1590_18	 
Moraxella catarrhalis 12P80B1 (857577.3)	391_1	1817_7, 57_5	1754_10, 1755_9	 	1753_13	1703_14	1223_18	 
Moraxella catarrhalis 46P47B1 (857578.3)	1900_1	1347_5, 756_7	696_10, 697_9	 	695_13	1729_14	1507_18	 
Moraxella catarrhalis 7169 (857581.3)	1544_1	1839_5, 460_7	396_10, 397_9	 	 	1443_14	348_18	 
Moraxella catarrhalis BC1 (857576.3)	351_1, 352_1	1820_5, 522_7	581_9, 582_10	 	 	1610_14	630_18	 
Moraxella catarrhalis BC7 (857575.3)	802_1	1371_7, 218_5	1432_9, 1433_10	 	1434_13	853_14	1480_18	 
Moraxella catarrhalis BC8 (857574.3)	887_1	1852_5, 292_7	356_9, 357_10	 	358_13	938_14	404_18	 
Moraxella catarrhalis CO72 (857573.3)	742_1	108_7, 1636_5	47_10, 48_9	 	46_13	639_14	1094_18	 
Moraxella catarrhalis O35E (857571.5)	1146_1	155_7, 1760_5	94_10, 95_9	 	93_13	1095_14	45_18	 
Moraxella catarrhalis RH4 (749219.3)	1173_1	159_7, 1821_5	98_10, 99_9	 	 	1123_14	 	 
Pseudomonas aeruginosa 152504 (983919.3)	4324_1	138_5, 2358_7, 2538_8, 3545_5	2588_10, 2589_9	2589_9	1643_12	185_14, 2781_14	 	 
Pseudomonas aeruginosa 18A (1286151.3)	2974_1, 4515_2	1186_8, 1467_5, 3894_5, 4549_5, 4673_7	3508_10, 3509_9	3509_9	201_12	111_14, 2121_14	 	 
Pseudomonas aeruginosa 19BR (1051003.3)	4309_1	3106_5, 417_8, 974_7	5016_9, 5017_10	1445, 5016_9	1829_12	1918_14, 4691_14	 	 
Pseudomonas aeruginosa 213BR (1051004.3)	4331_1	1012_7, 3128_5, 419_8	4987_9, 4988_10	1481, 4987_9	1867_12	1956_14, 4663_14	 	 
Pseudomonas aeruginosa 39016 (798130.4)	2459_1, 5429_2	1181_5, 4366_8, 5209_7, 5395_5	3212_9, 3213_10	3212_9	6135_12	2807_14, 6225_14	 	 
Pseudomonas aeruginosa 9BR (1051005.3)	4333_1	1049_7, 3128_5, 417_8	5078_9, 5079_10	1522, 5078_9	1907_12	1996_14, 4752_14	 	 
Pseudomonas aeruginosa AH16 (1208103.3)	1400_1, 5249_2	4376_5, 744_8, 846_7	3728_9, 3729_10	1470, 3728_9	2830_12	3402_14	 	 
Pseudomonas aeruginosa ATCC 14886 (1163392.3)	1343_1, 4405_2	2851_5, 443_8, 4439_5, 4566_7	4800_9, 4801_10	3899, 4800_9	3548_12	3459_14, 885_14	 	 
Pseudomonas aeruginosa B136-33 (1280938.3)	1154_1, 4051_2	2321_5, 4085_5, 411_8, 4223_7	4659_9, 4660_10	4659_9	 	3258_14, 828_14	 	 
Pseudomonas aeruginosa CI27 (1163396.3)	1220_1, 4733_1	2436_5, 399_8, 4248_5, 4439_7	4969_9, 4970_10	4969_9	3507_12	3382_14, 885_14	 	 
Pseudomonas aeruginosa DK2 (1093787.3)	1085_1, 4051_3	2255_5, 416_8, 4268_7	4695_9, 4696_10	4695_9	3431_12	3342_14	 	 
