Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Acinetobacter baumannii OIFC338 (903934.3)	1624_1, 1625, 1626_3, 1627_4	 	 	 	2623_17, 2624_19, 3198, 3199_17	 
Acinetobacter baumannii TCDC-AB0715 (980514.3)	2636_1, 2637, 2638_3, 2639_4	 	 	 	1684, 1685_17, 2314_17, 2315_19	 
Acinetobacter baumannii TYTH-1 (1100841.3)	2648_1, 2649, 2650_3, 2651_4	 	 	 	1848, 1849_17, 2416_17, 2417_19	 
Acinetobacter baumannii UMB001 (933263.3)	759_1, 760, 761_3, 762_4	 	 	 	3015, 3016_17, 3218_19, 3219_17	 
Acinetobacter baumannii UMB003 (933265.3)	379_4, 380_3, 381, 382_1	 	 	 	1626_17, 1627_19, 3789_19, 3790_17	 
Acinetobacter baumannii W7282 (981329.3)	2861_1, 2862, 2863_3, 2864_4	 	 	 	1419_19, 1420_17, 3036_17, 3037	 
Acinetobacter baumannii WC-136 (903916.3)	2847_4, 2848_3, 2849_2, 2850	 	 	 	3366_19, 3367_17	 
Acinetobacter baumannii WC-141 (903915.3)	2465_4, 2466_3, 2467_2, 2468_1	 	 	 	3025_17, 3026_19	 
Acinetobacter baumannii WC-323 (903918.3)	2876_1, 2877_2, 2878_3	 	 	 	2171_17, 2172_19	 
Acinetobacter baumannii WC-348 (903919.3)	2610_1, 2611, 2612_3, 2613_4	 	 	 	1434_17, 1435_19, 3557_17, 3558	 
Acinetobacter baumannii WC-487 (903917.3)	3160_1, 3161_2, 3162_3, 3163_4	 	 	 	1245_17, 1246_19, 3662_17, 3663_19	 
Acinetobacter baumannii WC-692 (903913.3)	1580, 1581, 1582_3, 1583_4	 	 	 	1803, 1804_17, 2430_19, 2431_17	 
Acinetobacter baumannii WC-A-694 (903925.3)	1844, 1845, 1846_3, 1847_4	 	 	 	1608_17, 1609_19, 2806_17, 2807	 
Acinetobacter baumannii WC-A-92 (903931.3)	1144_4, 1145_3, 1146, 1147_1	 	 	 	588_17, 589, 690_19, 691_17	 
Acinetobacter baumannii WM99c (945555.3)	1876_4, 1877_3, 1878, 1879_1	 	 	 	1891_19, 1892_17, 267, 268_17	 
Acinetobacter baumannii ZWS1122 (1223564.3)	2546_1, 2547, 2548_3, 2549_4	 	 	 	1686, 1687_17, 2199_17, 2200_19	 
Acinetobacter baumannii ZWS1219 (1224141.3)	2388_1, 2389, 2390_3, 2391_4	 	 	 	1595, 1596_17, 2171_17, 2172_19	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	1910_4, 1911_3, 1912_2, 1913_1	 	 	 	2174_19, 2175_17, 2848_17, 2849_19	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	747_4, 748_3, 750_2, 751_1	 	 	 	1013_19, 1014_17	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	3144_1, 3145_2, 3146_3, 3147_4	 	 	 	2344_19, 2345_17, 2896_17, 2897_19	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	1648, 1649, 1650_3, 1651_4	 	 	 	1400, 1401, 816, 817_17	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	719_4, 720_3, 721_2, 722_1	 	 	 	978_19, 979_17	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	1905_1, 1906_2, 1907_3, 1908_4	 	 	 	1655_17, 1656_19, 613_17, 614_19	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	2878_4, 2879_3, 2880_2, 2881_1	 	 	 	3146_19, 3147_17, 3304_19, 3305_17, 431_19, 432_17	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	612_4, 613_3, 614, 615	 	 	 	874_19, 875_17	 
Acinetobacter pittii ANC 3678 (1217673.3)	1594_4, 1595_3, 1596, 1597	 	 	 	1848_19, 1849_17	 
Acinetobacter pittii ANC 4050 (1217691.3)	456_4, 457_3, 458_2, 459_1	 	 	 	691_19, 692_17	 
Acinetobacter pittii ANC 4052 (1217689.3)	3168_1, 3169_2, 3171_3, 3172_4	 	 	 	2840_17, 2841_19	 
Acinetobacter pittii CIP 70.29 (1217672.3)	2602_4, 2603_3, 2604, 2605	 	 	 	2855_19, 2856_17	 
Acinetobacter pittii D499 (1086014.3)	1427_4, 1428_3, 1429, 1430	 	 	 	1676_19, 1677_17	 
Acinetobacter pittii TG6411 (1221309.3)	170, 171, 172_3, 173_4	 	 	 	3390_19, 3391_17	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	1247_1, 1248_2, 1279_3, 1280_4	 	 	 	1019_17, 1020_19, 501_19, 502_17	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	2903_4, 2904_3, 2905_2, 2906_1	 	 	 	2701_19, 2702_17, 318_17, 319_19	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	2044_4, 2045_3, 2046_2, 2047_1	 	 	 	1060_19, 1061_17, 1822_19, 1823_17	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	2412_1, 2413_2, 2414_3, 2415_4	 	 	 	1857_19, 1858_17	 
Acinetobacter haemolyticus TG21157 (1221299.3)	2493_1, 2494_2, 2495_3, 2496_4	 	 	 	1174_17, 1175_19, 148_19, 149_17	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	2060_1, 2061_2, 2062_3, 2063_4	 	 	 	1955_17, 1956_19	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	2296_4, 2297_3, 2298_2, 2299_1	 	 	 	2404_19, 2405_17	 
Acinetobacter johnsonii SH046 (575586.4)	1424_4, 1425_3, 1426_2, 1427_1	 	 	 	2071_19, 2072_17, 713_17, 714_19	 
Acinetobacter junii CIP 107470 (1217666.3)	1893_1, 1894_2, 1895_3, 1896_4	 	 	 	1592_17, 1593_19	 
Acinetobacter junii CIP 64.5 (1217664.3)	1789_1, 1790_2, 1791_3, 1792_4	 	 	 	1456_17, 1457_19	 
Acinetobacter junii NIPH 182 (1217665.3)	2196_1, 2197_2, 2198_3, 2199_4	 	 	 	1765_19, 1766_17	 
Acinetobacter junii SH205 (575587.3)	444_4, 445_3, 446_2, 447_1	 	 	 	264_19, 265_17, 778_19, 779_17	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	594_1, 595_2, 596_3, 597_4	 	 	 	2518_19, 2519_17, 2571_17, 2572_19	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	1050_1, 1051_2, 1052_3, 1053_4	 	 	 	1901_19, 2915_17, 2916_19	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	828_4, 829_3, 830_2, 831_1	 	 	 	891_19, 892_17	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	1830_1, 1831_2, 1832_3, 1833_4	 	 	 	1652_19, 1653_17, 1703_17, 1704_19	 
Acinetobacter lwoffii SH145 (575588.3)	638_1, 639_2, 640_3, 641_4	 	 	 	1586_19, 1587_17, 580_17, 581_19	 
Acinetobacter lwoffii TG19636 (1221307.3)	3180_4, 3181_3, 3182_2, 3183_1	 	 	 	2686_17, 2687_19	 
Acinetobacter lwoffii WJ10621 (1046625.3)	894_1, 895_2, 896_3, 897_4	 	 	 	790_17, 791_19	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	2205_1, 2206, 2207_3, 2208_4	 	 	 	1366_17, 1367_19, 2407_17, 2408_19	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	450, 451, 452_3, 453_4	 	 	 	226, 227_17, 2966, 2967	 
Acinetobacter radioresistens SH164 (575589.3)	241, 242, 243_3, 244_4	 	 	 	1421, 1422, 921, 922	 
Acinetobacter radioresistens SK82 (596318.3)	1384_4, 1385_3, 1386, 1387	 	 	 	1460_19, 1461_17, 953_17, 954_19	 
Acinetobacter radioresistens TG02010 (1221310.3)	2398_4, 2399_3, 2400, 2401_1	 	 	 	2150_19, 2151_17, 2593, 2594	 
Acinetobacter radioresistens WC-A-157 (903900.3)	72_4, 73_3, 74, 75_1	 	 	 	1556_19, 1557, 300_17, 301_19	 
Moraxella catarrhalis 101P30B1 (857572.3)	 	 	 	1378_16, 1379_15, 1380_14, 1381_13	343_19, 344	 
Moraxella catarrhalis 103P14B1 (857579.3)	 	 	 	1468_13, 1469_14, 1470_15, 1471_16	103_19, 104_17	 
Moraxella catarrhalis 12P80B1 (857577.3)	 	 	 	790_16, 791_15, 792_14, 793_13, 794_13	1337, 1338_19	 
Moraxella catarrhalis 46P47B1 (857578.3)	 	 	 	156_16, 157_15, 158_14, 159_13	458_19, 459	 
Moraxella catarrhalis 7169 (857581.3)	 	 	 	1688_16, 1689_15, 1690_14, 1691_13	848, 849_19	 
Moraxella catarrhalis BC1 (857576.3)	 	 	 	1059_13, 1060_14, 1061_15, 1062_16	1178_17, 1179_19	 
Moraxella catarrhalis BC7 (857575.3)	 	 	 	1518_16, 1519_14, 1520_13	523_19, 524	 
Moraxella catarrhalis BC8 (857574.3)	 	 	 	1649_16, 1650_15, 1651_14, 1652_13	1375, 1376_19	 
Moraxella catarrhalis CO72 (857573.3)	 	 	 	1874_16, 1875_15, 1876_14, 1877_13	960_17, 961_17, 962_19	 
Moraxella catarrhalis O35E (857571.5)	 	 	 	1288_16, 1289_15, 1290_14, 1291_13	550, 551_19	 
Moraxella catarrhalis RH4 (749219.3)	 	 	 	1318_16, 1319_15, 1320_14, 1321_13	547, 548	 
Pseudomonas aeruginosa 152504 (983919.3)	1119_4, 1120_3, 1121_2, 1122	3793_5, 3794_6, 3796_7	 	163_13, 4606_16, 4607_15, 4608_14, 4609_13, 6249_13, 6250_14, 6251_15, 6252_16	4114, 4115_17	 
Pseudomonas aeruginosa 18A (1286151.3)	5636_4, 5637_3, 5638_2, 5639	3424_7, 3426_6, 3427_5	 	2118_13, 3369_13, 3370_14, 3371_15, 3372_16, 3373_13, 3374_14, 3375_15, 3376_16	4393, 4394	 
Pseudomonas aeruginosa 19BR (1051003.3)	1373, 1374_2, 1375_3, 1376_4	113_5, 114_6, 116_7	 	1620_16, 1621_15, 1622_14, 1623_13, 1624_16, 1625_15, 1626_14, 1627_13, 4694_13	4428, 4429	 
Pseudomonas aeruginosa 213BR (1051004.3)	1410, 1411_2, 1412_3, 1413_4, 5136_2	115_5, 116_6, 118_7	 	1658_16, 1659_15, 1660_14, 1661_13, 1662_16, 1663_15, 1664_14, 1665_13, 4666_13	4449, 4450	 
Pseudomonas aeruginosa 39016 (798130.4)	5681_1, 5682_2, 5683_3, 5684_4	551_5, 552_6, 554_7	 	2810_13, 5920_16, 5921_15, 5922_14, 5923_13, 5924_16, 5925_15, 5926_14, 5927_13	2594, 2595_17	 
Pseudomonas aeruginosa 9BR (1051005.3)	1449, 1450_2, 1451_3, 1452_4	114_5, 115_6, 117_7	 	1697_16, 1698_15, 1699_14, 1700_13, 1701_16, 1702_15, 1703_14, 1704_13, 4755_13	4490, 4491	 
Pseudomonas aeruginosa AH16 (1208103.3)	4149_1, 4150_2, 4151_3, 4152_4	1898_7, 1900_6, 1901_5	 	3380_13, 4441_16, 4442_15, 4443_14, 4444_13, 4445_16, 4446_15, 4447_14, 4448_13	2225, 2226	 
Pseudomonas aeruginosa ATCC 14886 (1163392.3)	4168_4, 4169_3, 4170_2, 4171	17_5, 18_6, 20_7	 	3751_13, 3752_14, 3753_15, 3754_16, 3755_13, 3756_14, 3757_15, 861_13, 884_16	1176_17, 1177	 
Pseudomonas aeruginosa B136-33 (1280938.3)	3793_4, 3794_3, 3795_2, 3796	110_5, 111_6, 113_7	 	3236_13, 3554_13, 3555_14, 3556_15, 3557_16, 3558_13, 3559_14, 3560_15, 3561_16, 824_13	1030_17, 1031	 
Pseudomonas aeruginosa CI27 (1163396.3)	3960_4, 3961_3, 3962_2, 3963_1	75_5, 76_6, 78_7	 	3717_13, 3718_14, 3719_15, 3720_16, 3721_13, 3722_14, 3723_15, 3724_16, 882_13	1091_17, 1092	 
Pseudomonas aeruginosa DK2 (1093787.3)	3866_4, 3867_3, 3868_2, 3869	109_5, 110_6, 112_7	 	3320_13, 3636_13, 3637_14, 3638_15, 3639_16, 3640_13, 3641_14, 3642_15, 3643_16	968, 969	 
Pseudomonas aeruginosa DQ8 (1211113.3)	1764, 1765_2, 1766_3, 1767_4	185_5, 186_6, 188_7	 	2087_16, 2088_15, 2089_14, 2090_13, 2091_13, 2092_13, 3002_13, 4340_16, 4341_15, 4342_14, 4343_13, 4721_13	2632_17, 2633	 
Pseudomonas aeruginosa E2 (1163395.3)	3777_4, 3778_3, 3779_2, 3780	76_5, 77_6, 79_7	 	3454_13, 3455_14, 3456_15, 3457_16, 3458_13, 3459_14, 3460_16, 771_13	986, 987	 
Pseudomonas aeruginosa LCT-PA102 (1168061.3)	944_4, 945_3, 946_2, 947_1	3375_5, 3376_6, 3378_7	 	488_13, 848_14, 850_13, 851_14, 852_15, 853_16	4259, 4260	 
Pseudomonas aeruginosa LESB58 (557722.4)	3983_4, 3984_3, 3985_2, 3986	109_5, 110_6, 112_7	 	3888_13, 3889_14, 3890_15, 3891_16, 3892_13, 3893_14, 3894_15, 3895_16, 873_13	1088, 1089	 
Pseudomonas aeruginosa M18 (941193.4)	3725_4, 3726_3, 3727_2, 3728	111_5, 112_6, 114_7	 	3313_13, 3627_13, 3628_14, 3629_15, 3630_16, 3631_13, 3632_14, 3633_15, 3634_16, 834_13	1047_17, 1048	 
Pseudomonas aeruginosa MRW44.1 (1198629.3)	1431_4, 1432_3, 1433, 1434	4810_7, 4812_6, 4813_5	 	2271_16, 2272_15, 2273_14, 2274_13, 2275_16, 2276_15, 2277_14, 2278_13, 4406_13	1853_17, 1854	 
Pseudomonas aeruginosa MSH-10 (1331059.3)	3245_4, 3246_3, 3247_2, 3248	4470_7, 4472_6, 4473_5	 	154_13, 3002_13, 3003_14, 3004_15, 3005_16, 3006_13, 3007_14, 3008_15, 3009_16	369, 370	 
Pseudomonas aeruginosa NCGM2.S1 (1089456.3)	2181_1, 2182_2, 2183_3, 2184_4	111_5, 112_6, 114_7	 	2417_16, 2418_15, 2419_14, 2420_13, 2421_16, 2422_15, 2423_14, 2424_13, 5312_13	5099, 5100_17	 
Pseudomonas aeruginosa NCMG1179 (1078464.3)	1690, 1691_2, 1692_3, 1693_4	4702_7, 4704_6, 4705_5	 	126_13, 1932_16, 1933_15, 1934_14, 1935_13, 1936_16, 1937_15, 1938_14, 1939_13	338_17, 339	 
Pseudomonas aeruginosa PA14 (652611.13)	1219_1, 1220_2, 1221_3, 1222_4	5003_7, 5005_6, 5006_5	 	1458_16, 1459_15, 1460_14, 1461_13, 1462_16, 1463_15, 1464_14, 1465_13, 4258_13	4045, 4046_17	 
Pseudomonas aeruginosa PA21_ST175 (1285581.3)	1357, 1358_2, 1359_3, 1360_4	3330_5, 3331_6, 3333_7	 	1449_15, 1450_14, 1451_13, 1452_16, 1453_15, 1454_14, 1455_13, 1771_13, 5387_13	4586, 4587	 
Pseudomonas aeruginosa PA45 (1295076.3)	383, 384_2, 385_3, 386_4	5505_5, 5506_6, 5508_7	 	3458_13, 620_16, 621_15, 622_14, 623_13, 624_16, 625_15, 626_14, 627_13	3238, 3239	 
Pseudomonas aeruginosa PA7 (381754.6)	3894_4, 3895_3, 3896_2, 3897_1	158_5, 159_6, 161_7	 	3603_13, 3604_14, 3605_15, 3606_16, 3607_13, 3608_14, 3609_15, 3610_16, 908_13	1123_17, 1124, 2961_19, 2962_17	 
Pseudomonas aeruginosa PABL056 (1214916.3)	36, 37_2, 38_3, 39_4	6262_7, 6264_6, 6265_5	 	138_13, 2072_16, 2073_15, 2074_14, 2075_13, 2076_16, 2077_15, 2078_14, 2079_13	3585_17, 3586	 
Pseudomonas aeruginosa PACS2 (388272.4)	1875, 1876_2, 1877_3, 1878_4	109_5, 110_6, 112_7	 	2107_16, 2108_15, 2109_14, 2110_13, 2111_16, 2112_15, 2113_14, 2114_13, 4940_13	4726, 4727	 
Pseudomonas aeruginosa PADK2_CF510 (1134459.3)	37, 38_2, 39_3, 40_4	2830_7, 5306_5, 5307_6	 	3923_13, 4241_13, 4242_14, 4243_15, 4244_16, 4245_13, 4246_14, 4247_15, 4248_16, 5498_13	5710, 5711	 
Pseudomonas aeruginosa PAK (1009714.6)	2422_2, 4092_4, 4093_3, 4094_2, 4095	325_5, 326_6, 328_7	 	1052_13, 3838_13, 3839_14, 3840_15, 3841_16, 3842_13, 3843_14, 3844_15, 3845_16	1267, 1268	 
Pseudomonas aeruginosa PAO1 (208964.12)	1369, 1370, 1371_3, 1372_4	110_5, 111_6, 113_7	 	1605_16, 1606_15, 1607_14, 1608_13, 1609_16, 1610_15, 1611_14, 1612_13, 4330_13	4117, 4118	 
Pseudomonas aeruginosa MPAO1/P1 (1131757.3)	182, 183, 184_3, 185_4	5700_5, 5701_6, 5703_7	 	1506_13, 4125_13, 4126_14, 4127_15, 4128_16, 4983_13, 4984_14, 4985_15, 4986_16	4230, 4231	 
Pseudomonas aeruginosa PAO579 (1191475.3)	1372, 1373, 1374_3, 1375_4	111_5, 112_6, 114_7	 	1608_16, 1609_15, 1610_14, 1611_13, 1612_16, 1613_15, 1614_14, 1615_13, 4160_13	3946, 3947	 
Pseudomonas aeruginosa PGPR2 (1328315.3)	4101_4, 4102_3, 4103_2, 4104_2, 4105	118_5, 119_6, 121_7	 	3851_13, 3852_14, 3853_15, 3854_16, 3855_13, 3856_14, 3857_15, 3858_16	1035, 1036	 
Pseudomonas aeruginosa SJTD-1 (1193501.3)	3336, 3337_2, 3338_3, 3339_4	2796_5, 2797_6, 2799_7	 	3667_16, 3668_15, 3669_14, 3670_13, 3671_16, 3672_15, 3673_14, 3674_13, 705_13	489, 490	 
Pseudomonas aeruginosa UCBPP-PA14 (208963.12)	3878_4, 3879_3, 3880_2, 3881_1	110_5, 111_6, 113_7	 	3637_13, 3638_14, 3639_15, 3640_16, 3641_13, 3642_14, 3643_15, 3644_16, 854_13	1064_17, 1065	 
Pseudomonas aeruginosa XMG (1169413.3)	537_4, 538_3, 539_2, 540	3588_5, 3589_6, 3591_7	 	10_13, 2068_13, 4224_16, 4225_15, 4226_14, 4227_13, 4228_16, 4229_15, 4230_14, 4231_13	5522, 5523	 
Pseudomonas alcaliphila 34 (1248438.3)	3170_4, 3171_3, 3172_2, 3173_1	1771_5, 1772_6, 1774_7, 2302_6, 2302_6, 2303_5	 	2631_13, 2632_14, 2633_15, 2634_16, 2635_13, 2636_14, 2637_15, 2638_16	4328_17, 4329_19	 
Pseudomonas fluorescens F113 (1114970.3)	4934_4, 4935_3, 4936_2, 4937_1	89_7, 91_6, 92_5	 	4087_13, 4088_14, 4089_15, 4090_16, 4091_13, 4092_14, 4093_15, 4094_16	3163_17, 3164_19	 
Pseudomonas fluorescens LMG 5329 (1324332.3)	2930_4, 2931_3, 2932_2, 2933_1	5759_5, 5760_6, 5762_7	 	3734_16, 3735_15, 3736_14, 3737_13, 3738_16, 3739_15, 3740_14, 3741_13, 3808_14, 3809_13, 6121_13	3453_17, 3454_19	 
Pseudomonas fluorescens NCIMB 11764 (1221522.3)	4163_1, 4164_2, 4165_3, 4166_4	5665_5, 5666_6, 5668_7	 	1074_13, 1075_14, 1076_15, 1077_16, 1078_13, 1079_14, 1080_15, 1081_16	2587_17, 2588_19	 
Pseudomonas fluorescens Pf-5 (220664.5)	4841_4, 4842_3, 4843_2, 4844_1, 5153_4, 5154_3, 5155_2, 5156_1	64_5, 65_6, 67_7	 	1956_16, 1957_15, 1958_14, 1959_13, 1960_16, 1961_15, 1962_14, 1963_13, 2886_13	3822_17, 3823_19, 5476_19, 5477_17	 
Pseudomonas fluorescens Pf0-1 (205922.5)	4651_4, 4652_3, 4653, 4654_1	76_7, 78_6, 79_5	 	1853_16, 1854_15, 1855_14, 1856_13, 1858_16, 1859_15, 1860_14, 1861_13, 2545_13	3399, 3400, 4905, 4906	 
Pseudomonas fluorescens PfO-1 (205922.3)	4236_4, 4237_3, 4238, 4239	62_7, 64_6, 65_5	 	2023_16, 2024_15, 2025_14, 2026_13, 2027_16, 2028_15, 2029_14, 2030_13	3227, 3228, 5053, 5054	 
Pseudomonas fluorescens Q2-87 (1038922.3)	4646_4, 4647_3, 4648_2, 4649_1, 633_1, 634_2, 635_3, 636_4	5490_5, 5491_6, 5493_7	 	1863_16, 1864_15, 1865_14, 1866_13, 1868_16, 1869_15, 1870_14, 1871_13	 	 
Pseudomonas fluorescens Q8r1-96 (1038923.3)	4714_4, 4715_3, 4716_2, 4717_1	95_7, 97_6, 98_5	 	1778_16, 1779_15, 1780_14, 1781_13, 1783_16, 1784_15, 1785_14, 1786_13	2484_17, 2485_19, 4972_19, 4973_17	 
Pseudomonas fluorescens R124 (743713.3)	4421_4, 4422_3, 4423_2, 4424_1	77_7, 79_6, 80_5	 	1830_16, 1831_15, 1832_14, 1833_13, 1834_16, 1835_15, 1836_14, 1837_13, 2468_13	 	 
Pseudomonas fluorescens SBW25 (216595.4)	5269_4, 5270_3, 5271_2, 5272_1	301_5, 302_6, 304_7	 	2108_14, 2109_13, 3191_13, 4692_13, 4693_14, 4694_15, 4695_16, 4696_13, 4697_14, 4698_15, 4699_16	2115_17, 2116_19, 5469_19, 5470_17	 
Pseudomonas fluorescens SS101 (1038924.3)	2034_4, 2035_3, 2036_2, 2037_1, 4332_4, 4333_3, 4334_2, 4335_1	57_5, 58_6, 60_7	 	3755_13, 3756_14, 3757_15, 3758_16, 3760_13, 3761_14, 3762_15, 3763_16	 	 
Pseudomonas putida NB2011 (1330531.3)	3045_1, 3046_2, 3047_3, 3048_4	3380_7, 3382_6, 3383_5	 	2086_16, 2087_15, 2088_14, 2089_13, 2800_13, 2801_14, 2802_15, 2803_16	 	 
Pseudomonas putida B001 (1048261.3)	3469_4, 3470_3, 3471_2, 3472_1	2750_5, 2751_6, 2753_7	 	5350_16, 5351_15, 5352_14, 5353_13, 5354_16, 5355_15, 5356_14, 5357_13	 	 
Pseudomonas putida B6-2 (1081940.5)	831_1, 832_2, 833_3, 834_4	77_5, 78_6, 80_7	 	1609_16, 1610_15, 1611_14, 1612_13, 1614_16, 1615_15, 1616_14, 1617_13	4728_19, 4729_17	 
Pseudomonas putida BIRD-1 (931281.3)	863_1, 864_2, 865_3, 866_4	134_5, 135_6, 137_7	 	1615_16, 1616_15, 1617_14, 1618_13, 1619_13, 1621_16, 1622_15, 1623_14, 1624_13	4385_19, 4386_17	 
Pseudomonas putida DOT-T1E (1196325.3)	4541, 4542, 4543_3, 4544_4	4726_7, 4728_6, 4729_5	 	716_13, 717_14, 718_15, 719_16, 721_13, 722_14, 723_15, 724_16	828_19, 829_17	 
Pseudomonas putida F1 (351746.6)	838, 839_2, 840_3, 841_4	123_5, 124_6, 126_7	 	1637_16, 1638_15, 1639_14, 1640_13, 1641_16, 1642_15, 1643_14, 1644_13	4574_19, 4575_17	 
Pseudomonas putida GB-1 (76869.5)	854_1, 855_2, 856_3, 857_4	123_5, 124_6, 126_7	 	3821_13, 3822_14, 3823_15, 3824_16, 3825_13, 3826_14, 3827_15, 3828_16	3287_19, 3288_17, 4650_19, 4651_17	 
Pseudomonas putida H8234 (1331671.3)	800_1, 801_2, 802_3, 803_4	31_5, 32_6, 34_7	 	4557_13, 4558_14, 4559_15, 4560_16, 4562_13, 4563_14, 4564_15, 4565_16	 	 
Pseudomonas putida HB3267 (1215088.3)	908_1, 909_2, 910_3, 911_4	159_5, 160_6, 162_7	 	3639_13, 3640_14, 3641_15, 3642_16, 3643_13, 3644_14, 3645_15, 3646_16	 	 
Pseudomonas putida KT2440 (160488.4)	868_1, 869_2, 870_3, 871_4	105_5, 106_6, 108_7	 	4519_13, 4520_14, 4521_15, 4522_16, 4524_13, 4525_14, 4526_15, 4527_16	4958, 4959_17	 
Pseudomonas putida LS46 (1193146.3)	4357_4, 4358_3, 4359_2, 4360	2881_7, 2883_6, 2884_5	 	5188_16, 5189_15, 5190_14, 5191_13, 5192_16, 5193_15, 5194_14, 5195_13	2786_19, 2787_17	 
Pseudomonas putida ND6 (231023.4)	3198, 3199_2, 3200_3, 3201_4	2484_5, 2485_6, 2487_7	 	4004_16, 4005_15, 4006_14, 4007_13, 4009_16, 4010_15, 4011_14, 4012_13	1577_19, 1578_17, 310_19, 311_17	 
Pseudomonas putida S12 (1215087.3)	960, 961_2, 962_3, 963_4	746_5, 747_6, 749_7	 	1949_16, 1950_15, 1951_14, 1952_13, 2857_13, 2858_14, 2859_15, 2860_16	4035_19, 4036_17	 
Pseudomonas putida S16 (1042876.5)	873_1, 874_2, 875_3, 876_4	65_5, 66_6, 68_7	 	3717_13, 3718_14, 3719_15, 3720_16, 3721_13, 3722_14, 3723_15, 3724_16	 	 
Pseudomonas putida SJTE-1 (1193499.3)	3279, 3280_2, 3281_3, 3282_4	1278_5, 1279_6, 1281_7	 	4036_16, 4037_15, 4038_14, 4039_13, 4040_16, 4041_15, 4042_14, 4043_13	1975_19, 1976_17	 
Pseudomonas putida TRO1 (1227924.3)	3195_4, 3196_3, 3197_2, 3198	1148_7, 1150_6, 1151_5	 	3334_13, 3335_14, 3336_15, 3337_16, 4721_13, 4722_14, 4723_15, 4724_16	2541_17, 2542_19	 
Pseudomonas putida W619 (390235.5)	4393_4, 4394_3, 4395_2, 4396_1	125_5, 126_6, 128_7	 	3592_13, 3593_14, 3594_15, 3595_16, 3596_13, 3597_14, 3598_15, 3599_16	793_17, 794_19	 
Pseudomonas stutzeri A1501 (379731.5)	 	1863_6, 1863_6, 1864_5, 4152_5, 4153_6, 4155_7	 	1849_16, 1850_15, 1851_14, 1852_13, 1853_16, 1854_14, 1855_13	1284_17, 1285_19, 1818_17, 1819_19	 
Pseudomonas stutzeri ATCC 14405 = CCUG 16156 (32042.3)	 	3112_7, 3114_6, 3115_5, 3848_5, 3849_6	 	3699_16, 3700_13, 3765_16, 3766_15, 3857_13	2757_17, 2758_19	 
Pseudomonas stutzeri ATCC 17588 = LMG 11199 (96563.4)	 	1755_6, 1756_5, 4150_5, 4151_6, 4153_7	 	1741_16, 1742_15, 1743_14, 1744_13, 1745_16, 1746_14, 1747_13, 3510_13	1274_17, 1275_19, 1710_17, 1711_19	 
Pseudomonas stutzeri CCUG 29243 (1196835.3)	 	2330_5, 2331_6, 4290_5, 4291_6, 4293_7	 	2339_13, 2340_14, 2341_16, 2343_13, 2344_14, 2345_15, 2346_16, 762_13	1434_17, 1435_19	 
Pseudomonas stutzeri DSM 10701 (1123519.7)	 	1753_6, 1754_5, 81_5, 82_6, 84_7	 	2411_13, 2412_14, 2413_16, 2414_13, 2415_14, 2416_15, 2417_16, 641_13	 	 
Pseudomonas stutzeri DSM 4166 (996285.3)	 	1887_6, 1888_5, 4334_5, 4335_6, 4337_7	 	1872_16, 1873_15, 1874_14, 1875_13, 1876_16, 1877_14, 1878_13, 1879_13	1326_17, 1327_19, 1843_17, 1844_19	 
Pseudomonas stutzeri NF13 (1212548.4)	 	2860_6, 2861_5, 4036_5, 4037_6, 4039_7	 	2846_16, 2847_15, 2848_14, 2849_13, 2850_16, 2851_14, 2852_13, 301_13, 786_13	241_19, 242_17	 
Pseudomonas stutzeri RCH2 (644801.3)	 	2459_5, 2460_6, 4226_5, 4227_6, 4229_7	 	2468_13, 2469_14, 2470_16, 2471_13, 2472_14, 2473_15, 2474_16	2946_19, 2947_17	 
Pseudomonas stutzeri SDM-LAC (1109445.3)	 	1881_5, 1882_6_7, 1882_6_7, 2451_7, 2453_6, 2454_5, 289_5, 290_6_7, 290_6_7, 360_7, 361_6, 362_5	 	2161_13, 298_13, 299_14, 300_16, 301_13, 302_14, 303_15, 304_16	 	 
