Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Escherichia coli TW10722 (913090.3)	 	4580_2	1421_4	4581	4583	3371, 4579	4582	 	 	 
Escherichia coli TW10828 (913089.3)	 	2495_2	2624_4	2494	2492	2496, 2983	2493	 	 	 
Escherichia coli TW11039 (1005518.3)	 	1290_2	4769_4	1289	1287	1291, 2584	1288	 	 	 
Escherichia coli TW11681 (913088.3)	 	1109_2	4651_4	1110	1112	1108, 2183	1111	 	 	 
Escherichia coli TW14301 (1005526.3)	 	933_2	4085_4	932	930	2093, 934	931	 	 	 
Escherichia coli TW14425 (913087.3)	 	4174_2	1407_4	4173	4171	4175, 4863	4172	 	 	 
Escherichia coli TW15901 (1005562.3)	 	823_2	3738_4	822	820	1878, 824	821	 	 	4224
Escherichia coli TX1999 (670903.3)	 	773_2	3918_4	772	770	1614, 774	771	 	 	 
Escherichia coli ThroopD (1116001.3)	 	998_2	4275_4	997	995	1928, 999	996	 	 	 
Escherichia coli UM146 (869729.3)	 	2938_2	3658_4	2939	2941	1954, 2937	2940	 	 	 
Escherichia coli UMN026 (585056.7)	 	1114_2	4044_4	1113	1111	1115, 2065	1112	 	 	4521
Escherichia coli UMNF18 (1050617.5)	 	812_2	4246_4	811	809	2008, 813	810	 	 	 
Escherichia coli UMNK88 (696406.3)	 	790_2	4096_4	789	787	2018, 791	788	 	 	 
Escherichia coli UTI89 (364106.8)	 	862_2	3829_4	861	859	1826, 863	860	 	 	 
Escherichia coli W (566546.4)	 	826_2	3626_4	825	823	1745, 827	824	 	 	 
Escherichia coli W26 (1090926.6)	 	3407_2	1230_4	3406	3404	3408, 4348	3405	 	 	 
Escherichia coli XH001 (1069495.4)	 	445_2	2421_4	444	442	15, 446	443	 	 	 
Escherichia coli XH140A (1068608.3)	 	1772_2	1878_4	1771	1769	1773, 3851	1770	 	 	 
Escherichia coli Xuzhou21 (741093.3)	 	874_2	4297_4	873	871	2273, 875	872	 	 	 
Escherichia coli chi7122 (475609.3)	 	820_2	3595_4	819	817	1687, 821	818	 	 	 
Escherichia coli cloneA_i1 (993513.3)	 	741_2	3601_4	740	738	1548, 742	739	 	 	 
Escherichia coli p0305293.1 (1116089.3)	 	993_2	4193_4	992	990	2030, 994	991	 	 	 
Escherichia coli p0305293.10 (1116098.3)	 	1207_2	4018_4	1206	1204	1208, 2144	1205	 	 	 
Escherichia coli p0305293.11 (1116099.3)	 	1115_2	3942_4	1114	1112	1116, 1578	1113	 	 	 
Escherichia coli p0305293.12 (1116100.3)	 	1144_2	4083_4	1143	1141	1145, 2141	1142	 	 	 
Escherichia coli p0305293.14 (1125646.3)	 	1171_2	4120_4	1170	1168	1172, 2101	1169	 	 	 
Escherichia coli p0305293.15 (1116102.3)	 	764_2	3711_4	763	761	1718, 765	762	 	 	 
Escherichia coli p0305293.2 (1116090.3)	 	1138_2	4039_4	1137	1135	1139, 2110	1136	 	 	 
Escherichia coli p0305293.3 (1116091.3)	 	1184_2	4063_4	1183	1181	1185, 2135	1182	 	 	 
Escherichia coli p0305293.4 (1116092.3)	 	1201_2	4005_4	1200	1198	1202, 2110	1199	 	 	 
Escherichia coli p0305293.5 (1116093.3)	 	1224_2	4042_4	1223	1221	1225, 2198	1222	 	 	 
Escherichia coli p0305293.6 (1116094.3)	 	774_2	3475_4	773	771	1725, 775	772	 	 	 
Escherichia coli p0305293.7 (1116095.3)	 	1124_2	4019_4	1123	1121	1125, 2082	1122	 	 	 
Escherichia coli p0305293.8 (1116096.3)	 	1229_2	4104_4	1228	1226	1230, 2147	1227	 	 	 
Escherichia coli p0305293.9 (1116097.3)	 	763_2	3508_4	762	760	1672, 764	761	 	 	 
Escherichia coli str. 'clone D i14' (885275.3)	 	797_2	3702_4	796	794	1732, 798	795	 	 	 
Escherichia coli str. 'clone D i2' (885276.3)	 	797_2	3707_4	796	794	1735, 798	795	 	 	 
Escherichia fergusonii ATCC 35469 (585054.5)	 	2252_2	3261_4	2253	2255	1397, 2251	2254	 	 	3545
Escherichia fergusonii B253 (550694.3)	 	925_2	3590_4	924	922	1856, 926	923	 	 	4485
Escherichia fergusonii ECD227 (981367.3)	 	2359_2	3335_4	2360	2362	1422, 2358	2361	 	 	 
Escherichia hermannii NBRC 105704 (1115512.3)	 	3954_3	2528_5	3955	3957	2227, 3953	3956	 	 	 
Escherichia sp. 1_1_43 (457400.3)	 	 	1459_4	 	 	 	 	 	 	 
Escherichia sp. 3_2_53FAA (469598.5)	 	244_2	4187_4	245	247	1852, 243	246	 	 	 
Escherichia sp. 4_1_40B (457401.3)	 	1744_2	4292_4	1745	1747	1743, 469	1746	 	 	 
Hafnia alvei ATCC 51873 (1002364.3)	 	3916_3	1202_4	3917	3919	3915, 409	3918	 	 	 
Klebsiella oxytoca 10-5245 (883120.3)	 	1100_2	4644_4	1099	1097	1101, 2355	1098	 	 	 
Klebsiella oxytoca 10-5246 (883121.3)	 	1387_2	4564_4	1386	1384	1388, 2451	1385	 	 	 
Klebsiella oxytoca 10-5248 (883123.3)	 	4744_2	1376_4	4745	4747	3567, 4743	4746	 	 	 
Klebsiella oxytoca 11492-1 (1134455.3)	 	1696_3	420_4	1697	3159, 4272	1695, 2967	3158	 	 	 
Klebsiella oxytoca E718 (1191061.3)	 	1786_2	5483_4	1785	1554, 1783	1787	1784	 	 	 
Klebsiella pneumoniae 1162281 (1037908.3)	 	1483_2	127_4	1482	1042, 1480	1484, 3672	1481	 	 	 
Klebsiella pneumoniae 342 (507522.6)	 	1739_2, 3780_2	553_4	3781	3783	2942, 3779	3782	 	 	5219
Klebsiella pneumoniae 540_1460 (1304923.3)	 	3459_2	4656_4	3460	3462, 4108	3149, 3458	3461	 	 	 
Klebsiella pneumoniae 646_1568 (1304924.3)	 	4976_2	849_4	4975	1032, 4973	1089, 4977	4974	 	 	 
Klebsiella pneumoniae 700603 (1276653.3)	 	1232_2	723_4	1231	1005, 1229	1233, 4128	1230	 	 	 
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	 	4010_2	3374_4	4009	3797, 4007	4011, 4094	4008	 	 	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	 	1134_2	4275_4	1133	1131, 920	1135, 1841	1132	 	 	 
Klebsiella pneumoniae DMC0526 (1284796.3)	 	1317_2	3787_4	1318	1320, 2744	1316, 3098	1319	 	 	 
Klebsiella pneumoniae JH1 (1037890.3)	 	25_2	3929_4	24	22	26, 3990	23	 	 	 
Klebsiella pneumoniae KP-11 (1284834.3)	 	5159_2	4363_4	5160	4792, 5162	1191, 5158	5161	 	 	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	 	1532_2	4487_4	1531	1529	1533, 2268	1530	 	 	 
Klebsiella pneumoniae PR04 (1279040.3)	 	3654_2	4266_4	3653	3651	3655, 5082	3652	 	 	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	 	553_2	2090_4	554	2035, 556	1118, 552	555	 	 	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	 	1067_2	2421_4	1068	1070, 4340	1066, 868	1069	 	 	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	 	1418_2	3675_4	1419	1421, 4706	1222, 1417	1420	 	 	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	 	2665_2	714_4	2666	1471, 1515	2152, 2664	1514	 	 	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	 	1048_2	960_4	1047	11, 562	1049, 2072	563	 	 	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	 	1987_2	2062_4	1988	1726, 1990	1986, 2933	1989	 	 	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	 	4022_2	469_4	4023	4025, 4297	4021, 569	4024	 	 	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	 	5211_2	2361_4	5212	1876, 5214	1437, 5210	5213	 	 	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	 	3558_2	4972_4	3557	5156, 571	3559, 4122	572	 	 	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	 	2051_2	2327_4	2052	2054, 2930	2050, 3222	2053	 	 	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	 	672_2	2245_4	673	4253, 7	1563, 671	6	 	 	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	 	3127_2	1035_4	3128	1288, 3130	3126, 3162	3129	 	 	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	 	4140_2	228_4	4141	4143	3478, 4139	4142	 	 	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	 	4174_2	3620_4	4175	3440, 4177	3187, 4173	4176	 	 	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	 	2027_2	3525_4	2026	3082, 4653	2028, 2767	4654	 	 	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	 	2226_2	2020_4	2227	1853, 3082	1262, 2225	3081	 	 	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	 	5211_2	4327_4	5212	29, 5214	4508, 5210	5213	 	 	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	 	668_2	2049_4	667	1, 665	1838, 669	666	 	 	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	 	4573_2	4266_4	4574	4576, 804	148, 4572	4575	 	 	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	 	4567_2	869_4	4568	3449, 4570	3410, 4566	4569	 	 	 
Klebsiella pneumoniae hvKP1 (1267897.3)	 	4250_2	521_4	5086	5058	4249, 82	5057	 	 	 
Klebsiella pneumoniae MGH 78578 (272620.3)	 	815_2	3825_4	814	812	816	813	 	 	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	 	4541_2	2640_4	4542	4544, 782	3373, 4540	4543	 	 	 
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	 	1390_2	4502_4	1389	1387	1391, 2178	1388	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	 	3017_2	2038_4	3016	2964, 3014	3018, 4770	3015	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	 	3000_2	2012_4	3001	2278, 3003	2999, 4857	3002	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	 	417_2	1846_4	418	420, 631	416, 4542	419	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	 	1682_2	4253_4	1683	1685, 5367	1681, 4545	1684	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	 	1096_2	2071_4	1097	1099, 5312	1095, 4682	1098	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 (1128951.3)	 	430_2	2132_4	431	433, 644	429, 4730	432	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 (1128952.3)	 	3958_2	2279_4	3959	3961, 5416	2342, 3957	3960	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH19 (1128953.3)	 	3613_2	1105_4	3614	3616, 5446	5130	3615	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	 	415_2	1678_4	416	418, 629	414, 4741	417	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	 	422_2	2013_4	423	425, 638	4709	424	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	 	2940_2	3776_4	2941	2943, 5419	2939, 4429	2942	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	 	5154_2	1150_4	5153	5066, 5151	2911, 5155	5152	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	 	3841_2	1363_4	3840	3838, 5286	1216, 3842	3839	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	 	2457_2	1402_4	2456	2454, 5327	2458, 4250	2455	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	 	3200_2	1853_4	3201	3203, 5299	1394, 3199	3202	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	 	3246_2	2013_4	3245	3243, 5354	1484, 3247	3244	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	 	415_2	2334_4	416	418, 629	1869, 414	417	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	 	3677_2	560_4	3678	3680	2856, 3676	3679	 	 	 
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	 	827_2	3841_4	826	824	1602, 828	825	 	 	 
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	 	4773_2	1270_4	4774	4776, 5012	3788, 4772	4775	 	 	 
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	 	1411_2	4019_4	1412	1414	1410, 1681	1413	 	 	 
Klebsiella sp. 1_1_55 (469608.3)	 	1612_2, 1890_2	3820_4	1889	1887	1325, 1891	1888	 	 	4970
Morganella morganii SC01 (1239989.3)	 	506_2	1392_4	505	503	1281, 507	504	 	 	 
Morganella morganii subsp. morganii KT (1124991.3)	 	816_2	2853_4	815	813	3262, 817	814	 	 	 
Plesiomonas shigelloides 302-73 (1315976.3)	 	1933_3	1163_5	1934	1936	1932	1935	 	 	 
Proteus mirabilis ATCC 29906 (525369.4)	 	1377_2	3258_4	1376	1374	1378, 167	1375	 	 	2750
Proteus mirabilis C05028 (1245027.3)	 	2110_2	2678_4	2111	2113	2109, 928	2112	 	 	 
Proteus mirabilis HI4320 (529507.6)	 	589_2	2855_4	588	586	1241, 590	587	 	 	3447
Proteus mirabilis PR03 (1279010.3)	 	2830_2	730_4	2831	2833	2675, 2829	2832	 	 	 
Proteus mirabilis WGLW4 (1125693.3)	 	2581_2	362_4	2582	2584	1906, 2580	2583	 	 	 
Proteus mirabilis WGLW6 (1125694.3)	 	529_2	2644_4	528	526	1232, 530	527	 	 	 
Proteus penneri ATCC 35198 (471881.3)	 	4522_3	1528_4	4523	4526, 4527	3856, 4521	4524, 4525	 	 	2544
Providencia alcalifaciens DSM 30120 (520999.6)	 	2983_2	2488_4	2984	2986	2615, 2982	2985	 	 	1243
Providencia alcalifaciens Dmel2 (1141661.3)	 	1893_2	3212_4	1894	1896	1035, 1892	1895	 	 	3521
Providencia rettgeri DSM 1131 (521000.6)	 	2222_2, 3095_2	1349_4	3094	3092	1789, 3096	3093	 	 	2671
Providencia rettgeri Dmel1 (1141663.3)	 	1508_2	154_4	1507	1505	1509, 2374	1506	 	 	 
Providencia stuartii ATCC 25827 (471874.6)	 	827_2	2979_4	826	824	828	825	 	 	3347
Providencia stuartii MRSN 2154 (1157951.4)	 	3204	1847_4	3203	3201	3205	3202	 	 	 
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)	 	2053_2	3900_4	2054	2056	1415, 2052	2055	 	 	3504
Salmonella enterica subsp. enterica serovar Agona  str. 01.O.05 (1265673.3)	 	4321_2	709_4	4322	4324	1786, 4320	4323	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)	 	4751_2	115_4	4750	4748	3225, 4752	4749	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)	 	4197_2	816_4	4198	4200	3414, 4196	4199	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 04.O.05 (1265657.3)	 	4468_2	887_4	4469	4471	3062, 4467	4470	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 05.O.06 (1265678.3)	 	4218_2	4189_4	4219	4221	2625, 4217	4220	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 06.O.05 (1265642.3)	 	4220_2	711_4	4221	4223	1591, 4219	4222	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 07.O.05 (1265611.3)	 	4287_2	684_4	4288	4290	3187, 4286	4289	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 08.A.05 (1265637.3)	 	4219_2	1826_4	4220	4222	1198, 4218	4221	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 10.A.05 (1265679.3)	 	4108_2	1760_4	4109	4111	1097, 4107	4110	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 11.A.05 (1265643.3)	 	4423_2	1829_4	4424	4426	1064, 4422	4425	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 12.A.06 (1265612.3)	 	4517_2	1863_4	4518	4520	1199, 4516	4519	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 13.E.05 (1265638.3)	 	4505_2	1759_4	4506	4508	1276, 4504	4507	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 14.E.05 (1265659.3)	 	4369_2	1511_4	4370	4372	4368, 981	4371	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 15.H.03 (1265680.3)	 	4056_2	1106_4	4057	4059	4055, 595	4058	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 17.H.06 (1265613.3)	 	1501_2	1035_4	1500	1498	1502, 3663	1499	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 18.H.07 (1265644.3)	 	4479_2	1017_4	4480	4482	3654, 4478	4481	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 19.F.03 (1265668.3)	 	4100_2	513_4	4099	4097	3436, 4101	4098	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 20.H.06 (1265614.3)	 	4221_2	1694_4	4220	4218	4222, 913	4219	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 21.H.10 (1265650.3)	 	4126_2	829_4	4127	4129	4125, 693	4128	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 22.H.04 (1265618.3)	 	1751_2	1106_4	1750	1748	1752, 645	1749	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 23.F.01 (1265639.3)	 	3904_2	821_4	3905	3907	3903, 664	3906	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 24.H.04 (1265660.3)	 	2439_2	1292_4	2438	2436	1006, 2440	2437	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 26.F.98 (1265681.3)	 	4262_2	4028_4	4263	4265	2588, 4261	4264	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 27.O.98 (1265645.3)	 	4263_2	790_4	4264	4266	2826, 4262	4265	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 28.O.08 (1265615.3)	 	4194_2	563_4	4195	4197	2932, 4193	4196	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 29.O.08 (1265640.3)	 	1178_2	3986_4	1177	1175	1179, 3352	1176	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 30.H.04 (1265661.3)	 	4289_2	1989_4	4290	4292	1356, 4288	4291	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09 (1265682.3)	 	2121_2	1801_4	2120	2118	1158, 2122	2119	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 32.A.00 (1265646.3)	 	4001_2	4130_4	4000	3998	2645, 4002	3999	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 33.A.05 (1265616.3)	 	1058_2	688_4	1057	1055	1059, 466	1056	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 34.H.09 (1265641.3)	 	3591_2	1816_4	3592	3594	1192, 3590	3593	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 35.H.08 (1265669.3)	 	4489_2	1767_4	4488	4486	3578, 4490	4487	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 36.H.00 (1265617.3)	 	4388_2	1824_4	4389	4391	1196, 4387	4390	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 37.F.02 (1265651.3)	 	4319_2	689_4	4320	4322	4318, 459	4321	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 38.O.03 (1265621.3)	 	3742_2	1326_4	3743	3745	2422, 3741	3744	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 39.O.03 (1265647.3)	 	2889_2	4265_4	2890	2892	2888, 3403	2891	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 40.E.08 (1265622.3)	 	4610_2	2070_4	4611	4613	1190, 4609	4612	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 41.E.09 (1265652.3)	 	3822_2	2946_4	3823	3825	1769, 3821	3824	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 42.E.09 (1265648.3)	 	3456_2	2907_4	3457	3459	1724, 3455	3458	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 43.E.09 (1265670.3)	 	2272_2	1861_4	2271	2269	1193, 2273	2270	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 45.E.09 (1265653.3)	 	3427_2	3346_4	3426	3424	2279, 3428	3425	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 46.E.09 (1265623.3)	 	4076_2	3828_4	4077	4079	2708, 4075	4078	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 48.E.08 (1265675.3)	 	4454_2	1871_4	4455	4457	1205, 4453	4456	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 49.E.09 (1265625.3)	 	4506_2	943_4	4507	4509	4505, 8	4508	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 50.E.08 (1265662.3)	 	3551_2	13_4	3552	3554	3550, 3592	3553	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 51.E.09 (1265628.3)	 	4117_2	4135_4	4118	4120	2728, 4116	4119	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 52.F.08 (1265655.3)	 	4139_2	1968_4	4140	4142	1336, 4138	4141	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 53.F.08 (1265676.3)	 	4262_2	1609_4	4263	4265	4261, 984	4264	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 54.O.08 (1265626.3)	 	2218_2	1533_4	2217	2215	1049, 2219	2216	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 55.U.08 (1265663.3)	 	4361_2	1793_4	4362	4364	1128, 4360	4363	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 56.O.08 (1265629.3)	 	4322_2	1476_4	4323	4325	1122, 4321	4324	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 57.A.08 (1265656.3)	 	2850_2	1574_4	2851	2853	2849, 3876	2852	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 58.E.08 (1265677.3)	 	4467_2	1843_4	4468	4470	3916, 4466	4469	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 59.F.08 (1265631.3)	 	4339_2	1767_4	4340	4342	3636, 4338	4341	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 60.O.08 (1265664.3)	 	4221_2	1276_4	4222	4224	3665, 4220	4223	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 61.O.08 (1265630.3)	 	4606_2	1733_4	4607	4609	273, 4605	4608	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 62.H.72 (1265666.3)	 	3871_2	928_4	3872	3874	3327, 3870	3873	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 63.H.87 (1265619.3)	 	4123_2	1668_4	4124	4126	3354, 4122	4125	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 64.H.00 (1265632.3)	 	4313_2	1726_4	4314	4316	1168, 4312	4315	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 65.H.72 (1265671.3)	 	4477_2	1464_4	4478	4480	1445, 4476	4479	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 66.F.99 (1265634.3)	 	3954_2	4081_4	3955	3957	3953, 608	3956	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 67.H.09 (1265667.3)	 	4506_2	1721_4	4507	4509	1231, 4505	4508	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 68.U.05 (1265620.3)	 	3638_2	1289_4	3639	3641	3637, 649	3640	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 69.H.06 (1265633.3)	 	4124_2	889_4	4123	4121	3203, 4125	4122	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 70.E.05 (1265672.3)	 	3802_2	1615_4	3803	3805	1126, 3801	3804	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 71.E.05 (1265635.3)	 	4132_2	1784_4	4133	4135	1115, 4131	4134	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 72.A.52 (1265674.3)	 	3992_2	959_4	3993	3995	2710, 2711, 3991	3994	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 73.H.09 (1265627.3)	 	4294_2	1374_4	4295	4297	1158, 4293	4296	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH08SF124 (1262652.4)	 	105_2	3668_4	106	108	104, 1914	107	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH10GFN094 (1262654.4)	 	773_2	4441_4	772	770	3706, 774	771	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH11G1113 (1263410.4)	 	32_2	3919_4	33	35	2628, 31	34	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SL483 (454166.8)	 	827_2	3606_4	826	824	1643, 828	825	 	 	 
Salmonella enterica subsp. enterica serovar Anatum str. 06-0532 (1328326.3)	 	2849_2	2420_4	2848	2846	2850, 4092	2847	 	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 06-0784 (1212554.4)	 	3829_2	1670_4	3828	3826	3830, 877	3827	 	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 07-0873 (1328327.3)	 	821_2	2213_4	822	824	4055, 820	823	 	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. (321314.9)	 	1119_2	3994_4	1118	1116	1120, 1886	1117	 	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. A50 (904139.4)	 	892_2	2250_4	891	889	4023, 893	890	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. 3246 (909945.3)	 	866_2	3784_4	865	863	1815, 867	864	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853 (439851.8)	 	947_2	3819_4	946	944	1878, 948	945	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. HWS51 (687860.3)	 	2340_2	68_4	2338, 2339	2336	2341, 2976	2337	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. SL1438 (687915.3)	 	639_2	4496_4	640	642	1923, 638	641	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. UC16 (1192688.3)	 	2523_2	1776_4	2522	2520	2524, 4243	2521	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 (550537.3)	 	780_2	3547_4	779	777	1654, 781	778	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0128 (1182760.3)	 	4032_2	1097_4	4031	4029	4033, 568	4030	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0627 (1182761.3)	 	1620_2	1233_4	1621	1623	1619, 189	1622	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 13-1 (696866.4)	 	2959_2	1604_4	2958	2956	2960, 3844	2957	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 17927 (984212.3)	 	3_2	1610_4	2	4269	4, 644	1	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 18569 (696867.3)	 	2743_2	3739_4	2741, 2742	2739	2364, 2744	2740	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 20037 (696864.3)	 	3525_2	3785_4	3526	3528	3524, 614	3527	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237 (1179780.3)	 	2111_2	1859_4	2110	2108	2112, 776	2109	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0669 (1182757.3)	 	700_2	2764_4	701	703	699, 914	702	 	 	 
