Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Escherichia coli p0305293.11 (1116099.3)	3065	995	414	894_4	2253	996_8	 	 	 
Escherichia coli p0305293.12 (1116100.3)	3140	1064	443	962_4	2295	1065_8	 	 	 
Escherichia coli p0305293.14 (1125646.3)	3211	1087	464	986_4	2257	1088_8	 	 	 
Escherichia coli p0305293.15 (1116102.3)	2750	669	104	606_4	1872	670_8	 	 	 
Escherichia coli p0305293.2 (1116090.3)	3109	1062	450	967_4	2264	1063_8	 	 	 
Escherichia coli p0305293.3 (1116091.3)	3128	1114	445	1018_4	2289	1115_8	 	 	 
Escherichia coli p0305293.4 (1116092.3)	3113	1115	498	1016_4	2263	1116_8	 	 	 
Escherichia coli p0305293.5 (1116093.3)	3180	1123	523	1024_4	2352	1124_8	 	 	 
Escherichia coli p0305293.6 (1116094.3)	2619	684	100	588_4	1831	685_8	 	 	 
Escherichia coli p0305293.7 (1116095.3)	3078	1037	421	936_4	2237	1038_8	 	 	 
Escherichia coli p0305293.8 (1116096.3)	3189	1153	423	1052_4	2302	1154_8	 	 	 
Escherichia coli p0305293.9 (1116097.3)	2636	695	100	598_4	1826	696_8	 	 	 
Escherichia coli str. 'clone D i14' (885275.3)	2769	768	115	678	1880	4414_8, 769_8	 	 	 
Escherichia coli str. 'clone D i2' (885276.3)	2772	768	115	678	1883	4419_8, 769_8	 	 	 
Escherichia fergusonii ATCC 35469 (585054.5)	487	2275	135	2384	1280	2274_8, 3979_8	 	 	 
Escherichia fergusonii B253 (550694.3)	2796	902	2903	789	1972	3391_8, 903_8	 	 	 
Escherichia fergusonii ECD227 (981367.3)	506	2382	173	2501	1305	2381_8, 4066_8	 	 	 
Escherichia hermannii NBRC 105704 (1115512.3)	3728	3982	2827	2314	82	3864_8, 3981_8	2376	 	 
Escherichia sp. 1_1_43 (457400.3)	 	 	189	 	 	 	 	 	 
Escherichia sp. 3_2_53FAA (469598.5)	3187	272	3894	364	2002	271_8, 3341_8	 	 	 
Escherichia sp. 4_1_40B (457401.3)	14	1771	3610	1869	318	1770_8	 	 	 
Hafnia alvei ATCC 51873 (1002364.3)	1996	4085	3070	4003	3130	4086_8	 	 	 
Klebsiella oxytoca 10-5245 (883120.3)	3435	1060	280	956_4	1665	1061_8, 5101_8	 	 	 
Klebsiella oxytoca 10-5246 (883121.3)	3708	1352	676	1284_4	1903	1353_8	 	 	 
Klebsiella oxytoca 10-5248 (883123.3)	2436	4784	117	4887_4	4205	1052_8, 4783_8	 	 	 
Klebsiella oxytoca 11492-1 (1134455.3)	4386	382	342	3482_4	2451	1792_8, 381_8	 	 	 
Klebsiella oxytoca E718 (1191061.3)	4412	1748	891	1651_4	2476	142_8, 1749_8	 	 	 
Klebsiella pneumoniae 1162281 (1037908.3)	4897	4712	3619	2739_4	3057	4713_8	 	 	 
Klebsiella pneumoniae 342 (507522.6)	1400	3824	4546	3898	3261	3823_8	 	 	 
Klebsiella pneumoniae 540_1460 (1304923.3)	2388	2916	5298	3674_4	858	2915_8	 	 	 
Klebsiella pneumoniae 646_1568 (1304924.3)	4630	1782	2285	1918_4	421	1783_8	 	 	 
Klebsiella pneumoniae 700603 (1276653.3)	474	1188	2703	1110_4	2232	1189_8	 	 	 
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	178	3970	2999	3895_4	142	3971_8	 	 	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	3303	1094	234	1019_4	1641	1095_8	 	 	 
Klebsiella pneumoniae DMC0526 (1284796.3)	977	4803	1999	2589_4	371	4804_8	 	 	 
Klebsiella pneumoniae JH1 (1037890.3)	1679	4342	4045	3347_4	3648	4343_8	 	 	 
Klebsiella pneumoniae KP-11 (1284834.3)	1532	1746	5205	416_4	3427	1747_8	 	 	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	3636	1490	812	1416_4	1972	1491_8	 	 	 
Klebsiella pneumoniae PR04 (1279040.3)	3545, 3546	4680	1105	2929_4	2126	4679_8	 	 	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	3873	3704	2571	4183_4	3215	3703_8	 	 	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	2559	4515	3659	2668_4	5227	4514_8	 	 	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	2088	2781	143	2175_4	2806	2780_8	 	 	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	1782	2734	812	4118_4	3180	2733_8	 	 	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	3786	2875	299	537_4	4089	2876_8	 	 	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	4730	3348	143	513_4	4251	3347_8	 	 	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	5178	317	3256	1871_4	2256	316_8	 	 	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	3593	3349	4757	1804_4	4502	3348_8	 	 	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	994	4008	111	4142_4	4818	4009_8	 	 	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	732	2452	4650	4626_4	4224	2453_8	 	 	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	1354	2045	3056	4671_4	4009	2046_8	 	 	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	5473	289	1318	5268_4	2067	288_8	 	 	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	2583	944	2605	2897_4	4704	945_8	 	 	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	1487	2854	4695	2592_4	3538	2853_8	 	 	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	3368	1461	5094	147_4	3287	1462_8	 	 	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	4501	1977	4360	505_4	4053	1976_8	 	 	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	5281	3728	3355	300_4	3119	3727_8	 	 	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	197	4197	3134	2322_4	872	4198_8	 	 	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	3810	2108	1743	3835_4	1203	2107_8	 	 	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	2513	3651	234	2626_4	280	3652_8	 	 	 
Klebsiella pneumoniae hvKP1 (1267897.3)	4149	4529	1821	2614_4	200	4530_8	 	 	 
Klebsiella pneumoniae MGH 78578 (272620.3)	2907	763	112	692	1247	764_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	3516	1819	4889	884_4	129	1820_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	3611	1346	614	1273_4	1882	1347_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	4095	2977	1773	2865_4	3820	2978_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	4290	3040	1237	2379_4	3875	3039_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	3927	457	926	532_4	3651	456_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	4111	1722	2212	1797_4	3783	1721_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	4122	1136	1333	1213_4	3992	1135_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 (1128951.3)	4329	470	1835	545_4	4100	469_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 (1128952.3)	4208	1898	1285	1824_4	3712	1899_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH19 (1128953.3)	3166	800	1398	877_4	2988	799_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	4145	455	2741	530_4	3876	454_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	4148	462	1494	538_4	3967	461_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	4182	2980	5138	1034_4	3642	2979_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH23 (1168064.3)	1450	1725	4072	1381_4	2785	4498_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH4 (1087443.3)	3658	4658	1783	1494_4	3335	4659_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH5 (1087444.3)	3503	2417	1073	4350_4	3276	2418_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH6 (1087445.3)	3938	3240	1163	2049_4	3758	3239_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 (1094167.3)	4116	3206	2588	2342_4	3938	3207_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH9 (1094169.3)	4393	455	1639	530_4	4164	454_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae KpQ3 (1226115.3)	1481	3717	4447	3792_4	3204	3716_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	2919	774	114	698	1260	775_8	 	 	 
Klebsiella pneumoniae subsp. pneumoniae ST258-490 (1212766.3)	286	4926	1995	2762_4	1747	4925_8	 	 	 
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884 (667127.3)	2339	810	4621	886	727	809_8	 	 	 
Klebsiella sp. 1_1_55 (469608.3)	12	1846	4361	1771	4731	1847_8	 	 	 
Morganella morganii SC01 (1239989.3)	 	 	 	3150_4	828	487_8	252	 	 
Morganella morganii subsp. morganii KT (1124991.3)	 	 	 	732_4	1945	796_8	1158	 	 
Plesiomonas shigelloides 302-73 (1315976.3)	2650	56	956	2531_4	751	2089_8	 	 	 
Proteus mirabilis ATCC 29906 (525369.4)	 	 	 	2690	800	1360_8	1845	 	 
Proteus mirabilis C05028 (1245027.3)	 	 	 	3336_4	338	2132_8	1569	 	 
Proteus mirabilis HI4320 (529507.6)	 	 	 	418	1823	571_8	164	 	 
Proteus mirabilis PR03 (1279010.3)	 	 	 	1789_4	549	2849_8	2965	 	 
Proteus mirabilis WGLW4 (1125693.3)	 	 	 	2674_4	1267	2602_8	3011	 	 
Proteus mirabilis WGLW6 (1125694.3)	 	 	 	364_4	1798	510_8	103	 	 
Proteus penneri ATCC 35198 (471881.3)	 	 	 	4648	487, 488	4555_8, 4556_8	1969	 	 
Providencia alcalifaciens DSM 30120 (520999.6)	1565	3003	3552	3705	1536	3002_8	 	 	 
Providencia alcalifaciens Dmel2 (1141661.3)	401	1913	251	1981_4	430	1912_8	 	 	 
Providencia rettgeri DSM 1131 (521000.6)	740	3164	411	2818	647	3165_8	 	 	 
Providencia rettgeri Dmel1 (1141663.3)	3095	1474	3219	1404_4	3060	1475_8	 	 	 
Providencia stuartii ATCC 25827 (471874.6)	2403	808	2501	725	2380	809_8	 	 	 
Providencia stuartii MRSN 2154 (1157951.4)	629	3185	744	3095	605	3186_8	 	 	 
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- (41514.7)	261	2100	2717	2196	1591	2099_8, 3547_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona  str. 01.O.05 (1265673.3)	1002	4071	428	578_4	2722	3830_8, 4072_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 02.O.05 (1265665.3)	3110	4775	1762	1997_4	408	1387_8, 4776_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 03.O.05 (1265636.3)	3861	4281	447	595_4	2712	4282_8, 700_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 04.O.05 (1265657.3)	4579	4253	432	578_4	2437	1039_8, 4254_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 05.O.06 (1265678.3)	4456	3884	454	602_4	3786	2734_8, 3885_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 06.O.05 (1265642.3)	3871	4305	430	580_4	2495	3992_8, 4306_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 07.O.05 (1265611.3)	933	4371	444	4513_4	2838	4055_8, 4372_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 08.A.05 (1265637.3)	2181	287	1174	620_4	3097	288_8, 3967_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 10.A.05 (1265679.3)	2829	4084	1073	647_4	2982	3846_8, 4083_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 11.A.05 (1265643.3)	2061	712	1040	910_4	2267	4241_8, 713_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 12.A.06 (1265612.3)	2058	4483	1175	621_4	3341	4134_8, 4484_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 13.E.05 (1265638.3)	2109	360	1252	697_4	3436	361_8, 4341_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 14.E.05 (1265659.3)	2394	287	941	381_4	3410	288_8, 4230_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 15.H.03 (1265680.3)	4604	4160	421	943_4	2584	3890_8, 4161_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 17.H.06 (1265613.3)	4007	4327	498	725_4	2924	4129_8, 4328_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 18.H.07 (1265644.3)	1458	4389	521	745_4	3135	3912_8, 4390_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 19.F.03 (1265668.3)	870	4124	235	1781_4	2625	3830_8, 4125_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 20.H.06 (1265614.3)	3918	4198	889	457_4	1095	4058_8, 4199_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 21.H.10 (1265650.3)	4683	4155	523	2117_4	2908	3774_8, 4156_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 22.H.04 (1265618.3)	3874	1444	475	976_4	3043	1443_8, 4158_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 23.F.01 (1265639.3)	4597	3933	426	2114_4	2622	3653_8, 3934_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 24.H.04 (1265660.3)	1504	4424	474	519_4	2996	4003_8, 4425_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 26.F.98 (1265681.3)	183	3061	2970	1607_4	654	2795_8, 3060_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 27.O.98 (1265645.3)	3280	3958	293	667_4	1871	3522_8, 3959_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 28.O.08 (1265615.3)	4531	3945	293	440_4	1978	3562_8, 3946_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 29.O.08 (1265640.3)	4579	973	2143	2066_4	440	4045_8, 972_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 30.H.04 (1265661.3)	2376	1002	1333	1201_4	3558	1003_8, 4137_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09 (1265682.3)	2043	1814	1134	708_4	2946	1815_8, 4214_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 32.A.00 (1265646.3)	684	3739	184	3934_4	1757	3209_8, 3740_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 33.A.05 (1265616.3)	3700	3952	442	1992_4	2458	3163_8, 3953_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 34.H.09 (1265641.3)	2116	256	1168	620_4	2892	257_8, 3783_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 35.H.08 (1265669.3)	2084	4513	648	1385_4	915	4262_8, 4514_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 36.H.00 (1265617.3)	3113	281	1172	746_4	3282	282_8, 4121_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 37.F.02 (1265651.3)	959	4029	283	1625_4	2188	3723_8, 4030_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 38.O.03 (1265621.3)	897	3437	785	441_4	4232	3154_8, 3436_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 39.O.03 (1265647.3)	3839	3717	3180	316_4	1184	2643_8, 3716_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 40.E.08 (1265622.3)	3020	711	1151	1048_4	1369	4202_8, 712_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 41.E.09 (1265652.3)	4008	3552	2328	4413_4	1129	2860_8, 3553_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 42.E.09 (1265648.3)	3853	3281	887	4470_4	2609	2866_8, 3282_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 43.E.09 (1265670.3)	2192	4271	1169	612_4	3069	3927_8, 4272_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 45.E.09 (1265653.3)	4051	3844	2479	3123_4	1805	3266_8, 3845_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 46.E.09 (1265623.3)	3766	3867	2875	4011_4	1866	3362_8, 3868_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 48.E.08 (1265675.3)	2736	286	1181	623_4	3156	287_8, 4080_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 49.E.09 (1265625.3)	3225	4482	1546	901_4	1709	4197_8, 4481_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 50.E.08 (1265662.3)	4130	3712	2400	3184_4	948	1941_8, 3711_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 51.E.09 (1265628.3)	4467	3885	2832	4017_4	1934	3886_8, 750_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 52.F.08 (1265655.3)	1299	283	2579	620_4	3016	284_8, 3888_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 53.F.08 (1265676.3)	1805	284	2226	483_4	2834	285_8, 3852_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 54.O.08 (1265626.3)	1887	2513	3767	971_4	3029	2512_8, 3923_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 55.U.08 (1265663.3)	1987	287	3037	624_4	3235	288_8, 4055_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 56.O.08 (1265629.3)	1831	284	3847	618_4	2975	285_8, 4093_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 57.A.08 (1265656.3)	1092	4794	3065	2379_4	1885	131_8, 4795_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 58.E.08 (1265677.3)	2200	705	4057	1040_4	3241	4259_8, 706_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 59.F.08 (1265631.3)	1300	286	3772	620_4	2931	287_8, 3928_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 60.O.08 (1265664.3)	1493	1425	2821	728_4	572	1424_8, 3968_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 61.O.08 (1265630.3)	322	2301	2475	1008_4	3043	2302_8, 4396_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 62.H.72 (1265666.3)	3117	4666	3778	856_4	2615	1383_8, 4667_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 63.H.87 (1265619.3)	4391	4569	2387	1648_4	3044	4421_8, 4570_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 64.H.00 (1265632.3)	2071	683	1144	1016_4	2690	4024_8, 684_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 65.H.72 (1265671.3)	2526	874	649	818_4	2825	4384_8, 873_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 66.F.99 (1265634.3)	1831	3022	584	1874_4	4159	3021_8, 4627_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 67.H.09 (1265667.3)	2075	281	1207	649_4	3287	282_8, 4085_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 68.U.05 (1265620.3)	1682	4331	2500	980_4	2971	3962_8, 4332_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 69.H.06 (1265633.3)	2956	4504	1391	324_4	2527	3386_8, 4505_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 70.E.05 (1265672.3)	1971	320	1102	544_4	2960	321_8, 3968_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 71.E.05 (1265635.3)	3030	4083	2509	1025_4	3184	3939_8, 4084_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 72.A.52 (1265674.3)	2048	1309	3464	4437_4	4466	1156_8, 1308_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. 73.H.09 (1265627.3)	2158	3156	1134	680_4	3337	3155_8, 4059_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH08SF124 (1262652.4)	931	1394	336	3019	1733	1395_8, 652_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH10GFN094 (1262654.4)	2976	2725	2591	1631	3526	1005_8, 2724_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SH11G1113 (1263410.4)	1934	2879	3461	902	4050	2878_8, 402_8	 	 	 
Salmonella enterica subsp. enterica serovar Agona str. SL483 (454166.8)	2690	786	198	694	1824	4021_8, 787_8	 	 	 
Salmonella enterica subsp. enterica serovar Anatum str. 06-0532 (1328326.3)	1555	1884	1686	1986_4	3914	1883_8	 	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 06-0784 (1212554.4)	3943	3789	1229	1798	1059	3790_8	 	 	 
Salmonella enterica subsp. enterica serovar Bareilly str. 07-0873 (1328327.3)	3521	4389	2523	2976_4	903	4390_8	 	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. (321314.9)	3145	1077	390	984	1701	1078_8	 	 	 
Salmonella enterica subsp. enterica serovar Choleraesuis str. A50 (904139.4)	1393	852	160	755	3838	853_8	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. 3246 (909945.3)	2905	827	154	731	1998	828_8	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853 (439851.8)	2953	906	245	814	2061	907_8	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. HWS51 (687860.3)	3029	4448	4008	430_4	4728	4449_8	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. SL1438 (687915.3)	867	3373	4667	763_4	2105	3372_8	 	 	 
Salmonella enterica subsp. enterica serovar Dublin str. UC16 (1192688.3)	3809	4660	1954	1498_4	4367	4659_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109 (550537.3)	2732	738	154	646	1837	739_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0128 (1182760.3)	3365	4734	2846	1795	754	4733_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 08-0627 (1182761.3)	4377	551	3471	647	371	550_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 13-1 (696866.4)	991	3538	4243	57_4	4471	3539_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 17927 (984212.3)	3839	4282	720	1352	1402	4281_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 18569 (696867.3)	4082	4614, 4615	1045	30_4	836	4616_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 20037 (696864.3)	3553	702	689	4041_4	 	701_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237 (1179780.3)	3655	4601	3010	91	4007	4600_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0669 (1182757.3)	4292	1317	3353	1413	1099	1316_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-2599 (1182758.3)	4221	1190	3280	1283	808	1189_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 22510-1 (926037.3)	640	1959	2066	1751	2378	1960_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 (910413.3)	2111	1932	781	1376	2610	1931_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 50-3079 (1090945.3)	4008	4728	3869	3830	2291	4727_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 53-407 (1116477.3)	739	100	361	2872	1464	101_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 22-17 (984215.3)	4155	4255, 4256	3673	3482	914	4257_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 40-18 (984216.3)	1103	1310	3528	3937	2145	1309_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 543463 42-20 (984233.3)	3643	4176	4513	279	2306	4175_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 1-1 (984217.3)	1703	56	363	4337	948	57_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 561362 9-7 (984232.3)	2654	2294	550	2309	3354	2295_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 576709 (887063.3)	708	1924	3047	1370	2280	1923_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 58-6482 (1116476.3)	2917	4042	2154	4354	1285	4043_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-22 (910414.3)	166	983	2813	2354	1736	982_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 596866-70 (910415.3)	453	4238	682	4338	2346	4239_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2 (887070.3)	2914	71	2025	1304	2270	72_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-6 (891413.3)	1287	371	272	1332	2641	372_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-16 (887068.3)	243	1394, 1395	1521	2214	1635	1396_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-19 (887069.3)	4100	4766	2126	3490	2708	4767_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 607308-9 (891412.3)	878	1869	419	4335	2016	1870_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 62-1976 (1079476.3)	16	3003	1031	4351	1619	3004_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 622731-39 (887064.3)	629	4759	265	1239	1891	4760_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629163 (891414.3)	417	1963	2062	1755	4456	1962_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-26 (910416.3)	3892	3174	1910	3723	1034	3175_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 (910417.3)	57	3968	2200	1867	1285	3967_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58 (887067.3)	2836	4719	2153	4602	733	4718_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15 (938147.3)	3711	601	4529	805	2859	599_8, 600_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6 (887065.3)	503	4282	2209	4704	3774	4281_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46 (910418.3)	228	4714	2037	3514	2619	4715_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 (910419.3)	3012	4728	716	1524	3684	4729_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 640631 (887066.3)	1754	309	641	3415	1195	310_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 4-1 (984218.3)	145	3280	960	4623	661	3279_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 8-1 (984231.3)	2263	1180	1591	2344	2766	1181_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 642046 4-7 (984219.3)	975	76	1209	3599	1365	77_8	 	 	 
Salmonella enterica subsp. enterica serovar Enteritidis str. 648898 4-5 (984220.3)	2853	137	147	270	914	136_8	 	 	 
