Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Escherichia coli PA10 (1005494.3)	2738_18	 	916_32	4285_38, 5219_37	 	3346_41, 5423_41	3347_42, 3862_42	 
Escherichia coli PA14 (1005495.3)	2746_18	 	957_32	4221_38, 5143_37	 	3303_41, 5347_41	3304_42, 3800_42	 
Escherichia coli PA15 (1005496.3)	2850_18	 	1020_32	4346_38, 5278_37	 	214_41, 3421_41	3422_42, 3921_42	 
Escherichia coli PA2 (1005487.3)	1437_18	 	974_32	4172_38	 	138_41, 3248_41	3249_42, 3752_42	 
Escherichia coli PA22 (1005497.3)	2914_18	 	3098_32	4547_38, 5550_37	 	201_41, 3560_41	3561_42, 4092_42	 
Escherichia coli PA23 (1005498.3)	2692_18	 	783_32	4156_38, 5109_37	 	3218_41, 5316_41	3219_42, 3728_42	 
Escherichia coli PA24 (1005499.3)	2564_18	 	858_32	4011_38	 	3082_41, 5144_41	3083_42, 3576_42	 
Escherichia coli PA25 (1005500.3)	2466_18	 	713_32	3965_38	 	3038_41, 5115_41	3039_42, 3541_42	 
Escherichia coli PA28 (1005501.3)	2689_18	 	944_32	4183_38	 	131_41, 3257_41	3258_42, 3757_42	 
Escherichia coli PA3 (1005488.3)	2518_18	 	907_32	4127_38	 	3201_41, 92_41	3202_42, 3703_42	 
Escherichia coli PA31 (1005502.3)	2610_18	 	850_32	4079_38, 4995_37	 	3169_41, 5199_41	3170_42, 3658_42	 
Escherichia coli PA32 (1005503.3)	2736_18	 	923_32	4132_38, 5051_37	 	167_41, 3227_41	3228_42, 3713_42	 
Escherichia coli PA33 (1005504.3)	2679_18	 	862_32	4087_38, 5012_37	 	3178_41, 5213_41	3179_42, 3669_42	 
Escherichia coli PA34 (1005505.3)	2772_18	 	968_32	4295_38	 	132_41, 3349_41	3350_42, 3861_42	 
Escherichia coli PA38 (1005506.3)	2583_18	 	840_32	3953_38, 4888_37	 	3048_41, 5093_41	3049_42, 3531_42	 
Escherichia coli PA4 (1005489.3)	2844_18	 	966_32	4301_38, 5302_37	 	135_41, 3359_41	3360_42, 3869_42	 
Escherichia coli PA40 (1005508.3)	3115_18	 	1055_32	4583_38, 5550_37	 	208_41, 3639_41	3640_42, 4152_42	 
Escherichia coli PA41 (1005509.3)	2688_18	 	908_32	4165_38, 5096_37	 	3240_41, 5351_41	3241_42, 3739_42	 
Escherichia coli PA42 (1005510.3)	2926_18	 	1100_32	4364_38, 5300_37	 	285_41, 3438_41	3439_42, 3940_42	 
Escherichia coli PA45 (1005511.3)	2901_18	 	979_32	4364_38, 5319_37	 	148_41, 3421_41	3422_42, 3934_42	 
Escherichia coli PA47 (1005512.3)	2680_18	 	1011_32	4051_38	 	3202_41, 5220_41	3203_42, 4883_42	 
Escherichia coli PA48 (1005513.3)	2414_18	 	719_32	3801_38, 4708_37	 	2909_41, 4919_41	2910_42, 3417_42	 
Escherichia coli PA5 (1005490.3)	2675_18	 	832_32	4093_38, 5018_37	 	3172_41, 5220_41	3173_42, 3671_42	 
Escherichia coli PA7 (1005491.3)	3892_18	 	1711_32	5437_38, 658_37	 	4468_41, 871_41	4469_42, 4962_42	 
Escherichia coli PA8 (1005492.3)	1493_18	 	1165_32	4391_38	 	317_41, 3447_41	3448_42, 3990_42	 
Escherichia coli PA9 (1005493.3)	2759_18	 	944_32	4273_38	 	140_41, 3344_41	3345_42, 3848_42	 
Escherichia coli PCN033 (1001989.3)	1912_18	 	647_32	3278_38	4079_40	2313_41, 4395_41, 711_41	2314_42, 2817_42	 
Escherichia coli RN587/1 (670899.3)	3960_18	 	665_32	1686_37, 2579_38	1789_40	1445_41, 1959_41, 3514_41, 822_41	3037_42, 3513_42	 
Escherichia coli S17 (1227813.3)	1844_18	 	650_32	3189_38, 4020_37	 	2282_41, 4222_41	2283_42, 2743_42	 
Escherichia coli S88 (585035.6)	2110_18	 	783_32	3695_38, 4676_37	 	2613_41, 7_41	2614_42, 3158_42, 4182_42	 
Escherichia coli SCI-07 (1144302.3)	2019_18	 	738_32	1961_38, 3402_38, 4285_37	1966_40, 2899_39	2429_41, 4010_41, 45_41	2430_42, 2922_42, 3876_42	 
Escherichia coli SE11 (409438.11)	2453_18	 	947_32	3814_38	 	123_41, 2910_41	2911_42, 3375_42	2178_46
Escherichia coli SE15 (431946.3)	2004_18	 	725_32	3341_38	4133_40	2421_41, 7_41	2422_42, 2862_42, 3819_42, 540_44, 541_43	 
Escherichia coli SEPT362 (1196033.3)	2170_18	 	862_32	3585_38	 	148_41, 2579_41	2580_42, 3034_42, 4077_42, 4970_43, 4978_43, 4979_44	 
Escherichia coli SMS-3-5 (439855.10)	1188_18	 	945_32	3811_38	4669_40	1006_41, 179_41, 2768_41	2769_42, 3230_42	 
Escherichia coli STEC_7v (754082.3)	2364_18	 	913_32	3898_38, 4786_37	4678_40	2894_41, 31_41, 4539_41	2895_42, 3465_42	2186_46
Escherichia coli STEC_94C (754083.3)	2327_18	 	847_32	3948_38	3315_39, 4750_40	18_41, 2824_41	2825_42, 3341_42	 
Escherichia coli STEC_B2F1 (754084.3)	2135_18	 	648_32	3567_38	4342_40	2545_41, 4653_41	2546_42, 3025_42	1923_46
Escherichia coli STEC_C165-02 (754085.3)	2690_18	 	1251_32	4108_38	211_40	3120_41, 531_41	3121_42, 3622_42	 
Escherichia coli STEC_DG131-3 (754086.3)	3126_18	 	1431_32	299_37, 4530_38	5371_40	3606_41, 525_41	3607_42, 4078_42	 
Escherichia coli STEC_EH250 (754087.3)	2509_18	 	850_32	4012_38, 4990_37	 	2962_41, 74_41	2963_42, 3440_42	 
Escherichia coli STEC_H.1.8 (754088.3)	2592_18	 	799_32	4093_38, 5131_37	5001_40	3065_41, 5346_41	3066_42, 3597_42	2319_46, 2320_46
Escherichia coli STEC_MHI813 (754089.3)	2178_18	 	642_32	2132_38, 3674_38	2136_40	2683_41, 4817_41	2684_42, 3201_42	1955_46
Escherichia coli STEC_O31 (754081.3)	2299_18	 	763_32	3696_38	4567_40	2695_41, 4989_41	2696_42, 3182_42	2081_46
Escherichia coli STEC_S1191 (754090.3)	2795_18	 	1229_32	4303_38, 82_37	 	3217_41, 348_41	3218_42, 3793_42	 
Escherichia coli SWW33 (1235805.3)	1746_18	 	522_32	1688_38, 3527_38, 3737_37, 4301_38	1692_40, 3840_40	2202_41, 4182_41, 582_41	2203_42, 2747_42, 4479_42	 
Escherichia coli TA007 (656429.3)	1241_18	 	2124_32	3599_37, 4114_38	 	3149_41, 3308_41	2377_42, 2378_42, 3148_42, 4220_43, 4221_44, 5232_43	1452_46
Escherichia coli TA124 (656435.3)	1756_18	 	781_32	2845_38, 4265_37	 	1538_41, 2272_41	2271_42, 364_42	 
Escherichia coli TA143 (656437.3)	2293_18	 	845_32	3799_38	4603_40	2785_41, 55_41	2786_42, 3305_42	 
Escherichia coli TA206 (656440.3)	2013_18	 	615_32	1952_38, 1953_38, 3619_38, 4771_37	1958_40, 4675_40	2512_41, 5059_41	2513_42, 2985_42, 4157_42	 
Escherichia coli TA271 (656443.3)	2728_18	 	1032_32	4274_38	5076_40	131_41, 3208_41	3209_42, 3722_42	 
Escherichia coli TA280 (656444.3)	2999_18	 	1313_32	4645_38, 87_37	5549_40	327_41, 3451_41	3452_42, 4072_42	 
Escherichia coli TT12B (1005555.3)	2903_18	 	1108_32	4286_38, 5238_37	 	276_41, 3346_41	3347_42, 3857_42	 
Escherichia coli TW00353 (1005564.3)	2397_18	 	930_32	3840_38, 4738_37	 	2846_41, 4938_41	2847_42, 3324_42	 
Escherichia coli TW06591 (1005515.3)	2588_18	 	579_32	4044_38, 4982_37	 	3089_41, 5179_41	3090_42, 3615_42	 
Escherichia coli TW07793 (869693.5)	2402_18	 	3845_32	808_38	2718_40	1716_41, 3005_41	1717_42, 369_42	 
Escherichia coli TW07945 (1005516.3)	2614_18	 	906_32	4124_38	 	124_41, 3203_41	3204_42, 3702_42	 
Escherichia coli TW09098 (1005519.3)	2707_18	 	965_32	4193_38	 	164_41, 3279_41	3280_42, 3770_42	 
Escherichia coli TW09109 (1005520.3)	3158_18	 	2315_32	4705_38, 5638_37	 	224_41, 3645_41	3646_42, 4238_42	 
Escherichia coli TW10119 (1005522.3)	3185_18	 	1296_32	171_37, 4848_38	 	377_41, 3828_41	3829_42, 4416_42	 
Escherichia coli TW10246 (1005517.3)	3137_18	 	1123_32	277_37, 4688_38	 	3695_41, 484_41	3696_42, 4246_42	 
Escherichia coli TW10509 (656449.3)	1406_18	 	2835_32	4540_38	3977_40	3639_41, 934_41	371_42, 933_42	 
Escherichia coli TW10598 (913091.3)	3189_18	 	3336_32	229_38	 	3206_41, 994_41	3966_42, 993_42	4068_46
Escherichia coli TW10722 (913090.3)	2537_18	 	1226_32	1450_38, 920_37	4114_40	3834_41, 4434_41	3835_42, 749_42	194_46
Escherichia coli TW10828 (913089.3)	2298_18	 	2485_32	2594_38	1770_40	2089_41, 3201_41	2090_42, 3552_42	 
Escherichia coli TW11039 (1005518.3)	3165_18	 	1234_32	4741_38, 5610_37	 	370_41, 3734_41	3735_42, 4211_42	 
Escherichia coli TW11681 (913088.3)	2477_18	 	1120_32	1980_38	1850_40	2416_41, 2880_41	1748_42, 2881_42	 
Escherichia coli TW14301 (1005526.3)	2636_18	 	898_32	4056_38, 4994_37	 	3139_41, 5195_41	3140_42, 3635_42	 
Escherichia coli TW14425 (913087.3)	3882_18	 	50_32	1437_38, 2419_37	 	1133_41, 2278_41	1132_42, 3795_42	 
Escherichia coli TW15901 (1005562.3)	2347_18	 	779_32	3709_38, 4663_37	 	2758_41, 4862_41	2759_42, 3248_42	 
Escherichia coli TX1999 (670903.3)	2391_18	 	761_32	3889_38	 	2827_41, 5103_41	2828_42, 3361_42	 
Escherichia coli ThroopD (1116001.3)	2494_18	 	847_32	4246_38	 	1047_41, 127_41, 2929_41	2930_42, 3751_42	 
Escherichia coli UM146 (869729.3)	1414_18	 	2949_32	3628_38, 4554_37	 	4903_41, 936_41	393_42, 4144_42, 935_42	 
Escherichia coli UMN026 (585056.7)	2552_18	 	1052_32	4015_38	4787_40	192_41, 2959_41	2960_42, 3464_42	 
Escherichia coli UMNF18 (1050617.5)	2557_18	 	750_32	4217_38, 5059_37	 	3103_41, 7_41	3104_42, 3697_42	 
Escherichia coli UMNK88 (696406.3)	2536_18	 	779_32	4068_38	 	3006_41, 4683_41, 7_41	3007_42, 3564_42	2290_46
Escherichia coli UTI89 (364106.8)	2330_18	 	852_32	3802_38, 4671_37	 	138_41, 2794_41	2795_42, 3297_42, 4290_42	 
Escherichia coli W (566546.4)	2173_18	 	816_32	3594_38	4387_40	2655_41, 8_41	2656_42, 3155_42	 
Escherichia coli W26 (1090926.6)	2659_18	 	3396_32	1262_38	521_40	200_41, 2194_41	1711_42, 2193_42	 
Escherichia coli XH001 (1069495.4)	4050_18	 	434_32	1722_37, 2449_38	 	1127_41, 4469_41	1128_42, 2086_42	 
Escherichia coli XH140A (1068608.3)	3764_18	 	1761_32	1186_37, 1851_38	 	3219_41, 409_41	2187_42, 408_42	 
Escherichia coli Xuzhou21 (741093.3)	2805_18	 	819_32	4268_38, 5210_37	 	3316_41, 7_41	3317_42, 3833_42	 
Escherichia coli chi7122 (475609.3)	2119_18	 	777_32	3566_38, 4433_37, 4572_38	 	2608_41, 7_41	2609_42, 3094_42	 
Escherichia coli cloneA_i1 (993513.3)	2056_18	 	730_32	3573_38	 	2564_41, 8_41	2565_42, 3033_42, 4068_42	 
Escherichia coli p0305293.1 (1116089.3)	2527_18	 	923_32	4164_38, 5045_37	4939_40	181_41, 2956_41	2957_42, 3452_42	2309_46
Escherichia coli p0305293.10 (1116098.3)	2595_18	 	1146_32	3989_38, 4843_37	3482_39, 4737_40	3006_41, 414_41	3007_42, 3508_42	2452_46
Escherichia coli p0305293.11 (1116099.3)	2547_18	 	1012_32	3913_38, 4788_37	4681_40	2943_41, 317_41	2944_42, 3424_42	2372_46
Escherichia coli p0305293.12 (1116100.3)	2598_18	 	1082_32	4054_38, 4882_37	4776_40	3016_41, 342_41	3017_42, 3531_42	2417_46
Escherichia coli p0305293.14 (1125646.3)	2558_18	 	1104_32	4091_38, 4892_37	4786_40	3086_41, 364_41	3087_42, 3611_42	2381_46
Escherichia coli p0305293.15 (1116102.3)	2181_18	 	686_32	3682_38	4478_40	2627_41, 4_41	2628_42, 3143_42	1996_46
Escherichia coli p0305293.2 (1116090.3)	2578_18	 	1079_32	4010_38, 4848_37	4743_40	2987_41, 352_41	2988_42, 3503_42	2435_46
Escherichia coli p0305293.3 (1116091.3)	2593_18	 	1131_32	4034_38, 4872_37	189_40, 4766_40	3005_41, 343_41	3006_42, 3520_42	2408_46
Escherichia coli p0305293.4 (1116092.3)	2573_18	 	1132_32	3976_38, 4830_37	4724_40	2991_41, 398_41	2992_42, 3494_42	2490_46
Escherichia coli p0305293.5 (1116093.3)	2665_18	 	1140_32	4013_38, 4853_37	4748_40	3059_41, 425_41	3060_42, 3546_42	2474_46
Escherichia coli p0305293.6 (1116094.3)	2115_18	 	701_32	3446_38, 4278_37	4172_40	2498_41, 4_41	2499_42, 2971_42	1940_46
Escherichia coli p0305293.7 (1116095.3)	2543_18	 	1054_32	3990_38, 4863_37	4755_40	2957_41, 320_41	2958_42, 3475_42	2361_46
Escherichia coli p0305293.8 (1116096.3)	2608_18	 	1170_32	4075_38	4837_40	3067_41, 4688_41, 525_41	3068_42, 3589_42	2424_46
Escherichia coli p0305293.9 (1116097.3)	2122_18	 	712_32	3479_38, 4310_37	4202_40	2515_41, 4_41	2516_42, 2974_42	1948_46
Escherichia coli str. 'clone D i14' (885275.3)	2258_18	 	785_32	3671_38, 4582_37	4477_40	2666_41, 7_41	2667_42, 3104_42, 4166_42	 
Escherichia coli str. 'clone D i2' (885276.3)	2261_18	 	785_32	3676_38, 4587_37	4482_40	2669_41, 7_41	2670_42, 3107_42, 4171_42	 
Escherichia fergusonii ATCC 35469 (585054.5)	2031_18	 	2258_32	3232_38, 4086_37	2759_39, 4117_40, 426_40	425_41, 685_41, 7_41	2433_43, 2434_44, 2774_42, 684_42, 835_44, 836_43	1177_46
Escherichia fergusonii B253 (550694.3)	1200_18	 	919_32	3559_38	3253_40, 4136_40, 414_39	2645_41, 3029_41, 4137_41	2522_43, 2523_44, 2646_42, 399_42	2078_46
Escherichia fergusonii ECD227 (981367.3)	2038_18	 	2365_32	3307_38, 4173_37	2820_39, 4202_40, 456_40	3729_41, 455_41, 47_41, 674_41	2836_42, 673_42, 846_44, 847_43	1200_46
Escherichia hermannii NBRC 105704 (1115512.3)	1575_18	 	3965_32	2498_38	1366_39, 652_40	1233_41, 653_41, 842_41	1346_42, 2079_43, 2080_44, 843_42	319_46
Escherichia sp. 1_1_43 (457400.3)	 	 	 	1429_38, 483_37	 	85_41	1281_42	 
Escherichia sp. 3_2_53FAA (469598.5)	2610_18	 	255_32	3469_37, 4159_38	 	3085_41, 3787_41	1576_42, 3086_42, 4793_42	 
Escherichia sp. 4_1_40B (457401.3)	2470_18	 	1754_32	3847_37, 4320_38	 	3512_41, 938_41	2603_42, 937_42	 
Hafnia alvei ATCC 51873 (1002364.3)	338_18	 	639_31	1178_38	1067_39	1306_41, 146_41, 31_41	1057_42, 1312_42, 2198_43, 2199_44	640_46
Klebsiella oxytoca 10-5245 (883120.3)	2958_18	 	1079_32	3936_38, 4532_38	1570_40, 4009_39, 5337_40	147_41, 1571_41	1127_44, 1128_43, 1288_43, 1289_44, 1572_42, 3208_43, 3209_44, 3327_42, 4028_42, 879_44, 880_43	2790_46
Klebsiella oxytoca 10-5246 (883121.3)	3225_18	 	1368_32	4538_38	129_40, 1796_40, 4114_39	1797_41, 5045_41, 573_41	1209_44, 1210_43, 1537_43, 1538_44, 1798_42, 3446_43, 3447_44, 3575_42, 4122_42	2986_46
Klebsiella oxytoca 10-5248 (883123.3)	2956_18	 	4765_32	1497_38, 2026_38	1955_39, 4301_40, 722_40	262_41, 4300_41	1935_42, 2541_42, 2706_44, 2707_43, 4299_42, 4556_44, 4557_43, 4714_43, 4715_44, 4965_43, 4966_44	3126_46
Klebsiella oxytoca 11492-1 (1134455.3)	3749_18	 	5815_32	4878_38, 5543_38	2258_40, 5241_39, 589_40	3606_41, 590_41	1515_44, 1516_43, 1669_43, 1670_44, 2176_43, 2177_44, 4493_42, 5019_44, 5020_43	2015_46
Klebsiella oxytoca E718 (1191061.3)	3876_18	 	1766_32	4845_38, 5348_38	352_40	110_41, 111_41, 2325_41, 771_41	1574_44, 1575_43, 1812_44, 1813_43, 2002_43, 2003_44, 2326_42, 4184_43, 4185_44, 4305_42, 4941_42	 
Klebsiella pneumoniae 1162281 (1037908.3)	2167_18	 	266_32, 4729_32	102_38, 1827_38, 3814_38	1089_39, 3276_40	3275_41, 3523_41, 4795_41	1510_44, 1511_43, 2665_44, 2666_43, 4796_42	 
Klebsiella pneumoniae 342 (507522.6)	1813_18	 	3807_32	579_38	3447_40, 957_39	1506_41, 3446_41, 4662_41, 5289_41	1505_42, 23_42, 3445_42, 3751_43, 3752_44, 3970_43, 3971_44, 949_42	2044_46
Klebsiella pneumoniae 540_1460 (1304923.3)	3304_18	 	2898_32	2180_38, 4631_38, 915_38	5166_39	3065_41, 460_41, 784_41	3431_43, 3432_44, 3598_44, 3599_43, 461_42, 5175_42	 
Klebsiella pneumoniae 646_1568 (1304924.3)	1046_18	 	1800_32	2489_38, 3088_38, 874_38	3784_39	197_41, 1970_41, 2390_41	1843_44, 1844_43, 1971_42, 2973_44, 2974_43, 3793_42	 
Klebsiella pneumoniae 700603 (1276653.3)	218_18	 	1205_32	749_38	2921_40, 3540_39	2110_41, 2594_41, 2922_41, 573_41	1030_43, 1031_44, 1261_44, 1262_43, 3532_42, 4678_42, 572_42	1890_46
Klebsiella pneumoniae ATCC BAA-1705 (1276652.3)	1305_18	 	3988_32	3399_38, 3647_38, 3694_38	650_39	3105_41, 330_41, 4664_41	329_42, 3820_44, 3821_43, 4037_44, 4038_43, 659_42	 
Klebsiella pneumoniae ATCC BAA-2146 (1263871.3)	2823_18	 	1111_32	1985_38, 2033_38, 4250_38	3768_39	126_41, 3151_41, 4739_41	1161_44, 1162_43, 3152_42, 3777_42, 944_44, 945_43	 
Klebsiella pneumoniae DMC0526 (1284796.3)	437_18	 	4821_32	1725_38, 3812_38, 57_38	677_39	1055_41, 1149_41, 2107_41	1056_42, 1289_43, 1290_44, 5292_43, 5293_44, 685_42	 
Klebsiella pneumoniae JH1 (1037890.3)	3468_18	 	1952_32, 561_32	2125_38, 2152_38, 3954_38	13_39	1780_41, 2589_41, 3716_41	1779_42, 2768_42, 2769_42, 2770_42, 3420_43, 3421_44, 4317_43, 4318_44	 
Klebsiella pneumoniae KP-11 (1284834.3)	2068_18	 	1763_32	1305_37, 4388_38, 4770_38, 5361_38	3768_39, 5007_40	1428_41, 3859_41, 5008_41, 5315_41	1009_44, 1010_43, 1429_42, 3926_43, 3927_44	 
Klebsiella pneumoniae NTUH-K2044 (484021.4)	3235_18	 	1507_32	2406_38, 2441_38, 407_37, 4462_38	1862_40, 4064_39	1863_41, 3536_41, 717_41	1343_44, 1344_43, 1559_44, 1560_43, 1864_42, 3537_42, 4072_42	 
Klebsiella pneumoniae PR04 (1279040.3)	1274_18	 	4663_32	2219_37, 2344_38, 2372_38, 4291_38	2643_39	4555_41, 994_41	2635_42, 3682_44, 3683_43, 4179_44, 4180_43, 4556_42	 
Klebsiella pneumoniae UHKPC01 (1284811.3)	4454_18	 	3686_32	1175_38, 2115_38, 601_38	87_39	2678_41, 3974_41, 989_41	1992_44, 1993_43, 3973_42, 525_43, 526_44, 96_42	 
Klebsiella pneumoniae UHKPC04 (1284823.3)	5098_18	 	4497_32	2251_38, 2396_38, 2823_38	3173_39	155_41, 2321_41, 3766_41	1039_43, 1040_44, 2322_42, 2593_44, 2594_43, 3181_42	 
Klebsiella pneumoniae UHKPC05 (1284790.3)	698_18	 	2764_32	2979_38, 3700_38, 5196_38	1834_39	248_41, 5286_41, 860_41	1390_43, 1391_44, 1842_42, 2249_43, 2250_44, 5287_42	 
Klebsiella pneumoniae UHKPC09 (1284810.3)	871_18	 	2716_32	1014_38, 3692_38, 739_38	4956_39	1883_41, 2933_41, 3264_41	1882_42, 2637_43, 2638_44, 4192_43, 4193_44, 4964_42	 
Klebsiella pneumoniae UHKPC22 (1284820.3)	2591_18	 	2893_32	1688_38, 3191_38, 985_38	5138_39	1390_41, 408_41, 764_41	1075_44, 1076_43, 3909_44, 3910_43, 5146_42, 765_42	 
Klebsiella pneumoniae UHKPC23 (1284788.3)	4000_18	 	3330_32	2087_38, 2854_38, 3410_38	2394_39	250_41, 2529_41, 3014_41	1960_43, 1961_44, 2386_42, 2530_42, 587_43, 588_44	 
Klebsiella pneumoniae UHKPC26 (1284816.3)	3444_18	 	299_32	4079_38, 444_38, 5289_38	1576_39	1207_41, 2688_41, 656_41	1585_42, 1945_43, 1946_44, 2687_42, 3994_43, 3995_44	 
Klebsiella pneumoniae UHKPC27 (1284813.3)	4051_18	 	3331_32	2386_38, 3422_38, 5299_38	3946_39	3291_41, 3694_41, 4647_41	3693_42, 3826_43, 3827_44, 3938_42, 5183_43, 5184_44	 
Klebsiella pneumoniae UHKPC32 (1284822.3)	5177_18	 	4026_32	3946_38, 477_38, 4997_38	2297_39	2001_41, 219_41, 5422_41	2002_42, 2305_42, 3585_44, 3586_43, 4217_43, 4218_44	 
Klebsiella pneumoniae UHKPC40 (1284787.3)	2091_18	 	2470_32	1054_38, 1287_38, 2352_38	1674_39	1186_41, 1776_41, 4757_41	1683_42, 1777_42, 2023_43, 2024_44, 4550_44, 4551_43	 
Klebsiella pneumoniae UHKPC45 (1284819.3)	4439_18	 	2063_32	2220_38, 452_38, 5359_38	4932_39	2500_41, 3165_41, 3725_41	1969_43, 1970_44, 2501_42, 4940_42, 644_43, 645_44	 
Klebsiella pneumoniae UHKPC48 (1284801.3)	1476_18	 	271_32	1060_38, 1716_38, 868_38	4175_39	1426_41, 3213_41, 536_41	3099_43, 3100_44, 3214_42, 4183_42, 5343_43, 5344_44	 
Klebsiella pneumoniae UHKPC57 (1284817.3)	3078_18	 	961_32	253_38, 5301_38	42_39	1340_41, 1611_41, 2442_41, 3294_41	2443_42, 2743_44, 2744_43, 4487_43, 4488_44	 
Klebsiella pneumoniae UHKPC81 (1284812.3)	4671_18	 	1032_32	2710_38, 3595_38, 5000_38	2744_39	158_41, 4262_41, 4801_41	159_42, 375_43, 376_44, 4147_43, 4148_44	 
Klebsiella pneumoniae VAKPC254 (1284825.3)	1995_18	 	1479_32	3500_38, 4215_38, 865_38	3947_39	2569_41, 396_41, 5202_41	2054_44, 2055_43, 222_43, 223_44, 2570_42, 3955_42	 
Klebsiella pneumoniae VAKPC269 (1284826.3)	3538_18	 	1959_32	1351_38, 2045_38, 4617_38	3876_39	1814_41, 2324_41, 3305_41	2325_42, 3884_42, 4326_43, 4327_44, 579_43, 580_44	 
Klebsiella pneumoniae VAKPC270 (1284829.3)	1293_18	 	3710_32	1077_38, 3648_38, 4352_38	138_39	2436_41, 3462_41, 5046_41	130_42, 374_43, 375_44, 5047_42, 5184_43, 5185_44	 
Klebsiella pneumoniae VAKPC278 (1284827.3)	4835_18	 	4214_32	1932_38, 2074_38, 446_38	4286_39	2811_41, 3027_41, 3204_41	2396_43, 2397_44, 3203_42, 4278_42, 695_44, 696_43	 
Klebsiella pneumoniae VAKPC297 (1284831.3)	2525_18	 	2090_32	1476_38, 4291_38, 5417_38	1670_39	1851_41, 5277_41, 968_41	1678_42, 4545_43, 4546_44, 4618_43, 4619_44, 5278_42	 
Klebsiella pneumoniae VAKPC309 (1284832.3)	1863_18	 	3669_32	2422_38, 3114_38, 894_38	3525_39	1393_41, 2866_41, 3045_41	2700_43, 2701_44, 2867_42, 3517_42, 4539_43, 4540_44	 
Klebsiella pneumoniae hvKP1 (1267897.3)	3982_18	 	2868_32	2985_38, 3033_38, 3626_38, 841_37	4929_39	1897_41, 2573_41, 3304_41	1067_43, 1068_44, 2261_43, 2262_44, 2263_44, 3303_42	 
Klebsiella pneumoniae MGH 78578 (272620.3)	2504_18	 	791_32	1718_38, 1756_38, 3799_38, 4605_37	 	1143_41, 2804_41, 8_41	1144_42, 2805_42, 3362_42, 612_43, 613_44, 842_44, 843_43	 
Klebsiella pneumoniae subsp. pneumoniae 12-3578 (1306950.3)	2028_18	 	1836_32	2614_38	2179_39	2234_41, 3610_41, 4996_41	2170_42, 3073_43, 3074_44, 3609_42, 810_44, 811_43	3200_46
Klebsiella pneumoniae subsp. pneumoniae Ecl8 (1226680.3)	3154_18	 	1364_32	207_37, 2366_38, 4478_38	4085_39	1765_41, 3509_41, 4973_41, 506_41	1198_44, 1199_43, 1417_44, 1418_43, 1766_42, 3510_42, 4094_42	3010_46
Klebsiella pneumoniae subsp. pneumoniae KPNIH1 (1087440.3)	5273_18	 	2995_32, 4864_32	2013_38, 2802_38, 3653_38	3285_39	1882_41, 3569_41, 4154_41	2939_43, 2940_44, 3044_44, 3045_43, 3277_42, 4155_42	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH10 (1094170.3)	5409_18	 	3022_32, 3228_32	2038_38, 2874_38, 3755_38	1737_39	1346_41, 3670_41, 38_41	1729_42, 2302_44, 2303_43, 2972_43, 2973_44, 37_42	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH11 (1094171.3)	5348_18	 	3769_32, 439_32	1821_38, 2438_38, 3574_38	1723_39	1034_41, 299_41, 3399_41	1731_42, 300_42, 389_43, 390_44, 606_43, 607_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH12 (1128946.3)	2366_18	 	1704_32, 4046_32	2787_38, 3664_38, 4228_38	1536_39	1959_41, 2321_41, 3581_41	1544_42, 1654_43, 1655_44, 1960_42, 3541_43, 3542_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH16 (1128950.3)	5379_18	 	1118_32, 3153_32	2046_38, 2715_38, 3917_38	1950_39	1442_41, 300_41, 3742_41	1068_43, 1069_44, 1286_43, 1287_44, 1959_42, 301_42	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH17 (1128951.3)	13_18	 	3103_32, 452_32	2107_38, 2661_38, 3983_38	1921_39	1726_41, 312_41, 3965_41	1913_42, 313_42, 402_43, 403_44, 619_43, 620_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH18 (1128952.3)	15_18	 	1916_32, 3013_32	2305_38, 2646_38, 4141_38	1998_39	1392_41, 315_41, 3672_41	1749_44, 1750_43, 1990_42, 316_42, 3929_43, 3930_43, 3931_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH19 (1128953.3)	1566_18	 	2015_32, 781_32	1132_38, 2820_38, 3863_38	1743_39	1508_41, 2681_41, 2803_41	1735_42, 2682_42, 3583_43, 3584_43, 3585_44, 952_43, 953_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH2 (1087441.3)	5415_18	 	3083_32, 437_32	1652_38, 2506_38, 3848_38	1554_39	2633_41, 298_41, 3741_41	1563_42, 299_42, 387_43, 388_44, 604_43, 605_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH20 (1128954.3)	5455_18	 	3366_32, 444_32	1988_38, 3142_38, 3791_38	1803_39	1387_41, 302_41, 3774_41	1795_42, 303_42, 394_43, 395_44, 613_43, 614_44	 
Klebsiella pneumoniae subsp. pneumoniae KPNIH22 (1168063.3)	253_18	 	2690_32, 2962_32	2109_38, 3473_38, 3801_38	1681_39	3363_41, 4752_41, 5048_41, 646_41	1108_43, 1109_44, 1673_42, 2912_43, 2913_44, 4753_42	 
