Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757 (926036.3)	186, 4188	1864	1537	1536_4	798_7
Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625 (1079475.3)	1900, 422	2816	3789	3788_4	2417_7
Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1 (930769.3)	3265, 683	3846	4009	4008_4	1725_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895 (885384.3)	3297, 3837	1718	4025	4024_4	1134_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899 (885385.3)	245, 4100	4622	3455	3454_4	935_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0956 (886723.3)	2018, 3051	2251	2504	2505_4	3781_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968 (886715.3)	1479, 1604	213	3557	3558_4	878_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010 (885382.3)	1060, 366	4668	3868	3867_4	3038_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018 (885381.3)	4103, 491	2992	1529	1530_4	3869_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441 (882878.3)	118, 2139	4257	493	494_4	293_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1444 (886716.3)	1896, 498	3341	4191	4190_4	1032_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1445 (886717.3)	179, 3469	1727	306	307_4	3686_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1455 (886724.3)	136, 4102	1777	3033	3032_4	1432_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1457 (885386.3)	3550, 4099	338	1549	1548_4	3881_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543 (882877.3)	1406, 163	3057	3546	3547_4	3853_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558 (885380.3)	1588, 417	215	3500	3499_4	3722_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1559 (886718.3)	1692, 2800	770	832	833_4	2979_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1565 (886719.3)	1270, 828	3273	3692	3693_4	641_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566 (882875.3)	3835, 505	2650	3946	3947_4	1591_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1575 (886725.3)	1622, 311	1905	3076	3075_4	581_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580 (882876.3)	156, 3439	2883	312	313_4	3576_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594 (882874.3)	128, 3848	2451	3915	3916_4	2679_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1725 (886726.3)	184, 562	373	1528	1527_4	3533_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729 (885383.3)	1544, 541	1711	3828	3829_4	3391_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1745 (886727.3)	2021, 629	3361	674	675_4	3464_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1747 (885387.3)	399, 4142	1957	1615	1614_4	3896_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1791 (886728.3)	1694, 609	3527	4063	4062_4	3757_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1795 (886720.3)	3954, 661	4568	1957	1958_4	3068_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1808 (886721.3)	2885, 4009	1862	952	951_4	289_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810 (882879.3)	227, 3451	1966	3936	3937_4	3255_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1811 (886722.3)	1035, 4036	3779	146	147_4	1289_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882 (882872.3)	372, 4107	4626	1663	1664_4	883_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884 (882873.3)	1527, 3694	3066	260	261_4	823_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS4 (984213.3)	1578, 3112	392	3770	3771_4	4130_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44 (702979.3)	1068, 4668	720	4440	4441_4	3366_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_56-3991 (925128.3)	1739, 4011	2633	754	755_4	3865_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_69-4941 (930768.3)	211, 3803	4093	2535	2536_4	2783_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_76-3618 (925129.3)	1106, 3888	3102	2053	2054_4	2916_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_81-2490 (925131.3)	183, 4216	2318	3618	3617_4	1268_7
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_N202 (925127.3)	3335, 4050	4742	3007	3006_4	1684_7
Salmonella enterica subsp. enterica serovar Enteritidis str. LA5 (1147754.3)	1850, 2362	1968	1383	1382_4	2646_7
Salmonella enterica subsp. enterica serovar Enteritidis str. PT23 (696868.4)	2144, 4363	4456	519	520_4	1223_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SARB17 (1029984.3)	1787	4505	2784	2785_4	1607_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SE10 (696865.3)	1618, 3197	4756	3867	3868_4	418_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SE15-1 (925126.3)	4684, 738	3029	2902	2901_4	4541_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a (696870.3)	1348, 2058	4214	3996	3997_4	86_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SL909 (925132.3)	3096, 3903	907	3629	3628_4	145_7
Salmonella enterica subsp. enterica serovar Enteritidis str. SL913 (925133.3)	920, 998	1843	372	371_4	2659_7
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078 (1081093.3)	330, 3631	2111	3943	3942_4	4489_7
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 (550538.5)	2742, 3510	941	3950	3949_4	4508_7
Salmonella enterica subsp. enterica serovar Gallinarum str. 9 (909947.3)	2772, 3553	954	3988	3987_4	4545_7
Salmonella enterica subsp. enterica serovar Gallinarum str. 9184 (685040.3)	1828, 4359	1909	3062	3061_4	143_7
Salmonella enterica subsp. enterica serovar Hadar str. 2011K-0112 (1212559.4)	4581	2373	3304	3305_4	480_7
Salmonella enterica subsp. enterica serovar Hadar str. 2012K-0272 (1328328.3)	3607	1810	4237	4236_4	961_7
Salmonella enterica subsp. enterica serovar Hartford str. 06-0676 (1212557.4)	4239	1861	3308	3309_4	767_7
Salmonella enterica subsp. enterica serovar Hartford str. 2012K-0272 (1328329.3)	3347	1352	3714	3713_4	3101_7
Salmonella enterica subsp. enterica serovar Heidelberg str. 41563 (1124941.3)	2461	4958	3192	3193_4	672_7
Salmonella enterica subsp. enterica serovar Heidelberg str. 41565 (1128963.3)	4932	3543	283	284_4	3770_7
Salmonella enterica subsp. enterica serovar Heidelberg str. 41566 (1124942.3)	1033	843	2012	2013_4	4261_7
Salmonella enterica subsp. enterica serovar Heidelberg str. 41573 (1128959.3)	948	3815	4180	4181_4	4885_7
Salmonella enterica subsp. enterica serovar Heidelberg str. 41579 (1124937.3)	1881	712	1541	1540_4	3766_7
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 (1160717.4)	3380	1685	4516	4517_4	503_7
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00322 (1182164.3)	3287	628	1188	1189_4	3206_7, 3207_7
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00325 (1182167.3)	4746	374	699	698_4	3463_7
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00326 (1182168.3)	3595	2377	1503	1504_4	177_7
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00328 (1182170.3)	1928	2611	469	470_4	2746_7
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 (454169.8)	2716	1022	3831	3832_4	4539_7
Salmonella enterica subsp. enterica serovar Infantis str. SARB27 (596155.6)	2644	924	3813	3814_4	4528_7
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188 (439842.10)	2383	627	3489	3490_4	4186_7
Salmonella enterica subsp. enterica serovar Mbandaka str. 2009K-0807 (1235459.3)	4308	10	4335	4334_4	1128_7
Salmonella enterica subsp. enterica serovar Mississippi str. 2010K-1406 (1212561.4)	1418	1739	3820	3819_4	87_7
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	3392	3557	575	574_4	1943_7
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	2206	1265	2700	2699_4	3978_7
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	4538	2619	1077	1078_4	3084_7
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	791	1049	2878	2879_4	3325_7
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	1647	3501	371	370_4	2344_7
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	2386	2155	2974	2973_4	3962_7
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	2330	3544	2960	2961_4	1752_7
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	3723	1919	521	522_4	1196_7
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	2747	2372	3844	3843_4	1150_7
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	3965	2259	4373	4374_4	3633_7
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	872	2135	3380	3381_4	1725_7
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	1097	3739	2113	2114_4	2768_7
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	1556	3390	2736	2737_4	4056_7
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	1180	986	1756	1757_4	3683_7
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	1539	2787	2505	2506_4	3594_7
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	1444	99	3462	3461_4	1980_7
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	1238	3576	4250	4249_4	2187_7
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	2426	3265	1570	1569_4	239_7
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	4010	3568	62	63_4	542_7
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	4115	2726	3906	3905_4	1418_7
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	51	832	3178	3179_4	1802_7
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	923	2578	3506	3507_4	818_7
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	412	4638	453	454_4	773_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	1077	87	241	242_4	767_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	3930	3854	3568	3569_4	3233_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	572	14	2598	2599_4	1610_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	2889	388	241	1970_4	3215_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	445	509	268	267_4	4417_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	3336	3006	3954	3955_4	267_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	3498	1172	 	487_4	743_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	887	1454	351	350_4	2435_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	4218	574	1450	1449_4	1968_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	310	3319	1746	1747_4	2901_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	3527	3726	869	870_4	2918_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 21559 (789647.3)	1686	2469	2535	2536_4	2898_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 (796730.3)	528	876	3469	3470_4	3219_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 (796732.3)	4637	2914	1340	1341_4	2055_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 33953 (789645.3)	3412	144	4562	4563_4	1911_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 35185 (789642.3)	2257	3858	1659	1660_4	2738_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 (789646.3)	1533	1616	3978	3979_4	684_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 35199 (789643.3)	2771	1101	1143	1144_4	3421_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 35202 (796734.3)	299	3283	3716	3717_4	2482_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 37978 (858310.3)	2730	2477	2402	2401_4	980_7
Salmonella enterica subsp. enterica serovar Newport str. CVM 4176 (859197.3)	1879	3234	2101	2100_4	348_7
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 (858307.3)	537	1470	4489	4488_4	215_7
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486 (858306.3)	702	4432	2392	2391_4	4159_7
Salmonella enterica subsp. enterica serovar Newport str. Henan_3 (1275975.3)	3208	1269	3531	3532_4	1665_7
Salmonella enterica subsp. enterica serovar Newport str. JS09102 (1275976.3)	3197	137	2800	2801_4	2225_7
Salmonella enterica subsp. enterica serovar Newport str. Levine 1 (930778.3)	4631	4778	3614	3615_4	3874_7
Salmonella enterica subsp. enterica serovar Newport str. Levine 15 (930779.3)	4624	3572	3736	3737_4	1639_7
Salmonella enterica subsp. enterica serovar Newport str. SH111077 (1275974.3)	2648	2976	1379	1378_4	970_7
Salmonella enterica subsp. enterica serovar Newport str. SL254 (423368.8)	2828	1080	4004	4005_4	4725_7
Salmonella enterica subsp. enterica serovar Newport str. SL317 (454168.5)	3666	3523	2187	2186_4	1962_7
Salmonella enterica subsp. enterica serovar Newport str. Shandong_3 (1275977.3)	3223	1172	2642	2641_4	2276_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 (554290.7)	320, 4165, 4166	1964	3756	3757_4	4430_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. (554290.9)	327, 4203, 4204	1993	3794	3795_4	4469_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC (295319.15)	328, 4197, 4198	1992	3784	3785_4	4465_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. GXS2268 (1072568.3)	268, 4138, 4139	1929	3730	3731_4	4398_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. GZ9A00052 (1072569.3)	267, 4170, 4171	1921	3720, 3721	3722_4	4430_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. JX05-19 (1072570.3)	268, 4174, 4175	1927	3722	3723_4	4434_7
Salmonella enterica subsp. enterica serovar Paratyphi A str. ZJ98-53 (1072572.3)	270, 4142, 4143, 4144	1942	3707	3708_4	4403_7
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 (272994.6)	309	2098	3730	3731_4	4475_7
Salmonella enterica subsp. enterica serovar Paratyphi C strain (476213.4)	1149	990	3848	3849_4	4582_7
Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 (941188.3)	3339	309	3975	3976_4	380_7
Salmonella enterica subsp. enterica serovar Poona str. 2010K-2244 (1328331.3)	1761	3983	332	331_4	1340_7
Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 (439846.4)	3104	1398	4210	4211_4	267_7
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633 (439843.6)	2833	1126	3884	3885_4	4599_7
Salmonella enterica subsp. enterica serovar Schwarzengrund str. (439843.8)	2844	1132	3902	3903_4	4621_7
Salmonella enterica subsp. enterica serovar Senftenberg str. SS209 (1147753.3)	2913	4490	2274	2275_4	3689_7
Salmonella enterica subsp. enterica serovar Stanley str. 06-0538 (1328332.3)	218	3731	2784	2783_4	4380_7
Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 (573395.3)	3344	4125	799	798_4	1113_7
Salmonella enterica subsp. enterica serovar Thompson str. 2010K-1863 (1235460.3)	2860	2326	4156	4157_4	2430_7
Salmonella enterica subsp. enterica serovar Typhi str. BL196 (1156917.3)	2254, 2704	3565	423	422_4	1565_7
Salmonella enterica subsp. enterica serovar Typhi str. CR0044 (1176488.3)	1104, 1864	631	112	111_4	170_7
Salmonella enterica subsp. enterica serovar Typhi str. CT18 (220341.7)	2848, 3839	939	4172	4171_4	4856_7
Salmonella enterica subsp. enterica serovar Typhi str. E98-3139 (496064.4)	1753, 3440, 3608, 5181	1424, 1425	621	620_4	5089_7, 5090_7
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (1132507.4)	331, 3741	2152	4075	4074_4	4757_7
Salmonella enterica subsp. enterica serovar Typhi str. ST0208 (1176487.3)	1185, 4232	229	1690	1689_4	3701_7
Salmonella enterica subsp. enterica serovar Typhi str. Ty2 (209261.6)	325, 3794	2189	4126	4125_4	4803_7
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a (527001.3)	327, 3733	2140	4073	4072_4	4755_7
Salmonella enterica subsp. enterica serovar Typhimurium str. 4/74 (909946.3)	2713	950	3965	3966_4	4671_7
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580 (568708.3)	2726	972	3937	3938_4	4643_7
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (99287.12)	2695	985	3922	3923_4	4623_7
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (588858.6)	2906	1064	4077	4078_4	4781_7
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344 (216597.6)	2797	972	4092	4093_4	4822_7
Salmonella enterica subsp. enterica serovar Typhimurium str. ST1660/06 (1141101.3)	2486	735	3722	3723_4	4468_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm1 (1218143.3)	2689	938	3784	3785_4	4478_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm10 (1218150.3)	2642	890	3745	3746_4	4425_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm11 (1218151.3)	2736	1033	3803	3804_4	4510_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm12 (1218152.3)	2693	948	3844	3845_4	4540_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm2 (1218144.3)	2716	956	3821	3822_4	4526_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm3 (1218145.3)	2589	858	3692	3693_4	4396_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm4 (1218146.3)	2635	891	3786	3787_4	4461_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm8 (1218148.3)	2710	959	3815	3816_4	4525_7
Salmonella enterica subsp. enterica serovar Typhimurium str. STm9 (1218149.3)	2590	883	3586	3587_4	4290_7
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240 (718274.8)	2667	989	3922	3923_4	4704_7
Salmonella enterica subsp. enterica serovar Typhimurium str. U288 (1171376.3)	1923	2090	3957	3958_4	4667_7
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 (990282.4)	2701	939	3875	3876_4	4575_7
Salmonella enterica subsp. enterica serovar Virchow str. SL491 (465517.10)	2375	4113	1219	1218_4	505_7
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 (936157.3)	2794	915	3880	3881_4	4599_7
Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027 (1240348.7)	2523	846	3474	3473_4	4142_7
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 (523831.5)	2648	842	3653	3654_4	4345_7
Salmonella enterica subsp. salamae str. 3588/07 (1078775.3)	3572	519	2429	2428_4	1746_7
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150 (295319.3)	1584	1410	3392	3393_4	3624_7
Shigella dysenteriae CDC 74-1112 (941429.3)	1421	2207	1218	1217_4	1728_7
Shigella dysenteriae 155-74 (766142.3)	2983	2452	4758	4759_4	5202_7
Shigella dysenteriae 1617 (754093.3)	1266	475	945	944_4	4563_7
Shigella dysenteriae 225-75 (766143.3)	3254	2795	4640	4641_4	4815_7
Shigella dysenteriae Sd197 (300267.13)	3305	2886	4765	4766_4	5170_7
Shigella flexneri CDC 796-83 (945360.3)	1437	4643	976	975_4	566_7
Shigella flexneri 1485-80 (766155.3)	3052	1033	4486	4485_4	5012_7
Shigella flexneri 2002017 (591020.3)	3098	957	4282	3580_5, 4283_4	5017_7
Shigella flexneri 2747-71 (766157.3)	3044	953	4453	3505_5, 4452_4	4961_7
Shigella flexneri 2850-71 (766158.3)	2989	970	4446	3483_5, 3484_5, 4445_4	4883_7
Shigella flexneri 2930-71 (766159.3)	3074	986	4407	3502_5, 3503_5, 4406_4	4831_7
Shigella flexneri 2a str. 2457T (198215.9)	640	1201	3890	3566_5, 3567_5, 3889_4	5145_7
Shigella flexneri 2a str. 301 (198214.7)	3102	954	4318	3598_5, 3599_5, 4319_4	5047_7
Shigella flexneri 4343-70 (766160.3)	2721	1052	3831	3832_4	4510_7
Shigella flexneri 5 str. 8401 (373384.11)	2991	972	4443	4442_4	4864_7
Shigella flexneri 5a str. M90T (1086030.3)	2834	929	4227	4226_4	4623_7
Shigella flexneri 6603-63 (766161.3)	3089	976	4385	4384_4	4915_7
Shigella flexneri CCH060 (754091.3)	3150	1065	4492	4491_4	5041_7
Shigella flexneri J1713 (754092.3)	2948	916	4252	3434_5, 4251_4	4838_7
Shigella flexneri K-218 (766146.3)	3634	1283	5043	5042_4	173_7
Shigella flexneri K-227 (766147.3)	3136	1029	4531	4530_4	4906_7
Shigella flexneri K-272 (766148.3)	3335	1321	4635	4634_4	151_7
Shigella flexneri K-304 (766149.3)	3320	1021	4706	3761_5, 4705_4	5229_7
Shigella flexneri K-315 (766150.3)	2968	803	 	4268_4	4837_7
Shigella flexneri VA-6 (766145.3)	3426	1315	4734	4733_4	118_7
Shigella sonnei 3233-85 (766163.3)	3033	930	4231	4230_4	4816_7
Shigella sonnei 4822-66 (766164.3)	2692	953	3951	3950_4	4580_7
Shigella sonnei Ss046 (300269.12)	3158	996	4494	4493_4	5208_7
Shigella sonnei str. Moseley (754077.4)	3302	1120	4647	4646_4	5450_7
Yersinia bercovieri ATCC 43970 (349968.5)	1775	2068	1531	1532_4	2277_7
Yersinia enterocolitica IP 10393 (1243181.3)	176	423	3905	3904_4	873_7
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	1145	1631	163	162_4	2110_7
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	2501	2006	3994	3995_4	1587_7
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	3325	2845	74	73_4	1886_7
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	4058	2712	884	883_4	2940_7
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	1086	653	120	121_4	903_7
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	1341	2448	3291	3292_4	1589_7
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	4241	381	2872	2873_4	1355_7
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	4259	389	2859	2860_4	1355_7
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	4269	387	2867	2868_4	1353_7
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	4253	385	2857	2858_4	1352_7
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	4247	387	2843	2844_4	1339_7
Yersinia frederiksenii ATCC 33641 (349966.5)	1646	3162	3086	3085_4	1824_7
Yersinia kristensenii ATCC 33638 (527012.3)	1868	1137	3432	3431_4	3977_7
Yersinia pseudotuberculosis B-6863 (1286086.3)	1344	2979	541	540_4	1969_7
Yersinia pseudotuberculosis B-7194 (1324608.3)	1617	1883	2054	2053_4	3095_7
Yersinia pseudotuberculosis B-7195 (1324587.3)	1838	284	76	75_4	1418_7
Yersinia pseudotuberculosis IP 31758 (349747.9)	1460	3061	286	285_4	2664_7
Yersinia pseudotuberculosis IP 32953 (273123.10)	3487	1734	198	197_4	2148_7
Yersinia pseudotuberculosis PB1/+ (502801.6)	3243	1599	65	64_4	2012_7
Yersinia pseudotuberculosis YPIII (502800.6)	1344	2926	4478	4479_4	2546_7
Yersinia rohdei ATCC 43380 (527004.3)	1085	505	1550	1549_4	3528_7
Yokenella regensburgei ATCC 43003 (1002368.3)	4348	2570	1152	1153_4	266_7
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	48	646	4079	2820_5, 4078_4	566_7
Actinobacillus pleuropneumoniae L20 (416269.6)	216	 	 	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	2120	 	 	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	241	 	 	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	234	 	 	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	243	 	 	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	228	 	 	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	233	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	1396	 	 	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	214	 	 	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	231	 	 	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	263	 	 	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	215	 	 	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	235	 	 	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	765	 	 	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	1242	 	 	 	 
Haemophilus haemolyticus HK386 (1095742.3)	1020	 	 	 	 
Haemophilus haemolyticus M21621 (1028805.3)	714	 	 	 	 
Haemophilus haemolyticus M21639 (1028806.3)	450	 	 	 	 
Haemophilus influenzae 10810 (862964.3)	1065	 	 	 	 
Haemophilus influenzae 6P18H1 (521004.3)	940	 	 	 	 
Haemophilus influenzae 7P49H1 (521005.3)	179	 	 	 	 
Haemophilus influenzae 86-028NP (281310.6)	982	 	 	 	 
Haemophilus influenzae F3031 (866630.3)	1389	 	 	 	 
Haemophilus influenzae F3047 (935897.3)	247	 	 	 	 
Haemophilus influenzae NT127 (656913.3)	154	 	 	 	 
Haemophilus influenzae PittAA (374928.4)	29	 	 	 	 
Haemophilus influenzae PittHH (374932.4)	925	 	 	 	 
Haemophilus influenzae PittII (374933.4)	211	 	 	 	 
Haemophilus influenzae R2846 (262727.7)	1458	 	 	 	 
Haemophilus influenzae R2866 (262728.5)	368	 	 	 	 
Haemophilus influenzae Rd KW20 (71421.8)	931	 	 	 	 
Haemophilus influenzae RdAW (656912.3)	171	 	 	 	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	161	 	 	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	1763	 	 	 	 
