Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Shigella flexneri 5a str. M90T (1086030.3)	4506_1	4505_4	3968_6	3217	2514_11, 2514_11	3218	3976_13	3976_13	721_16
Shigella flexneri 6603-63 (766161.3)	3875_1	3876_4	3270_6, 4122_6	3415	2742_11, 2742_11	3416	4131_13	4131_13	774_16
Shigella flexneri CCH060 (754091.3)	3941_1	3942_4	4248_6	3695	2788_11, 2788_11	3694	4256_13	4256_13	718_16
Shigella flexneri J1713 (754092.3)	4645_1	4646_4	3959_6	3341	2631_11, 2631_11	3342	3968_13	3968_13	665_16
Shigella flexneri K-218 (766146.3)	4406_1	4407_4	4711_6	3971	3293_11, 3293_11	3972	4720_13	4720_13	1011_16
Shigella flexneri K-227 (766147.3)	3953_1	3952_4	4216_6	3642	2813_11, 2813_11	3643	4225_13	4225_13	867_16
Shigella flexneri K-272 (766148.3)	4124_1	4125_4	4345_6	3708	3012_11, 3012_11	3709	4353_13	4353_13	936_16
Shigella flexneri K-304 (766149.3)	4150_1	4151_4	4484_6	3644	2985_11, 2985_11	3645	4492_13	4492_13	807_16
Shigella flexneri K-315 (766150.3)	4851_1	4850_4	4038_6	3228	2587_11, 2587_11	3229	4046_13	4046_13	478_16
Shigella flexneri VA-6 (766145.3)	4230_1	4231_4	 	 	3090_11, 3090_11	3784	4438_13	4438_13	1081_16
Shigella sonnei 3233-85 (766163.3)	4629_1	4630_4	4456_6	3415	2603_11, 2603_11	3416	4448_13	4448_13	672_16
Shigella sonnei 4822-66 (766164.3)	4393_1	4394_4	4180_6	3157	2315_11, 2315_11	3158	4172_13	4172_13	703_16
Shigella sonnei Ss046 (300269.12)	4999_1	5000_4	4769_6	3639	2751_11, 2751_11	3640	4761_13	4761_13	713_16
Shigella sonnei str. Moseley (754077.4)	5251_1	5252_4	4927_6	3829	2916_11, 2916_11	3830	4919_13	4919_13	846_16
Yersinia bercovieri ATCC 43970 (349968.5)	415_1	416_4	1948_6	 	3300_11, 3300_11	3771	1957_13	1957_13	3663_16
Yersinia enterocolitica IP 10393 (1243181.3)	1042_1	1043_4	973_6	3791	538_11, 538_11	3790	964_13	964_13	2670_16
Yersinia enterocolitica subsp. enterocolitica 8081 (393305.7)	4110_1	4109_4	357_6	 	1515_11, 1515_11	3606	348_13	348_13	3178_16
Yersinia enterocolitica subsp. enterocolitica WA-314 (1194086.3)	3270_1	3269_4	4133_6	2804	2159_11, 2159_11	2805	4142_13	4142_13	605_16
Yersinia enterocolitica subsp. palearctica 105.5R(r) (994476.3)	3894_1	3893_4	279_6	905	2967_11, 2967_11	904	270_13	270_13	1333_16
Yersinia enterocolitica subsp. palearctica 556/8265 (940287.3)	299_1	300_4	241_6	1603	3239_11, 3239_11	1602	232_13	232_13	3835_16
Yersinia enterocolitica subsp. palearctica 647/5307 (940288.3)	4133_1	4132_4	20_6	1811	533_11, 533_11	1810	29_13	29_13	3198_16
Yersinia enterocolitica subsp. palearctica PhRBD_Ye1 (1071969.3)	3787_1	3786_4	3725_6	3005	1273_11, 1273_11	3004	3735_13	3735_13	896_16
Yersinia enterocolitica subsp. palearctica Y11 (930944.6)	2754_1	2753_4	3455_6	3967	264_11, 264_11	3966	3446_13	3446_13	1894_16
Yersinia enterocolitica subsp. palearctica YE-149 (1329365.3)	2739_1	2738_4	3451_6	3977	269_11, 269_11	3976	3442_13	3442_13	1888_16
Yersinia enterocolitica subsp. palearctica YE-150 (1329366.3)	2746_1	2745_4	3459_6	3988	267_11, 267_11	3987	3450_13	3450_13	1893_16
Yersinia enterocolitica subsp. palearctica YE-P1 (1329363.3)	2739_1	2738_4	3447_6	3972	264_11, 264_11	3971	3438_13	3438_13	1886_16
Yersinia enterocolitica subsp. palearctica YE-P4 (1329364.3)	2724_1	2723_4	3436_6	3964	266_11, 266_11	3963	3427_13	3427_13	1872_16
Yersinia frederiksenii ATCC 33641 (349966.5)	3453_1	3452_4	4135_6	750	2078_11, 2078_11, 2810_11, 2810_11, 3555_11, 3555_11	751	4126_13	4126_13	4321_16
Yersinia kristensenii ATCC 33638 (527012.3)	3204_1	3203_4	2758_6	2285	967_11, 967_11	2286	2749_13	2749_13	1908_16
Yersinia pseudotuberculosis B-6863 (1286086.3)	2710_1	2709_4	635_6	3556	3160_11, 3160_11	3555	563_13, 644_13	563_13, 644_13	1417_16
Yersinia pseudotuberculosis B-7194 (1324608.3)	3814_1	3815_4	1643_6	1609	409_11, 409_11	1610	1634_13, 2078_13	1634_13, 2078_13	1065_16
Yersinia pseudotuberculosis B-7195 (1324587.3)	3296_1	3297_4	2935_6	1281	1645_11, 1645_11	1280	100_13, 2944_13	100_13, 2944_13	389_16
Yersinia pseudotuberculosis IP 31758 (349747.9)	4308_1	4307_4	506_6	1140	3005_11, 3005_11, 3216_11, 3216_11	1139	310_13, 497_13	310_13, 497_13	3374_16
Yersinia pseudotuberculosis IP 32953 (273123.10)	547_1	548_4	429_6	 	1572_11, 1572_11	3849	222_13, 420_13	222_13, 420_13	1415_16
Yersinia pseudotuberculosis PB1/+ (502801.6)	408_1	409_4	294_6	3604	1443_11, 1443_11	3605	285_13, 89_13	285_13, 89_13	1264_16
Yersinia pseudotuberculosis YPIII (502800.6)	4178_1	4177_4	4258_6	 	3082_11, 3082_11	926	4267_13, 4454_13	4267_13, 4454_13	3251_16
Yersinia rohdei ATCC 43380 (527004.3)	2953_1	2952_4	1490_6	3083	1961_11, 1961_11	3084	1481_13	1481_13	3408_16
Yokenella regensburgei ATCC 43003 (1002368.3)	124_1	125_4	 	1763	4075_11, 4075_11	1762	45_13	45_13	2349_16
Enterobacteriaceae bacterium 9_2_54FAA (469613.3)	2739_1	2740_4	4232_6	3148	1481_11, 1481_11, 901_11, 901_11	3147	4222_13	4222_13	354_16
Actinobacillus pleuropneumoniae L20 (416269.6)	1916_1	860_4	1498_6	 	291_11, 291_11	338	2065_13	2065_13	1813_16
Actinobacillus pleuropneumoniae S8 (1224142.3)	2105_1	97_4	2111_6	1089	1036_11, 1036_11	1085	154_13, 346_13	154_13, 346_13	2012_16
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	1931_1	881_4	1518_6	387	320_11, 320_11	383	2079_13, 794_13	2079_13, 794_13	1833_16
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	1991_1	898_4	1594_6	372	312_11, 312_11	368	2140_13, 835_13	2140_13, 835_13	1895_16
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	1884_1	868_4	1491_6	378	321_11, 321_11	374	2031_13, 806_13	2031_13, 806_13	1790_16
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	1939_1	902_4	1524_6	357	305_11, 305_11	353	2082_13, 844_13	2082_13, 844_13	1842_16
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	1972_1	888_4	1570_6	369	309_11, 309_11	365	2118_13, 827_13	2118_13, 827_13	1876_16
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	1075_1	1180_4	1780_6	925	870_11, 870_11	921	661_13, 80_13	661_13, 80_13	1551_16
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	1872_1	831_4	1464_6	352	299_11, 299_11	348	2022_13, 768_13	2022_13, 768_13	1772_16
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	2164_1	834_4	1473_6	362	310_11, 310_11	358	2008_13, 771_13	2008_13, 771_13	1794_16
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	2018_1	962_4	1601_6	405	340_11, 340_11	401	2162_13, 857_13	2162_13, 857_13	1922_16
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	1976_1	900_4	1526_6	348	292_11, 292_11	344	2124_13, 843_13	2124_13, 843_13	1859_16
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	1970_1	888_4	1575_6	363	311_11, 311_11	359	2115_13, 823_13	2115_13, 823_13	1874_16
Aggregatibacter aphrophilus F0387 (679198.3)	854_1	1973_4, 1974_4	817_6	 	2081_11, 2081_11	1309	1169_13, 1956_13	1169_13, 1956_13	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	1331_1	1956_4, 1957_4	1294_6	 	342_11, 342_11	 	1939_13, 48_13	1939_13, 48_13	 
Haemophilus haemolyticus HK386 (1095742.3)	 	 	 	 	 	 	1237_13	1237_13	 
Haemophilus haemolyticus M21621 (1028805.3)	 	 	 	 	 	 	1828_13	1828_13	 
Haemophilus haemolyticus M21639 (1028806.3)	 	 	 	 	 	 	285_13	285_13	 
Haemophilus influenzae 10810 (862964.3)	 	 	 	 	 	 	158_13	158_13	 
Haemophilus influenzae 6P18H1 (521004.3)	 	 	 	 	 	 	 	 	 
Haemophilus influenzae 7P49H1 (521005.3)	 	 	 	 	 	 	 	 	 
Haemophilus influenzae 86-028NP (281310.6)	 	 	 	 	 	 	163_13	163_13	 
Haemophilus influenzae F3031 (866630.3)	 	 	 	 	 	 	132_13	132_13	 
Haemophilus influenzae F3047 (935897.3)	 	 	 	 	 	 	93_13	93_13	 
Haemophilus influenzae NT127 (656913.3)	 	 	 	 	 	 	432_13	432_13	 
Haemophilus influenzae PittAA (374928.4)	 	 	 	 	 	 	 	 	 
Haemophilus influenzae PittHH (374932.4)	 	 	 	 	 	 	1605_13	1605_13	 
Haemophilus influenzae PittII (374933.4)	 	 	 	 	 	 	1510_13	1510_13	 
Haemophilus influenzae R2846 (262727.7)	 	 	 	 	 	 	536_13	536_13	 
Haemophilus influenzae R2866 (262728.5)	 	 	 	 	 	 	1380_13	1380_13	 
Haemophilus influenzae Rd KW20 (71421.8)	 	 	 	 	 	 	97_13	97_13	 
Haemophilus influenzae RdAW (656912.3)	 	 	 	 	 	 	800_13	800_13	 
Haemophilus parainfluenzae ATCC 33392 (888828.3)	 	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae HK2019 (1095746.3)	 	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae HK262 (1095745.3)	 	 	 	 	 	 	 	 	 
Haemophilus parainfluenzae T3T1 (862965.3)	 	 	 	 	 	 	 	 	 
Haemophilus sputorum CCUG 13788 (1035839.4)	 	 	 	 	 	 	1471_13	1471_13	 
Haemophilus sputorum HK 2154 (1078483.3)	 	 	 	 	 	 	737_13	737_13	 
Acinetobacter baumannii AB0057 (480119.5)	2683_1	2682_4	430_7	1098	82_11, 82_11	1097	1825_13, 426_13	1825_13, 426_13	 
Acinetobacter baumannii AB307-0294 (557600.4)	1048_1	1049_4	3073_7	2411	3357_11, 3357_11	2412	1774_13, 3076_13	1774_13, 3076_13	 
Acinetobacter baumannii AB900 (557601.3)	1774_1	1773_4	242_7	2599	3002_11, 3002_11	2600	245_13	245_13	 
Acinetobacter baumannii ACICU (405416.6)	2598_1	2597_4	465_7	1174	157_11, 157_11	1173	462_13	462_13	 
Acinetobacter baumannii ATCC 19606 (575584.3)	2097_1	2098_4	1849_7	2883	3259_11, 3259_11	2882	1852_13	1852_13	 
Acinetobacter baumannii AYE (509173.8)	1163_1	1164_4	3282_7	2577	3654_11, 3654_11	2578	1960_13, 3285_13	1960_13, 3285_13	 
Acinetobacter baumannii SDF (509170.6)	1142_1	1143_4	2992_7	1304	92_11, 92_11	1303	2995_13	2995_13	 
Acinetobacter baumannii 1656-2 (696749.3)	1597_1	1598_4	397_7	1116	69_11, 69_11	1115	394_13	394_13	 
Acinetobacter baumannii 3990 (886888.3)	2277_1	2276_4	3338_7	2201	941_11, 941_11	2200	3341_13	3341_13	 
Acinetobacter baumannii 48055 (1293574.3)	707_1	706_4	859_7	1569	1770_11, 1770_11	1570	856_13	856_13	 
Acinetobacter baumannii 53264 (1216295.3)	2446_1	2445_4	386_7	1092	69_11, 69_11	1091	383_13	383_13	 
Acinetobacter baumannii AA-014 (903937.3)	3333_1	3332_4	39_7	 	2777_11	506	36_13	36_13	505_16
Acinetobacter baumannii AB1H8 (1222031.3)	2638_1	2637_4	1447_7	1656	3251_11, 3251_11	1657	1450_13	1450_13	 
Acinetobacter baumannii AB210 (886886.3)	3428_1	3427_4	1633_7	2735	1219_11, 1219_11	2734	1636_13	1636_13	 
Acinetobacter baumannii AB405E4 (1222033.3)	1494_1	1493_4	1015_7	 	2300_11, 2300_11	2190	1012_13	1012_13	2189_16
Acinetobacter baumannii AB4A3 (1222032.3)	3082_1	3081_4	952_7	 	2781_11, 2781_11	2875	955_13	955_13	2876_16
Acinetobacter baumannii AB5256 (1116235.3)	3348_1	3347_5	1214_7	1751	792_10	1750	1217_13	1217_13	 
Acinetobacter baumannii AB5711 (1116236.3)	2301_1	2302_4	1543_7	2676	23_11, 23_11	2675	1540_13	1540_13	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	2534_1	2533_4	383_7	1092	69_11, 69_11	1091	380_13	380_13	 
Acinetobacter baumannii ABNIH1 (992402.3)	642_1	641_4	2438_7	800	1460_11, 1460_11	799	2434_13	2434_13	 
Acinetobacter baumannii ABNIH11 (1094475.3)	1263_1	1262_4	60_7	1251	478_11, 478_11	1252	1130_13, 57_13	1130_13, 57_13	 
Acinetobacter baumannii ABNIH14 (1094478.3)	3452_1	3451_4	444_7	1732	1884_11, 1884_11	1733	447_13	447_13	 
Acinetobacter baumannii ABNIH15 (1094479.3)	2182_1	2181_4	193_7	1647	1693_11, 1693_11	1646	190_13	190_13	 
Acinetobacter baumannii ABNIH16 (1094480.3)	3220_1	3219_4	252_7	1975	2121_11, 2121_11	1976	249_13	249_13	 
Acinetobacter baumannii ABNIH18 (1094482.3)	3524_1	3523_4	269_7	1963	2175_11, 2175_11	1964	273_13	273_13	 
Acinetobacter baumannii ABNIH19 (1094483.3)	2966_1	2965_4	446_7	2833	2632_11, 2632_11	2834	449_13, 792_13	449_13, 792_13	 
Acinetobacter baumannii ABNIH22 (1094486.3)	3034_1	3033_4	597_7	1776	1803_11, 1803_11	1777	600_13	600_13	 
Acinetobacter baumannii ABNIH23 (1094487.3)	3364_1	3365_4	486_7	1496	1544_11, 1544_11	1495	482_13	482_13	 
Acinetobacter baumannii ABNIH25 (1224165.3)	804_1	803_4	2486_7	1333	2100_11, 2100_11	1331, 1332	2489_13	2489_13	 
Acinetobacter baumannii ABNIH26 (1224166.3)	2877_1	2878_4	607_7	1818	104_11, 104_11	1819	604_13	604_13	 
Acinetobacter baumannii ABNIH3 (992404.3)	2830_1	2829_4	3181_7	1011	805_11, 805_11	1012	3185_13	3185_13	 
Acinetobacter baumannii ABNIH4 (992405.3)	369_1	370_4	1201_7	3629	1591_11, 1591_11	3630	1198_13	1198_13	 
Acinetobacter baumannii ABNIH5 (1094469.3)	817_1	818_4	1498_7	3499	2778_11, 2778_11	3500	1501_13	1501_13	 
Acinetobacter baumannii ABNIH6 (1094470.3)	674_1	673_4	64_7	3300	3056_11, 3056_11	3299	1300_13, 61_13	1300_13, 61_13	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	2973_1	2972_4	1224_7	 	196_11, 196_11	910	1221_13	1221_13	909_16
Acinetobacter baumannii AB_1582-8 (1221245.3)	1205_1	1206_4	2875_7	3668	1994_11, 1994_11	3669	2878_13	2878_13	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	569_1	568_4	2172_7	 	2985_11, 2985_11	3630	2169_13	2169_13	3631_16
Acinetobacter baumannii AB_1595-8 (1221248.3)	2625_1	2626_4	617_7	3153	2571_11, 2571_11	3152	614_13	614_13	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	2162_1	2163_4	567_7	2233	1115_11, 1115_11	2232	564_13	564_13	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	3207_1	3208_4	3100_7	177	1515_11, 1515_11	176	3103_13	3103_13	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	2466_1	2467_4	3237_7	1204	3163_11, 3163_11	1205	3234_13	3234_13	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	3268_1	3269_4	238_7	 	3024_11, 3024_11	1711	241_13	241_13	1710_16
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	2856_1	2855_4	1251_7	 	2041_11, 2041_11	137	1254_14	1254_14	136_16
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	2234_1	2233_4	2761_7	 	488_11, 488_11	183	2764_14	2764_14	184_16
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	3673_1	3672_4	2388_7	88	3426_11, 3426_11	89	2391_13	2391_13	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	2700_1	2699_4	1711_7	435	1485_11, 1485_11	434	1714_13	1714_13	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	3322_1	3321_4	2389_7	 	2115_11, 2115_11	364	2392_13	2392_13	365_16
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	3110_1	3109_4	1163_7	1006	3854_11, 3854_11	1007	1166_13	1166_13	1308_16
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	1485_1	1484_4	1786_7	 	3904_11, 3904_11	113	1789_13	1789_13	114_16
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	534_1	533_4	1312_7	 	848_11, 848_11	2981	1309_13	1309_13	2980_16
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	3245_1	3244_4	543_7	 	959_11, 959_11	1844	540_13	540_13	1843_16
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	62_1	61_4	173_7	3665	857_11, 857_11	3664	170_13	170_13	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	1520_1	1521_4	2671_7	 	273_11, 273_11	222	2674_13	2674_13	223_16
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	1377_1	1378_4	666_7	2817	1493_11, 1493_11	2818	663_13	663_13	 
Acinetobacter baumannii AB_515-8 (1221265.3)	2921_1	2922_4	3671_7	1056	1203_11, 1203_11	1057	3674_13	3674_13	 
Acinetobacter baumannii AB_908-12 (1221266.3)	131_1	130_4	951_7	1828	2012_11, 2012_11	1829	948_13	948_13	 
Acinetobacter baumannii AB_908-13 (1221267.3)	1844_1	1843_4	2954_7	3125	1218_11, 1218_11	3126	2958_13, 3675_13	2958_13, 3675_13	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	3455_1	3454_4	1772_7	 	2049_11, 2049_11	226	1769_13	1769_13	225_16
Acinetobacter baumannii AB_909-02-7 (1221270.3)	1252_1	1251_4	1401_7	2842	448_11, 448_11	2841	1397_13, 3566_13	1397_13, 3566_13	 
Acinetobacter baumannii AB_909-05 (1221271.3)	2034_1	2033_4	479_7	1505	2965_11, 2965_11	1506	476_13	476_13	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	2882_1	2881_4	1993_7	2826	2551_11, 2551_11	2827	1990_13	1990_13	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	2859_1	2858_4	693_7	 	2504_11, 2504_11	2677	690_13	690_13	2678_16
Acinetobacter baumannii AB_TG2022 (1221275.3)	3669_1	3668_4	3509_7	1404	 	1403	3512_13	3512_13	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	2191_1	2190_4	989_7	1212	 	1211	992_13	992_13	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	3496_1	3497_4	2769_7	359	2729_11, 2729_11	360	2766_13	2766_13	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	3248_1	3247_4	840_7	 	1242_11, 1242_11	805	843_13	843_13	806_16
Acinetobacter baumannii AB_TG2030 (1221279.3)	3253_1	3252_4	1284_7	 	2225_11, 2225_11	3015	1281_13	1281_13	3014_16
Acinetobacter baumannii AB_TG2031 (1221280.3)	2421_1	2422_4	2142_7	 	2049_11, 2049_11	921	2139_13	2139_13	922_16
Acinetobacter baumannii AB_TG27335 (1221286.3)	151_1	152_4	614_7	924	2953_11, 2953_11	923	611_13	611_13	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	16_1	17_4	2750_7	 	2135_11, 2135_11	1642	2747_14	2747_14	1643_16
Acinetobacter baumannii AB_TG27343 (1221288.3)	2962_1	2963_4	3353_7	 	1049_11, 1049_11	3467	 	 	3466_16
Acinetobacter baumannii AC12 (1198108.3)	3146_1	3147_4	786_7	1673	295_11, 295_11	1674	783_13	783_13	 
Acinetobacter baumannii AC30 (1224747.3)	1299_1	1300_4	1698_7	2951	1045_11, 1045_11	2952	1701_13	1701_13	 
Acinetobacter baumannii ANC 4097 (1217638.3)	2714_1	2713_4	377_7	1024	71_11, 71_11	1023	1799_13, 374_13	1799_13, 374_13	 
Acinetobacter baumannii Ab11111 (1168588.3)	1235_1	1236_4	3514_7	2779	3828_11, 3828_11	2780	3517_13	3517_13	 
Acinetobacter baumannii Ab33333 (1168590.3)	1141_1	1142_4	3232_7	 	3524_11, 3524_11	2526	3235_13	3235_13	2525_16
Acinetobacter baumannii Ab44444 (1168591.3)	1549_1	1550_4	3198_7	2902	3432_11, 3432_11	2903	3201_13	3201_13	 
Acinetobacter baumannii BZICU-2 (1210907.3)	573_1	572_4	870_7	 	3472_11, 3472_11	2808	867_13	867_13	2807_16
Acinetobacter baumannii Canada BC-5 (903895.3)	2122_1	2121_4	3683_7	542	3340_11, 3340_11	541	1297_13, 3679_13	1297_13, 3679_13	 
Acinetobacter baumannii Canada BC1 (903924.3)	1785_1	1784_4	2329_7	2976	500_11, 500_11	2977	2333_13, 2866_13	2333_13, 2866_13	 
Acinetobacter baumannii IS-116 (903912.3)	2160_1	2159_4	 	 	454_11, 454_11	3248	2754_13	2754_13	3247_16
Acinetobacter baumannii IS-123 (903899.3)	3868_1	3867_4	3279_7	1279	106_11, 106_11	1278	3276_13	3276_13	 
Acinetobacter baumannii IS-143 (903911.3)	433_1	434_4	2484_7	772	3300_11, 3300_11	771	2481_13	2481_13	 
Acinetobacter baumannii IS-235 (903905.3)	924_1	925_4	1177_7	1991	1246_11, 1246_11	1992	1174_13, 3457_13	1174_13, 3457_13	 
Acinetobacter baumannii IS-251 (903906.3)	1237_1	1238_4	3609_7	762	354_11, 354_11	763	2973_13, 3606_13	2973_13, 3606_13	 
Acinetobacter baumannii IS-58 (903914.3)	195_1	196_4	327_7	2616	106_11, 106_11	2615	2012_13, 324_13	2012_13, 324_13	 
Acinetobacter baumannii MDR-TJ (889738.3)	1386_1	1387_4	3600_7	2844	193_11, 193_11	2845	3603_13	3603_13	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	2648_1	2647_4	396_7	1194	58_11, 58_11	1193	393_13	393_13	 
Acinetobacter baumannii MSP4-16 (1278070.3)	3304_1	3305_4	200_7	3441	2379_11, 2379_11	3440	197_13	197_13	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	400_1	401_4	2574_7	1855	2868_11, 2868_11	1856	2577_13	2577_13	 
Acinetobacter baumannii NIPH 146 (1217639.3)	3103_1	3102_4	866_7	1485	538_11, 538_11	1484	863_13	863_13	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	1125_1	1126_4	3263_7	2536	3556_11, 3556_11	2537	3266_13	3266_13	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	1106_1	1107_4	3236_7	 	3546_11, 3546_11	2609	 	 	2608_16
Acinetobacter baumannii NIPH 190 (1217640.3)	1197_1	1198_4	3305_7	 	 	2635	3308_13	3308_13	2634_16
Acinetobacter baumannii NIPH 201 (1217630.3)	1086_1	1087_4	3371_7	 	3677_11, 3677_11	2661	3374_13	3374_13	2660_16
Acinetobacter baumannii NIPH 2061 (1217645.3)	2623_1	2622_4	367_7	1185	61_11, 61_11	1184	364_13	364_13	 
Acinetobacter baumannii NIPH 24 (1217646.3)	1162_1	1163_4	3261_7	2512	3567_11, 3567_11	2513	3264_13	3264_13	 
Acinetobacter baumannii NIPH 290 (1217631.3)	1180_1	1181_4	3362_7	2624	3710_11, 3710_11	2625	2069_13, 3365_13	2069_13, 3365_13	 
Acinetobacter baumannii NIPH 329 (1217632.3)	1037_1	1038_4	3234_7	 	3520_11, 3520_11	2523	3237_13	3237_13	2522_16
Acinetobacter baumannii NIPH 335 (1217633.3)	2514_1	2513_4	3364_7	 	3668_11, 3668_11	2727	3367_13	3367_13	2726_16
Acinetobacter baumannii NIPH 410 (1217634.3)	1231_1	1232_4	3452_7	 	3775_11, 3775_11	2786	3455_13	3455_13	2785_16
Acinetobacter baumannii NIPH 527 (1217635.3)	1124_1	1125_4	3351_7	2666	3663_11, 3663_11	2667	2000_13, 3354_13	2000_13, 3354_13	 
Acinetobacter baumannii NIPH 528 (1217636.3)	2489_1	2488_4	370_7	1081	62_11, 62_11	1080	367_13	367_13	 
Acinetobacter baumannii NIPH 60 (1217647.3)	599_1	600_4	2750_7	 	3058_11, 3058_11	2014	2753_13	2753_13	2013_16
Acinetobacter baumannii NIPH 601 (1217637.3)	1057_1	1058_4	3204_7	2485	3508_11, 3508_11	2486	3207_13	3207_13	 
Acinetobacter baumannii NIPH 615 (1217641.3)	3004_1	3003_4	890_7	1628	166_11, 166_11	1627	887_13	887_13	 
Acinetobacter baumannii NIPH 67 (1217627.3)	1043_1	1044_4	3309_7	 	3603_11, 3603_11	2696	3312_13	3312_13	2695_16
Acinetobacter baumannii NIPH 70 (1217628.3)	1067_1	1068_4	3130_7	 	3434_11, 3434_11	2461	3133_13	3133_13	 
Acinetobacter baumannii NIPH 80 (1217629.3)	1568_1	1569_4	3685_7	 	769_11, 769_11	3072	3688_13	3688_13	3071_16
Acinetobacter baumannii Naval-113 (903920.3)	2217_1	2216_4	262_7	3548	2363_11, 2363_11	3549	259_13	259_13	 
Acinetobacter baumannii Naval-13 (903904.3)	516_1	517_4	2355_7	3023	1509_11, 1509_11	3024	2358_13	2358_13	 
Acinetobacter baumannii Naval-17 (903896.3)	2908_1	2907_4	1591_7	3045	1262_11, 1262_11	3044	1588_13	1588_13	 
Acinetobacter baumannii Naval-18 (903897.3)	2050_1	2051_4	636_7, 637_7	3672	3048_11, 3048_11	3671	640_13	640_13	 
Acinetobacter baumannii Naval-2 (903922.3)	3663_1	3664_4	1775_7	2574	3224_11, 3224_11	2575	1778_13	1778_13	 
Acinetobacter baumannii Naval-21 (903923.3)	795_1	794_4	3178_7	1217	3548_11, 3548_11	1218	3181_13	3181_13	 
Acinetobacter baumannii Naval-57 (903927.3)	884_1	883_4	 	 	3156_11, 3156_11	929	 	 	928_16
Acinetobacter baumannii Naval-72 (903908.3)	908_1	907_4	1757_7	 	2342_11, 2342_11	3118	1754_13	1754_13	3117_16
Acinetobacter baumannii Naval-78 (903936.3)	1034_1	1035_4	2664_7	3148	727_11, 727_11	3149	2661_13	2661_13	 
Acinetobacter baumannii Naval-81 (903898.3)	3895_1	3894_4	486_7	2952	824_11, 824_11	2953	489_13	489_13	 
Acinetobacter baumannii Naval-82 (903921.3)	640_1	641_4	3398_7	 	729_11, 729_11	3715	3401_13	3401_13	3714_16
Acinetobacter baumannii Naval-83 (903909.3)	3131_1	3132_4	2281_7	3360	3632_11, 3632_11	3361	2284_13, 975_13	2284_13, 975_13	 
Acinetobacter baumannii OIFC0162 (903907.3)	2439_1	2438_4, 2485_4	1517_7	 	1249_11, 1249_11	1738	1514_13	1514_13	1737_16
Acinetobacter baumannii OIFC021 (903928.3)	2826_1	2827_4	 	 	1666_11	969	3217_13	3217_13	968_16
Acinetobacter baumannii OIFC032 (903890.3)	1307_1	1306_4	729_7	2366	1038_11, 1038_11	2365	726_13	726_13	 
Acinetobacter baumannii OIFC035 (903926.3)	457_1	456_4	 	 	2546_11, 2546_11	1112	1484_13	1484_13	1111_16
Acinetobacter baumannii OIFC047 (903933.3)	2394_1	2393_4	1288_7	 	3443_11, 3443_11	189	1285_13	1285_13	188_16
