Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Salmonella enterica subsp. enterica serovar Enteritidis str. 635290-58 (887067.3)	2407_1	 	1765	1766_7	1204_8, 4006_14, 740_10	1767	1493_21, 1499_21	946_23	1764_26, 824_25	 	1500, 2906
Salmonella enterica subsp. enterica serovar Enteritidis str. 638970-15 (938147.3)	4042_1	 	2059	2060_7	23_8, 2851_10, 3828_14	2061	502_21, 508_21	4356_23	2058_26, 2764_25	 	1947, 501
Salmonella enterica subsp. enterica serovar Enteritidis str. 639016-6 (887065.3)	2511_1	 	1901	1902_7	3766_10, 864_14, 920_8	1903	1185_21, 1192_21	172_23	1900_26, 3678_25	 	1193, 4252
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-46 (910418.3)	4664_1	 	455	456_7	1834_14, 2626_10, 3009_8	457	1245_21, 1251_21	4352_23	2711_25, 454_26	 	1244, 2452
Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 (910419.3)	2432_1	 	3529	3528_7	2139_8, 3691_10, 4210_14	3527	1234_21, 1240_21	2741_23	3530_26, 3778_25	 	1241, 20
Salmonella enterica subsp. enterica serovar Enteritidis str. 640631 (887066.3)	4330_1	 	328	329_7	1202_10, 122_8, 4116_14	330	1013_21, 1019_21	4643_23	1285_25, 327_26	 	1012, 2884
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 4-1 (984218.3)	3262_1	 	3431	3430_7	1299_8, 1910_14, 669_10	3429	1540_21, 1546_21	3505_23	3432_26, 3915_25	 	1547, 489
Salmonella enterica subsp. enterica serovar Enteritidis str. 642044 8-1 (984231.3)	3337_1	 	1002	1001_7	3252_14, 4166_10, 44_8	1000	4583_21, 4589_21	2000_23	1003_26, 626_25	 	4582, 945
Salmonella enterica subsp. enterica serovar Enteritidis str. 642046 4-7 (984219.3)	3516_1	 	513	512_7	1373_10, 1620_8, 2798_14	511	2331_21, 2337_21	3263_23	3049_25, 514_26	 	1998, 2338
Salmonella enterica subsp. enterica serovar Enteritidis str. 648898 4-5 (984220.3)	2545_1	 	621	620_7	4404_8, 906_10, 979_14	619	3031_21, 3038_21	1192_23	622_26, 818_25	 	3039, 3787
Salmonella enterica subsp. enterica serovar Enteritidis str. 648899 3-17 (984221.3)	2434_1	 	1382	1381_7	1481_14, 3853_10, 4674_8	1380	16_21, 9_21	3397_23	1383_26, 812_25	 	17, 99
Salmonella enterica subsp. enterica serovar Enteritidis str. 648900 1-16 (984222.3)	4336_1	 	3419	3420_7	1677_14, 3176_10, 3590_8	3421	2517_21, 2523_21	4649_23	3263_25, 3418_26	 	2516, 7
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 1-17 (984223.3)	4349_1	 	3289	3290_7	3257_8, 3537_10, 4035_14	3291	845_21, 851_21	4662_23	3288_26, 3452_25	 	3712, 852
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 16-16 (984234.3)	2515_1	 	404	403_7	1922_10, 2955_14, 926_8	402	4340_21, 4347_21	3612_23	1955_25, 405_26	 	173, 4348
Salmonella enterica subsp. enterica serovar Enteritidis str. 648901 6-18 (984230.3)	2403_1	 	3430	3429_7	2619_14, 4658_10, 962_8	3428	3154_21, 3160_21	3870_23	3431_26, 4572_25	 	3153, 408
Salmonella enterica subsp. enterica serovar Enteritidis str. 648902 6-8 (984225.3)	2720_1	 	1922	1923_7	1402_10, 3855_8, 4113_14	1924	4485_21, 4491_21	2408_23	1314_25, 1921_26	 	3112, 4492
Salmonella enterica subsp. enterica serovar Enteritidis str. 648903 1-6 (984226.3)	2333_1	 	668	669_7	3519_8, 4060_14, 493_10	670	3840_21, 3846_21	2648_23	127_25, 667_26	 	3839, 87
Salmonella enterica subsp. enterica serovar Enteritidis str. 648904 3-6 (984227.3)	391_1	 	918	919_7	2215_14, 4584_8, 958_10	920	2423_21, 2429_21	1075_23	158_25, 917_26	 	1391, 2430
Salmonella enterica subsp. enterica serovar Enteritidis str. 648905 5-18 (984228.3)	2508_1	 	1811	1812_7	1613_10, 2724_14, 4330_8	1813	2964_21, 2970_21	4153_23	1699_25, 1810_26	 	1438, 2971
Salmonella enterica subsp. enterica serovar Enteritidis str. 653049 13-19 (984229.3)	4329_1	 	512	511_7	1007_10, 2416_8, 3406_14	510	3542_21, 3548_21	4643_23	1093_25, 513_26	 	325, 3549
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-0424 (891411.3)	4258_1	 	3790	3791_7	2190_8, 3628_10, 863_14	3792	2814_21, 2821_21	4569_23	3540_25, 3789_26	 	1770, 2822
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427 (926034.3)	4535_1	 	410	409_7	1679_14, 2850_10, 3696_8	408	4205_21, 4212_21	724_23	2934_25, 411_26	 	2677, 4204
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-2659 (926035.3)	2444_1	 	1858	1859_7	103_8, 3709_10, 4064_14	1860	1145_21, 1151_21	2756_23	1857_26, 3795_25	 	1095, 1152
Salmonella enterica subsp. enterica serovar Enteritidis str. 78-1757 (926036.3)	1183_1	 	167	168_7	2818_10, 3669_14, 3795_8	169	740_21, 746_21	1616_23	166_26, 2902_25	 	2645, 747
Salmonella enterica subsp. enterica serovar Enteritidis str. 81-2625 (1079475.3)	3342_1	 	403	404_7	1922_8, 3945_10, 4454_14	405	2359_21, 2365_21	967_23	1772_25, 402_26	 	2366, 237
Salmonella enterica subsp. enterica serovar Enteritidis str. 8b-1 (930769.3)	2322_1	 	3246	3247_7	2105_14, 4360_10, 957_8	3248	1777_21, 1783_21	2672_23	3245_26, 4445_25	 	1776, 4184
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0895 (885384.3)	2419_1	 	3278	3279_7	2204_14, 3911_8, 4583_10	3280	1186_21, 1192_21	2731_23	3277_26, 4671_25	 	1185, 4408
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0899 (885385.3)	3654_1	 	226	227_7	2402_10, 3073_8, 440_14	228	877_21, 883_21	1677_23	225_26, 2316_25	 	2576, 884
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0956 (886723.3)	734_1	 	2037	2036_7	1274_8, 3390_10, 517_14	2035	3833_21, 3839_21	1116_23	2038_26, 3305_25	 	2803, 3832
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968 (886715.3)	4382_1	 	1585	1586_7	2141_10, 3683_8, 498_14	1587	820_21, 826_21	4695_23	1584_26, 2055_25	 	2316, 827
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1010 (885382.3)	2526_1	 	385	384_7	1580_10, 2743_14, 505_8	383	2980_21, 2986_21	2214_23	1494_25, 386_26	 	1755, 2987
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1018 (885381.3)	4535_1	 	510	509_7	2036_10, 3518_8, 3563_14	508	3921_21, 3928_21	4225_23	1952_25, 511_26	 	2210, 3920
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1441 (882878.3)	2859_1	 	2120	2121_7	2641_14, 3553_10, 3763_8	2122	345_21, 352_21	658_23	2119_26, 3637_25	 	3380, 344
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1444 (886716.3)	4392_1	 	517	516_7	1704_14, 2441_10, 348_8	515	1084_21, 1090_21	4704_23	2525_25, 518_26	 	1083, 2265
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1445 (886717.3)	1401_1	 	3450	3451_7	2187_10, 3995_14, 796_8	3452	3627_21, 3634_21	1846_23	2104_25, 3449_26	 	2362, 3635
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1455 (886724.3)	2536_1	 	4083	4084_7	1319_8, 2753_14, 4026_10	4085	1373_21, 1380_21	2222_23	3974_25, 4082_26	 	1381, 2911
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1457 (885386.3)	4399_1	 	3531	3532_7	2684_10, 3278_8, 4613_14	3533	3933_21, 3939_21	253_23	2768_25, 3530_26	 	2511, 3932
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1543 (882877.3)	4316_1	 	144	145_7	2107_10, 334_14, 704_8	146	3905_21, 3912_21	4629_23	143_26, 2024_25	 	2279, 3904
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1558 (885380.3)	4389_1	 	398	399_7	2795_10, 379_8, 4173_14	400	3774_21, 3780_21	4701_23	2881_25, 397_26	 	2622, 3773
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1559 (886718.3)	2727_1	 	1673	1674_7	160_8, 1988_10, 3830_14	1675	2921_21, 2927_21	1440_23	1672_26, 2074_25	 	2496, 2928
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1565 (886719.3)	2237_1	 	4119	4120_7	2930_10, 3436_8, 4008_14	4121	583_21, 589_21	2550_23	3018_25, 4118_26	 	1735, 590
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1566 (882875.3)	3537_1	 	524	523_7	1052_8, 3321_14, 4234_10	522	1643_21, 1649_21	223_23	4323_25, 525_26	 	1642, 1872
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1575 (886725.3)	2351_1	 	292	293_7	2568_14, 4306_10, 48_8	294	633_21, 639_21	2038_23	291_26, 4222_25	 	4478, 632
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1580 (882876.3)	4401_1	 	137	138_7	118_8, 1926_10, 4619_14	139	3518_21, 3524_21	4090_23	136_26, 1841_25	 	2100, 3525
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1594 (882874.3)	1792_1	 	147	146_7	1178_8, 2008_14, 3304_10	145	2621_21, 2627_21	1482_23	148_26, 3218_25	 	2628, 3480
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1725 (886726.3)	4447_1	 	165	166_7	2652_10, 4664_14, 768_8	167	3585_21, 3591_21	4135_23	164_26, 2738_25	 	2478, 3584
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1729 (885383.3)	4381_1	 	1563	1562_7	2669_10, 3573_8, 4167_14	1561	3443_21, 3449_21	4693_23	1564_26, 2755_25	 	2495, 3442
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1745 (886727.3)	2446_1	 	648	647_7	1862_8, 2661_14, 4241_10	646	3406_21, 3412_21	2135_23	4154_25, 649_26	 	3413, 4417
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1747 (885387.3)	4382_1	 	380	381_7	2914_10, 3500_8, 3659_14	382	3948_21, 3949_21, 3955_21	4695_23	2999_25, 379_26	 	2739, 3947
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1791 (886728.3)	1314_1	 	1713	1712_7	2837_10, 4200_14, 892_8	1711	3699_21, 3705_21	501_23	1714_26, 2921_25	 	2664, 3706
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1795 (886720.3)	2253_1	 	3935	3936_7	1111_10, 3767_14, 420_8	3937	3120_21, 3126_21	2564_23	1027_25, 3934_26	 	3119, 3413
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1808 (886721.3)	1629_1	 	3990	3991_7	2967_8, 3777_14, 552_10	3992	341_21, 347_21	3340_23	3989_26, 466_25	 	2587, 340
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1810 (882879.3)	2685_1	 	3432	3433_7	1383_10, 273_8, 4106_14	3434	3307_21, 3313_21	848_23	1297_25, 3431_26	 	3306, 3598
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1811 (886722.3)	1852_1	 	4017	4018_7	2086_10, 3155_8, 789_14	4019	1341_21, 1347_21	3518_23	2171_25, 4016_26	 	1340, 4429
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1882 (882872.3)	1464_1	 	353	354_7	2440_10, 3045_8, 3441_14	355	825_21, 831_21	1152_23	2525_25, 352_26	 	2267, 832
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_1884 (882873.3)	4575_1	 	1508	1509_7	128_14, 2105_10, 3498_8	1510	875_21, 882_21	4264_23	1507_26, 2019_25	 	2280, 874
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS4 (984213.3)	2269_1	 	1559	1560_7	1313_8, 2806_14, 3373_10	1561	4072_21, 4078_21	2584_23	1558_26, 3287_25	 	2927, 4079
Salmonella enterica subsp. enterica serovar Enteritidis str. CHS44 (702979.3)	2395_1	 	1732	1733_7	1246_14, 3833_10, 4164_8	1734	3609_21, 3615_21	236_23	1731_26, 1752_25	 	3608, 4031
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_56-3991 (925128.3)	1527_1	 	1720	1721_7	2754_10, 4135_14, 94_8	1722	3807_21, 3813_21	3319_23	1719_26, 3464_25	 	3814, 4587
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_69-4941 (930768.3)	4601_1	 	3784	3785_7	2273_8, 3063_10, 4382_14	3786	2834_21, 2840_21	3548_23	3783_26, 818_25	 	1757, 2833
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_76-3618 (925129.3)	2360_1	 	1125	1124_7	1641_8, 3427_10, 946_14	1123	2858_21, 2864_21	505_23	1126_26, 1983_25	 	2865, 3602
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_81-2490 (925131.3)	4449_1	 	4235	4234_7	3876_8, 3932_14, 988_10	4233	1320_21, 1326_21	1882_23	4236_26, 900_25	 	1319, 774
Salmonella enterica subsp. enterica serovar Enteritidis str. CVM_N202 (925127.3)	2762_1	 	4069	4068_7	1037_8, 2274_14, 692_10	4067	1626_21, 1632_21	2449_23	4070_26, 777_25	 	1633, 429
Salmonella enterica subsp. enterica serovar Enteritidis str. LA5 (1147754.3)	890_1	 	2381	2380_7	1434_14, 2154_8, 633_10	2379	2698_21, 2704_21	1290_23	2382_26, 719_25	 	2697, 4594
Salmonella enterica subsp. enterica serovar Enteritidis str. PT23 (696868.4)	1081_1	 	4382	4381_7	271_14, 2966_10, 3526_8	4380	1171_21, 3296_21	683_23	3640_25, 4383_26	 	1172, 3493
Salmonella enterica subsp. enterica serovar Enteritidis str. SARB17 (1029984.3)	155_1	 	3520	3521_7	1126_8, 3549_14, 533_10	3522_17	1681_21, 1693_21	1271_23	3347_25, 3519_26	 	1680, 1691, 3502
Salmonella enterica subsp. enterica serovar Enteritidis str. SE10 (696865.3)	86_1	 	1599	1600_7	4230_8, 4431_10, 761_14	1601	360_21, 366_21	1262_23	2362_25, 910_26	 	2903, 367
Salmonella enterica subsp. enterica serovar Enteritidis str. SE15-1 (925126.3)	1721_1	 	719	720_7	1220_10, 3522_8, 4151_14	721	4593_21, 4599_21	516_23	1133_25, 718_26	 	3917, 4592
Salmonella enterica subsp. enterica serovar Enteritidis str. SE8a (696870.3)	4235_1	 	2077	2076_7	2349_14, 3855_8, 4199_10	2075	28_21, 34_21	2808_23	1742_25, 2078_26	 	2905, 35
Salmonella enterica subsp. enterica serovar Enteritidis str. SL909 (925132.3)	2615_1	 	3884	3885_7	1684_10, 2938_14, 4051_8	3886	197_21, 203_21	4181_23	1599_25, 3883_26	 	1859, 196
Salmonella enterica subsp. enterica serovar Enteritidis str. SL913 (925133.3)	2424_1	 	939	938_7	1381_8, 166_14, 2098_10	937	2711_21, 2717_21	4115_23	2010_25, 940_26	 	2710, 3906
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078 (1081093.3)	3065_1	 	3611	3612_7	1144_10, 2844_14, 2845_14, 4205_8	3613	4542_21, 4548_21	3371_23	1060_25, 3610_26	 	1325, 4541
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 (550538.5)	3071_1	 	3489	3490_7	1927_10, 2856_14, 4218_8	3491	4559_21, 4565_21	3374_23	2014_25, 3488_26	 	1745, 4558
Salmonella enterica subsp. enterica serovar Gallinarum str. 9 (909947.3)	3106_1	 	3532	3533_7	1942_10, 2886_14, 4260_8	3534	4597_21, 4604_21	3413_23	2032_25, 3531_26	 	1763, 4596
Salmonella enterica subsp. enterica serovar Gallinarum str. 9184 (685040.3)	2804_1	 	4380	4379_7	1523_14, 2069_10, 2368_8	4378	195_21, 201_21	740_23	2155_25, 4381_26	 	1248, 194
Salmonella enterica subsp. enterica serovar Hadar str. 2011K-0112 (1212559.4)	1178_1	 	3146	3147_7	1690_10, 3808, 4350_8	3148	400_21, 407_21	1508_23	1779_25, 3145_26	 	3642, 408
Salmonella enterica subsp. enterica serovar Hadar str. 2012K-0272 (1328328.3)	459_1	 	139	138_7	2040_10, 2916_8, 682	137	882_21, 889_21	3935_23	140_26, 1951_25	 	1126, 890
Salmonella enterica subsp. enterica serovar Hartford str. 06-0676 (1212557.4)	2044_1	 	4736	4737_7	1660, 262_10, 2830_14	4738	818_21, 825_21	3012_23	347_25, 4735_26	 	817, 90
Salmonella enterica subsp. enterica serovar Hartford str. 2012K-0272 (1328329.3)	2564_1	 	1069	1068_7	2905_14, 3973, 4856_10	1067	3042_21, 3049_21	1548_23	1070_26, 4769_25	 	1896, 3050
Salmonella enterica subsp. enterica serovar Heidelberg str. 41563 (1124941.3)	3793_1	 	1646	1645_7	2596_10, 2691, 2933_8	1644_17	616_21, 621_21	822_23	1647_26, 4510_25	 	520, 622
Salmonella enterica subsp. enterica serovar Heidelberg str. 41565 (1128963.3)	4219_1	 	3513	3514_7	1231_10, 23_8, 2731	3515_17	3825_21, 575_21	2593_23	2829_25, 3512_26	 	1621, 3824
Salmonella enterica subsp. enterica serovar Heidelberg str. 41566 (1124942.3)	197_1	 	2405	2406_7	1751_8, 2639, 2746_10	2407_17	4205_21, 4211_21	1348_23	2404_26, 2550_25	 	2898, 4212
Salmonella enterica subsp. enterica serovar Heidelberg str. 41573 (1128959.3)	84_1	 	2297	2296_7	1740_10, 2750_8, 3672	2295_17	4829_21, 4834_21	4665_23	2298_26, 897_25	 	3213, 4835
Salmonella enterica subsp. enterica serovar Heidelberg str. 41579 (1124937.3)	4896_1	 	1243	1244_7	1592, 1754_10, 3464_8	1245_17	3710_21, 3715_21	2561_23	1242_26, 2039_25	 	2240, 3716
Salmonella enterica subsp. enterica serovar Heidelberg str. B182 (1160717.4)	3752_1	 	227	226_7	2067_10, 3527, 4259_8	225_17	553_21, 558_21	4078_23	1992_25, 228_26	 	2239, 552
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00322 (1182164.3)	4476_1	 	2560	2561_7	2294_10, 2446_14, 3409_8	2562_17	3258_21, 3263_21	1913_23	1030_25, 2559_26	 	271, 3257
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00325 (1182167.3)	59_1	 	2448	2449_7	2076, 2368_8, 2950_10	2450_17	3407_21, 3412_21	1153_23	2447_26, 393_25	 	1067, 3413
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00326 (1182168.3)	2641_1	 	1031	1032_7	1245_8, 2866, 3134_10	1033_17	229_21, 235_21	1655_23	1016_25, 1030_26	 	228, 3866
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN00328 (1182170.3)	914_1	 	1191	1192_7	2927, 3923_8, 4312_10	1193_17	2690_21, 2695_21	344_23	1190_26, 276_25	 	2696, 4485
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476 (454169.8)	3064_1	 	4228	4227_7	1398_10, 2856, 3580_8	4225_17	4588_21, 4592_21	3406_23	1326_25, 4229_26	 	1602, 4587
Salmonella enterica subsp. enterica serovar Infantis str. SARB27 (596155.6)	2987_1	 	4234	4233_7	1854_10, 2761_14, 3569_8	4232	4603_21, 4609_21	3392_23	1944_25, 4235_26	 	1679, 4602
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188 (439842.10)	2723_1	 	3904	3903_7	2504_14, 3241_8, 995_10	3902	4234_21, 4239_21	3063_23	3905_26, 903_25	 	1170, 4233
Salmonella enterica subsp. enterica serovar Mbandaka str. 2009K-0807 (1235459.3)	783_1	 	3332	3333_7	337_10, 4466, 996_14	3334	1048_21, 1054_21	2046_23	262_25, 3331_26	 	1055, 511
Salmonella enterica subsp. enterica serovar Mississippi str. 2010K-1406 (1212561.4)	1828_1, 1829_1	 	3739	3738_7	224_10, 3351_8, 690_14	3737	30_21, 36_21	3872_23	301_25, 3740_26	 	37, 4314
Salmonella enterica subsp. enterica serovar Montevideo str. 19N (763919.3)	4062_1	 	4580	4579_7	1529_10, 196_14, 2193_8	4578_17	2017_21, 2023_21	3754_23	4581_26, 705_25	 	2016, 3024
Salmonella enterica subsp. enterica serovar Montevideo str. 29N (763920.3)	600_1	 	136	135_7	1567_14, 3357_10, 3806_8	134	4028_21, 4034_21	3089_23	137_26, 3260_25	 	1138, 4027
Salmonella enterica subsp. enterica serovar Montevideo str. 366867 (858314.3)	1513_1	 	3580	3581_7	1292_14, 2275_10, 811_8	3582_17	3157_21, 3163_21	3740_23	2366_25, 3579_26	 	2102, 3156
Salmonella enterica subsp. enterica serovar Montevideo str. 413180 (858315.3)	2562_1	 	2093	2092_7	2263_14, 3636_10, 4580_8	2091_17	3398_21, 3403_21	1436_23	2094_26, 3546_25	 	3397, 3808
Salmonella enterica subsp. enterica serovar Montevideo str. 414877 (858313.3)	2043_1	 	2845	2846_7	1391_10, 3667_14, 3938_8	2847_17	2418_21, 2424_21	207_23	1482_25, 2844_26	 	2417, 3055
Salmonella enterica subsp. enterica serovar Montevideo str. 42N (763921.3)	1732_1	 	2328	2327_7	3467_14, 3546_10, 4321_8	2326_17	4014_21, 4020_21	577_23	2329_26, 844_25	 	1262, 4013
Salmonella enterica subsp. enterica serovar Montevideo str. 4441 H (766761.3)	4_1	 	4202	4203_7	1927_8, 3270_10, 4049_14	4204_17	1803_21, 1809_21	1110_23	3372_25, 4201_26	 	1802, 2906
Salmonella enterica subsp. enterica serovar Montevideo str. 531954 (745022.3)	4022_1	 	908	907_7	2266_10, 294_8, 3828_14	906_17	1245_21, 1250_21	113_23	2170_25, 909_26	 	1244, 2438
Salmonella enterica subsp. enterica serovar Montevideo str. 556152 (871586.3)	1811_1	 	2802	2803_7	1450_14, 2160_8, 4055_10	2804_17	1069_21, 1074_21	3002_23	2801_26, 4411_25	 	1075, 153
Salmonella enterica subsp. enterica serovar Montevideo str. 609460 (859198.4)	184_1	 	4607	4606_7	1116_10, 2003_14, 307_8	4605_17	3554_21, 3560_21	856_23	1506_25, 4608_26	 	1856, 3561
Salmonella enterica subsp. enterica serovar Montevideo str. 80959-06 (763922.3)	251_1	 	2866	2867_7	4268_10, 444_14, 4448_8	2868_17	1798_21, 1804_21	766_23	2865_26, 4357_25	 	1797, 4099
Salmonella enterica subsp. enterica serovar Montevideo str. ATCC BAA710 (749953.3)	1399_1	 	2506	2505_7	1206_14, 1882_8, 4072_10	2504_17	2818_21, 2823_21	1704_23	2507_26, 3995_25	 	2817, 4248
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035278 (984240.3)	1942_1	 	3744	3743_7	1067_8, 3438_14, 79_10	3742_17	1092_21, 1098_21, 3977_21	1234_23	2557_25, 3745_26	 	3395, 3978
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035318 (984241.3)	3020_1	 	1912	1913_7	2602_10, 3156_8, 4431_14	1914_17	3758_21, 3764_21	1377_23	1911_26, 2512_25	 	1319, 3757
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035320 (984242.3)	1379_1	 	2346	2345_7	1855_10, 3273_14, 3405_8	2344_17	3513_21, 3519_21	3206_23	1945_25, 2347_26	 	1630, 3520
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035321 (882860.3)	3782_1	 	4322	4321_7	1292_10, 3166_8, 743_14	4320_17	2053_21, 2059_21	4092_23	1380_25, 4323_26	 	1121, 2052
Salmonella enterica subsp. enterica serovar Montevideo str. CT_02035327 (882862.3)	3853_1	 	845	844_7	279_10, 3037_8, 4285_14	843_17	2261_21, 2267_21	1036_23	190_25, 846_26	 	2260, 662
Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008286 (882868.3)	1139_1	 	2809	2810_7	1356_14, 1835_8, 3605_10	2811_17	313_21, 319_21	832_23	2808_26, 3516_25	 	312, 3778
Salmonella enterica subsp. enterica serovar Montevideo str. LQC 10 (749948.3)	1688_1	 	2855_5	2854_7	2471_10, 3306_14, 4343_8	2853	592_21, 598_21	1334_23	2567_25, 2856_26	 	478, 591
Salmonella enterica subsp. enterica serovar Montevideo str. SARB30 (749947.3)	780_1	 	3109_5	3110_7	2166_10, 4191_8, 4440_14	3111	1363_21, 1369_21	1132_23	2069_25, 3108_26	 	1370, 2918
Salmonella enterica subsp. enterica serovar Montevideo str. SARB31 (749952.3)	219_1	 	1115	1116_7	1381_8, 2605_10, 2779_14	1117_17	1744_21, 1750_21	1301_23	1114_26, 2515_25	 	1751, 3794
Salmonella enterica subsp. enterica serovar Muenchen str. 08-1125 (1328334.3)	2430_1	 	224	223_7	2212_14, 3124_10, 3631	222	739_21, 746_21	4937_23	225_26, 3201_25	 	2949, 747
Salmonella enterica subsp. enterica serovar Muenchen str. 2009K-0951 (1328333.3)	1078_1	 	187	188_7	3871_14, 4946_10, 989	189	2262_21, 2268_21	2043_23	186_26, 4869_25	 	2261, 5118
Salmonella enterica subsp. enterica serovar Newport str. CVM 19443 (858309.3)	533_1	 	4825	4826_7	3601_10, 40, 4610_14	4827	819_21, 825_21	4166_23	2661_25, 4824_26	 	2544, 818
Salmonella enterica subsp. enterica serovar Newport str. CVM 19447 (796737.3)	3732_1	 	137	136_7	2969_10, 309, 3099_14	135	3174_21, 3180_21	1895_23	138_26, 2885_25	 	1442, 3181
Salmonella enterica subsp. enterica serovar Newport str. CVM 19449 (796736.3)	3804_1	 	1442	1441_7	2111_14, 3998, 4411_10	1440_17	1551_21, 1557_21	2999_23	1443_26, 4327_25	 	1558, 741
Salmonella enterica subsp. enterica serovar Newport str. CVM 19470 (858312.3)	747_1	 	4527	4528_7	1714_14, 1789_10, 2720	4529	3268_21, 3274_21	981_23	1864_25, 4526_26	 	3267, 3562
Salmonella enterica subsp. enterica serovar Newport str. CVM 19536 (859196.3)	1234_1	 	4470	4471_7	2815_10, 3640, 4187_14	4472	4359_21, 4364_21	1551_23	2682_25, 294_26	 	1762, 4365
Salmonella enterica subsp. enterica serovar Newport str. CVM 19567 (796735.3)	1402_1	 	4334	4335_7	1946_14, 2647_10, 29	4336	320_21, 326_21	1720_23	2564_25, 4333_26	 	319, 3251
Salmonella enterica subsp. enterica serovar Newport str. CVM 19593 (858311.3)	4066_1	 	2676	2675_7	3262_10, 4293_14, 4576_8	2674	685_21, 691_21	3748_23	2677_26, 3338_25	 	1413, 692
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 (796731.3)	3753_1	 	4539	4538_7	1751_14, 2653_10, 4571	4537	2377_21, 2383_21	4073_23	2728_25, 4540_26	 	2384, 3013
Salmonella enterica subsp. enterica serovar Newport str. CVM 21539 (789644.3)	2798_1	 	196	195_7	232_8, 4561_14, 881_10	194	1909_21, 1915_21	2478_23	197_26, 958_25	 	1916, 3863
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 (796733.3)	1004_1	 	2184	2183_7	1502, 3753_10, 784_14	2182	2952_21, 2958_21	1321_23	2185_26, 3677_25	 	2951, 3924
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554 (858308.3)	4180_1	 	2263	2264_7	1203_10, 3088_14, 3195	2265	2970_21, 2976_21	3863_23	1025_25, 2262_26	 	1591, 2969
